hour,0,1,2
0,0.11139032258064516,0.13688172043010752,0.22151612903225806
1,0.10614838709677418,0.09824731182795698,0.18849193548387097
2,0.11064516129032258,0.08393548387096776,0.16151612903225807
3,0.10395806451612903,0.07779569892473119,0.14323387096774193
4,0.09768387096774193,0.07969892473118279,0.1366048387096774
5,0.10640967741935484,0.07465591397849462,0.14416129032258065
6,0.1381806451612903,0.07075268817204301,0.16800806451612904
7,0.14054193548387098,0.08209677419354838,0.18699193548387097
8,0.1633290322580645,0.10331182795698925,0.22621774193548388
9,0.16978387096774195,0.10511827956989246,0.30779032258064515
10,0.18609032258064517,0.1293225806451613,0.3039604838709673
11,0.19380645161290325,0.20560215053763442,0.3985895161290318
12,0.22656451612903225,0.27821505376344086,0.5607354838709669
13,0.2294483870967742,0.3707956989247312,0.7267354838709669
14,0.21759677419354836,0.4321505376344086,0.7451459677419351
15,0.214541935483871,0.36480645161290326,0.6807919354838701
16,0.20622903225806452,0.3046989247311828,0.7622830645161286
17,0.19255483870967743,0.2870645161290322,0.8077508064516125
18,0.18824838709677422,0.2561720430107527,0.772379838709677
19,0.1944483870967742,0.2514516129032258,0.6045330645161286
20,0.23063548387096774,0.23608602150537636,0.44328225806451615
21,0.18915483870967742,0.2892688172043011,0.4242177419354839
22,0.1598774193548387,0.2934516129032258,0.33079032258064517
23,0.1298516129032258,0.21886021505376343,0.2841451612903226
total_mean_consumption,4.007119354838709,4.830440860215054,9.729873387096768
