,0,1
media_consumo,0.18124420785238576,0.2984274116985369
std_consumo,0.1955077056096103,0.30985087107494236
min_consumo,0.0317,0.05257142857142857
max_consumo,1.7306000000000001,3.124714285714286
percentil_25_consumo,0.078,0.13328571428571429
percentil_50_consumo,0.11240000000000001,0.1987142857142857
percentil_75_consumo,0.18639999999999998,0.3305357142857143
promedio_por_dia,0.1813416898148148,0.2985122870945473
consumo_medio_diario,4.347731666666666,7.159546857142841
Mañana,0.16219416666666664,0.251792507936507
Mediodia,0.22509148148148145,0.39316221693121506
Tarde,0.22203722222222216,0.3594090158730155
Noche,0.19852067481855304,0.3490291644373105
Madrugada,0.1113254629629629,0.16036177248677244
sum_consumo,376.3378,605.1658114285704
Lunes,0.18385582741344494,0.2973585508536197
Martes,0.1803756944444444,0.2897222619047611
Miércoles,0.1843802083333333,0.28964806547619043
Jueves,0.18049563301282046,0.2946180484330477
Viernes,0.17717708333333332,0.3012039031339023
Sábado,0.1740038105413105,0.29911370573870577
Domingo,0.18862982142857138,0.31489980725623473
Entre semana,0.18116562286871518,0.29476050803180226
Fin de semana,0.18156778752436645,0.30697831128747743
s_Mañana,56.466300000000004,85.29286857142834
s_Mediodia,115.69120000000001,199.07844571428504
s_Tarde,77.0591,119.32049714285704
s_Noche,68.9478,119.74428571428572
s_Madrugada,58.1734,81.72971428571428
s_Lunes,55.192899999999995,86.21690285714259
s_Martes,50.0503,78.72053142857128
s_Miércoles,51.0432,78.62599999999999
s_Jueves,53.4182,86.19595999999986
s_Viernes,52.638999999999996,88.38940571428553
s_Sábado,52.329499999999996,88.86385714285714
s_Domingo,61.6647,98.15315428571405
s_Entre semana,262.34360000000004,418.1487999999992
s_Fin de semana,113.9942,187.01701142857118
s_verano,376.3378,605.1658114285705
std_Mañana,0.04678595993686252,0.07936013197363864
std_Mediodia,0.06188284436503359,0.08568905331604
std_Tarde,0.04401450443940748,0.06478608213618224
std_Noche,0.0461163786103341,0.09960626769418761
std_Madrugada,0.02497757213696555,0.03395052378779064
std_Lunes,0.19704574287476218,0.2916378492831517
std_Martes,0.18537045274412678,0.25321442779813663
std_Miércoles,0.1921855068120992,0.27255642747796516
std_Jueves,0.18280656540989243,0.2958201431772696
std_Viernes,0.18560738133714283,0.2992950083412516
std_Sábado,0.19269230341793125,0.340470132904846
std_Domingo,0.2144931418968806,0.30523664283627483
std_Entre semana,0.1895720150372912,0.2885280784939078
std_Fin de semana,0.20525382349789786,0.3363156699251991
std_verano,0.19550770560961034,0.30985087107494236
Junio,376.3378,605.1658114285705
total_mean_consumption,2269.786857665122,3650.4594025770066
