hogar,season,mean,median,min,max,std,sum,p25,p50,p75,skew,kurt,n_obs,cv
ABLD,invierno,0.23069722222222222,0.112,0.031,2.005,0.26488622356166835,498.306,0.062,0.112,0.273,2.1955539495814107,5.357814637187303,2160,1.1481985825842025
ABLD,otoño,0.2165345854328905,0.109,0.051,1.741,0.24309161831301812,472.695,0.069,0.109,0.2415,2.3458473961058806,6.062253334788952,2183,1.1226456864940788
ABLD,primavera,0.220625,0.113,0.0,1.838,0.24953637436171028,487.14,0.065,0.113,0.259,2.3662984228597246,6.641781145358996,2208,1.1310430565969871
ABLD,verano,0.1954485727231536,0.117,0.056,2.123,0.1968385096281262,431.355,0.082,0.117,0.218,2.875769426658105,11.009788047643005,2207,1.0071115224102527
AJVG,invierno,0.39531944444444445,0.0745,0.027,3.691,0.5673454302554511,853.89,0.043,0.0745,0.5885,2.0192727109682904,4.133806565883076,2160,1.4351569046970623
AJVG,otoño,0.1955506184150252,0.075,0.028,2.366,0.27707328622221367,426.887,0.053,0.075,0.2125,3.2477247157744515,13.496743507753717,2183,1.416887803618036
AJVG,primavera,0.22878759057971015,0.0815,0.0,3.199,0.35199038646147235,505.163,0.05,0.0815,0.228,2.934029386527051,9.76168821776195,2208,1.5385029649972997
AJVG,verano,0.1562569098323516,0.092,0.032,1.766,0.17154222766221988,344.859,0.0665,0.092,0.1785,3.625754177527646,17.776601932916236,2207,1.0978217081488937
ATF,invierno,0.12687222222222222,0.097,0.049,2.233,0.1427673211280877,274.044,0.059,0.097,0.132,6.854494482545865,68.89532191443793,2160,1.1252843106824797
ATF,otoño,0.14759230416857536,0.119,0.042,1.77,0.12281163273884435,322.194,0.079,0.119,0.1675,4.206430160607078,29.027722077896804,2183,0.8321005179143535
ATF,primavera,0.11499909420289856,0.093,0.0,1.273,0.08912650168331282,253.918,0.062,0.093,0.132,4.936075351429738,39.5029296689751,2208,0.7750191625515115
ATF,verano,0.16682057091073857,0.122,0.053,1.794,0.19478078542981778,368.173,0.079,0.122,0.143,3.996379287793755,17.748731361929853,2207,1.1676065149905284
FJAG,invierno,0.3689314814814796,0.24804999999997374,0.0540999999999476,4.384,0.4119893505254606,796.8919999999958,0.156,0.24804999999997374,0.42125,5.153974296432558,37.48467074578426,2160,1.1167096634612965
FJAG,otoño,0.3376524965643599,0.234,0.0530999999999473,4.491,0.3382416044225939,737.0953999999977,0.165,0.234,0.3775,5.9152544277123305,56.76272541744801,2183,1.0017447164295488
FJAG,primavera,0.4211184782608687,0.393,0.0280999999999478,4.216,0.25910241528543343,929.8295999999981,0.303,0.393,0.508,5.592250183516168,65.09425785051835,2208,0.6152720164535934
FJAG,verano,0.5708745808790203,0.251,0.0210999999999472,4.167,0.7354765206774508,1259.9201999999977,0.183,0.251,0.5285499999999739,2.2448616455001407,4.000955476464335,2207,1.2883329286530503
FMB,invierno,0.2504574074074074,0.142,0.024,2.683,0.34947690154834565,540.988,0.049,0.142,0.259,2.920787442213727,9.409690601561714,2160,1.3953546240294177
FMB,otoño,0.1893147045350435,0.113,0.023,3.138,0.24566987006683308,413.274,0.048,0.113,0.2315,3.7253469482100057,21.35179900212345,2183,1.297679811350089
FMB,primavera,0.2073659420289855,0.1365,0.0,2.145,0.24118524384409998,457.864,0.052,0.1365,0.254,2.995683746892207,11.836323638737214,2208,1.1630899533655688
FMB,verano,0.214373810602628,0.126,0.024,1.449,0.22653495224870526,473.123,0.061,0.126,0.2625,2.0673259397792183,4.574323820873005,2207,1.0567286722752698
GPC,invierno,0.1926074074074074,0.099,0.026,1.973,0.23979245414731917,416.032,0.061,0.099,0.20025,2.813217516458192,9.56957021174078,2160,1.2449804365005803
GPC,otoño,0.17810719193770042,0.098,0.026,1.688,0.21265279934494674,388.808,0.065,0.098,0.1815,2.8464372014617596,9.416421543268648,2183,1.1939596432429855
GPC,primavera,0.1602373188405797,0.09,0.0,2.236,0.2040854672783044,353.804,0.059,0.09,0.156,3.8152237359834205,20.73429214106944,2208,1.273645045704673
GPC,verano,0.14963615768010874,0.11,0.025,2.132,0.13652819413761158,330.247,0.079,0.11,0.1645,4.083452547244124,29.87792989530093,2207,0.9124010951248877
JACL,invierno,0.11542824074074073,0.099,0.035,1.229,0.09475575700970408,249.325,0.07,0.099,0.134,5.519505766198787,44.60454950154358,2160,0.8209061872694708
JACL,otoño,0.10918094365551993,0.096,0.035,1.281,0.08817136449852958,238.342,0.063,0.096,0.133,5.56432577402063,48.81324743628324,2183,0.807571005950651
JACL,primavera,0.11103351449275363,0.097,0.0,1.584,0.08991654873415007,245.162,0.065,0.097,0.134,6.641441109213464,72.00878200530899,2208,0.809814488399521
JACL,verano,0.275001812415043,0.134,0.036,1.385,0.3238023402824884,606.929,0.074,0.134,0.3165,1.5925526833717536,1.2250605778483878,2207,1.1774552954356308
JALG,invierno,0.31591296296296295,0.225,0.032,2.34,0.2612507891285775,682.372,0.138,0.225,0.406,1.9600562526367662,4.991205383721816,2160,0.8269707791611137
JALG,otoño,0.26863032524049474,0.175,0.055,1.633,0.2493325505186849,586.42,0.093,0.175,0.342,1.9730423313139565,4.306033538343698,2183,0.9281623372024984
JALG,primavera,0.2902567934782609,0.194,0.0,1.888,0.25502994075858,640.8870000000001,0.132,0.194,0.34924999999999995,2.2486275597633445,6.014519234373163,2208,0.8786355616433857
JALG,verano,0.27115903942002717,0.171,0.07,1.649,0.25834592162609354,598.448,0.115,0.171,0.3065,2.2399421671199202,4.867586212772305,2207,0.9527468535758972
JLG,invierno,0.1404800925925926,0.099,0.035,2.256,0.1631950460041231,303.437,0.051,0.099,0.158,4.296849427700832,26.77172920675251,2160,1.1616951768205785
JLG,otoño,0.124921667430142,0.089,0.035,1.34,0.1280865627419802,272.704,0.054,0.089,0.148,4.141229489514741,22.282463819088356,2183,1.0253350389643816
JLG,primavera,0.1241141304347826,0.0785,0.0,1.28,0.1421765675690402,274.044,0.051,0.0785,0.143,4.112549189404319,20.410992077869338,2208,1.145530868008206
JLG,verano,0.24051789759855005,0.101,0.039,1.648,0.27454254793555566,530.823,0.061,0.101,0.3715,1.8356621669670883,3.1894191514566144,2207,1.1414641100588545
JMM,invierno,0.27110138888888885,0.209,0.063,2.093,0.24303670050703377,585.579,0.129,0.209,0.30425,3.190678154232459,13.051825311120975,2160,0.896478994457098
JMM,otoño,0.23848236371965184,0.18,0.067,2.297,0.23509749432570182,520.607,0.116,0.18,0.258,3.998460287724799,19.817021370296754,2183,0.985806625944344
JMM,primavera,0.2642432065217391,0.1825,0.0,2.256,0.26116818219679655,583.449,0.11475,0.1825,0.27825,3.069900189283432,11.805473460338757,2208,0.9883629011113685
JMM,verano,0.34341096511101044,0.223,0.073,5.359,0.5387557902853777,757.908,0.145,0.223,0.343,6.265161966194215,43.9081215119169,2207,1.568836889384765
LFZA,invierno,0.14292083333333333,0.104,0.014,2.596,0.19182468386215137,308.709,0.076,0.104,0.136,6.144649955796673,47.60221059688089,2160,1.3421744009479704
LFZA,otoño,0.12421850664223545,0.09,0.0,1.443,0.1478279321120538,271.169,0.068,0.09,0.129,5.102048585488439,32.550430894843345,2183,1.1900636717346507
LFZA,primavera,0.1530679347826087,0.107,0.0,1.785,0.1890620204597618,337.974,0.074,0.107,0.149,4.3848062882709975,23.194073621423605,2208,1.2351510505990226
LFZA,verano,0.20150521069324875,0.11,0.009,1.78,0.2309520970238384,444.722,0.078,0.11,0.217,2.358323845997611,5.780470269189802,2207,1.146134614729227
MANA,invierno,0.2675564814814815,0.184,0.052,2.276,0.24762787631248406,577.922,0.114,0.184,0.328,2.8957700580761783,11.930664649188273,2160,0.9255162683458418
MANA,otoño,0.2445318369216674,0.158,0.054,2.109,0.226282321589328,533.813,0.105,0.158,0.302,2.7690702682329458,10.848995462709183,2183,0.9253695732953358
MANA,primavera,0.2477078804347826,0.173,0.0,1.871,0.21410746720692717,546.939,0.11,0.173,0.30625,2.5691802950394145,9.226724893609983,2208,0.8643546859757582
MANA,verano,0.41020525600362484,0.2,0.045,2.551,0.5130390228756623,905.323,0.126,0.2,0.383,2.1873247647780105,3.674575441344418,2207,1.2506885647294796
MBGV,invierno,0.2118888888888889,0.116,0.044,1.828,0.226630686279602,457.68,0.072,0.116,0.257,2.452812547321215,7.526566916697549,2160,1.0695732441092909
MBGV,otoño,0.2154502977553825,0.124,0.046,1.425,0.21331467479889524,470.328,0.077,0.124,0.2605,2.0644131224706284,4.254393374846626,2183,0.9900876305174013
MBGV,primavera,0.19409782608695653,0.1,0.0,1.881,0.21415912515670757,428.568,0.075,0.1,0.206,2.8029304860574253,10.216252516737741,2208,1.1033566396604746
MBGV,verano,0.1774707748074309,0.102,0.061,1.74,0.18987222628423542,391.678,0.086,0.102,0.18,3.7280978144063104,17.549843715107603,2207,1.0698788377425017
MTTA,invierno,0.3170125,0.222,0.032,3.227,0.3084439203444483,684.747,0.129,0.222,0.363,2.9515433934317508,12.550627586717091,2160,0.9729708460847705
MTTA,otoño,0.26913467704993127,0.216,0.058,2.095,0.22424339476097493,587.521,0.113,0.216,0.313,2.301817891889417,7.33688440845606,2183,0.833201418780279
MTTA,primavera,0.28822192028985505,0.242,0.0,1.638,0.1973314417348936,636.394,0.154,0.242,0.345,1.9363423955821353,4.847536470303112,2208,0.6846510547721145
MTTA,verano,0.41143815133665607,0.246,0.0,3.446,0.41654773338964174,908.044,0.129,0.246,0.612,2.413043328113498,8.316127124995486,2207,1.0124188338791285
PAA,invierno,0.39615509259259263,0.205,0.042,3.107,0.46550647314218724,855.695,0.069,0.205,0.548,2.108833201549409,5.253862063867087,2160,1.1750611865058511
PAA,otoño,0.29485890975721485,0.158,0.047,2.511,0.33400215188374466,643.677,0.074,0.158,0.4015,2.4672180515722166,8.011126501086535,2183,1.1327524481412488
PAA,primavera,0.27267391304347827,0.145,0.0,3.048,0.32402743344438356,602.064,0.067,0.145,0.352,2.6714605383853898,9.761870833316426,2208,1.1883330892483173
PAA,verano,0.27715813321250565,0.106,0.045,3.853,0.4001307921998814,611.688,0.063,0.106,0.3055,2.9172091022616122,10.370189160865717,2207,1.4436913236570577
RFM,invierno,0.16051712962962963,0.105,0.063,1.754,0.1470573509167085,346.717,0.081,0.105,0.183,3.8250001645717213,21.37833254376291,2160,0.9161473996951125
RFM,otoño,0.10593311956023821,0.088,0.068,1.059,0.06079445858026644,231.252,0.082,0.088,0.104,6.385121377731314,60.2063633043458,2183,0.5738947255838723
RFM,primavera,0.14129528985507248,0.1,0.0,1.433,0.12687221837960808,311.98,0.083,0.1,0.138,4.4473804741405845,26.9404650772282,2208,0.8979224892049958
RFM,verano,0.12420661531490712,0.121,0.0,1.188,0.05461968477832836,274.124,0.107,0.121,0.136,5.513319341324236,85.79964230902205,2207,0.4397485966415589
RTF,invierno,0.37819166666666665,0.2405,0.067,2.986,0.3675364946132917,816.894,0.106,0.2405,0.533,1.9794581781223226,5.317224038041596,2160,0.9718259999029373
RTF,otoño,0.2986129180027485,0.18,0.074,2.369,0.29330389535448653,651.872,0.105,0.18,0.372,2.3801946487742316,7.438513926555718,2183,0.9822210549906181
RTF,primavera,0.34625588768115945,0.219,0.0,2.218,0.3289000798706938,764.533,0.11,0.219,0.472,2.0439653736978416,5.114569360009632,2208,0.9498757756100676
RTF,verano,0.2388713185319438,0.148,0.078,2.045,0.23250826270859953,527.189,0.112,0.148,0.266,3.0899460384553636,12.40761142514869,2207,0.9733619931331633
