hogar,cv,skewness,kurtosis
ABLD,1.1439188153110773,2.6729181027121514,8.628059662672811
AJVG,1.5492801385458823,3.0472511708736976,11.46045819884441
ATF,1.0273068937166914,5.049619784915596,36.75496782264908
FJAG,1.6067025646065478,5.076770247560191,28.184184765172144
FMB,1.164770436178974,3.2954103343633165,16.136914289812687
GPC,1.1833276268303783,3.188486404672726,13.52577203605452
JACL,1.2327240460441091,4.263763976162648,20.036002601432738
JALG,0.9374753627330724,2.061208904089013,4.840258816490108
JLG,1.1558159172808986,3.5547205082887405,15.56966965975819
JMM,1.1486441110918653,7.128353947036522,76.03228200210498
LFZA,1.2975760424514364,4.026347485136161,19.78203893500853
MANA,1.0541027424381249,3.323970839572783,13.800737077618539
MBGV,1.0416314402622893,2.8450255025779514,10.446904421066973
MTTA,1.0533630950753727,3.703649742018169,20.110894395645904
PAA,1.2768061261740904,2.828807557117859,11.146939514657625
RFM,0.7092328755931799,5.6081449091238795,47.90441557921495
RTF,1.014250863934231,2.3165423878566944,6.996701486349185
