hogar,dayofweek,mean,median,min,max,std,sum,p25,p50,p75,skew,kurt,n_obs,cv
MANA,2,0.28521073717948714,0.171,0.048,2.531,0.3253905377632476,355.943,0.11175,0.171,0.32975,3.433090141371672,14.041299243936596,1248,1.1408775875028672
MANA,3,0.29623798076923075,0.196,0.051,2.523,0.31973657752184403,369.705,0.117,0.196,0.33325000000000005,3.2472374124730483,12.40422991198967,1248,1.0793233760627023
MANA,4,0.30126602564102567,0.175,0.048,2.276,0.35626534680936767,375.98,0.112,0.175,0.327,3.031191925721779,9.928085509635189,1248,1.1825606490188063
MANA,5,0.28044471153846157,0.162,0.048,2.514,0.3524929480376536,349.995,0.10575,0.162,0.288,3.3067843930885754,11.761411114047005,1248,1.2569070962470652
MANA,6,0.29369125902165194,0.181,0.054,2.192,0.32383278503000845,366.233,0.115,0.181,0.324,3.026395687274836,10.369888628522546,1247,1.102629973083858
MBGV,0,0.17677734067663256,0.111,0.0,1.472,0.16773437471946148,224.684,0.078,0.111,0.21,2.8353258163304,10.3387030758634,1271,0.9488454463532586
MBGV,1,0.18921554487179487,0.1055,0.044,1.881,0.19903486659938988,236.141,0.077,0.1055,0.20125,2.772892916765194,10.529317218415748,1248,1.0518948997253275
MBGV,2,0.20997996794871795,0.139,0.048,1.623,0.1932308982317125,262.055,0.086,0.139,0.261,2.507459106143468,8.624597336207279,1248,0.9202349163083214
MBGV,3,0.2301378205128205,0.134,0.047,1.74,0.22866811516352528,287.212,0.083,0.134,0.2765,2.1851025196175184,5.563045000473233,1248,0.9936138034764549
MBGV,4,0.15899358974358974,0.091,0.045,1.118,0.15666260169172325,198.424,0.07575,0.091,0.176,2.8064615527494152,8.65770415003076,1248,0.9853391067172853
MBGV,5,0.20149278846153845,0.094,0.047,1.523,0.22878418922787153,251.463,0.076,0.094,0.19425,2.4430125874691884,6.305270167311896,1248,1.1354460423854948
MBGV,6,0.23117481956696068,0.105,0.045,1.867,0.27580108315845314,288.275,0.078,0.105,0.247,2.522401167008003,7.146788308838808,1247,1.1930411957283535
MTTA,0,0.33715656963021245,0.243,0.0,3.227,0.31550486206449097,428.526,0.173,0.243,0.36,3.3626052096145065,16.410567263703317,1271,0.9357814454291408
MTTA,1,0.33369791666666665,0.236,0.044,2.582,0.31060285318948594,416.455,0.14875,0.236,0.374,2.9439897201301384,12.394347707656935,1248,0.9307905074509334
MTTA,2,0.3117636217948718,0.226,0.0,2.7,0.2838634243427193,389.081,0.12475,0.226,0.36824999999999997,2.676743528707795,11.21455302074302,1248,0.910508489439766
MTTA,3,0.3034991987179487,0.221,0.063,2.81,0.27988216961543605,378.767,0.125,0.221,0.35124999999999995,3.163633416917929,17.138445849517293,1248,0.9221842126691717
MTTA,4,0.3143413461538462,0.226,0.057,2.299,0.28792460724977026,392.298,0.133,0.226,0.374,2.6462312507598504,9.784581915365532,1248,0.9159616155262409
MTTA,5,0.32085817307692305,0.2085,0.054,3.275,0.3264500068525734,400.431,0.117,0.2085,0.398,3.031402299646987,14.192759085841832,1248,1.0174277429869607
MTTA,6,0.32970970328789095,0.212,0.0,3.446,0.32030496968609473,411.148,0.116,0.212,0.435,2.862507705693223,14.349878127381231,1247,0.9714757148242484
PAA,0,0.29647678992918963,0.134,0.0,2.663,0.3763992655917833,376.822,0.07,0.134,0.3675,2.529233817516579,7.47957031707517,1271,1.269574139957743
PAA,1,0.2757716346153846,0.1335,0.041,3.09,0.333136384645315,344.163,0.064,0.1335,0.366,2.80052607055,11.78229411288002,1248,1.2080154114107358
PAA,2,0.28976442307692307,0.14,0.038,2.825,0.34253225457074676,361.626,0.069,0.14,0.406,2.4999123930248524,8.429943102149737,1248,1.1821059705449608
PAA,3,0.2814246794871795,0.135,0.038,2.347,0.34420515799999657,351.218,0.069,0.135,0.36375,2.5623800136319477,7.767717227748754,1248,1.2230809274695367
PAA,4,0.26678846153846153,0.1235,0.043,2.843,0.3398626758786111,332.952,0.066,0.1235,0.32525000000000004,2.904341272904199,10.900274236436706,1248,1.2739032037546152
PAA,5,0.3625633012820513,0.169,0.038,3.853,0.46331262946486884,452.479,0.067,0.169,0.448,2.495057655555225,7.8845434218438015,1248,1.277880656499321
PAA,6,0.39604170008019246,0.189,0.038,3.107,0.47051646586293977,493.864,0.074,0.189,0.544,2.027585683912917,4.45656069512642,1247,1.1880477883204403
RFM,0,0.13075609756097561,0.103,0.0,1.754,0.10763525602131827,166.191,0.086,0.103,0.132,6.35902381997464,63.60967703659273,1271,0.8231758061693805
RFM,1,0.12370432692307694,0.1,0.0,0.863,0.08712101979616906,154.383,0.083,0.1,0.129,4.236607997278232,24.31348142363019,1248,0.7042681688114557
RFM,2,0.12194791666666667,0.1,0.0,1.09,0.08301802982200873,152.191,0.082,0.1,0.129,4.641045553277766,32.245755519278795,1248,0.6807662819606081
RFM,3,0.12727884615384616,0.102,0.0,1.04,0.09204737527784303,158.844,0.083,0.102,0.133,4.272159230452436,24.350515480913266,1248,0.7231946082115037
RFM,4,0.12524198717948717,0.101,0.0,0.929,0.09244949170404695,156.302,0.082,0.101,0.13125,4.203042474658943,23.112454346280582,1248,0.7381669181881908
RFM,5,0.14723076923076922,0.112,0.0,1.325,0.12618871681800425,183.744,0.087,0.112,0.149,4.239333812966868,23.514135823383643,1248,0.8570811487116277
RFM,6,0.1543047313552526,0.114,0.067,1.501,0.14267690773798455,192.418,0.089,0.114,0.1515,5.013605196142086,32.84643038795095,1247,0.9246437648726561
RTF,0,0.3420456333595594,0.205,0.0,2.986,0.33347577719970734,434.74,0.112,0.205,0.46,2.069160875366201,5.943393812192401,1271,0.9749452841257488
RTF,1,0.3462379807692308,0.203,0.073,2.045,0.33533671490823436,432.105,0.113,0.203,0.47424999999999995,1.9562484252991985,4.277733294208158,1248,0.9685151067575622
RTF,2,0.3314166666666667,0.191,0.068,2.459,0.32885271555383516,413.608,0.108,0.191,0.43674999999999997,2.1335992246354922,5.633596732626193,1248,0.9922636627221578
RTF,3,0.3475657051282051,0.2175,0.068,2.191,0.3297994951277383,433.762,0.115,0.2175,0.461,2.0105372700073074,4.814148575729802,1248,0.9488838808365357
RTF,4,0.31886298076923075,0.1995,0.067,2.697,0.30973323696879695,397.941,0.11075,0.1995,0.4095,2.6828922976830114,10.702123346898894,1248,0.9713678151712405
RTF,5,0.2742395833333333,0.168,0.067,2.369,0.27682546469324865,342.251,0.102,0.168,0.3265,2.738419169914654,9.998402078728603,1248,1.0094292783284031
RTF,6,0.24545388933440257,0.145,0.067,2.218,0.25723210456100437,306.081,0.1,0.145,0.289,3.2016939580915,13.832019726656512,1247,1.0479854495626075
