hogar,month_year,mean,median,min,max,std,sum,p25,p50,p75,skew,kurt,n_obs,cv
ABLD,2024-07,0.17534408602150536,0.12,0.056,2.123,0.16266241252821742,130.456,0.084,0.12,0.207,4.387179128231873,33.44618389816944,744,0.9276754991797523
ABLD,2024-08,0.1857849462365591,0.11,0.065,1.323,0.18429094263202864,138.224,0.082,0.11,0.207,2.80057076273186,8.850746103832869,744,0.9919584248627541
ABLD,2024-09,0.1857013888888889,0.091,0.054,1.571,0.22675012684866291,133.705,0.07,0.091,0.197,3.044275244701213,10.303117292316024,720,1.2210470164244964
ABLD,2024-10,0.23828667563930014,0.119,0.054,1.539,0.26214555826315417,177.047,0.07,0.119,0.2665,2.013724128284658,3.9698839753694593,743,1.1001268012986583
ABLD,2024-11,0.22492083333333335,0.128,0.051,1.741,0.2355625955497053,161.943,0.06575,0.128,0.26875000000000004,2.1523710023635076,5.653937570278689,720,1.047313368257892
ABLD,2024-12,0.23889919354838712,0.144,0.039,1.855,0.25478291353152516,177.741,0.06775,0.144,0.277,2.2363304495324168,5.737514651939206,744,1.0664871226529316
ABLD,2025-01,0.23813575268817205,0.109,0.031,1.488,0.27162202899228866,177.173,0.062,0.109,0.30725,1.9113164077476192,3.452857802958868,744,1.1406184326633446
ABLD,2025-02,0.21338095238095237,0.085,0.042,2.005,0.26786148319999664,143.392,0.058,0.085,0.228,2.5042586505705486,7.372067090984871,672,1.255320497031897
ABLD,2025-03,0.23725940860215053,0.13,0.039,1.791,0.27342898358338885,176.521,0.063,0.13,0.26125,2.3601038755444534,6.097195920892865,744,1.1524473789863037
ABLD,2025-04,0.18052916666666666,0.0785,0.0,1.401,0.2151472807556506,129.981,0.061,0.0785,0.194,2.5290808983575803,6.962701285349437,720,1.1917591197487973
ABLD,2025-05,0.24279301075268817,0.1315,0.052,1.838,0.25115296482646793,180.638,0.074,0.1315,0.33125000000000004,2.1558181166935553,6.189570825427634,744,1.0344324329924608
