hogar,month_year,mean,median,min,max,std,sum,p25,p50,p75,skew,kurt,n_obs,cv
ABLD,2025-06,0.2262517385257302,0.121,0.062,1.39,0.23462836564583628,162.675,0.078,0.121,0.2865,2.1134974440825927,4.468699944061036,719,1.0370234817848856
AJVG,2024-07,0.1516290322580645,0.089,0.032,1.104,0.15271133058299796,112.812,0.066,0.089,0.19,2.9151951382044805,10.183387423443392,744,1.0071378040789143
AJVG,2024-08,0.11677688172043012,0.0755,0.036,1.251,0.12660391155257128,86.882,0.058,0.0755,0.114,4.512227803902073,27.605585125486414,744,1.0841521856669163
AJVG,2024-09,0.1467763888888889,0.068,0.031,2.08,0.1985594749400582,105.679,0.055,0.068,0.153,4.288982871122917,25.820204637221583,720,1.3528025620685464
AJVG,2024-10,0.18252759084791387,0.083,0.03,1.714,0.23469495365848755,135.618,0.054,0.083,0.205,2.9657174760975376,10.402426265047318,743,1.2858053545123527
AJVG,2024-11,0.2577638888888889,0.091,0.028,2.366,0.3609365307400816,185.59,0.049,0.091,0.29025,2.555107521515099,7.817654630931452,720,1.4002602625834297
AJVG,2024-12,0.378008064516129,0.0735,0.027,3.444,0.5398963062192562,281.238,0.044,0.0735,0.5985,2.0186625040746966,4.211620042102002,744,1.4282666347617556
AJVG,2025-01,0.3634637096774193,0.057,0.028,3.691,0.6054412681945763,270.417,0.04,0.057,0.2965,2.3298028819474044,5.253606565338124,744,1.6657543850303969
AJVG,2025-02,0.4497544642857143,0.2085,0.029,3.138,0.5500880250473171,302.235,0.046,0.2085,0.7264999999999999,1.6145973169454026,2.5067010317019047,672,1.223085191429838
AJVG,2025-03,0.33323655913978495,0.0875,0.03,3.199,0.475895959378604,247.928,0.046,0.0875,0.41074999999999995,2.0551839119714765,4.129425559624698,744,1.4281024885357094
AJVG,2025-04,0.1925791666666667,0.0655,0.0,1.886,0.28222955838566,138.657,0.049,0.0655,0.2255,2.9000207821585735,9.062663816243175,720,1.465524870995876
AJVG,2025-05,0.15937903225806452,0.086,0.031,2.056,0.2178228845527096,118.578,0.054,0.086,0.17025,4.077649741343289,20.965129107364675,744,1.3666972465989975
AJVG,2025-06,0.20189847009735742,0.127,0.041,1.766,0.21440295929181555,145.165,0.084,0.127,0.2295,3.247972230173943,13.505852501339252,719,1.0619345415962207
ATF,2024-07,0.18951344086021504,0.126,0.053,1.794,0.21805237824337695,140.998,0.08375,0.126,0.18825,3.5520798161131877,14.410064712300755,744,1.1505905715901819
ATF,2024-08,0.10095698924731182,0.101,0.059,0.302,0.03213385998933448,75.112,0.07,0.101,0.127,0.8319907163992198,3.037154885936432,744,0.3182925741834175
ATF,2024-09,0.15740138888888888,0.127,0.051,0.939,0.12292249669113951,113.329,0.085,0.127,0.178,3.158160140278622,12.638436119049711,720,0.7809492505679964
ATF,2024-10,0.14879946164199193,0.122,0.054,0.903,0.11002728845409913,110.558,0.082,0.122,0.172,3.1783792567570575,13.439997026314163,743,0.739433377244484
ATF,2024-11,0.1365375,0.107,0.042,1.77,0.1339741998053765,98.307,0.06875,0.107,0.147,5.625613069616685,47.90442533963185,720,0.9812264015774165
ATF,2024-12,0.14566801075268818,0.099,0.049,2.233,0.19873138366017698,108.377,0.06,0.099,0.13625,5.960973538658791,45.789970574559845,744,1.3642760866528107
ATF,2025-01,0.12446908602150539,0.0965,0.049,0.917,0.10579692633424924,92.605,0.061,0.0965,0.14125,3.7162035209433015,18.077153332541386,744,0.8499855644153278
ATF,2025-02,0.10872321428571428,0.0885,0.049,1.243,0.09342621049543183,73.062,0.058,0.0885,0.121,6.897137686067759,68.47904206461007,672,0.8593032418073717
ATF,2025-03,0.10138844086021506,0.078,0.048,1.062,0.08581063646506899,75.433,0.058,0.078,0.114,5.838634661456887,47.34482114284972,744,0.8463552229131988
ATF,2025-04,0.11814444444444445,0.104,0.0,0.672,0.07002029288389391,85.06400000000001,0.072,0.104,0.13925,2.5910518757330947,11.878103125566165,720,0.5926668258770292
ATF,2025-05,0.12556586021505378,0.103,0.048,1.273,0.10573818432473996,93.421,0.06875,0.103,0.13825,4.853456029795626,35.631336194321214,744,0.8420934173002486
ATF,2025-06,0.2114923504867872,0.125,0.053,1.358,0.24345103466292928,152.063,0.0985,0.125,0.198,2.8932824685194367,8.180835827066366,719,1.1511103550676112
FJAG,2024-07,0.5635555107526873,0.2565,0.114,4.167,0.7195136546604294,419.2852999999993,0.184,0.2565,0.5357749999999869,2.321662658895169,4.502013705855919,744,1.2767396306700003
FJAG,2024-08,0.5442893817204292,0.2065,0.0290999999999472,4.16,0.7496881790780855,404.9512999999993,0.171,0.2065,0.418,2.239316081933397,3.9016286476797246,744,1.377370575755891
FJAG,2024-09,0.3544831944444431,0.246,0.0530999999999473,4.491,0.35464978922807305,255.227899999999,0.183,0.246,0.40475,5.822756838131998,51.79301015359371,720,1.000469965251501
FJAG,2024-10,0.3196656796769848,0.228,0.086,4.467,0.28213461644924803,237.51159999999967,0.165,0.228,0.357,5.572541785609012,64.5535578025614,743,0.8825927660871787
FJAG,2024-11,0.33938319444444304,0.226,0.07,4.439,0.37236599547360877,244.355899999999,0.149,0.226,0.38025,5.877695005624225,51.97325755111902,720,1.0971845441055421
FJAG,2024-12,0.3597973118279547,0.231,0.083,4.384,0.4019036621382525,267.6891999999983,0.148,0.231,0.41874999999999996,5.16556920701031,38.5152476220579,744,1.1170279736009587
FJAG,2025-01,0.38759623655913794,0.255,0.0720999999999474,4.259,0.4598664674952911,288.37159999999864,0.159,0.255,0.43325,5.032637595609089,33.222868831413344,744,1.1864575145974783
FJAG,2025-02,0.35837976190476023,0.2625,0.0540999999999476,4.041,0.3640321101294608,240.83119999999886,0.15875,0.2625,0.41625,5.034999828019495,39.46666253750377,672,1.0157719515037869
FJAG,2025-03,0.39506061827956773,0.3085,0.0280999999999478,4.216,0.38078987323549135,293.9250999999984,0.1575,0.3085,0.50375,4.98853022759533,40.205824888841235,744,0.9638770751024908
FJAG,2025-04,0.46008194444444445,0.428,0.214,0.888,0.11848635165662813,331.259,0.38075000000000003,0.428,0.52925,1.0087365308322187,0.6309284512788529,720,0.25753314836056457
FJAG,2025-05,0.4094697580645158,0.378,0.074,2.258,0.19631848170209235,304.64549999999974,0.307,0.378,0.4805,3.0493222836146714,18.624032203993615,744,0.4794456192077573
FJAG,2025-06,0.6059577190542408,0.299,0.0210999999999472,3.701,0.7366172685883309,435.68359999999916,0.2085,0.299,0.591,2.1889801397273216,3.6689509458856007,719,1.2156248619755505
FMB,2024-07,0.20467876344086022,0.135,0.024,1.449,0.20038831154297637,152.281,0.059,0.135,0.258,2.253823113243375,6.829302415257839,744,0.9790381189247143
FMB,2024-08,0.17691397849462365,0.0875,0.033,1.065,0.17601057755526345,131.624,0.053,0.0875,0.25025,1.8478531777710954,3.8559736106110734,744,0.9948935581741628
FMB,2024-09,0.17024444444444445,0.1115,0.023,1.569,0.18902128784079517,122.576,0.052,0.1115,0.2185,3.042784658998766,12.276217515823168,720,1.1102934281211045
FMB,2024-10,0.1939986541049798,0.098,0.023,3.138,0.2692187333995917,144.141,0.045,0.098,0.239,4.037065091171564,26.243676241815773,743,1.3877350574499736
FMB,2024-11,0.20355138888888888,0.122,0.023,2.353,0.26840916521283653,146.557,0.04775,0.122,0.237,3.298335241704691,13.884382192823,720,1.3186309692013505
FMB,2024-12,0.266502688172043,0.1335,0.024,2.683,0.3884494559197356,198.278,0.048,0.1335,0.26025,2.7352051040805523,7.779305024496388,744,1.4575817549313759
FMB,2025-01,0.2801008064516129,0.1685,0.024,2.537,0.37821010674566935,208.395,0.051,0.1685,0.28325,2.6044451054216555,7.259739196660886,744,1.3502642549906572
FMB,2025-02,0.1998735119047619,0.126,0.025,1.852,0.25234636100868335,134.315,0.05,0.126,0.242,3.4469029960470086,14.546313054510563,672,1.2625302802950915
FMB,2025-03,0.21726612903225806,0.1635,0.025,2.145,0.2536450432187938,161.646,0.05775,0.1635,0.261,3.346632590254585,14.729514875818683,744,1.1674394179551772
FMB,2025-04,0.2139402777777778,0.1265,0.0,1.734,0.26021158725503846,154.037,0.04975,0.1265,0.26125,2.8190679772062097,9.668100402636528,720,1.216281431238129
FMB,2025-05,0.19110349462365592,0.1295,0.022,1.291,0.2062158215276812,142.181,0.056,0.1295,0.234,2.405705620983353,6.673189700697703,744,1.0790792807519627
FMB,2025-06,0.2631682892906815,0.142,0.034,1.439,0.28306035616557945,189.218,0.067,0.142,0.2925,1.6621680865145745,1.9245205021399432,719,1.0755868684958707
GPC,2024-07,0.1547741935483871,0.1235,0.025,1.1,0.13509646652865406,115.152,0.085,0.1235,0.173,3.3686947474455122,13.453309736021314,744,0.872861705374797
GPC,2024-08,0.13180913978494624,0.095,0.03,2.132,0.1387672358935505,98.066,0.069,0.095,0.13225,5.939710564012821,62.59506353967248,744,1.052789177745616
GPC,2024-09,0.1686875,0.0995,0.026,1.379,0.19508118451062773,121.455,0.066,0.0995,0.163,2.731142290519294,7.974883082453198,720,1.1564649693108722
GPC,2024-10,0.1692422611036339,0.093,0.026,1.688,0.20751658392794323,125.747,0.0625,0.093,0.179,3.1758896274765553,12.180508463488168,743,1.2261510959184858
GPC,2024-11,0.196675,0.1045,0.028,1.567,0.23285908741062242,141.606,0.067,0.1045,0.214,2.5956678173726333,7.6776289317736595,720,1.1839790894146305
GPC,2024-12,0.20446505376344087,0.104,0.026,1.691,0.2567724904118402,152.122,0.066,0.104,0.20825,2.646859500789366,7.679837666385639,744,1.2558258034104803
GPC,2025-01,0.18746505376344086,0.097,0.027,1.973,0.22857820562189837,139.474,0.06,0.097,0.19625,2.8202983935134895,10.503509113686874,744,1.2193110184169982
GPC,2025-02,0.18517261904761906,0.098,0.028,1.853,0.23218703589272052,124.436,0.057,0.098,0.193,2.9915673951838064,11.12602713894758,672,1.2538950795582322
GPC,2025-03,0.18331989247311825,0.0945,0.028,2.236,0.24431187145209413,136.39,0.058,0.0945,0.181,3.595740908946211,17.987906768335318,744,1.332707913779295
GPC,2025-04,0.1455611111111111,0.08,0.0,1.721,0.19991671879102857,104.804,0.054,0.08,0.128,3.593421227257984,16.22517565020015,720,1.3734212198918034
GPC,2025-05,0.15135752688172044,0.1055,0.027,1.616,0.15663384060931249,112.61,0.068,0.1055,0.15925,3.7392923082770286,21.867482053296065,744,1.0348599361808763
GPC,2025-06,0.1627663421418637,0.126,0.031,1.257,0.133892250496465,117.029,0.08549999999999999,0.126,0.186,2.9141949257422883,12.107676044648803,719,0.8226040392292366
JACL,2024-07,0.2684784946236559,0.129,0.036,1.322,0.32089539445157844,199.748,0.069,0.129,0.276,1.6167682996939774,1.2650921414007419,744,1.1952368658107935
JACL,2024-08,0.2636129032258065,0.137,0.036,1.385,0.3014864129977441,196.12800000000001,0.076,0.137,0.29574999999999996,1.6665483359090791,1.60895964986908,744,1.1436709254686814
JACL,2024-09,0.11303194444444443,0.093,0.035,1.245,0.10484099003881826,81.383,0.06175,0.093,0.137,5.294237719551826,38.49956908108206,720,0.9275341634978946
JACL,2024-10,0.10446164199192462,0.094,0.036,1.281,0.07925228964183136,77.615,0.064,0.094,0.129,7.238065549852412,86.49322346540507,743,0.758673596648595
JACL,2024-11,0.11019999999999999,0.099,0.035,0.716,0.0779775403633165,79.344,0.064,0.099,0.13125,3.6009876486494297,19.236615502189494,720,0.7076001847850862
JACL,2024-12,0.11468817204301075,0.097,0.036,0.864,0.08536308058012652,85.328,0.07,0.097,0.1325,3.9799951416555843,22.722097967482945,744,0.7443058779253484
JACL,2025-01,0.11995161290322581,0.102,0.035,1.203,0.1061090011826732,89.244,0.074,0.102,0.135,5.691607498856969,43.61664732930129,744,0.884598369413169
JACL,2025-02,0.11123958333333334,0.097,0.036,1.229,0.091174097125836,74.753,0.066,0.097,0.134,6.331752957540549,58.554604233115384,672,0.8196191894447286
JACL,2025-03,0.11355510752688172,0.101,0.035,1.584,0.09668882627255439,84.485,0.065,0.101,0.137,7.7875570253999085,94.95689278012306,744,0.8514705183971174
JACL,2025-04,0.11130416666666666,0.096,0.0,1.249,0.08879393083029301,80.139,0.066,0.096,0.132,5.927579579364948,55.61271360565165,720,0.7977592707397269
JACL,2025-05,0.10825,0.0935,0.036,0.953,0.08380305615385862,80.538,0.064,0.0935,0.132,5.563975725991975,46.68387917115059,744,0.7741621815598949
JACL,2025-06,0.2935368567454798,0.133,0.036,1.34,0.3478456553743458,211.053,0.075,0.133,0.3855,1.4782027926906194,0.7746210848162836,719,1.1850152625840649
JALG,2024-07,0.2852432795698925,0.178,0.071,1.605,0.2608480242302314,212.221,0.122,0.178,0.347,2.0571308574254643,3.877961752878064,744,0.9144756175274462
JALG,2024-08,0.22927553763440858,0.139,0.07,1.482,0.2412045269936715,170.581,0.08574999999999999,0.139,0.247,2.549164954728557,6.4743724320390434,744,1.0520290541343504
JALG,2024-09,0.24475694444444443,0.1505,0.059,1.528,0.22784158193961862,176.225,0.085,0.1505,0.306,2.0756622480477254,4.792009391414703,720,0.9308891417025134
JALG,2024-10,0.2753310901749664,0.176,0.055,1.633,0.26603610842567266,204.571,0.083,0.176,0.348,1.9767510309957774,4.270335100351271,743,0.9662407113436156
JALG,2024-11,0.2855888888888889,0.1945,0.057,1.487,0.2506104377942945,205.624,0.11475,0.1945,0.37424999999999997,1.8396057440882694,3.6495897401996684,720,0.8775216667893437
JALG,2024-12,0.31666263440860215,0.225,0.053,1.67,0.2589430070823944,235.597,0.135,0.225,0.414,1.680659540702286,2.786705690962065,744,0.8177251716673024
JALG,2025-01,0.313130376344086,0.2355,0.047,1.644,0.25208408933039084,232.969,0.138,0.2355,0.40225,1.9130148277819954,4.332215353545461,744,0.8050451453275362
JALG,2025-02,0.3181636904761905,0.219,0.032,2.34,0.27382648675675875,213.806,0.138,0.219,0.39675000000000005,2.248983788190191,7.344175183134359,672,0.8606465632421068
JALG,2025-03,0.30151478494623657,0.2085,0.05,1.888,0.26242042397599,224.327,0.13,0.2085,0.36724999999999997,2.1621142961562962,5.5649863661983225,744,0.8703401527151728
JALG,2025-04,0.26745555555555556,0.1775,0.0,1.604,0.23659331896372796,192.568,0.13,0.1775,0.312,2.3902838139970717,6.733130655474882,720,0.884607980837336
JALG,2025-05,0.30106451612903223,0.2005,0.066,1.822,0.2634664172766719,223.992,0.136,0.2005,0.38125,2.202058370082815,5.771833929219815,744,0.8751161401025211
JALG,2025-06,0.29992489568845615,0.196,0.075,1.649,0.2675694998470906,215.646,0.142,0.196,0.335,2.2122270889362765,4.756584121327687,719,0.8921216734372915
JLG,2024-07,0.21955779569892472,0.0775,0.042,1.648,0.27118441058089277,163.351,0.055,0.0775,0.2525,2.0071884576488146,3.904876358338951,744,1.2351390654001764
JLG,2024-08,0.21647983870967744,0.104,0.039,1.456,0.2403176948927695,161.061,0.064,0.104,0.3025,2.085959871249191,4.626124952709202,744,1.1101158256823223
JLG,2024-09,0.11740277777777777,0.081,0.043,1.1,0.10776803241256522,84.53,0.056,0.081,0.146,4.168881108377348,24.350771331260198,720,0.9179342640133321
JLG,2024-10,0.11838896366083444,0.08,0.035,1.34,0.1296675959158483,87.963,0.052,0.08,0.141,4.754464197299872,29.882523870503924,743,1.0952675984843094
JLG,2024-11,0.13918194444444446,0.0995,0.037,1.058,0.1432449547411733,100.211,0.057,0.0995,0.161,3.480024794351442,14.118978043985766,720,1.029192078850074
JLG,2024-12,0.15069086021505376,0.1035,0.039,2.256,0.18698048673515813,112.114,0.052,0.1035,0.16025,4.478901925596213,29.838713728394197,744,1.2408216826708318
JLG,2025-01,0.14034005376344086,0.099,0.035,1.303,0.16255725139683225,104.413,0.049,0.099,0.159,3.7954911505705535,17.32741960715949,744,1.1583097415000354
JLG,2025-02,0.12933035714285715,0.094,0.038,1.186,0.13220864071855223,86.91,0.052,0.094,0.155,3.9178477738932886,19.567272926096898,672,1.0222552820488677
JLG,2025-03,0.13681048387096775,0.094,0.041,1.253,0.1559240863288207,101.787,0.052,0.094,0.158,4.028695924020019,19.196985198503928,744,1.1397086094358082
JLG,2025-04,0.11555555555555556,0.066,0.0,1.28,0.14083122884421484,83.2,0.048,0.066,0.137,4.247471987984441,21.918572639838498,720,1.218731788074936
JLG,2025-05,0.1197002688172043,0.076,0.041,1.078,0.12762046355751727,89.057,0.054,0.076,0.14,3.922000136112163,17.96772789185165,744,1.066166891842223
JLG,2025-06,0.2870806675938804,0.132,0.046,1.637,0.3041208053319689,206.411,0.065,0.132,0.5005,1.474500444727965,1.6969378962436714,719,1.0593566187542602
JMM,2024-07,0.38698655913978497,0.2315,0.08,5.298,0.6612740037450889,287.918,0.14075,0.2315,0.395,5.295601465838996,29.34177178867118,744,1.7087777033264546
JMM,2024-08,0.30800940860215054,0.2315,0.073,5.359,0.37659305934579956,229.159,0.13775,0.2315,0.361,7.994608794090168,88.07131600404172,744,1.222667388814207
JMM,2024-09,0.21155138888888889,0.167,0.067,1.398,0.16957986248853024,152.317,0.116,0.167,0.236,3.678638833899018,17.4663596839189,720,0.8016012722922705
JMM,2024-10,0.23492059219380887,0.175,0.07,2.097,0.24698059745410417,174.546,0.115,0.175,0.2465,4.29140826014266,22.0409927577231,743,1.051336518215252
JMM,2024-11,0.2690888888888889,0.2,0.069,2.297,0.27266973586283666,193.744,0.118,0.2,0.28225,3.415631043349475,13.73299414592988,720,1.0133073014970395
JMM,2024-12,0.29104838709677416,0.2165,0.064,1.856,0.2532353031986051,216.54,0.142,0.2165,0.33075,2.6633089269646044,8.57342416172907,744,0.8700797339048777
JMM,2025-01,0.2716572580645161,0.217,0.063,2.093,0.23248599026028086,202.113,0.13275,0.217,0.312,3.161837500584295,13.410275325646172,744,0.8558062903111079
JMM,2025-02,0.2484017857142857,0.191,0.067,2.036,0.24132223795236646,166.926,0.11675,0.191,0.274,3.9262877962734044,19.20830050892064,672,0.9714996100307338
JMM,2025-03,0.27860215053763443,0.1985,0.062,2.256,0.2837541640596841,207.28,0.126,0.1985,0.291,3.523418868387058,15.362673579539212,744,1.018492368103073
JMM,2025-04,0.2731958333333333,0.187,0.0,1.783,0.26342150495602323,196.701,0.117,0.187,0.28525,2.595811396792329,7.387549655932624,720,0.9642222640878122
JMM,2025-05,0.24122043010752686,0.1635,0.077,1.655,0.23265004376967735,179.468,0.102,0.1635,0.24625,2.7456371822521493,8.590109529460944,744,0.964470727732186
JMM,2025-06,0.33495271210013905,0.214,0.087,4.885,0.5377615531175847,240.831,0.1555,0.214,0.3015,6.100796000643431,40.88374001832112,719,1.6054849944215794
LFZA,2024-07,0.1754556451612903,0.1355,0.014,1.28,0.14124995044623448,130.539,0.084,0.1355,0.232,2.579230251212927,11.607851256983647,744,0.8050464852036439
LFZA,2024-08,0.12371236559139785,0.09,0.022,1.087,0.12168717724823813,92.042,0.05575,0.09,0.125,3.408736368437253,16.150855689733227,744,0.9836298632438362
LFZA,2024-09,0.10702361111111111,0.083,0.0,1.386,0.14492087236497433,77.057,0.055,0.083,0.101,5.950179772738569,41.7081094405149,720,1.3541018739735717
LFZA,2024-10,0.1236621803499327,0.091,0.012,1.264,0.13670185260541207,91.881,0.066,0.091,0.132,4.509123864313098,25.64975080365189,743,1.10544591902375
LFZA,2024-11,0.1419875,0.107,0.015,1.443,0.15943437437474714,102.231,0.071,0.107,0.15025,4.886797265171102,29.970166999219956,720,1.122876129058876
LFZA,2024-12,0.13778360215053762,0.101,0.014,1.91,0.16258275523993349,102.511,0.07575,0.101,0.13725,5.501889376154213,40.04068519178766,744,1.1799862443885099
LFZA,2025-01,0.14805779569892474,0.106,0.015,1.899,0.2019451390488122,110.155,0.077,0.106,0.135,5.22468541345342,30.79687252008096,744,1.36396154012361
LFZA,2025-02,0.14292113095238096,0.104,0.016,2.596,0.20954883342926428,96.043,0.075,0.104,0.13425,7.123537961113813,61.658935000549405,672,1.4661851052597856
LFZA,2025-03,0.1574032258064516,0.1115,0.009,1.525,0.18503853235275045,117.108,0.077,0.1115,0.151,4.0806706999158475,19.364305653360663,744,1.175570140984786
LFZA,2025-04,0.15893055555555557,0.1045,0.0,1.785,0.2206170652247859,114.43,0.069,0.1045,0.149,4.411185288198617,22.09908754633886,720,1.3881349904906566
LFZA,2025-05,0.14305913978494622,0.106,0.009,1.51,0.15710999223675062,106.43599999999999,0.074,0.106,0.14625,4.083810357616376,21.336513351884374,744,1.0982170903091293
LFZA,2025-06,0.30895827538247567,0.131,0.009,1.78,0.33071699509877156,222.141,0.0835,0.131,0.566,1.2329129833359123,0.48094373381990074,719,1.070426078373721
MANA,2024-07,0.44556317204301077,0.166,0.045,2.531,0.5890388309114716,331.499,0.103,0.166,0.40025,1.7903098125500274,1.8269828195718896,744,1.3220096899180234
MANA,2024-08,0.4163319892473118,0.158,0.057,2.551,0.5618099703615562,309.751,0.104,0.158,0.3595,1.9018462953091735,2.198259084015466,744,1.3494278241200122
MANA,2024-09,0.25182777777777776,0.162,0.054,2.109,0.24390950191495459,181.316,0.10775,0.162,0.29925,3.0865051738020948,13.44018324924119,720,0.9685567814134842
MANA,2024-10,0.2308102288021534,0.152,0.057,1.416,0.20181133353374864,171.492,0.103,0.152,0.2905,2.3851958801502207,7.138257143991069,743,0.8743604413942064
MANA,2024-11,0.2513958333333333,0.16,0.054,1.887,0.23146035803146864,181.005,0.107,0.16,0.317,2.557957347011962,8.707302899544322,720,0.9207008523668265
MANA,2024-12,0.26943817204301074,0.1615,0.052,2.011,0.2752160368987185,200.462,0.111,0.1615,0.319,2.7734035427234285,9.436953820026632,744,1.0214441213429306
MANA,2025-01,0.2670510752688172,0.198,0.054,2.276,0.23621534777346984,198.686,0.117,0.198,0.337,3.0533799347531274,14.603230419446362,744,0.8845324720587336
MANA,2025-02,0.2660327380952381,0.20400000000000001,0.055,2.119,0.2272402278037122,178.774,0.118,0.20400000000000001,0.32425000000000004,2.796915446128426,12.343348495140598,672,0.8541814418433027
MANA,2025-03,0.2783629032258065,0.207,0.054,1.871,0.2410139416621863,207.102,0.124,0.207,0.339,2.43058097976786,7.914443332514946,744,0.8658263686331691
MANA,2025-04,0.24098055555555556,0.17,0.0,1.504,0.20792441297958178,173.506,0.104,0.17,0.303,2.4445142320540993,8.242521309479509,720,0.8628265151942808
MANA,2025-05,0.22356317204301074,0.165,0.054,1.57,0.186215591023941,166.331,0.104,0.165,0.28225,2.732376222672654,11.029900343224329,744,0.8329439474410189
MANA,2025-06,0.3672781641168289,0.28,0.062,2.523,0.3461818004336731,264.073,0.194,0.28,0.3875,3.6551198188168676,14.028813751303254,719,0.9425602561102838
MBGV,2024-07,0.15974327956989248,0.101,0.068,1.571,0.1530374384230274,118.849,0.086,0.101,0.179,4.641373381333688,30.066171672102747,744,0.9580211376345814
MBGV,2024-08,0.1763911290322581,0.094,0.061,1.74,0.20399464663710448,131.235,0.084,0.094,0.153,3.4240777479964524,14.16434344861548,744,1.156490395839568
MBGV,2024-09,0.20187083333333333,0.119,0.057,1.22,0.19655367635269697,145.347,0.082,0.119,0.22675,2.2013760163958875,4.735769888966812,720,0.9736605982506816
MBGV,2024-10,0.2317685060565276,0.137,0.052,1.425,0.2273894452594933,172.204,0.078,0.137,0.281,1.9658346688776145,3.8321543295344043,743,0.9811058850421798
MBGV,2024-11,0.21219027777777777,0.118,0.046,1.202,0.2136067023085482,152.777,0.073,0.118,0.27525,2.018799596339822,4.063522131175193,720,1.0066752564990458
MBGV,2024-12,0.20617204301075268,0.109,0.047,1.828,0.22238033810546573,153.392,0.072,0.109,0.2585,2.60600640585823,9.153783438370295,744,1.0786153877025302
MBGV,2025-01,0.2271465053763441,0.1335,0.044,1.816,0.24150471833558418,168.997,0.074,0.1335,0.266,2.3762506193181525,6.75175501591859,744,1.0632112430497265
MBGV,2025-02,0.20132589285714286,0.108,0.045,1.442,0.21333418586251449,135.291,0.069,0.108,0.24025,2.320751896408654,6.206505542828166,672,1.0596460437102966
MBGV,2025-03,0.20420026881720432,0.1095,0.048,1.867,0.22611157800192921,151.925,0.072,0.1095,0.22825,2.6908064658247453,9.39803143291787,744,1.107303037903145
MBGV,2025-04,0.18209444444444445,0.083,0.0,1.623,0.21125051728678193,131.108,0.072,0.083,0.19825,2.779654874423898,9.287646808300602,720,1.160115114611488
MBGV,2025-05,0.19561155913978495,0.113,0.057,1.881,0.20415323178082784,145.535,0.08075,0.113,0.19825,2.9577239200932866,12.142343285388101,744,1.0436665025247254
MBGV,2025-06,0.1969318497913769,0.12,0.072,1.574,0.20678623138003227,141.594,0.093,0.12,0.1945,3.401598169503581,14.21274446978844,719,1.0500395522567567
MTTA,2024-07,0.448497311827957,0.3,0.0,2.81,0.3816829347920495,333.682,0.167,0.3,0.7084999999999999,2.0214501855082587,6.73813118754329,744,0.8510261371164307
MTTA,2024-08,0.3530147849462366,0.1615,0.0,3.446,0.45558585600330415,262.64300000000003,0.083,0.1615,0.41274999999999995,2.9863624602444867,11.366067608312559,744,1.290557436773332
MTTA,2024-09,0.25980555555555557,0.1895,0.058,2.095,0.25061947943837243,187.06,0.095,0.1895,0.287,2.6424929215582003,9.161137252176987,720,0.964642495432632
MTTA,2024-10,0.2727940780619112,0.223,0.06,1.508,0.20784606933091598,202.686,0.1235,0.223,0.317,1.96058707311905,4.758254393676259,743,0.7619156207773135
MTTA,2024-11,0.27468750000000003,0.216,0.062,1.732,0.21232013475175027,197.775,0.12575,0.216,0.3345,2.0436034001110595,5.505142067648212,720,0.7729515713374298
MTTA,2024-12,0.3507096774193548,0.224,0.032,3.227,0.37659858157250925,260.928,0.123,0.224,0.4025,2.8251893478025756,10.540178485997966,744,1.073818619274079
MTTA,2025-01,0.30738037634408605,0.221,0.054,2.283,0.2829256719932035,228.691,0.129,0.221,0.348,2.687604382564267,9.973737129597403,744,0.9204415563487124
