hogar,PC1,PC2,PC3,PC4
ABLD_Consumos_2023-02_2025-06,-0.3092334455467338,1.1867134119271787,-0.30522839985627465,-1.4803224566170003
AJVG_Consumos_2023-01_2024-06,3.9647304125778593,-0.748712984607197,-0.8967248227707145,0.6340558538674259
ATF_Consumos_2024-03_2024-06,-2.4091431261306755,-0.34236675983253556,0.48586475510113825,-0.3154505918208889
FMB_Consumos_2023-03_2025-06,-0.525708639723515,0.3442412600220485,1.1207027291055103,0.34059062571738025
GPC_Consumos_2023-01_2024-06,0.5239704606280965,0.8245799039622373,-0.20666115078919495,-0.12387473917666993
JACL_Consumos_2023-01_2024-06,-2.310183776624915,-2.2734756354488956,-0.25339348238991083,0.010780816082328002
JALG_Consumos_2023-01_2024-06,-0.32661032810191637,1.2058936015789088,-0.10877846852502507,-0.4645654691906841
JLG_Consumos_2023-01_2024-06,-1.474649771004923,-1.9112407310376383,-0.41450028041692943,-0.2665548582844819
JMM_Consumos_2023-01_2024-06,-1.0308850515378387,0.9151479179110421,0.16307099312956613,0.7461347459097857
LFZA_Consumos_2023-01_2024-06,-2.0728667469163615,-0.8047334453711272,-0.214060613467004,0.5592122164434616
MANA_Consumos_2023-01_2024-06,-0.5236799529518406,-0.046846501486457776,-0.3080012785206845,0.41137886805687274
MBGV_Consumos_2023-01_2024-06,-0.22738685398446798,1.1471566737700116,0.3005452667926178,-0.3498870584050065
MJS_Consumos_2024-12_2024-06,4.342285856447505,-1.5166470890947281,1.638673338367897,-0.6454235939337339
MTTA_Consumos_2023-02_2025-06,-1.0257207926260332,0.030872423737280958,-0.20939428418380854,-0.4009510059697305
PAA_Consumos_2023-01_2024-06,1.1154743046607407,-0.49018694329808893,0.3056518462647516,0.5512080599080673
RFM_Consumos_2023-01_2024-06,2.2535138712389324,0.5272428300307672,-1.760407915237085,-0.08815045019416297
RTF_Consumos_2023-01_2024-06,0.03609357959608894,1.9523620672371913,0.6626417673951501,0.8818190376070374
