hogar,cluster
ABLD,1
AJVG,4
ATF,0
FJAG,3
FMB,1
GPC,1
JACL,0
JALG,4
JLG,0
JMM,3
LFZA,1
MANA,3
MBGV,1
MTTA,2
PAA,4
RFM,0
RTF,3
