,0,1,2
media_consumo,0.1578138736263736,0.2569499771062271,0.398442788461538
std_consumo,0.18602133178550734,0.2977315259471047,0.5142510556723893
min_consumo,0.026857142857142857,0.04257142857142858,0.043033333333315736
max_consumo,1.7639999999999998,2.3365714285714287,4.259666666666667
percentil_25_consumo,0.06799999999999999,0.08907142857142857,0.12591666666666668
percentil_50_consumo,0.09999999999999999,0.1435,0.22716666666666666
percentil_75_consumo,0.15803571428571428,0.28585714285714287,0.455
promedio_por_dia,0.15781387362637359,0.2569499771062271,0.398442788461538
consumo_medio_diario,3.787532967032967,6.16679945054945,9.562626923076914
Mañana,0.14400824175824173,0.19804670329670326,0.281059455128205
Mediodia,0.2074065934065934,0.3886185897435897,0.6025041666666662
Tarde,0.177668956043956,0.2919052197802197,0.5432762820512816
Noche,0.1690226648351648,0.26098008241758236,0.42672596153846154
Madrugada,0.0967156593406593,0.13855998168498165,0.15722585470085387
sum_consumo,196.9517142857143,320.67357142857145,497.2565999999995
Sábado,0.1578138736263736,0.2569499771062271,0.398442788461538
Fin de semana,0.1578138736263736,0.2569499771062271,0.398442788461538
s_Mañana,29.953714285714284,41.193714285714286,58.46036666666665
s_Mediodia,64.71085714285714,121.249,187.98129999999983
s_Tarde,36.95514285714285,60.71628571428572,113.0014666666666
s_Noche,35.15671428571429,54.28385714285714,88.759
s_Madrugada,30.175285714285714,43.230714285714285,49.05446666666643
s_Sábado,196.9517142857143,320.67357142857145,497.2565999999995
s_Fin de semana,196.9517142857143,320.67357142857145,497.2565999999995
s_invierno,46.12457142857143,81.83971428571428,111.01213333333327
s_otoño,46.01,74.73928571428571,99.11933333333333
s_primavera,48.78185714285714,81.75857142857144,126.25003333333314
s_verano,56.03528571428571,82.336,160.87509999999978
std_Mañana,0.045693311760979925,0.07963423987495147,0.19734969126029678
std_Mediodia,0.0770710411481925,0.10323339789692416,0.13074854270544603
std_Tarde,0.06529580067457152,0.052223284117480444,0.08214320320016477
std_Noche,0.05746277735826349,0.061975656228616796,0.10253527450089887
std_Madrugada,0.02630748328439037,0.05662465050959177,0.08768318158505621
std_Sábado,0.18602133178550737,0.2977315259471047,0.5142510556723893
std_Fin de semana,0.18602133178550737,0.2977315259471047,0.5142510556723893
std_invierno,0.19628684197377086,0.3080132858104679,0.3953911868911568
std_otoño,0.15874964625016028,0.2674671634017948,0.3279079913652025
std_primavera,0.15604015950709732,0.26197045023731896,0.3356174254046387
std_verano,0.1838559702854898,0.30007391315903575,0.7653053830413462
Enero,14.081428571428571,24.421714285714284,35.99633333333333
Febrero,16.926571428571428,30.989571428571427,42.20079999999993
Marzo,19.43642857142857,31.803142857142856,48.85269999999981
Abril,12.31657142857143,23.151142857142855,38.19133333333333
Mayo,17.02885714285714,26.804285714285715,39.205999999999996
Junio,21.484857142857145,26.619857142857143,61.674333333333344
Julio,16.829285714285714,28.642285714285716,52.849333333333334
Agosto,17.72114285714286,27.073857142857143,46.3514333333331
Septiembre,13.105999999999998,23.499285714285715,25.42233333333333
Octubre,13.354000000000001,21.595000000000002,31.016333333333336
Noviembre,19.55,29.645,42.68066666666667
Diciembre,15.11657142857143,26.428428571428572,32.815
total_mean_consumption,1190.565616175951,1937.7961205549748,3005.7850081773104
