,0,1
media_consumo,0.17597259615384614,0.3341356227106225
std_consumo,0.21795429792423193,0.39278288455759036
min_consumo,0.028500000000000004,0.04715714285713531
max_consumo,1.8820999999999999,3.237428571428571
percentil_25_consumo,0.0656,0.11732142857142858
percentil_50_consumo,0.099,0.19942857142857143
percentil_75_consumo,0.178475,0.38392857142857145
promedio_por_dia,0.1759725961538461,0.33413562271062247
consumo_medio_diario,4.223342307692308,8.019254945054941
Mañana,0.15891490384615378,0.235487706043956
Mediodia,0.24492115384615384,0.5043538919413917
Tarde,0.19610432692307686,0.4222578296703295
Noche,0.18575048076923073,0.3475274725274725
Madrugada,0.0984560897435897,0.16200659340659304
sum_consumo,219.6138,417.00125714285696
Sábado,0.17597259615384614,0.3341356227106225
Fin de semana,0.17597259615384614,0.3341356227106225
s_Mañana,33.0543,48.98144285714285
s_Mediodia,76.4154,157.35841428571422
s_Tarde,40.789699999999996,87.82962857142854
s_Noche,38.6361,72.28571428571429
s_Madrugada,30.7183,50.54605714285704
s_Sábado,219.6138,417.00125714285696
s_Fin de semana,219.6138,417.00125714285696
s_invierno,56.96319999999999,94.16491428571426
s_otoño,52.804899999999996,87.79342857142856
s_primavera,54.3553,106.99715714285706
s_verano,55.4904,128.04575714285704
std_Mañana,0.0647435338520278,0.11741522810173317
std_Mediodia,0.08373446521099058,0.1167188641888927
std_Tarde,0.05768279495747806,0.07031932193858251
std_Noche,0.05674110099694464,0.08232340694877317
std_Madrugada,0.03428765593042753,0.0715282745726812
std_Sábado,0.21795429792423193,0.3927828845575904
std_Fin de semana,0.21795429792423193,0.3927828845575904
std_invierno,0.25040505600502394,0.31603198501612884
std_otoño,0.1962496897589368,0.28639210629570355
std_primavera,0.18925209707126395,0.291486510530313
std_verano,0.1865271385268445,0.5454505639953247
Enero,16.3144,30.623857142857144
Febrero,22.3351,34.09491428571425
Marzo,21.5407,41.404014285714204
Abril,14.4532,31.188
Mayo,18.3614,34.405142857142856
Junio,20.9139,44.65957142857143
Julio,16.694200000000002,44.27242857142857
Agosto,17.8823,39.11375714285704
Septiembre,14.6457,26.578142857142858
Octubre,15.893,25.53742857142857
Noviembre,22.266199999999998,35.67785714285714
Diciembre,18.3137,29.446142857142856
total_mean_consumption,1327.5213410735184,2520.096252987604
