hogar,cluster
ABLD,0
AJVG,0
ATF,0
FJAG,3
FMB,0
GPC,0
JACL,0
JALG,1
JLG,0
JMM,2
LFZA,0
MANA,1
MBGV,0
MTTA,1
PAA,2
RFM,0
RTF,1
