,0,1,2
media_consumo,0.17597259615384614,0.28590524839743586,0.398442788461538
std_consumo,0.21795429792423193,0.30168175622149124,0.5142510556723893
min_consumo,0.028500000000000004,0.05025,0.043033333333315736
max_consumo,1.8820999999999999,2.47075,4.259666666666667
percentil_25_consumo,0.0656,0.110875,0.12591666666666668
percentil_50_consumo,0.099,0.178625,0.22716666666666666
percentil_75_consumo,0.178475,0.330625,0.455
promedio_por_dia,0.1759725961538461,0.28590524839743586,0.398442788461538
consumo_medio_diario,4.223342307692308,6.861725961538461,9.562626923076914
Mañana,0.15891490384615378,0.2013088942307692,0.281059455128205
Mediodia,0.24492115384615384,0.4307411858974359,0.6025041666666662
Tarde,0.19610432692307686,0.33149399038461536,0.5432762820512816
Noche,0.18575048076923073,0.2881286057692307,0.42672596153846154
Madrugada,0.0984560897435897,0.1655921474358974,0.15722585470085387
sum_consumo,219.6138,356.80975,497.2565999999995
Sábado,0.17597259615384614,0.28590524839743586,0.398442788461538
Fin de semana,0.17597259615384614,0.28590524839743586,0.398442788461538
s_Mañana,33.0543,41.87225,58.46036666666665
s_Mediodia,76.4154,134.39125,187.98129999999983
s_Tarde,40.789699999999996,68.95075,113.0014666666666
s_Noche,38.6361,59.93075,88.759
s_Madrugada,30.7183,51.66475,49.05446666666643
s_Sábado,219.6138,356.80975,497.2565999999995
s_Fin de semana,219.6138,356.80975,497.2565999999995
s_invierno,56.96319999999999,81.5295,111.01213333333327
s_otoño,52.804899999999996,79.299,99.11933333333333
s_primavera,54.3553,92.5575,126.25003333333314
s_verano,55.4904,103.42375,160.87509999999978
std_Mañana,0.0647435338520278,0.05746438073281045,0.19734969126029678
std_Mediodia,0.08373446521099058,0.1061966053014777,0.13074854270544603
std_Tarde,0.05768279495747806,0.0614514109923958,0.08214320320016477
std_Noche,0.05674110099694464,0.0671645062846789,0.10253527450089887
std_Madrugada,0.03428765593042753,0.05941209431339995,0.08768318158505621
std_Sábado,0.21795429792423193,0.30168175622149124,0.5142510556723893
std_Fin de semana,0.21795429792423193,0.30168175622149124,0.5142510556723893
std_invierno,0.25040505600502394,0.25651258360985785,0.3953911868911568
std_otoño,0.1962496897589368,0.2552551924935794,0.3279079913652025
std_primavera,0.18925209707126395,0.2583883243745687,0.3356174254046387
std_verano,0.1865271385268445,0.3805594497108086,0.7653053830413462
Enero,16.3144,26.5945,35.99633333333333
Febrero,22.3351,28.0155,42.20079999999993
Marzo,21.5407,35.817499999999995,48.85269999999981
Abril,14.4532,25.935499999999998,38.19133333333333
Mayo,18.3614,30.804499999999997,39.205999999999996
Junio,20.9139,31.8985,61.674333333333344
Julio,16.694200000000002,37.839749999999995,52.849333333333334
Agosto,17.8823,33.6855,46.3514333333331
Septiembre,14.6457,27.445,25.42233333333333
Octubre,15.893,21.428250000000002,31.016333333333336
Noviembre,22.266199999999998,30.42575,42.68066666666667
Diciembre,18.3137,26.9195,32.815
total_mean_consumption,1327.5213410735184,2155.829686595324,3005.7850081773104
