hour,0,1,2,3
0,0.12692222222222221,0.10394166666666667,0.3115074074074074,0.20424911111111102
1,0.10729555555555556,0.09142777777777777,0.2430111111111111,0.15306488888888864
2,0.08779333333333332,0.083325,0.2124518518518519,0.13087155555555535
3,0.08659999999999998,0.06886944444444444,0.17287037037037037,0.11167377777777754
4,0.07968444444444445,0.07213055555555556,0.13127407407407407,0.10138711111111087
5,0.08156,0.072425,0.1285925925925926,0.10536666666666668
6,0.08253333333333333,0.11183611111111111,0.13546296296296298,0.20656444444444447
7,0.09516,0.19404444444444444,0.18504814814814816,0.4599733333333333
8,0.12851333333333334,0.2549027777777778,0.23168888888888892,0.37444288888888855
9,0.14116,0.24725277777777777,0.24270370370370373,0.3828524444444438
10,0.15483555555555556,0.26200555555555555,0.27247777777777776,0.3897593333333325
11,0.14236222222222222,0.23205833333333334,0.29421111111111115,0.4230708888888879
12,0.14638444444444443,0.2691222222222222,0.35833333333333334,0.4900777777777766
13,0.17429333333333336,0.3525083333333333,0.47007407407407403,0.4721433333333316
14,0.23742666666666667,0.3598222222222222,0.4411703703703704,0.547901999999999
15,0.1600022222222222,0.28153055555555556,0.36547407407407406,0.4334435555555548
16,0.1503977777777778,0.2694388888888889,0.2740296296296296,0.36512977777777733
17,0.1463511111111111,0.24343611111111113,0.2919,0.3844693333333331
18,0.15549555555555555,0.26963611111111113,0.3206111111111111,0.45802444444444446
19,0.1577688888888889,0.3641666666666667,0.3088111111111111,0.5910466666666666
20,0.19486222222222221,0.43595555555555554,0.3497333333333333,0.62022
21,0.16896666666666665,0.3123861111111111,0.3953740740740741,0.6334644444444445
22,0.15206222222222224,0.20083333333333334,0.42017777777777776,0.5105844444444444
23,0.1354177777777778,0.16085,0.2883740740740741,0.3518688888888889
total_mean_consumption,3.2938488888888884,5.313905555555555,6.845362962962963,8.901651111111102
