hour,0,1,2
0,0.11762361111111111,0.26097777777777775,0.20424911111111102
1,0.09973888888888889,0.20832777777777778,0.15306488888888864
2,0.08575138888888889,0.1809027777777778,0.13087155555555535
3,0.07906527777777778,0.14864166666666667,0.11167377777777754
4,0.07612083333333333,0.11795,0.10138711111111087
5,0.07829722222222221,0.11422500000000001,0.10536666666666668
6,0.09115416666666666,0.13429166666666667,0.20656444444444447
7,0.14475416666666668,0.1622722222222222,0.4599733333333333
8,0.17716666666666667,0.23497777777777779,0.37444288888888855
9,0.17438472222222223,0.2569611111111111,0.3828524444444438
10,0.18419166666666667,0.291525,0.3897593333333325
11,0.16142777777777778,0.3078138888888889,0.4230708888888879
12,0.17330555555555555,0.37424166666666664,0.4900777777777766
13,0.22057361111111112,0.48178333333333334,0.4721433333333316
14,0.29146944444444445,0.4045444444444445,0.547901999999999
15,0.20199166666666668,0.35165555555555555,0.4334435555555548
16,0.18919027777777778,0.28457777777777776,0.36512977777777733
17,0.16679583333333334,0.31170833333333337,0.3844693333333331
18,0.18168055555555557,0.34110277777777775,0.45802444444444446
19,0.22329861111111113,0.34638888888888886,0.5910466666666666
20,0.3000541666666667,0.341725,0.62022
21,0.23235416666666667,0.3554166666666667,0.6334644444444445
22,0.17144722222222222,0.36315,0.5105844444444444
23,0.14239861111111113,0.2616055555555556,0.3518688888888889
total_mean_consumption,3.964236111111111,6.636766666666667,8.901651111111102
