hour,0,1,2,3,4
0,0.11330362318840578,0.19281739130434783,0.2929927536231884,0.26684927536231884,0.25307608695652173
1,0.10114130434782609,0.14718623188405797,0.48682246376811594,0.1844840579710145,0.19156521739130433
2,0.09106340579710145,0.11862898550724636,0.44172101449275364,0.14717173913043477,0.14689130434782607
3,0.08512271062271062,0.09985347985347985,0.3311868131868132,0.1350139194139194,0.13949999999999999
4,0.07865942028985508,0.09346159420289854,0.26283695652173916,0.11460724637681159,0.14297282608695652
5,0.07548876811594203,0.0869123188405797,0.1443840579710145,0.10209420289855073,0.1386358695652174
6,0.07583079710144927,0.08605942028985507,0.15092391304347827,0.10311594202898551,0.13719565217391305
7,0.08228768115942028,0.10954782608695653,0.2014057971014493,0.14320869565217392,0.22211413043478262
8,0.13502355072463768,0.25080652173913043,0.23595289855072465,0.25991086956521736,0.2640163043478261
9,0.13896159420289855,0.23574927536231885,0.21672826086956523,0.2387913043478261,0.24928804347826086
10,0.14799166666666666,0.19712536231884056,0.2386702898550725,0.25946884057971015,0.289875
11,0.13366920289855072,0.21202971014492755,0.2331702898550725,0.27893913043478263,0.4256956521739131
12,0.12636485507246378,0.21868768115942028,0.23823550724637682,0.2907702898550725,0.6705760869565217
13,0.12767608695652174,0.21919927536231887,0.23663405797101447,0.32861159420289854,0.8753097826086956
14,0.16896702898550725,0.25288333333333335,0.30734420289855074,0.4600311594202898,0.7179945652173912
15,0.23604202898550725,0.2754586956521739,0.3143623188405797,0.48198478260869565,0.5360054347826086
16,0.16741594202898552,0.23431739130434784,0.2733224637681159,0.3470297101449275,0.4674728260869565
17,0.13780217391304347,0.228818115942029,0.19910507246376813,0.27351521739130435,0.44350543478260873
18,0.12300579710144928,0.22232608695652173,0.1986521739130435,0.2778463768115942,0.41005978260869563
19,0.12315760869565218,0.2119753623188406,0.19747826086956521,0.26614202898550726,0.47372282608695654
20,0.1360373188405797,0.25545797101449275,0.19907246376811596,0.27016304347826087,0.5907119565217391
21,0.18749601449275363,0.3115514492753623,0.1841304347826087,0.3808702898550725,0.48420108695652175
22,0.17149963768115942,0.29407753623188404,0.24197826086956523,0.5108862318840579,0.3992934782608696
23,0.13598297101449275,0.24232753623188405,0.4292644927536232,0.37695289855072467,0.41636413043478265
total_mean_consumption,3.0999911888835805,4.797258552317247,6.256375218983914,6.49845884695015,9.08604347826087
