hour,0,1,2
0,0.15706639633467562,0.30716216678058783,0.2512114285714286
1,0.12311155765434384,0.2409621155160629,0.17781818181818182
2,0.10008341795715549,0.1953194520391889,0.1375625
3,0.08861192549709561,0.16030969184324448,0.13801136363636363
4,0.08171546097301403,0.14230828206880838,0.1330284090909091
5,0.07856138077815407,0.10766853497379814,0.1398125
6,0.07736195759817815,0.10665166609706082,0.13705681818181817
7,0.08972471695240669,0.17045745614035088,0.2604375
8,0.13702196648645348,0.37805840738209157,0.2853693181818182
9,0.17367370257614756,0.3057304539758487,0.33777840909090906
10,0.17983894952154744,0.3226795910230121,0.4630284090909091
11,0.1892001839213759,0.3421512104123946,0.531903409090909
12,0.18205081168947723,0.33982650091136934,0.7377784090909091
13,0.20390231603048678,0.35116889097744364,1.038215909090909
14,0.24364098205162346,0.44718821770334927,0.9269147727272727
15,0.27216803490137065,0.5125451070858966,0.7179431818181818
16,0.2237205327400854,0.39660085156072,0.5968114285714285
17,0.202011107639511,0.31837506550467076,0.5267085714285714
18,0.18871110333978536,0.3181231971975393,0.5736228571428571
19,0.20256923739266594,0.3591336124401914,0.5496
20,0.23845766714102348,0.41498777056277053,0.6447085714285714
21,0.2827816635793494,0.5007992196400092,0.5033257142857143
22,0.23659660847106323,0.5544601959444064,0.45456571428571435
23,0.18804836372186862,0.4583672960811119,0.43433714285714287
total_mean_consumption,4.140630044948859,7.751034953861927,10.697550519480517
