date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;cluster_k3_2023_06
2023-06-05;23:00;0.304;Real;;;;0
2023-06-05;24:00:00;0.116;Real;;;;0
2023-06-06;1:00;0.119;Real;;;;0
2023-06-06;2:00;0.115;Real;;;;0
2023-06-06;3:00;0.097;Real;;;;0
2023-06-06;4:00;0.099;Real;;;;0
2023-06-06;5:00;0.107;Real;;;;0
2023-06-06;6:00;0.088;Real;;;;0
2023-06-06;7:00;0.442;Real;;;;0
2023-06-06;8:00;0.551;Real;;;;0
2023-06-06;9:00;0.172;Real;;;;0
2023-06-06;10:00;0.098;Real;;;;0
2023-06-06;11:00;0.111;Real;;;;0
2023-06-06;12:00;1.277;Real;;;;0
2023-06-06;13:00;0.845;Real;;;;0
2023-06-06;14:00;0.179;Real;;;;0
2023-06-06;15:00;0.351;Real;;;;0
2023-06-06;16:00;0.335;Real;;;;0
2023-06-06;17:00;0.588;Real;;;;0
2023-06-06;18:00;0.112;Real;;;;0
2023-06-06;19:00;0.143;Real;;;;0
2023-06-06;20:00;0.172;Real;;;;0
2023-06-06;21:00;0.111;Real;;;;0
2023-06-06;22:00;0.388;Real;;;;0
2023-06-06;23:00;0.85;Real;;;;0
2023-06-06;24:00:00;0.628;Real;;;;0
2023-06-07;1:00;0.168;Real;;;;0
2023-06-07;2:00;0.125;Real;;;;0
2023-06-07;3:00;0.115;Real;;;;0
2023-06-07;4:00;0.097;Real;;;;0
2023-06-07;5:00;0.104;Real;;;;0
2023-06-07;6:00;0.114;Real;;;;0
2023-06-07;7:00;0.19;Real;;;;0
2023-06-07;8:00;0.487;Real;;;;0
2023-06-07;9:00;0.15;Real;;;;0
2023-06-07;10:00;0.1;Real;;;;0
2023-06-07;11:00;0.188;Real;;;;0
2023-06-07;12:00;0.11;Real;;;;0
2023-06-07;13:00;0.109;Real;;;;0
2023-06-07;14:00;0.635;Real;;;;0
2023-06-07;15:00;0.314;Real;;;;0
2023-06-07;16:00;0.25;Real;;;;0
2023-06-07;17:00;0.123;Real;;;;0
2023-06-07;18:00;0.164;Real;;;;0
2023-06-07;19:00;0.174;Real;;;;0
2023-06-07;20:00;0.403;Real;;;;0
2023-06-07;21:00;1.278;Real;;;;0
2023-06-07;22:00;0.69;Real;;;;0
2023-06-07;23:00;0.31;Real;;;;0
2023-06-07;24:00:00;0.108;Real;;;;0
2023-06-08;1:00;0.112;Real;;;;0
2023-06-08;2:00;0.145;Real;;;;0
2023-06-08;3:00;0.515;Real;;;;0
2023-06-08;4:00;0.514;Real;;;;0
2023-06-08;5:00;0.163;Real;;;;0
2023-06-08;6:00;0.153;Real;;;;0
2023-06-08;7:00;0.424;Real;;;;0
2023-06-08;8:00;0.437;Real;;;;0
2023-06-08;9:00;0.239;Real;;;;0
2023-06-08;10:00;0.09;Real;;;;0
2023-06-08;11:00;0.111;Real;;;;0
2023-06-08;12:00;0.09;Real;;;;0
2023-06-08;13:00;0.106;Real;;;;0
2023-06-08;14:00;1.14;Real;;;;0
2023-06-08;15:00;0.434;Real;;;;0
2023-06-08;16:00;0.261;Real;;;;0
2023-06-08;17:00;0.123;Real;;;;0
2023-06-08;18:00;0.123;Real;;;;0
2023-06-08;19:00;0.103;Real;;;;0
2023-06-08;20:00;0.094;Real;;;;0
2023-06-08;21:00;0.597;Real;;;;0
2023-06-08;22:00;0.468;Real;;;;0
2023-06-08;23:00;0.318;Real;;;;0
2023-06-08;24:00:00;0.12;Real;;;;0
2023-06-09;1:00;0.11;Real;;;;0
2023-06-09;2:00;0.094;Real;;;;0
2023-06-09;3:00;0.111;Real;;;;0
2023-06-09;4:00;0.084;Real;;;;0
2023-06-09;5:00;0.165;Real;;;;0
2023-06-09;6:00;0.148;Real;;;;0
2023-06-09;7:00;0.203;Real;;;;0
2023-06-09;8:00;0.585;Real;;;;0
2023-06-09;9:00;0.195;Real;;;;0
2023-06-09;10:00;0.096;Real;;;;0
2023-06-09;11:00;1.181;Real;;;;0
2023-06-09;12:00;0.111;Real;;;;0
2023-06-09;13:00;0.108;Real;;;;0
2023-06-09;14:00;0.499;Real;;;;0
2023-06-09;15:00;0.413;Real;;;;0
2023-06-09;16:00;0.317;Real;;;;0
2023-06-09;17:00;0.323;Real;;;;0
2023-06-09;18:00;0.255;Real;;;;0
2023-06-09;19:00;0.192;Real;;;;0
2023-06-09;20:00;0.563;Real;;;;0
2023-06-09;21:00;0.53;Real;;;;0
2023-06-09;22:00;0.586;Real;;;;0
2023-06-09;23:00;0.397;Real;;;;0
2023-06-09;24:00:00;0.369;Real;;;;0
2023-06-10;1:00;0.109;Real;;;;0
2023-06-10;2:00;0.119;Real;;;;0
2023-06-10;3:00;0.107;Real;;;;0
2023-06-10;4:00;0.093;Real;;;;0
2023-06-10;5:00;0.113;Real;;;;0
2023-06-10;6:00;0.101;Real;;;;0
2023-06-10;7:00;0.185;Real;;;;0
2023-06-10;8:00;0.14;Real;;;;0
2023-06-10;9:00;0.166;Real;;;;0
2023-06-10;10:00;0.112;Real;;;;0
2023-06-10;11:00;0.087;Real;;;;0
2023-06-10;12:00;0.117;Real;;;;0
2023-06-10;13:00;0.102;Real;;;;0
2023-06-10;14:00;0.107;Real;;;;0
2023-06-10;15:00;0.215;Real;;;;0
2023-06-10;16:00;0.114;Real;;;;0
2023-06-10;17:00;0.112;Real;;;;0
2023-06-10;18:00;0.103;Real;;;;0
2023-06-10;19:00;0.091;Real;;;;0
2023-06-10;20:00;0.111;Real;;;;0
2023-06-10;21:00;0.091;Real;;;;0
2023-06-10;22:00;0.127;Real;;;;0
2023-06-10;23:00;0.229;Real;;;;0
2023-06-10;24:00:00;0.234;Real;;;;0
2023-06-11;1:00;0.092;Real;;;;0
2023-06-11;2:00;0.125;Real;;;;0
2023-06-11;3:00;0.112;Real;;;;0
2023-06-11;4:00;0.099;Real;;;;0
2023-06-11;5:00;0.112;Real;;;;0
2023-06-11;6:00;0.087;Real;;;;0
2023-06-11;7:00;0.112;Real;;;;0
2023-06-11;8:00;0.172;Real;;;;0
2023-06-11;9:00;0.308;Real;;;;0
2023-06-11;10:00;0.14;Real;;;;0
2023-06-11;11:00;0.197;Real;;;;0
2023-06-11;12:00;0.095;Real;;;;0
2023-06-11;13:00;0.154;Real;;;;0
2023-06-11;14:00;0.25;Real;;;;0
2023-06-11;15:00;0.112;Real;;;;0
2023-06-11;16:00;0.126;Real;;;;0
2023-06-11;17:00;0.282;Real;;;;0
2023-06-11;18:00;0.312;Real;;;;0
2023-06-11;19:00;0.256;Real;;;;0
2023-06-11;20:00;0.199;Real;;;;0
2023-06-11;21:00;0.169;Real;;;;0
2023-06-11;22:00;0.153;Real;;;;0
2023-06-11;23:00;0.539;Real;;;;0
2023-06-11;24:00:00;0.206;Real;;;;0
2023-06-12;1:00;0.104;Real;;;;0
2023-06-12;2:00;0.115;Real;;;;0
2023-06-12;3:00;0.517;Estimada;;;;0
2023-06-12;4:00;0.485;Estimada;;;;0
2023-06-12;5:00;0.148;Real;;;;0
2023-06-12;6:00;0.086;Real;;;;0
2023-06-12;7:00;0.204;Real;;;;0
2023-06-12;8:00;0.503;Real;;;;0
2023-06-12;9:00;0.194;Real;;;;0
2023-06-12;10:00;0.197;Real;;;;0
2023-06-12;11:00;0.217;Real;;;;0
2023-06-12;12:00;0.33;Real;;;;0
2023-06-12;13:00;1.213;Real;;;;0
2023-06-12;14:00;0.474;Real;;;;0
2023-06-12;15:00;0.518;Real;;;;0
2023-06-12;16:00;0.199;Real;;;;0
2023-06-12;17:00;0.12;Real;;;;0
2023-06-12;18:00;0.313;Real;;;;0
2023-06-12;19:00;0.303;Real;;;;0
2023-06-12;20:00;0.196;Real;;;;0
2023-06-12;21:00;0.123;Real;;;;0
2023-06-12;22:00;1.11;Real;;;;0
2023-06-12;23:00;0.426;Real;;;;0
2023-06-12;24:00:00;0.142;Real;;;;0
2023-06-13;1:00;0.114;Real;;;;0
2023-06-13;2:00;0.09;Real;;;;0
2023-06-13;3:00;0.113;Real;;;;0
2023-06-13;4:00;0.102;Real;;;;0
2023-06-13;5:00;0.097;Real;;;;0
2023-06-13;6:00;0.112;Real;;;;0
2023-06-13;7:00;0.251;Real;;;;0
2023-06-13;8:00;0.256;Real;;;;0
2023-06-13;9:00;0.126;Real;;;;0
2023-06-13;10:00;0.094;Real;;;;0
2023-06-13;11:00;0.188;Real;;;;0
2023-06-13;12:00;0.119;Real;;;;0
2023-06-13;13:00;0.104;Real;;;;0
2023-06-13;14:00;0.837;Real;;;;0
2023-06-13;15:00;0.533;Real;;;;0
2023-06-13;16:00;0.626;Real;;;;0
2023-06-13;17:00;0.63;Real;;;;0
2023-06-13;18:00;0.115;Real;;;;0
2023-06-13;19:00;0.094;Real;;;;0
2023-06-13;20:00;0.137;Real;;;;0
2023-06-13;21:00;0.457;Real;;;;0
2023-06-13;22:00;1.125;Real;;;;0
2023-06-13;23:00;0.446;Real;;;;0
2023-06-13;24:00:00;0.1;Real;;;;0
2023-06-14;1:00;0.122;Real;;;;0
2023-06-14;2:00;0.108;Real;;;;0
2023-06-14;3:00;0.091;Real;;;;0
2023-06-14;4:00;0.113;Real;;;;0
2023-06-14;5:00;0.085;Real;;;;0
2023-06-14;6:00;0.28;Real;;;;0
2023-06-14;7:00;0.154;Real;;;;0
2023-06-14;8:00;0.242;Real;;;;0
2023-06-14;9:00;0.357;Real;;;;0
2023-06-14;10:00;0.152;Real;;;;0
2023-06-14;11:00;0.111;Real;;;;0
2023-06-14;12:00;0.194;Real;;;;0
2023-06-14;13:00;0.149;Real;;;;0
2023-06-14;14:00;0.111;Real;;;;0
2023-06-14;15:00;0.103;Real;;;;0
2023-06-14;16:00;0.134;Real;;;;0
2023-06-14;17:00;0.154;Real;;;;0
2023-06-14;18:00;0.118;Real;;;;0
2023-06-14;19:00;0.11;Real;;;;0
2023-06-14;20:00;0.083;Real;;;;0
2023-06-14;21:00;0.111;Real;;;;0
2023-06-14;22:00;0.743;Real;;;;0
2023-06-14;23:00;0.469;Real;;;;0
2023-06-14;24:00:00;0.159;Real;;;;0
2023-06-15;1:00;0.108;Real;;;;0
2023-06-15;2:00;0.119;Real;;;;0
2023-06-15;3:00;0.094;Real;;;;0
2023-06-15;4:00;0.103;Real;;;;0
2023-06-15;5:00;0.097;Real;;;;0
2023-06-15;6:00;0.1;Real;;;;0
2023-06-15;7:00;0.101;Real;;;;0
2023-06-15;8:00;0.364;Real;;;;0
2023-06-15;9:00;0.185;Real;;;;0
2023-06-15;10:00;0.111;Real;;;;0
2023-06-15;11:00;0.097;Real;;;;0
2023-06-15;12:00;0.108;Real;;;;0
2023-06-15;13:00;0.168;Real;;;;0
2023-06-15;14:00;1.015;Real;;;;0
2023-06-15;15:00;0.28;Real;;;;0
2023-06-15;16:00;0.664;Real;;;;0
2023-06-15;17:00;0.741;Real;;;;0
2023-06-15;18:00;0.199;Real;;;;0
2023-06-15;19:00;0.123;Real;;;;0
2023-06-15;20:00;0.391;Real;;;;0
2023-06-15;21:00;0.495;Real;;;;0
2023-06-15;22:00;1.261;Real;;;;0
2023-06-15;23:00;0.291;Real;;;;0
2023-06-15;24:00:00;0.124;Real;;;;0
2023-06-16;1:00;0.12;Real;;;;0
2023-06-16;2:00;0.097;Real;;;;0
2023-06-16;3:00;0.116;Real;;;;0
2023-06-16;4:00;0.098;Real;;;;0
