hogar,cluster
ABLD,1
AJVG,3
ATF,0
FJAG,2
FMB,1
GPC,1
JACL,0
JALG,1
JLG,0
JMM,1
LFZA,0
MANA,1
MBGV,1
MTTA,2
PAA,2
RFM,0
RTF,2
