hour,0,1,2
0,0.1278853046594982,0.18965930956423316,0.48862903225806453
1,0.09977598566308243,0.14031364702077775,0.49698387096774194
2,0.08515591397849462,0.13003464305926105,0.3457903225806452
3,0.07695878136200716,0.1199092085051338,0.3142741935483871
4,0.0748100358422939,0.10401705877597218,0.1749677419354839
5,0.07337992831541218,0.10496442719702481,0.13351612903225807
6,0.09068279569892473,0.16804292990540867,0.18780645161290324
7,0.13136917562724015,0.3313020050125313,0.29970967741935484
8,0.1725394265232975,0.2948624335031117,0.28016129032258064
9,0.1761146953405018,0.35403912038159735,0.33179032258064517
10,0.19584229390681004,0.3807298164766733,0.39469354838709675
11,0.18759498207885306,0.39855429703290257,0.3231774193548387
12,0.21117025089605734,0.41538692052712156,0.33811290322580645
13,0.25925806451612904,0.500865837173576,0.3286774193548387
14,0.27539605734767025,0.5282601164200807,0.5411612903225806
15,0.2263494623655914,0.39701704739960364,0.5361290322580645
16,0.20140322580645162,0.35901276826859635,0.2919516129032258
17,0.19087096774193546,0.3762983179723488,0.3008709677419355
18,0.20206451612903228,0.42924794272547734,0.37375806451612903
19,0.23017383512544803,0.4637212804476629,0.368758064516129
20,0.262489247311828,0.5111540487162607,0.39354838709677414
21,0.22830286738351255,0.5525554641211323,0.3434516129032258
22,0.19969713261648747,0.43400979262672806,0.5661774193548388
23,0.16569354838709677,0.30361249177090194,0.4758387096774193
total_mean_consumption,4.144978494623656,7.987570924604118,8.629935483870968
