hour,0,1,2
0,0.16614369978584634,0.2761446504314134,0.2720344827586207
1,0.13203691902187817,0.22845547022351567,0.19842424242424245
2,0.10655844632687628,0.18645593552553347,0.1587121212121212
3,0.09485116064046115,0.154898403531156,0.15370661157024793
4,0.08906506093869815,0.1368381927790532,0.15241873278236914
5,0.0857100687763383,0.10977010577664366,0.15218044077134987
6,0.08426264565349234,0.10907076680065657,0.15259641873278237
7,0.09023507469404539,0.15897126399995448,0.2290289256198347
8,0.13874894222354003,0.30102673095195426,0.2701046831955923
9,0.16074413478932623,0.24951988352692173,0.3131818181818182
10,0.16592653910153687,0.25430248240493397,0.3878030303030303
11,0.17110514808441715,0.27187743372335493,0.4841997245179063
12,0.16798735806734166,0.28402724603790974,0.6876184573002755
13,0.18067455499840712,0.31799639830990645,0.9181322314049586
14,0.22291427911710926,0.42143685423120797,0.8339752066115702
15,0.26166096649806697,0.4555161111490417,0.6694517906336088
16,0.22035059840013826,0.35179190065117394,0.5978220689655173
17,0.20287308719258676,0.29187476050369965,0.58448
18,0.18934006327512692,0.30076036999422506,0.5955462068965518
19,0.18497602900675725,0.3146597849262771,0.6302234482758621
20,0.20406151486032828,0.3351095948938749,0.7209558620689654
21,0.24209167033886705,0.3976145466176793,0.5822206896551725
22,0.22420771252580224,0.46441847809080017,0.4664344827586207
23,0.19272199437093543,0.39564520765591615,0.42202758620689657
total_mean_consumption,3.9792476686879237,6.768182572736803,10.633279262847914
