hogar,cluster
ABLD,0
AJVG,1
ATF,0
FJAG,2
FMB,0
GPC,0
JACL,0
JALG,2
JLG,0
JMM,2
LFZA,0
MANA,2
MBGV,0
MTTA,2
PAA,1
RFM,0
RTF,2
