,0,1,2
media_consumo,0.1596124431292919,0.2197802884615384,0.31062761649563314
std_consumo,0.17291846474620928,0.3176417706574955,0.32361042237571647
min_consumo,0.024555555555555556,0.017499999999999998,0.042
max_consumo,1.579,2.8360000000000003,3.074
percentil_25_consumo,0.069,0.052875000000000005,0.128
percentil_50_consumo,0.10483333333333333,0.09175,0.20366666666666666
percentil_75_consumo,0.1708888888888889,0.23950000000000002,0.3560833333333333
promedio_por_dia,0.1596124431292919,0.2197802884615384,0.31062761649563314
consumo_medio_diario,3.8306986351030066,5.2747269230769245,7.455062795895196
Mañana,0.14163284771290233,0.3131682692307692,0.2577968832066881
Mediodia,0.19948321846136052,0.2181070512820513,0.4003505838611789
Tarde,0.18627366512762683,0.2423913461538461,0.38513679960366815
Noche,0.18643771086735564,0.2768259615384615,0.3682010940111668
Madrugada,0.09607040491721726,0.1060903846153846,0.16807003090700498
sum_consumo,467.6048888888889,685.7145,920.2828599999972
Viernes,0.1596124431292919,0.2197802884615384,0.31062761649563314
Entre semana,0.1596124431292919,0.2197802884615384,0.31062761649563314
s_Mañana,69.40177777777778,162.8475,127.70192666666628
s_Mediodia,144.75822222222223,170.1235,295.96266666666446
s_Tarde,91.16477777777777,126.0435,187.9054333333332
s_Noche,91.89811111111112,143.9495,183.19066666666666
s_Madrugada,70.382,82.75049999999999,125.52216666666665
s_Viernes,467.6048888888888,685.7145,920.2828599999972
s_Entre semana,467.6048888888888,685.7145,920.2828599999972
s_invierno,120.4058888888889,248.28949999999998,240.89727333333266
s_otoño,86.47999999999999,122.08850000000001,179.63255333333225
s_primavera,138.74744444444445,193.3165,257.00987333333256
s_verano,121.97155555555554,122.02,242.74315999999976
std_Mañana,0.038886791950295437,0.1579418242450234,0.07589498602392467
std_Mediodia,0.05028600403806089,0.07528467212327225,0.07714519640323843
std_Tarde,0.033747482229723395,0.030305596901565653,0.051404960912322016
std_Noche,0.05491677116811075,0.05022101766642105,0.0948100460872508
std_Madrugada,0.02282940524742426,0.06981863006653416,0.034255976007409934
std_Viernes,0.1729184647462093,0.3176417706574956,0.32361042237571647
std_Entre semana,0.1729184647462093,0.3176417706574956,0.32361042237571647
std_invierno,0.1752141632460832,0.42092457616945245,0.3071376764127484
std_otoño,0.13898552501303005,0.24880368268560743,0.2615560250177518
std_primavera,0.1534321274017214,0.26859295771868996,0.2608932931250901
std_verano,0.18737382017922377,0.24554929398001368,0.4078994027278531
Enero,45.53922222222222,94.1225,88.39978666666649
Febrero,39.71933333333333,88.2285,82.38933333333334
Marzo,51.89922222222222,79.367,93.5273466666664
Abril,37.95288888888889,55.016999999999996,76.37901333333306
Mayo,48.89533333333333,58.9325,87.10351333333307
Junio,52.952555555555556,64.4085,89.95430666666645
Julio,31.16133333333333,29.122999999999998,76.86116666666668
Agosto,37.85766666666667,28.4885,75.92768666666665
Septiembre,28.10788888888889,34.5815,57.112953333333145
Octubre,26.946666666666665,33.411500000000004,55.317486666666184
Noviembre,31.425444444444445,54.0955,67.20211333333292
Diciembre,35.147333333333336,65.9385,70.10815333333285
total_mean_consumption,2814.23108485053,4127.355423653272,5538.319867483296
