hogar,cluster
ABLD,0
AJVG,1
ATF,0
FJAG,3
FMB,0
GPC,0
JACL,0
JALG,1
JLG,0
JMM,3
LFZA,0
MANA,1
MBGV,1
MTTA,2
PAA,3
RFM,0
RTF,1
