hour,0,1,2
0,0.1273912964994932,0.48880952380952386,0.18265513069454817
1,0.10489403947600669,0.36294444444444446,0.14107898431665422
2,0.09639423163357591,0.288015873015873,0.12967862584017925
3,0.09172357678751121,0.2009047619047619,0.1165893502613891
4,0.08930411191722666,0.12544444444444444,0.11906979835698281
5,0.08704026720092294,0.12478571428571429,0.1182205078416729
6,0.10190747012550293,0.15645238095238095,0.14072961911874532
7,0.1366883964851178,0.19226190476190477,0.1829073935772965
8,0.19077748699388045,0.23124603174603175,0.2289980881254668
9,0.22469868382983138,0.2720952380952381,0.32353998506348025
10,0.21913562339300044,0.30057142857142854,0.3867712710978338
11,0.2267207612060071,0.29448412698412696,0.4555133622106046
12,0.2551631883599097,0.382484126984127,0.5264138640776692
13,0.28565021790595563,0.5629920634920634,0.5542278745332331
14,0.27023923253431453,0.5255079365079365,0.5076918237490661
15,0.2159452116189821,0.34840476190476194,0.40562354294249375
16,0.1999771765575044,0.2665396825396826,0.36560393726661655
17,0.18439846128370718,0.31019047619047624,0.3739602778192678
18,0.1869277351064236,0.3940793650793651,0.39708517699775914
19,0.2030316814333208,0.34162698412698417,0.4021002180731886
20,0.21553298959692402,0.26865079365079364,0.3728669156086632
21,0.21331443074229958,0.2824761904761905,0.3492491262135923
22,0.1902397848053586,0.26691269841269843,0.2968288872292756
23,0.16548838374740013,0.2680079365079365,0.24248235997012696
total_mean_consumption,4.282584439240177,7.25588888888889,7.319886120985807
