hour,0,1,2
0,0.12390427230328868,0.1792561986557132,0.48880952380952386
1,0.10173882803899197,0.14030684590490416,0.36294444444444446
2,0.09302288556616425,0.12975013691809809,0.288015873015873
3,0.08777670369703157,0.11902317649987552,0.2009047619047619
4,0.08641375387818011,0.1189261140154344,0.12544444444444444
5,0.08465198622870754,0.11700426935524023,0.12478571428571429
6,0.09824744790728397,0.14035929798356983,0.15645238095238095
7,0.12950415921055264,0.1871779561862086,0.19226190476190477
8,0.17970985107788387,0.24107404779686334,0.23124603174603175
9,0.21235932144358377,0.32763203883495146,0.2720952380952381
10,0.21294533957845432,0.36914913617127176,0.30057142857142854
11,0.21931514501891552,0.42972395568832433,0.29448412698412696
12,0.23747566104205448,0.5106846303211346,0.382484126984127
13,0.2727683166196281,0.5309347672392327,0.5629920634920634
14,0.26128777117236135,0.48303549414986285,0.5255079365079365
15,0.2080458866270342,0.387176029375155,0.34840476190476194
16,0.19624181729017792,0.34422507592730867,0.2665396825396826
17,0.18217369202746253,0.34607459049041545,0.31019047619047624
18,0.18458281630937368,0.3659671346776198,0.3940793650793651
19,0.19666254188434515,0.37953736121483667,0.34162698412698417
20,0.20286167317200104,0.3677634553149116,0.26865079365079364
21,0.19353818150883723,0.3595537590241474,0.2824761904761905
22,0.1773576094397406,0.3005343291013194,0.26691269841269843
23,0.15870260673752476,0.24095965894946478,0.2680079365079365
total_mean_consumption,4.101288267779579,7.115829459795864,7.25588888888889
