hour,0,1,2
0,0.1171919264908336,0.18344923076923075,0.27713864883767797
1,0.09839356961597398,0.13160769230769231,0.22619773739385388
2,0.09285363353505431,0.11251384615384616,0.19949787253379483
3,0.08717155111635985,0.10369999999999999,0.16325563260903067
4,0.08609220516378986,0.10124153846153847,0.14070037617901696
5,0.08510648042505967,0.09557846153846154,0.14316018706212882
6,0.09972878827305057,0.11068307692307693,0.17670272295126666
7,0.12773282647326364,0.1560030769230769,0.2269201370366419
8,0.17838872341987097,0.22979076923076924,0.24011215745778855
9,0.20528044262962297,0.32294923076923077,0.2997368493426746
10,0.1898657619247783,0.36278461538461537,0.37406823571250697
11,0.18596041754238474,0.3773276923076923,0.5018990306277679
12,0.21376184560228276,0.41814769230769233,0.6022511491241577
13,0.2657135141927492,0.4629615384615384,0.5900181710271019
14,0.2525351303624528,0.45997692307692306,0.4879659414946788
15,0.20162790821807217,0.3559123076923077,0.38590236400061534
16,0.18971398502327463,0.31878923076923077,0.3309787639832294
17,0.178675897124531,0.29620153846153846,0.37309472432637425
18,0.18012193265144083,0.28055692307692304,0.47060944233041263
19,0.1922182089313237,0.2811153846153846,0.48331192226687314
20,0.19737536335350545,0.30165846153846154,0.40639255979547245
21,0.18530652646281062,0.32899384615384614,0.35415086359164033
22,0.1710896515142417,0.2789815384615385,0.30299340382738443
23,0.15071144338357453,0.23146153846153847,0.2623604249400366
total_mean_consumption,3.9326177334303014,6.302386153846154,8.019419318452128
