hour,0,1,2
0,0.16569354838709677,0.32661751152073737,0.31480357142857146
1,0.1278853046594982,0.2331451612903226,0.18422807017543857
2,0.09977598566308243,0.19176497695852532,0.13682456140350877
3,0.08515591397849462,0.15974654377880185,0.13780701754385963
4,0.07695878136200716,0.14570276497695853,0.13371929824561404
5,0.0748100358422939,0.11054377880184332,0.12928070175438597
6,0.07337992831541218,0.10433640552995392,0.13791228070175438
7,0.09068279569892473,0.16208294930875575,0.2295263157894737
8,0.13136917562724015,0.33360138248847926,0.2836140350877193
9,0.1725394265232975,0.28405529953917047,0.49071929824561406
10,0.1761146953405018,0.35408064516129034,0.6013157894736841
11,0.19584229390681004,0.38611059907834105,0.694298245614035
12,0.18759498207885306,0.3645806451612903,0.8982631578947369
13,0.21117025089605734,0.35465437788018433,1.1679649122807017
14,0.25925806451612904,0.45856451612903226,1.0969649122807017
15,0.27539605734767025,0.5347857142857143,0.765298245614035
16,0.2263494623655914,0.42239170506912443,0.5644821428571428
17,0.20140322580645162,0.3455253456221198,0.5923392857142857
18,0.19087096774193546,0.35032488479262675,0.6886607142857143
19,0.20206451612903228,0.4000322580645161,0.5782678571428572
20,0.23017383512544803,0.42242396313364056,0.6578392857142857
21,0.262489247311828,0.48978341013824883,0.5431428571428571
22,0.22830286738351255,0.5310230414746544,0.4941785714285714
23,0.19969713261648747,0.4524815668202765,0.436875
total_mean_consumption,4.144978494623656,7.918359447004609,11.958326127819548
