hour,0,1,2
0,0.16569354838709677,0.30361249177090194,0.4758387096774193
1,0.1278853046594982,0.18965930956423316,0.48862903225806453
2,0.09977598566308243,0.14031364702077775,0.49698387096774194
3,0.08515591397849462,0.13003464305926105,0.3457903225806452
4,0.07695878136200716,0.1199092085051338,0.3142741935483871
5,0.0748100358422939,0.10401705877597218,0.1749677419354839
6,0.07337992831541218,0.10496442719702481,0.13351612903225807
7,0.09068279569892473,0.16804292990540867,0.18780645161290324
8,0.13136917562724015,0.3313020050125313,0.29970967741935484
9,0.1725394265232975,0.3141350149567467,0.28016129032258064
10,0.1761146953405018,0.3925842832888673,0.33179032258064517
11,0.19584229390681004,0.42891127011076075,0.39469354838709675
12,0.18759498207885306,0.44673575066699006,0.3231774193548387
13,0.21117025089605734,0.4732046648880265,0.33811290322580645
14,0.25925806451612904,0.5683198722612984,0.3286774193548387
15,0.27539605734767025,0.5668052793273507,0.5411612903225806
16,0.2263494623655914,0.4264421494404213,0.5361290322580645
17,0.20140322580645162,0.38843787030941407,0.2919516129032258
18,0.19087096774193546,0.4057234200131665,0.3008709677419355
19,0.20206451612903228,0.42924794272547734,0.37375806451612903
20,0.23017383512544803,0.4637212804476629,0.368758064516129
21,0.262489247311828,0.5111540487162607,0.39354838709677414
22,0.22830286738351255,0.5525554641211323,0.3434516129032258
23,0.19969713261648747,0.43400979262672806,0.5661774193548388
total_mean_consumption,4.144978494623656,8.39384382471155,8.629935483870968
