hour,0,1,2,3,4
0,0.17827333109997603,0.2318508914100486,0.29359602917341976,0.3088678929765886,0.27085162601626017
1,0.1405055969863345,0.09627876823338735,0.19407982171799026,0.5144448160535117,0.19756795131845842
2,0.1119096763762925,0.08997406807131281,0.14487074554294976,0.45465886287625423,0.15909127789046654
3,0.0944712225140649,0.08098217179902756,0.14657212317666127,0.3105585284280936,0.1524685598377282
4,0.08713493774558434,0.08209238249594814,0.13595421393841167,0.26585953177257526,0.15271196754563895
5,0.08386173507649164,0.07763371150729335,0.11962803889789303,0.13080769230769232,0.1519046653144016
6,0.08221473818431703,0.08056077795786062,0.11791653160453808,0.16325083612040134,0.15226166328600405
7,0.09286077586961541,0.3005834683954619,0.16457131280388979,0.22932274247491638,0.24991683569979717
8,0.18365942499666726,0.8309902755267423,0.2845474068071313,0.259309364548495,0.2836957403651115
9,0.17032909120170509,0.4396175040518639,0.26617990275526743,0.22603846153846152,0.31288032454361053
10,0.15771491350703432,0.21198865478119935,0.26193233387358184,0.22572909698996654,0.37365111561866127
11,0.16359045625043037,0.1526320907617504,0.24993111831442463,0.27183946488294314,0.4653772819472617
12,0.16144897043858059,0.147612641815235,0.2523800648298217,0.30410702341137125,0.638156186612576
13,0.1731263425893869,0.14486061588330632,0.34369084278768236,0.3402107023411371,0.8500709939148072
14,0.2141418755202975,0.15511345218800648,0.508063209076175,0.4320267558528428,0.7966815415821501
15,0.27916447051620197,0.20988816855753648,0.5096008914100486,0.39300334448160534,0.6556795131845842
16,0.24403272036835863,0.17630470016207456,0.3758537277147488,0.2889581939799331,0.5754146341463414
17,0.217315428985499,0.14519611021069692,0.3324720421393841,0.279123745819398,0.5531077235772358
18,0.2042210858898569,0.18317341977309562,0.32671596434359806,0.3242658862876254,0.5928252032520326
19,0.1995789487362563,0.2552090761750405,0.3161831442463533,0.3053578595317726,0.6339532520325204
20,0.21658224641111773,0.4041215559157212,0.32309805510534845,0.2989598662207358,0.7133577235772357
21,0.2570361567498098,0.49955591572123176,0.44298662884927065,0.2800468227424749,0.5735284552845529
22,0.24807394137510813,0.49597893030794166,0.5538954619124797,0.27226254180602005,0.4727012195121951
23,0.21119128926934475,0.3972609400324149,0.41436426256077796,0.455675585284281,0.42888211382113817
total_mean_consumption,4.172439376658332,5.889460291734198,7.0790838735818475,7.334685618729097,10.406737569880772
