hour,0,1,2
0,0.12384491978609626,0.19913235294117645,0.3083039215686274
1,0.10540734265734265,0.15334615384615385,0.30535576923076924
2,0.09439451114922813,0.12670283018867923,0.2559716981132075
3,0.09053321678321678,0.11590865384615386,0.22021153846153846
4,0.08601923076923078,0.10476442307692307,0.18014423076923078
5,0.08557692307692308,0.10595673076923078,0.16583653846153845
6,0.0974895104895105,0.1116875,0.18126923076923077
7,0.12306818181818181,0.1553125,0.22853846153846152
8,0.17011013986013987,0.2291875,0.27789615384615285
9,0.20886713286713288,0.3611201923076923,0.32969519230769073
10,0.2290576923076923,0.42697596153846157,0.4789355769230754
11,0.22272727272727275,0.4536490384615385,0.5330326923076902
12,0.23930594405594405,0.5067692307692307,0.5313884615384595
13,0.28334615384615386,0.6193173076923078,0.5238307692307671
14,0.2531923076923077,0.5132548076923077,0.5285317307692292
15,0.21225349650349648,0.3882355769230769,0.5550788461538452
16,0.20535664335664336,0.37140865384615385,0.43665576923076826
17,0.2000506993006993,0.41328846153846155,0.5007211538461538
18,0.22305594405594406,0.4498317307692308,0.5968653846153846
19,0.2914527972027972,0.45955769230769233,0.5687788461538461
20,0.33370104895104896,0.46878365384615384,0.47200000000000003
21,0.27488636363636365,0.4513846153846154,0.5374134615384616
22,0.19387062937062938,0.3613173076923077,0.42973076923076925
23,0.14070454545454544,0.2521057692307692,0.41283653846153845
total_mean_consumption,4.488272647718541,7.798998644668318,9.559022735066435
