,0,1,2,3,4
media_consumo,0.12728931451612902,0.20756962365591392,0.3009989247311828,0.34886357526881717,0.3950606182795677
std_consumo,0.1308655203547986,0.23115584478784426,0.2756901268582652,0.402106331020027,0.3807898732354912
min_consumo,0.03325,0.046,0.047400000000000005,0.0485,0.0280999999999478
max_consumo,1.3559999999999999,1.8943999999999999,1.9584,2.6805,4.216
percentil_25_consumo,0.063,0.07115,0.1288,0.077375,0.1575
percentil_50_consumo,0.096125,0.1268,0.2089,0.16949999999999998,0.3085
percentil_75_consumo,0.14,0.22835,0.36219999999999997,0.4608749999999999,0.50375
promedio_por_dia,0.12728931451612902,0.20756962365591397,0.3009989247311828,0.34886357526881717,0.3950606182795677
consumo_medio_diario,3.054943548387097,4.981670967741936,7.223974193548386,8.372725806451612,9.481454838709624
Mañana,0.09987096774193545,0.19671129032258058,0.214516129032258,0.43473387096774185,0.2988314516129028
Mediodia,0.1689583333333333,0.277616129032258,0.41099462365591394,0.3561532258064516,0.4347672043010733
Tarde,0.1393588709677419,0.2376338709677419,0.3235370967741935,0.3743185483870968,0.6023758064516104
Noche,0.13124193548387092,0.2653225806451613,0.39729677419354836,0.5551088709677419,0.4605104838709665
Madrugada,0.09321774193548382,0.08621720430107523,0.16943440860215048,0.12986021505376338,0.2376634408602111
sum_consumo,94.70325,154.4318,223.9432,259.55449999999996,293.9250999999984
Lunes,0.12794999999999992,0.19613499999999995,0.2958766666666667,0.4053916666666666,0.3791191666666653
Martes,0.1125833333333333,0.21360833333333332,0.2805270833333333,0.3841822916666666,0.3953093749999961
Miércoles,0.1367864583333333,0.20995208333333326,0.2927958333333333,0.346203125,0.3914375
Jueves,0.11243229166666663,0.2207229166666666,0.26116458333333326,0.35391666666666666,0.32446875
Viernes,0.1461067708333333,0.16666666666666666,0.2582041666666667,0.33229687499999994,0.4386562499999946
Sábado,0.12776458333333326,0.21171333333333328,0.33567166666666665,0.2662541666666666,0.4298008333333285
Domingo,0.1271520833333333,0.2303233333333333,0.36049166666666665,0.3580291666666666,0.4005583333333333
Entre semana,0.12720882936507932,0.20116547619047614,0.2785785714285714,0.3663501984126984,0.3854801587301567
Fin de semana,0.1274583333333333,0.22101833333333332,0.3480816666666666,0.3121416666666666,0.4151795833333309
s_Mañana,12.384,24.3922,26.6,53.907000000000004,37.05509999999995
s_Mediodia,31.42625,51.6366,76.44500000000001,66.24449999999999,80.86669999999962
s_Tarde,17.2805,29.4666,40.1186,46.4155,74.6945999999997
s_Noche,16.274,32.9,49.2648,68.8335,57.10329999999984
s_Madrugada,17.3385,16.0364,31.5148,24.154,44.20539999999927
s_Lunes,15.354,23.5362,35.5052,48.647,45.49429999999984
s_Martes,10.808,20.506400000000003,26.9306,36.8815,37.94969999999963
s_Miércoles,13.131499999999999,20.1554,28.1084,33.2355,37.578
s_Jueves,10.7935,21.1894,25.071800000000003,33.976,31.149
s_Viernes,14.026250000000001,16.0,24.7876,31.9005,42.11099999999948
s_Sábado,15.33175,25.4056,40.2806,31.950499999999998,51.57609999999942
s_Domingo,15.25825,27.638800000000003,43.259,42.9635,48.067
s_Entre semana,64.11325,101.3874,140.4036,184.64049999999997,194.28199999999896
s_Fin de semana,30.59,53.044399999999996,83.5396,74.91399999999999,99.64309999999942
s_primavera,94.70325,154.4318,223.9432,259.55449999999996,293.9250999999984
std_Mañana,0.0563018018622278,0.07587321982917136,0.0911576033120979,0.11824763263662169,0.0482690517111717
std_Mediodia,0.0801722051127973,0.08354659701416398,0.12358668444878984,0.1197126459649636,0.1247421836571902
std_Tarde,0.053976821709069825,0.05895617794299479,0.0466326170276013,0.0985336646934764,0.2194590618671929
std_Noche,0.016341701383254574,0.10737590091038136,0.09303607198866301,0.1172390698528927,0.2102949174749763
std_Madrugada,0.020713989855611473,0.0233607591732874,0.0472223189555877,0.06643975990471215,0.2627115538297492
std_Lunes,0.12220467654982783,0.1865395208442684,0.24959100854488253,0.40660227665579907,0.3628255793878414
std_Martes,0.07592881859986918,0.22055930322242817,0.23422018697989494,0.4480212829308129,0.5944185844084381
std_Miércoles,0.15414644984176495,0.22714724843702014,0.25250537937284034,0.39659671122883855,0.3279574687604926
std_Jueves,0.0839251697210774,0.2322930162415314,0.21124851901273006,0.36365786602235656,0.2591226473729746
std_Viernes,0.14507707776165735,0.1703767816178379,0.210947925882704,0.40862184080084313,0.4477362752458761
std_Sábado,0.13149451312503624,0.24557310760290602,0.3264088626165803,0.34307861360117525,0.3250335645229981
std_Domingo,0.13744607798822092,0.28139292319666515,0.34252941178793883,0.3999437434722822,0.2817940065275447
std_Entre semana,0.12560836812926196,0.21058974171085873,0.23471255461919321,0.4069420326764585,0.4123333921060721
std_Fin de semana,0.13683633339965173,0.26426464527438925,0.3355323349321906,0.38451598758701366,0.3038994436336294
std_primavera,0.13086552035479856,0.23115584478784418,0.2756901268582652,0.40210633102002685,0.3807898732354913
Marzo,94.70325,154.4318,223.9432,259.55449999999996,293.9250999999984
total_mean_consumption,576.5973927561624,940.1392773991065,1361.7687547132289,1579.6915093016528,1789.5723618897298
