archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2024-12,Diciembre,2024-11-25/2024-12-01,2024-12-02/2024-12-08,2024-12-09/2024-12-15,2024-12-16/2024-12-22,2024-12-23/2024-12-29,2024-12-30/2025-01-05
ABLD,0.2404712482468443,0.25819389886467053,0.039,1.855,0.067,0.144,0.279,171.456,0.24047124824684435,5.53083870967742,0.12309677419354838,0.08183870967741935,0.06899999999999999,0.0644516129032258,0.07051612903225807,0.08241935483870969,0.15616129032258066,0.18696774193548388,0.2870322580645161,0.1790967741935484,0.255,0.19974193548387098,0.19261290322580646,0.27906451612903227,0.5919677419354838,0.3808387096774194,0.2904193548387097,0.24603225806451612,0.22780645161290322,0.32964516129032256,0.4958387096774194,0.4301290322580645,0.31116129032258066,3.816,2.537,2.139,1.998,2.186,2.555,4.841,5.796,8.898,5.5520000000000005,7.905,6.192,5.971,8.651,18.351,11.806000000000001,9.003,7.627,7.062,10.219,15.371,13.334,9.646,3.816,2.537,2.139,1.998,2.186,2.555,4.841,5.796,8.898,5.5520000000000005,7.905,6.192,5.971,8.651,18.351,11.806000000000001,9.003,7.627,7.062,10.219,15.371,13.334,9.646,0.1781451612903226,0.2829139784946237,0.28627419354838707,0.39169354838709675,0.08178064516129033,22.09,52.622,35.498,48.57,12.675999999999998,0.08858123462627344,0.08830382242692195,0.08800387829979757,0.07045127666683507,0.019989317842023454,0.2753478260869565,0.24057391304347828,0.21464130434782608,0.27780434782608693,0.2698478260869565,0.20232608695652174,0.20330434782608695,31.665,27.666,19.747,25.558,24.826,18.614,23.38,0.27516135755698157,0.24147896137590405,0.2203007226159124,0.33053803089962064,0.2819650798573441,0.22327310968810052,0.21671920444995596,0.25585375494071144,0.2028695652173913,129.462,41.994,0.2712701520656374,0.2191193924482664,0.2404712482468443,171.456,0.25819389886467053,171.456,171.456,2.6149999999999998,40.505,35.415,38.506,39.338,15.077
AJVG,0.4274682274247491,0.572229482870172,0.027,3.444,0.046,0.1055,0.682,255.62599999999998,0.4274682274247492,9.83176923076923,0.12826923076923077,0.11338461538461539,0.08823076923076924,0.0655,0.08419230769230769,0.06926923076923076,0.36200000000000004,0.6832307692307692,0.4717692307692308,0.20526923076923076,0.32742307692307693,0.3718076923076923,0.36103846153846153,0.35057692307692306,0.5312307692307692,0.4025769230769231,0.3389615384615385,0.3873076923076923,0.48596153846153844,0.8115384615384615,1.073653846153846,1.1615,0.957076923076923,3.335,2.948,2.294,1.703,2.189,1.801,9.412,17.764,12.266,5.337,8.513,9.667,9.387,9.115,13.812,10.467,8.813,10.07,12.635,21.1,27.915,30.199,24.884,3.335,2.948,2.294,1.703,2.189,1.801,9.412,17.764,12.266,5.337,8.513,9.667,9.387,9.115,13.812,10.467,8.813,10.07,12.635,21.1,27.915,30.199,24.884,0.3965673076923077,0.35789102564102565,0.4037019230769231,1.0009423076923076,0.09591538461538461,41.243,55.830999999999996,41.985,104.098,12.469,0.21504769910882507,0.16463838844250445,0.07357337455984819,0.09692750577659297,0.0349261319381618,0.45620652173913046,0.538695652173913,0.47153260869565217,0.3691847826086957,0.3278695652173913,0.43072463768115943,0.3739782608695652,41.971000000000004,49.56,43.381,33.965,22.623,29.72,34.406,0.6448378028969081,0.630421291879973,0.6546319904198327,0.4828982312495132,0.5967131519228894,0.498389992701734,0.4385967378165458,0.43821510297482835,0.39829813664596275,191.5,64.126,0.6072480331858424,0.4645096049157716,0.42746822742474916,255.626,0.572229482870172,255.626,255.626,9.324,47.749,77.265,77.567,43.721,
ATF,0.12887318840579712,0.1471954829654212,0.049,2.105,0.059,0.098,0.131,71.138,0.12887318840579712,2.9640833333333334,0.08308333333333333,0.07683333333333334,0.07895833333333334,0.08041666666666666,0.08045833333333334,0.085625,0.08900000000000001,0.12183333333333334,0.12979166666666667,0.11699999999999999,0.11691666666666667,0.146625,0.18579166666666666,0.213125,0.2177083333333333,0.13412500000000002,0.11937500000000001,0.15975,0.14733333333333334,0.137,0.11787500000000001,0.19816666666666669,0.12729166666666666,1.994,1.844,1.895,1.93,1.931,2.055,2.136,2.924,3.115,2.808,2.806,3.519,4.459,5.115,5.225,3.2190000000000003,2.865,3.834,3.536,3.2880000000000003,2.829,4.756,3.0549999999999997,1.994,1.844,1.895,1.93,1.931,2.055,2.136,2.924,3.115,2.808,2.806,3.519,4.459,5.115,5.225,3.2190000000000003,2.865,3.834,3.536,3.2880000000000003,2.829,4.756,3.0549999999999997,0.1065625,0.16619444444444445,0.14014583333333336,0.14508333333333334,0.07995,10.23,23.932000000000002,13.454,13.928,9.594000000000001,0.057083043436170655,0.0933591155984859,0.05264715937177373,0.14332593639463884,0.0025179575303146476,0.12617391304347828,0.18764130434782605,0.12873913043478263,0.1262463768115942,0.09902898550724638,0.1218840579710145,0.1025,11.608,17.262999999999998,8.883000000000001,8.711,6.833,8.41,9.43,0.08595240296657575,0.2998729980816875,0.07945451013998939,0.1199164422073948,0.05488409472121622,0.09976200152360915,0.061703028582588526,0.13631202046035806,0.11080745341614907,53.298,17.84,0.16661041563698167,0.08054668797721844,0.12887318840579712,71.138,0.1471954829654212,71.138,71.138,3.024,16.533,22.664,16.607,12.31,
FMB,0.26933380084151476,0.39197138337740595,0.024,2.683,0.048,0.14,0.261,192.03500000000003,0.26933380084151476,6.194677419354839,0.1065483870967742,0.09064516129032259,0.10429032258064516,0.0795483870967742,0.07316129032258065,0.05054838709677419,0.12396774193548386,0.10993548387096774,0.19858064516129031,0.2305483870967742,0.33738709677419354,0.3676774193548387,0.6027419354838709,0.6288709677419355,0.30148387096774193,0.2868709677419355,0.37132258064516127,0.41893548387096774,0.35277419354838707,0.4692903225806452,0.40254838709677415,0.2505483870967742,0.2364516129032258,3.303,2.81,3.233,2.466,2.2680000000000002,1.567,3.843,3.408,6.156,7.147,10.459,11.398,18.685,19.495,9.346,8.893,11.511,12.987,10.936,14.548,12.479,7.767,7.33,3.303,2.81,3.233,2.466,2.2680000000000002,1.567,3.843,3.408,6.156,7.147,10.459,11.398,18.685,19.495,9.346,8.893,11.511,12.987,10.936,14.548,12.479,7.767,7.33,0.12075806451612903,0.4114516129032258,0.35747580645161287,0.33970967741935487,0.09083870967741936,14.974,76.53,44.327,42.124,14.080000000000002,0.09290569325276317,0.14014130379405088,0.032985661145301375,0.051203578676291994,0.018367624958193614,0.4019304347826087,0.2751130434782609,0.18114130434782608,0.1786304347826087,0.2098804347826087,0.2577717391304348,0.3308869565217391,46.222,31.638,16.665,16.434,19.309,23.715,38.052,0.49629459845092383,0.3673173436808098,0.1582040400091068,0.19262790626577542,0.2642793993705847,0.40212119170583416,0.553587324372197,0.2574466403162055,0.29839130434782607,130.268,61.766999999999996,0.3424493459956503,0.4922919515440878,0.2693338008415147,192.035,0.391971383377406,192.035,192.035,3.764,33.849,30.74,29.798000000000002,61.141,32.743
GPC,0.20656,0.24525246069581427,0.026,1.616,0.0685,0.107,0.222,118.77199999999999,0.20656,4.7508799999999995,0.10183999999999999,0.07748000000000001,0.0782,0.056799999999999996,0.06704,0.06584,0.08884,0.304,0.22568,0.22940000000000002,0.18664000000000003,0.20584,0.16576000000000002,0.35908,0.4346,0.27732,0.19872,0.18312,0.24852,0.32996000000000003,0.40384,0.27136,0.191,2.546,1.937,1.955,1.42,1.676,1.646,2.221,7.6,5.6419999999999995,5.735,4.666,5.146,4.144,8.977,10.865,6.933,4.968,4.578,6.213,8.249,10.096,6.784,4.775,2.546,1.937,1.955,1.42,1.676,1.646,2.221,7.6,5.6419999999999995,5.735,4.666,5.146,4.144,8.977,10.865,6.933,4.968,4.578,6.213,8.249,10.096,6.784,4.775,0.17109,0.26355333333333336,0.22691999999999998,0.29904000000000003,0.07627199999999999,17.108999999999998,39.533,22.692,29.903999999999996,9.533999999999999,0.1382705032232129,0.08216271029030521,0.043116928310094796,0.026170549997679683,0.03831690499828146,0.22416304347826088,0.16259782608695653,0.2281304347826087,0.1579855072463768,0.2264927536231884,0.2063478260869565,0.2329891304347826,20.623,14.959,20.988,10.901,15.628,14.238,21.435,0.24822567174591825,0.18273291984539122,0.24289120331120007,0.2053286814693215,0.2709712717130298,0.24130501969907156,0.29996638985957974,0.20072222222222222,0.22157142857142859,83.099,35.673,0.2323651581465549,0.27585844907954415,0.20656000000000002,118.772,0.2452524606958142,118.772,118.772,7.158,30.926,33.247,30.538,16.903,
JACL,0.11346409807355516,0.08961612102399243,0.036,0.864,0.0685,0.095,0.129,64.788,0.11325473684210526,2.5915200000000005,0.13132,0.10279999999999999,0.07504,0.07783999999999999,0.08184000000000001,0.07336000000000001,0.07972,0.07708,0.09780000000000001,0.08976,0.11396,0.09863999999999999,0.1426,0.11576,0.31748,0.16283999999999998,0.10523999999999999,0.11156,0.09684,0.09616666666666666,0.11266666666666668,0.13129166666666667,0.11825000000000001,3.283,2.57,1.876,1.946,2.0460000000000003,1.834,1.993,1.927,2.4450000000000003,2.244,2.849,2.4659999999999997,3.565,2.894,7.937,4.071,2.631,2.789,2.421,2.308,2.704,3.1510000000000002,2.838,3.283,2.57,1.876,1.946,2.0460000000000003,1.834,1.993,1.927,2.4450000000000003,2.244,2.849,2.4659999999999997,3.565,2.894,7.937,4.071,2.631,2.789,2.421,2.308,2.704,3.1510000000000002,2.838,0.08199,0.14636666666666667,0.11911999999999999,0.11459375000000001,0.093768,8.199,21.955,11.911999999999999,11.001000000000001,11.721,0.0038738419494327428,0.0656664830096889,0.050494705052588795,0.01978761159795747,0.0062617016066252185,0.11733695652173913,0.10825,0.1144090909090909,0.10200000000000001,0.11775362318840579,0.11784057971014493,0.116,10.795,9.959,10.068,7.038,8.125,8.131,10.672,0.09315652397908704,0.07136943431081791,0.08228051770963983,0.05282546177521505,0.11134741680580883,0.11941100835897021,0.08875289811086128,0.11215853658536586,0.1167888198757764,45.985,18.803,0.08404010998251213,0.10266933633867323,0.11346409807355516,64.788,0.08961612102399245,64.788,64.788,2.848,18.581,18.574,17.805,6.98,
JALG,0.32029235880398665,0.2623293155401519,0.053,1.67,0.133,0.228,0.426,192.81599999999997,0.3143554750402577,7.141333333333334,0.16,0.12433333333333332,0.12477777777777778,0.1108888888888889,0.12392307692307693,0.09915384615384615,0.12296153846153847,0.1606923076923077,0.251,0.3021153846153846,0.3712692307692308,0.4063076923076923,0.42,0.6,0.5363461538461538,0.4808461538461538,0.4226153846153846,0.42853846153846153,0.4153461538461538,0.41238461538461535,0.5241153846153845,0.5050384615384615,0.2933461538461538,4.32,3.3569999999999998,3.369,2.994,3.222,2.578,3.197,4.178,6.526000000000001,7.855,9.653,10.564,10.92,15.6,13.945,12.501999999999999,10.988,11.142,10.799,10.722,13.626999999999999,13.131,7.627,4.32,3.3569999999999998,3.369,2.994,3.222,2.578,3.197,4.178,6.526000000000001,7.855,9.653,10.564,10.92,15.6,13.945,12.501999999999999,10.988,11.142,10.799,10.722,13.626999999999999,13.131,7.627,0.15845192307692307,0.43933974358974365,0.4368365384615384,0.43372115384615384,0.1287846153846154,16.479,68.537,45.431,45.107,17.262,0.10448386079514453,0.10129799544358728,0.06369137697929877,0.0734646507505111,0.0072836529868028025,0.3292717391304348,0.29254347826086957,0.3335217391304348,0.29605434782608697,0.3284657534246575,0.30184057971014494,0.3574239130434783,30.293,26.914,30.684,27.237000000000002,23.977999999999998,20.827,32.883,0.24647586883470216,0.24209885425529135,0.26160491469073893,0.22764582883831208,0.2937716933924379,0.2929387419996967,0.281295598841107,0.3154331065759637,0.3336024844720497,139.106,53.71,0.2529920959807564,0.2867673551745191,0.3202923588039867,192.816,0.262329315540152,192.816,192.816,7.859,53.892,51.582,51.097,28.386,
JLG,0.14654090150250418,0.16988757224667203,0.04,1.262,0.051,0.098,0.16,87.778,0.14457326892109504,3.2510370370370367,0.1037037037037037,0.05653846153846154,0.04996153846153846,0.05269230769230769,0.04807692307692308,0.048346153846153844,0.04692307692307692,0.046538461538461535,0.07526923076923077,0.1898076923076923,0.22242307692307695,0.19846153846153847,0.15357692307692308,0.222,0.2345,0.24115384615384614,0.20734615384615385,0.16403846153846155,0.17396153846153845,0.18276923076923077,0.17300000000000001,0.22515384615384615,0.25584615384615383,2.8,1.47,1.299,1.3699999999999999,1.25,1.257,1.22,1.21,1.957,4.935,5.783,5.16,3.9930000000000003,5.772,6.0969999999999995,6.27,5.391,4.265000000000001,4.523,4.752,4.498,5.854,6.652,2.8,1.47,1.299,1.3699999999999999,1.25,1.257,1.22,1.21,1.957,4.935,5.783,5.16,3.9930000000000003,5.772,6.0969999999999995,6.27,5.391,4.265000000000001,4.523,4.752,4.498,5.854,6.652,0.054269230769230764,0.20346153846153844,0.196625,0.20919230769230768,0.06219458689458689,5.644,31.740000000000002,20.448999999999998,21.756,8.189,0.023537598524992008,0.03479735947709551,0.05882146672115424,0.09724629663119096,0.01070198096845073,0.12268478260869564,0.14146739130434782,0.1955434782608696,0.14294565217391303,0.1368285714285714,0.1413623188405797,0.14133695652173914,11.286999999999999,13.015,17.990000000000002,13.151,9.578,9.754,13.003,0.10532533892009811,0.15978642690069564,0.22867321148159708,0.1507363876186412,0.17642594796081337,0.1773106256573883,0.16663952522273828,0.14844977168949772,0.14134782608695654,65.021,22.757,0.16972585510874957,0.17074854541362733,0.14654090150250418,87.778,0.16988757224667209,87.778,87.778,3.349,21.453,20.229,23.323,19.424,
JMM,0.28340109890109894,0.25795575738764276,0.064,1.64,0.13025,0.199,0.31375,154.73700000000002,0.2846512148337596,6.447375,0.204375,0.16625,0.14754166666666665,0.13075,0.10808333333333332,0.1215,0.11275,0.1485,0.20370833333333335,0.20633333333333334,0.2713333333333333,0.31966666666666665,0.4444166666666667,0.7856666666666667,0.402375,0.28841666666666665,0.34191666666666665,0.3667391304347826,0.5199565217391304,0.37365217391304345,0.30482608695652175,0.29256521739130437,0.2749130434782609,4.905,3.99,3.541,3.138,2.594,2.916,2.706,3.564,4.889,4.952,6.512,7.672,10.666,18.856,9.657,6.922,8.206,8.435,11.959,8.594,7.011,6.729,6.323,4.905,3.99,3.541,3.138,2.594,2.916,2.706,3.564,4.889,4.952,6.512,7.672,10.666,18.856,9.657,6.922,8.206,8.435,11.959,8.594,7.011,6.729,6.323,0.14661458333333335,0.40496527777777785,0.3792572463768116,0.3114891304347826,0.1514,14.075,58.315,35.522000000000006,28.657,18.168,0.014550396362340531,0.11405123791099601,0.07218214866967064,0.07067476385464262,0.022807422859502754,0.30593478260869567,0.32389534883720933,0.23431884057971014,0.3007101449275362,0.26955072463768115,0.24759420289855072,0.2840869565217391,28.146,27.855,16.168,20.749,18.599,17.084,26.136,0.25994098249654846,0.31242139826804316,0.19562971420770647,0.2663595591461063,0.27562472015361983,0.20635294713046584,0.25365151538394065,0.28965454545454544,0.2684472049689441,111.517,43.22,0.26717548001493724,0.23455955801835054,0.2834010989010989,154.737,0.25795575738764265,154.737,154.737,3.986,44.806,45.211,44.711,16.023,
MANA,0.2633979933110368,0.27539697334446095,0.052,2.011,0.111,0.156,0.3135,157.512,0.2633979933110368,6.0581538461538464,0.22292307692307695,0.12976923076923078,0.10753846153846153,0.12346153846153846,0.09926923076923076,0.10903846153846154,0.10511538461538462,0.10342307692307692,0.22776923076923075,0.24665384615384617,0.245,0.2164230769230769,0.314,0.3802692307692308,0.5240384615384616,0.2788846153846154,0.2758076923076923,0.3221923076923077,0.38973076923076927,0.331,0.32723076923076927,0.5464615384615384,0.43215384615384617,5.796,3.374,2.796,3.21,2.581,2.835,2.733,2.689,5.922,6.413,6.37,5.627,8.164,9.887,13.625,7.251,7.171,8.377,10.133000000000001,8.606,8.508000000000001,14.208,11.236,5.796,3.374,2.796,3.21,2.581,2.835,2.733,2.689,5.922,6.413,6.37,5.627,8.164,9.887,13.625,7.251,7.171,8.377,10.133000000000001,8.606,8.508000000000001,14.208,11.236,0.13633653846153845,0.32106410256410256,0.3166538461538462,0.40921153846153846,0.1365923076923077,14.178999999999998,50.086,32.932,42.55800000000001,17.756999999999998,0.09185298214697107,0.07270640185203606,0.11866336393094679,0.09070307659044843,0.040169274249726925,0.30420652173913043,0.27192391304347824,0.26480434782608697,0.2523695652173913,0.2268695652173913,0.22220289855072464,0.28197826086956523,27.987000000000002,25.017,24.362000000000002,23.218,15.654,15.332,25.942,0.2699998183981269,0.3388938448883384,0.2734473547231066,0.25061606367357514,0.19674729335483943,0.27855734332608545,0.2842498505614294,0.2659908466819222,0.25636024844720495,116.238,41.274,0.2730130468846418,0.2825099899294499,0.2633979933110368,157.512,0.2753969733444609,157.512,157.512,7.414,39.5,39.545,39.545,31.508,
