archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2023-07,Julio,2023-06-26/2023-07-02,2023-07-03/2023-07-09,2023-07-10/2023-07-16,2023-07-17/2023-07-23,2023-07-24/2023-07-30,2023-07-31/2023-08-06
ABLD,0.16697475455820476,0.17195280229093426,0.047,2.33,0.08,0.114,0.186,119.053,0.16697475455820476,3.84041935483871,0.13206451612903228,0.10425806451612904,0.09380645161290323,0.10058064516129032,0.11225806451612903,0.0997741935483871,0.09619354838709676,0.17419354838709677,0.12625806451612903,0.13961290322580647,0.19393548387096773,0.19383870967741937,0.22990322580645162,0.22496774193548388,0.2472258064516129,0.25693548387096776,0.2068709677419355,0.15912903225806452,0.16616129032258065,0.19696774193548386,0.20096774193548386,0.1791290322580645,0.20538709677419356,4.094,3.232,2.908,3.118,3.48,3.093,2.9819999999999998,5.4,3.914,4.328,6.012,6.009,7.127,6.974,7.664,7.965,6.413,4.933,5.151,6.106,6.2299999999999995,5.553,6.367,4.094,3.232,2.908,3.118,3.48,3.093,2.9819999999999998,5.4,3.914,4.328,6.012,6.009,7.127,6.974,7.664,7.965,6.413,4.933,5.151,6.106,6.2299999999999995,5.553,6.367,0.12410483870967741,0.20491397849462367,0.1972741935483871,0.19561290322580643,0.10859354838709678,15.389,38.114,24.462,24.256,16.832,0.045013394189736676,0.10070250156306246,0.07466033083974802,0.040006815139916184,0.023078844035153912,0.18422608695652173,0.17630434782608695,0.18432608695652172,0.16502173913043477,0.14277173913043478,0.11903478260869566,0.19724347826086958,21.186,16.22,16.958,15.182,13.135,13.689,22.683,0.16837083449930498,0.14559938557490473,0.15279226065605533,0.13250950438736891,0.12039788462061121,0.10115759204666942,0.2839198858865484,0.17118219461697723,0.15813913043478262,82.681,36.372,0.14630934067170073,0.2162386635120876,0.16697475455820476,119.053,0.1719528022909343,119.053,119.053,7.4319999999999995,21.897,29.307,26.754,29.272,4.391
AJVG,0.12583309957924263,0.14606430946122578,0.005,1.135,0.053,0.076,0.149,89.719,0.12583309957924263,2.8941612903225815,0.10829032258064515,0.10312903225806452,0.07383870967741936,0.07541935483870968,0.08199999999999999,0.06925806451612902,0.16,0.38748387096774195,0.07551612903225807,0.0876774193548387,0.09564516129032258,0.09274193548387097,0.17325806451612902,0.15829032258064515,0.13096774193548388,0.10332258064516128,0.09570967741935484,0.1224516129032258,0.12241935483870968,0.1193548387096774,0.14661290322580645,0.18274193548387097,0.12803225806451615,3.3569999999999998,3.197,2.289,2.338,2.542,2.147,4.96,12.012,2.341,2.718,2.965,2.875,5.3709999999999996,4.907,4.0600000000000005,3.203,2.967,3.796,3.795,3.6999999999999997,4.545,5.665,3.9690000000000003,3.3569999999999998,3.197,2.289,2.338,2.542,2.147,4.96,12.012,2.341,2.718,2.965,2.875,5.3709999999999996,4.907,4.0600000000000005,3.203,2.967,3.796,3.795,3.6999999999999997,4.545,5.665,3.9690000000000003,0.1730645161290323,0.12309677419354838,0.11097580645161291,0.14418548387096775,0.08853548387096773,21.46,22.896,13.761,17.879,13.723,0.13244859030440842,0.06627177986348513,0.022461385831088365,0.04804118088886998,0.014172933976284304,0.13516521739130435,0.15867391304347828,0.14379347826086955,0.11901086956521739,0.11434782608695651,0.10479130434782609,0.11154782608695651,15.544,14.598,13.229,10.949,10.52,12.051,12.828,0.15108867678698432,0.16160017875463753,0.14540806831337078,0.13665175877850064,0.13353021099350296,0.13314716140567556,0.1543211645089813,0.13424430641821947,0.10816956521739131,64.84,24.879,0.14650765187444934,0.143848361251509,0.12583309957924263,89.719,0.14606430946122578,89.719,89.719,3.599,25.83,20.049,25.105,15.015,0.121
FMB,0.17893127629733518,0.19666405234282772,0.032,1.144,0.054,0.086,0.243,127.57799999999999,0.17893127629733524,4.11541935483871,0.17661290322580644,0.105,0.09716129032258064,0.09409677419354838,0.08403225806451613,0.10390322580645162,0.06274193548387097,0.07980645161290323,0.08458064516129032,0.1452258064516129,0.18483870967741933,0.23990322580645163,0.255741935483871,0.2918064516129032,0.18851612903225806,0.17293548387096777,0.19312903225806452,0.2501935483870968,0.25129032258064515,0.2956774193548387,0.2856451612903226,0.239,0.23358064516129032,5.475,3.255,3.012,2.917,2.605,3.221,1.945,2.474,2.622,4.502,5.7299999999999995,7.437,7.928,9.046,5.844,5.361000000000001,5.987,7.756,7.79,9.166,8.855,7.409,7.241,5.475,3.255,3.012,2.917,2.605,3.221,1.945,2.474,2.622,4.502,5.7299999999999995,7.437,7.928,9.046,5.844,5.361000000000001,5.987,7.756,7.79,9.166,8.855,7.409,7.241,0.08275806451612903,0.21767204301075269,0.21688709677419354,0.2634758064516129,0.11138064516129031,10.262,40.487,26.894,32.671,17.264,0.021496202654090763,0.04403099860607331,0.04097334701563918,0.045785503411707985,0.02691946864128879,0.22541739130434782,0.15869565217391304,0.2042391304347826,0.17180434782608697,0.1166304347826087,0.15871304347826087,0.20414782608695653,25.923,14.6,18.79,15.806000000000001,10.73,18.252,23.477,0.22584041806490593,0.15900236636088533,0.2280194887354842,0.1694509711664124,0.09858133445589784,0.19003230405055146,0.2341521189267016,0.17774120082815736,0.1814304347826087,85.849,41.729,0.1880778765719573,0.21398486240952067,0.1789312762973352,127.578,0.19666405234282777,127.578,127.578,5.097,27.94,28.468,35.873,23.067,7.133
GPC,0.148164095371669,0.13668643789547189,0.029,1.124,0.075,0.107,0.164,105.64099999999999,0.14816409537166902,3.407774193548387,0.0935483870967742,0.10283870967741936,0.08816129032258065,0.0775483870967742,0.08122580645161291,0.08425806451612904,0.11306451612903226,0.2589032258064516,0.1937741935483871,0.13951612903225807,0.14506451612903226,0.1407741935483871,0.15751612903225806,0.12309677419354838,0.20148387096774195,0.13606451612903225,0.19135483870967743,0.16219354838709676,0.1661290322580645,0.23958064516129032,0.1706451612903226,0.19416129032258064,0.14687096774193548,2.9,3.188,2.733,2.404,2.5180000000000002,2.612,3.505,8.026,6.007,4.325,4.497,4.364,4.883,3.816,6.246,4.218,5.932,5.028,5.1499999999999995,7.427,5.29,6.019,4.553,2.9,3.188,2.733,2.404,2.5180000000000002,2.612,3.505,8.026,6.007,4.325,4.497,4.364,4.883,3.816,6.246,4.218,5.932,5.028,5.1499999999999995,7.427,5.29,6.019,4.553,0.16249999999999998,0.15124193548387097,0.16393548387096774,0.18781451612903227,0.08866451612903227,20.15,28.131,20.328,23.288999999999998,13.743,0.12003360729211832,0.03508014230438122,0.044518870271379886,0.05514444489760585,0.026720648769152578,0.1592,0.17385869565217393,0.12985869565217392,0.14957608695652172,0.14844565217391303,0.14271304347826086,0.13531304347826087,18.308,15.995000000000001,11.947000000000001,13.761,13.657,16.412,15.561,0.13982766335241567,0.16921373320736205,0.09346099633345785,0.15346898843379872,0.14395911844369735,0.13197466298680421,0.11585164176027338,0.1525217391304348,0.13901304347826088,73.668,31.973,0.14226391611836886,0.12395915936940746,0.14816409537166902,105.641,0.1366864378954718,105.641,105.641,7.639,29.604,21.302,21.755,23.075,2.266
JACL,0.1945736325385694,0.25124801520903034,0.028,1.277,0.064,0.122,0.159,138.731,0.1945736325385694,4.475193548387097,0.20141935483870968,0.09103225806451613,0.09606451612903226,0.0832258064516129,0.07419354838709677,0.08861290322580646,0.07561290322580645,0.06964516129032257,0.09241935483870968,0.10287096774193548,0.12109677419354839,0.1026774193548387,0.09516129032258065,0.16674193548387095,0.461258064516129,0.5366129032258065,0.34019354838709676,0.2889354838709678,0.3389354838709677,0.31883870967741934,0.19990322580645162,0.1942258064516129,0.3355161290322581,6.244,2.822,2.978,2.58,2.3,2.7470000000000003,2.344,2.159,2.865,3.189,3.754,3.183,2.95,5.169,14.299,16.635,10.546,8.957,10.507,9.884,6.197,6.021,10.401,6.244,2.822,2.978,2.58,2.3,2.7470000000000003,2.344,2.159,2.865,3.189,3.754,3.183,2.95,5.169,14.299,16.635,10.546,8.957,10.507,9.884,6.197,6.021,10.401,0.08157258064516129,0.17496774193548384,0.37616935483870967,0.2621209677419355,0.10918709677419355,10.115,32.544,46.645,32.503,16.924,0.005357170584383796,0.13098294125949428,0.053146387538002805,0.0348333208729198,0.07368748790589384,0.1799913043478261,0.2724782608695652,0.16016304347826085,0.18670652173913044,0.18639130434782608,0.1734608695652174,0.20831304347826088,20.699,25.068,14.735,17.177,17.148,19.948,23.956,0.23735654931488562,0.3515099447817354,0.1895567575516436,0.21487474184341504,0.24308737435725938,0.22506861670901032,0.26289432755378017,0.19632919254658385,0.19088695652173915,94.827,43.904,0.25449177512565724,0.24480225564853247,0.1945736325385694,138.731,0.2512480152090304,138.731,138.731,5.052,24.149,38.447,36.466,30.433,4.184
JALG,0.2337194950911641,0.18548325850063768,0.073,1.719,0.111,0.167,0.295,166.642,0.23371949509116413,5.375548387096774,0.17600000000000002,0.11980645161290322,0.11196774193548388,0.11319354838709678,0.10687096774193547,0.10496774193548387,0.12067741935483871,0.23141935483870968,0.3542258064516129,0.39880645161290323,0.2781935483870968,0.24583870967741936,0.3425483870967742,0.32351612903225807,0.3173548387096774,0.2723225806451613,0.25151612903225806,0.26325806451612904,0.22616129032258064,0.20296774193548386,0.23312903225806453,0.2794516129032258,0.30135483870967744,5.456,3.714,3.471,3.509,3.3129999999999997,3.254,3.741,7.174,10.981,12.363,8.624,7.621,10.619,10.029,9.838,8.442,7.797,8.161,7.011,6.292,7.227,8.663,9.342,5.456,3.714,3.471,3.509,3.3129999999999997,3.254,3.741,7.174,10.981,12.363,8.624,7.621,10.619,10.029,9.838,8.442,7.797,8.161,7.011,6.292,7.227,8.663,9.342,0.2028225806451613,0.31770967741935485,0.2533145161290323,0.2542258064516129,0.12556774193548387,25.15,59.094,31.410999999999998,31.524,19.462999999999997,0.12233511321901115,0.0544069291576413,0.018432936763713777,0.018109390096585742,0.013937538726682684,0.2293304347826087,0.2679565217391304,0.25856521739130434,0.22561956521739132,0.22007608695652173,0.20629565217391305,0.2356608695652174,26.373,24.652,23.788,20.757,20.247,23.724,27.101,0.19510274943610767,0.23169968783236397,0.24371192255295543,0.16261123613849754,0.1580662841693738,0.11409468012822581,0.17333487956242805,0.23978674948240164,0.22097826086956524,115.817,50.825,0.2010441676210304,0.14715225296116727,0.2337194950911641,166.642,0.18548325850063757,166.642,166.642,10.463,36.046,40.616,34.773,39.702,5.042
JLG,0.17978541374474055,0.2223557990248423,0.057,1.623,0.069,0.081,0.154,128.187,0.17978541374474055,4.135064516129033,0.10564516129032257,0.08735483870967743,0.08016129032258064,0.07819354838709677,0.07896774193548387,0.07561290322580645,0.07319354838709678,0.08038709677419355,0.11109677419354838,0.12274193548387097,0.10303225806451613,0.12238709677419354,0.184,0.2507741935483871,0.3205483870967742,0.4015161290322581,0.3024516129032258,0.2736774193548387,0.28003225806451615,0.26725806451612905,0.2425483870967742,0.2661612903225806,0.2273225806451613,3.275,2.708,2.485,2.424,2.448,2.344,2.269,2.492,3.444,3.805,3.194,3.794,5.704,7.774,9.937,12.447000000000001,9.376,8.484,8.681000000000001,8.285,7.519,8.251,7.047000000000001,3.275,2.708,2.485,2.424,2.448,2.344,2.269,2.492,3.444,3.805,3.194,3.794,5.704,7.774,9.937,12.447000000000001,9.376,8.484,8.681000000000001,8.285,7.519,8.251,7.047000000000001,0.0850725806451613,0.18391397849462365,0.3144193548387097,0.2508225806451613,0.08606451612903225,10.549,34.208,38.988,31.102,13.34,0.03131554862695726,0.14201531565469871,0.0890077564256827,0.021180399011829325,0.01051612475018736,0.23683478260869567,0.29543478260869566,0.1868804347826087,0.1967608695652174,0.1240108695652174,0.10040869565217392,0.13495652173913042,27.236,27.18,17.193,18.102,11.409,11.547,15.52,0.28772397623217955,0.33396888399994995,0.20877238472553,0.19672434943538133,0.11021402700512352,0.07582318948760483,0.1749420150203333,0.20935817805383022,0.11768260869565217,101.12,27.067,0.24814809958195155,0.1356364558952993,0.17978541374474055,128.187,0.2223557990248423,128.187,128.187,4.845,28.499,42.583,31.553,13.499,7.208
JMM,0.34128751753155684,0.22125197281830417,0.109,1.76,0.189,0.284,0.438,243.33800000000002,0.34128751753155684,7.8496129032258075,0.2992580645161291,0.21090322580645163,0.198,0.18064516129032257,0.19599999999999998,0.17796774193548387,0.18448387096774194,0.21629032258064515,0.2486774193548387,0.2456451612903226,0.309258064516129,0.41670967741935483,0.5358064516129032,0.5870322580645161,0.5361612903225806,0.45061290322580644,0.39806451612903226,0.39,0.3999677419354839,0.4053225806451613,0.40077419354838706,0.4103548387096774,0.4516774193548387,9.277000000000001,6.538,6.138,5.6,6.076,5.517,5.719,6.705,7.709,7.615,9.587,12.918,16.61,18.198,16.621,13.969,12.34,12.09,12.399000000000001,12.565,12.424,12.721,14.001999999999999,9.277000000000001,6.538,6.138,5.6,6.076,5.517,5.719,6.705,7.709,7.615,9.587,12.918,16.61,18.198,16.621,13.969,12.34,12.09,12.399000000000001,12.565,12.424,12.721,14.001999999999999,0.2068548387096774,0.4384354838709677,0.4096612903225807,0.4170322580645161,0.21696129032258066,25.650000000000002,81.54899999999999,50.798,51.71199999999999,33.629000000000005,0.025519717032069563,0.10231960587976696,0.08336011894766933,0.01797243028103195,0.018865451999824596,0.32946956521739135,0.3357934782608696,0.29832608695652174,0.2952826086956522,0.37213043478260865,0.3465652173913043,0.3987217391304348,37.889,30.893,27.446,27.166,34.236,39.855,45.853,0.21133935136178453,0.17591209955596107,0.18242193023502867,0.13959307628591783,0.23574116078385837,0.2393545828335385,0.2917445574538905,0.3263561076604555,0.3726434782608696,157.63,85.708,0.19394180774515152,0.267534797681314,0.3412875175315568,243.338,0.22125197281830425,243.338,243.338,12.474,41.326,58.464999999999996,65.378,58.677,7.018
MANA,0.28486255259467047,0.3712784974311212,0.065,2.644,0.111,0.174,0.285,203.10700000000003,0.28486255259467047,6.551838709677419,0.27270967741935487,0.18370967741935484,0.14651612903225805,0.14406451612903226,0.14051612903225805,0.13635483870967743,0.12919354838709676,0.12925806451612903,0.1463225806451613,0.20906451612903226,0.2828064516129032,0.22370967741935485,0.2218709677419355,0.3599032258064516,0.5213548387096774,0.5148709677419355,0.37951612903225806,0.3781612903225806,0.4966774193548387,0.5119032258064516,0.3773870967741935,0.3332258064516129,0.31274193548387097,8.454,5.695,4.542,4.466,4.356,4.227,4.005,4.007,4.5360000000000005,6.481,8.767,6.9350000000000005,6.878,11.157,16.162,15.961,11.765,11.722999999999999,15.397,15.869,11.699,10.33,9.695,8.454,5.695,4.542,4.466,4.356,4.227,4.005,4.007,4.5360000000000005,6.481,8.767,6.9350000000000005,6.878,11.157,16.162,15.961,11.765,11.722999999999999,15.397,15.869,11.699,10.33,9.695,0.13528225806451613,0.30311827956989246,0.4423064516129032,0.3838145161290323,0.17750322580645161,16.775,56.38,54.846,47.592999999999996,27.513000000000005,0.00970582450296583,0.17323928514303555,0.12532086399714132,0.13406857973646186,0.07542222941701458,0.22687826086956522,0.34394565217391304,0.35778260869565215,0.33318478260869566,0.3000978260869565,0.2561826086956522,0.21507826086956525,26.091,31.643,32.916,30.653,27.608999999999998,29.461,24.734,0.22712420853403548,0.48865942125460826,0.4107209374811901,0.4145183602383344,0.42104571701823307,0.36353598684308697,0.23440432708965164,0.3083064182194617,0.2356304347826087,148.912,54.195,0.3968173609436371,0.30588823762420264,0.2848625525946704,203.107,0.371278497431121,203.107,203.107,10.359,32.156,20.934,72.381,61.852,5.425
MBGV,0.163835904628331,0.15823869841268035,0.083,1.408,0.098,0.107,0.148,116.815,0.16383590462833103,3.768225806451613,0.1680967741935484,0.1250967741935484,0.1107741935483871,0.1077741935483871,0.1077741935483871,0.1095483870967742,0.10135483870967742,0.13374193548387098,0.1941935483870968,0.25351612903225806,0.2016774193548387,0.15270967741935484,0.1397741935483871,0.20516129032258065,0.21506451612903224,0.13145161290322582,0.12383870967741935,0.17996774193548387,0.20593548387096774,0.17216129032258062,0.2130967741935484,0.22432258064516128,0.19119354838709676,5.211,3.878,3.434,3.341,3.341,3.396,3.142,4.146,6.0200000000000005,7.859,6.252,4.734,4.333,6.36,6.667,4.075,3.839,5.579,6.384,5.337,6.606,6.954,5.927,5.211,3.878,3.434,3.341,3.341,3.396,3.142,4.146,6.0200000000000005,7.859,6.252,4.734,4.333,6.36,6.667,4.075,3.839,5.579,6.384,5.337,6.606,6.954,5.927,0.13470967741935486,0.19465053763440862,0.1602983870967742,0.20019354838709677,0.12390322580645163,16.704,36.205,19.877,24.823999999999998,19.205000000000002,0.048188781404136974,0.08603120262867914,0.11049857013401357,0.032389099276874785,0.05202332181055678,0.1623217391304348,0.16627173913043478,0.16734782608695653,0.21082608695652175,0.14270652173913043,0.14905217391304346,0.15468695652173914,18.667,15.297,15.396,19.396,13.129,17.141,17.789,0.1836778046655977,0.1481332265864759,0.1320059468176422,0.19551586364887627,0.10757839339862951,0.1286844940480031,0.1801307208189687,0.16953416149068323,0.1518695652173913,81.885,34.93,0.15903559315028393,0.15621894398031702,0.163835904628331,116.815,0.15823869841268043,116.815,116.815,4.5040000000000004,34.952,27.101,19.172,28.711,2.375
