archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2024-08,Agosto,2024-07-29/2024-08-04,2024-08-05/2024-08-11,2024-08-12/2024-08-18,2024-08-19/2024-08-25,2024-08-26/2024-09-01
ABLD,0.18421037868162696,0.1851508208600907,0.065,1.323,0.082,0.108,0.203,131.342,0.1842103786816269,4.236838709677418,0.16003225806451613,0.11006451612903226,0.10761290322580645,0.12416129032258065,0.13803225806451613,0.118,0.11196774193548388,0.1710967741935484,0.11564516129032258,0.11777419354838708,0.17664516129032257,0.21974193548387097,0.25970967741935486,0.23683870967741935,0.2618064516129032,0.2846774193548387,0.22593548387096776,0.2018709677419355,0.22135483870967743,0.2202258064516129,0.16129032258064516,0.23970967741935484,0.25264516129032255,4.961,3.412,3.336,3.849,4.279,3.658,3.471,5.304,3.585,3.651,5.476,6.812,8.051,7.342,8.116,8.825,7.0040000000000004,6.258,6.862,6.827,5.0,7.431,7.832,4.961,3.412,3.336,3.849,4.279,3.658,3.471,5.304,3.585,3.651,5.476,6.812,8.051,7.342,8.116,8.825,7.0040000000000004,6.258,6.862,6.827,5.0,7.431,7.832,0.1291774193548387,0.21208602150537637,0.23345967741935483,0.21846774193548388,0.12798064516129032,16.018,39.448,28.948999999999998,27.09,19.837000000000003,0.05935853378535857,0.08720475658008266,0.0669457383682991,0.04554896403220588,0.04834835220790282,0.21327173913043476,0.17878260869565218,0.19278260869565217,0.19837391304347826,0.1805304347826087,0.16890434782608696,0.15803260869565217,19.621,16.448,17.736,22.813,20.761,19.424,14.539,0.23029785316100662,0.14649950876315318,0.20065474289950136,0.19252361262651474,0.18335400147003186,0.1539499789982518,0.18165953247263097,0.19244861660079052,0.16407246376811593,97.379,33.963,0.19180608588426176,0.166502076039471,0.18421037868162696,131.342,0.18515082086009071,131.342,131.342,21.362,32.233,20.147,37.065,20.535
AJVG,0.11715427769985975,0.12885725612900864,0.036,1.251,0.058,0.075,0.113,83.531,0.11715427769985975,2.694548387096774,0.09341935483870968,0.09232258064516129,0.08183870967741935,0.07251612903225807,0.09161290322580645,0.08587096774193548,0.17193548387096774,0.20358064516129032,0.09706451612903226,0.09816129032258065,0.10193548387096775,0.20670967741935484,0.14838709677419354,0.12603225806451612,0.1482258064516129,0.1077741935483871,0.10825806451612903,0.11829032258064516,0.09048387096774194,0.09483870967741935,0.10848387096774194,0.1306774193548387,0.11612903225806452,2.896,2.862,2.537,2.248,2.84,2.662,5.33,6.311,3.009,3.043,3.16,6.408,4.6,3.907,4.595,3.341,3.356,3.667,2.805,2.94,3.363,4.051,3.6,2.896,2.862,2.537,2.248,2.84,2.662,5.33,6.311,3.009,3.043,3.16,6.408,4.6,3.907,4.595,3.341,3.356,3.667,2.805,2.94,3.363,4.051,3.6,0.13961290322580644,0.13824193548387095,0.1062016129032258,0.11253225806451612,0.08634193548387097,17.312,25.712999999999997,13.169,13.953999999999999,13.383,0.08215399729791913,0.08689049853961064,0.02348215632251147,0.017689429171951834,0.012983872304103632,0.12328260869565218,0.12225,0.12142391304347826,0.1188,0.10064347826086957,0.1089913043478261,0.13044565217391305,11.342,11.247,11.171,13.662,11.574,12.534,12.001,0.15132791888768632,0.11005549299540453,0.11271204521331418,0.10437148565362027,0.101288383783877,0.14730005750598407,0.16680556320145504,0.11659288537549407,0.11852657004830917,58.996,24.535,0.11597732907845812,0.156245568540883,0.11715427769985975,83.531,0.12885725612900864,83.531,83.531,7.478,11.229,14.741,29.447,20.636
ATF,0.10109677419354837,0.03254725006464554,0.059,0.302,0.07,0.101,0.127,72.082,0.1010967741935484,2.3252258064516127,0.10435483870967742,0.09929032258064516,0.0967741935483871,0.09980645161290322,0.10174193548387096,0.0982258064516129,0.09635483870967743,0.0992258064516129,0.10196774193548387,0.10158064516129033,0.10161290322580645,0.10212903225806451,0.1053225806451613,0.1042258064516129,0.09825806451612903,0.09961290322580646,0.09929032258064516,0.09764516129032258,0.09987096774193549,0.10561290322580645,0.10309677419354839,0.10529032258064515,0.10393548387096774,3.235,3.078,3.0,3.094,3.154,3.045,2.987,3.076,3.161,3.149,3.15,3.166,3.265,3.231,3.0460000000000003,3.088,3.078,3.027,3.096,3.274,3.196,3.264,3.222,3.235,3.078,3.0,3.094,3.154,3.045,2.987,3.076,3.161,3.149,3.15,3.166,3.265,3.231,3.0460000000000003,3.088,3.078,3.027,3.096,3.274,3.196,3.264,3.222,0.09894354838709676,0.10218817204301077,0.09910483870967743,0.10448387096774193,0.10039354838709677,12.269,19.007,12.289000000000001,12.956,15.560999999999998,0.002332290716337416,0.0021634319762280653,0.001054420251063967,0.005840194012131661,0.002187569958341905,0.0963695652173913,0.10034782608695651,0.1016413043478261,0.10739130434782608,0.0982695652173913,0.10505217391304347,0.09675,8.866,9.232,9.351,12.35,11.301,12.081,8.901,0.02860750588945985,0.030868182980164128,0.030970592759299878,0.03374795527325853,0.028097674792706147,0.04213904375268311,0.02819774170678634,0.10098814229249012,0.10136231884057971,51.1,20.982,0.030698467367611476,0.036756072484690046,0.10109677419354837,72.082,0.03254725006464553,72.082,72.082,9.448,15.508,15.252,17.031,14.843
FMB,0.1774460028050491,0.17677758581636357,0.033,1.065,0.053,0.085,0.25,126.519,0.17744600280504913,4.081258064516129,0.13629032258064516,0.10270967741935484,0.09725806451612903,0.16383870967741934,0.11190322580645161,0.09335483870967742,0.08445161290322581,0.10490322580645162,0.1858709677419355,0.21806451612903224,0.20051612903225807,0.23416129032258065,0.2270967741935484,0.24287096774193548,0.17216129032258062,0.15067741935483872,0.2102258064516129,0.22112903225806452,0.18487096774193548,0.21793548387096776,0.27661290322580645,0.24906451612903227,0.19529032258064516,4.225,3.184,3.015,5.079,3.469,2.894,2.618,3.2520000000000002,5.7620000000000005,6.76,6.216,7.259,7.04,7.529,5.337,4.671,6.517,6.855,5.731,6.756,8.575,7.721,6.054,4.225,3.184,3.015,5.079,3.469,2.894,2.618,3.2520000000000002,5.7620000000000005,6.76,6.216,7.259,7.04,7.529,5.337,4.671,6.517,6.855,5.731,6.756,8.575,7.721,6.054,0.11714516129032258,0.21581182795698925,0.19172580645161288,0.2347258064516129,0.1224,14.526000000000002,40.141000000000005,23.774,29.106,18.972,0.03796477868589442,0.03748266645467274,0.022880520020101488,0.03289953180926928,0.015462613136926675,0.15610869565217392,0.17527173913043478,0.18457608695652175,0.19178260869565217,0.18884347826086956,0.20630434782608698,0.12558695652173912,14.362,16.125,16.981,22.055,21.717,23.725,11.554,0.15753391098543795,0.18636423649159733,0.20227791966628447,0.18075629530221246,0.1782941877664674,0.1858123545980769,0.1237922002348577,0.18031620553359684,0.17042995169082129,91.24,35.279,0.18115329872196845,0.16580964542515936,0.1774460028050491,126.519,0.17677758581636352,126.519,126.519,23.347,45.106,16.751,17.931,23.384
GPC,0.1331304347826087,0.14140397975644953,0.03,2.132,0.069,0.095,0.133,94.922,0.1331304347826087,3.062,0.09287096774193548,0.07670967741935485,0.08700000000000001,0.08580645161290323,0.07358064516129033,0.07345161290322581,0.08790322580645162,0.14387096774193547,0.15183870967741936,0.1895806451612903,0.1747741935483871,0.14006451612903226,0.148,0.23941935483870966,0.203,0.1275483870967742,0.13925806451612904,0.13690322580645162,0.11812903225806451,0.12538709677419355,0.1681290322580645,0.157,0.12177419354838709,2.879,2.378,2.697,2.66,2.281,2.277,2.725,4.46,4.707,5.877,5.418,4.342,4.588,7.422,6.293,3.954,4.317,4.244,3.662,3.887,5.212,4.867,3.775,2.879,2.378,2.697,2.66,2.281,2.277,2.725,4.46,4.707,5.877,5.418,4.342,4.588,7.422,6.293,3.954,4.317,4.244,3.662,3.887,5.212,4.867,3.775,0.11426612903225807,0.1824731182795699,0.13045967741935485,0.14307258064516126,0.08319354838709678,14.169,33.940000000000005,16.177,17.741,12.895000000000001,0.07371314149957255,0.08820098902789013,0.024035106141269903,0.03783147781167954,0.0028207423165593905,0.20215217391304346,0.1388695652173913,0.12452173913043478,0.12534782608695652,0.12843478260869565,0.10392173913043479,0.11908695652173913,18.598,12.776,11.456,14.415,14.77,11.951,10.956,0.26770629037680477,0.11290832782446374,0.11077107154599382,0.11189116292953558,0.11944396986642872,0.0941745437934439,0.09373491405934276,0.14232213438735178,0.11066183574879226,72.015,22.907,0.1558553435181422,0.09405509458808117,0.1331304347826087,94.922,0.14140397975644958,94.922,94.922,14.702,16.659,20.25,22.674,20.637
JACL,0.25716269284712484,0.29917179952110035,0.036,1.385,0.074,0.136,0.264,183.35700000000003,0.2571626928471248,5.91474193548387,0.3538709677419355,0.16080645161290322,0.08996774193548387,0.08141935483870968,0.0902258064516129,0.10332258064516128,0.08354838709677419,0.08096774193548388,0.10719354838709677,0.10912903225806452,0.118,0.08835483870967742,0.18219354838709678,0.3228064516129032,0.6099677419354839,0.651,0.553,0.4184193548387097,0.4331935483870968,0.3570645161290323,0.3036774193548387,0.2524193548387097,0.3641935483870968,10.97,4.984999999999999,2.789,2.524,2.797,3.203,2.59,2.5100000000000002,3.323,3.383,3.658,2.739,5.648000000000001,10.007,18.909,20.181,17.143,12.971,13.429,11.069,9.414,7.825,11.290000000000001,10.97,4.984999999999999,2.789,2.524,2.797,3.203,2.59,2.5100000000000002,3.323,3.383,3.658,2.739,5.648000000000001,10.007,18.909,20.181,17.143,12.971,13.429,11.069,9.414,7.825,11.290000000000001,0.09375806451612903,0.23840860215053764,0.5139032258064516,0.3193387096774194,0.15525806451612903,11.626,44.344,63.724000000000004,39.598,24.065,0.023205236654758724,0.16028664581325067,0.0248466729249777,0.019202937089735223,0.11582717240230814,0.28589130434782606,0.2516521739130435,0.2410217391304348,0.29926086956521736,0.2661826086956522,0.1928695652173913,0.26655434782608695,26.302,23.152,22.174,34.415,30.611,22.18,24.523,0.346578613460453,0.27745239903717883,0.24885588654775614,0.33375335170027437,0.29742274782363165,0.25249615323590996,0.31976847270288355,0.2700671936758893,0.22561835748792272,136.654,46.703,0.3037261263581141,0.28600374132118667,0.25716269284712484,183.357,0.29917179952110035,183.357,183.357,24.513,60.342,36.043,30.761,31.698
JALG,0.22917251051893409,0.24263450393893704,0.07,1.482,0.085,0.139,0.247,163.4,0.22917251051893406,5.270967741935485,0.16574193548387098,0.1145483870967742,0.10829032258064517,0.11229032258064517,0.111,0.1040967741935484,0.10190322580645163,0.1546451612903226,0.16406451612903228,0.17832258064516127,0.24580645161290324,0.27880645161290324,0.31806451612903225,0.3369354838709678,0.4153548387096774,0.4022903225806452,0.3359032258064516,0.2649032258064516,0.22132258064516128,0.22716129032258064,0.28777419354838707,0.3399354838709677,0.28180645161290324,5.138,3.551,3.357,3.4810000000000003,3.441,3.2270000000000003,3.1590000000000003,4.7940000000000005,5.086,5.528,7.62,8.643,9.86,10.445,12.876,12.471,10.413,8.212,6.861,7.042,8.921,10.538,8.736,5.138,3.551,3.357,3.4810000000000003,3.441,3.2270000000000003,3.1590000000000003,4.7940000000000005,5.086,5.528,7.62,8.643,9.86,10.445,12.876,12.471,10.413,8.212,6.861,7.042,8.921,10.538,8.736,0.13117741935483873,0.29554838709677417,0.3061048387096774,0.28416935483870964,0.1223741935483871,16.266000000000002,54.972,37.957,35.236999999999995,18.968,0.03356708095642451,0.055096681505496445,0.06434733634944706,0.03296822540627422,0.054122203318729294,0.22018478260869567,0.19864130434782606,0.1736195652173913,0.24728695652173913,0.22541739130434782,0.23678260869565218,0.29678260869565215,20.257,18.275,15.973,28.438,25.923,27.23,27.304,0.2549414899194907,0.18043479730196404,0.13604434008858496,0.246146610327552,0.23436090711253166,0.26384620661953995,0.3215140632710053,0.2151501976284585,0.2634492753623188,108.866,54.534,0.21821479374204128,0.2916880666735676,0.22917251051893409,163.4,0.24263450393893718,163.4,163.4,22.112,32.007,39.638,38.208999999999996,31.434
JLG,0.21502244039270685,0.24204930213545514,0.039,1.456,0.063,0.1,0.285,153.31099999999998,0.21502244039270685,4.9455161290322565,0.15603225806451612,0.08219354838709678,0.0766774193548387,0.06835483870967743,0.0667741935483871,0.06432258064516129,0.06012903225806451,0.06251612903225806,0.06587096774193547,0.12306451612903226,0.13361290322580646,0.21425806451612905,0.3193225806451613,0.38938709677419353,0.3696129032258065,0.5106129032258064,0.40338709677419354,0.36238709677419356,0.2944838709677419,0.26606451612903226,0.2944838709677419,0.29874193548387096,0.2632258064516129,4.837,2.548,2.377,2.119,2.07,1.994,1.8639999999999999,1.938,2.042,3.815,4.142,6.642,9.899,12.071,11.458,15.829,12.504999999999999,11.234,9.129,8.248,9.129,9.261,8.16,4.837,2.548,2.377,2.119,2.07,1.994,1.8639999999999999,1.938,2.042,3.815,4.142,6.642,9.899,12.071,11.458,15.829,12.504999999999999,11.234,9.129,8.248,9.129,9.261,8.16,0.06320967741935483,0.2582096774193548,0.39271774193548387,0.2806290322580645,0.09000645161290322,7.837999999999999,48.026999999999994,48.696999999999996,34.798,13.951,0.003132469017825096,0.08410308922347003,0.09461682509386285,0.029915620198806624,0.036271000425002795,0.24816304347826088,0.2115108695652174,0.2033695652173913,0.23138260869565216,0.21009565217391304,0.21338260869565218,0.18480434782608696,22.831,19.459,18.71,26.608999999999998,24.161,24.539,17.002,0.31635646458566474,0.20427747206885036,0.22920304916135784,0.25032917215484796,0.24183755508834026,0.23831633785343348,0.19642196331672374,0.2208893280632411,0.20068115942028983,111.77,41.541,0.25025653294554334,0.22062643554385125,0.21502244039270688,153.311,0.24204930213545517,153.311,153.311,25.548000000000002,55.342,30.768,26.196,15.457
JMM,0.30887657784011224,0.3844047842006682,0.073,5.359,0.135,0.224,0.361,220.229,0.30887657784011213,7.104161290322581,0.21670967741935485,0.15870967741935485,0.1436451612903226,0.13332258064516128,0.12580645161290321,0.12296774193548386,0.11912903225806452,0.1385483870967742,0.1907741935483871,0.16648387096774192,0.18854838709677418,0.2617741935483871,0.39367741935483874,0.6705161290322581,0.7510322580645161,0.6763548387096774,0.4226451612903226,0.3811290322580645,0.3626774193548387,0.39464516129032257,0.39545161290322584,0.36706451612903224,0.3225483870967742,6.718,4.92,4.453,4.133,3.9,3.812,3.693,4.295,5.914,5.161,5.845,8.115,12.204,20.786,23.282,20.967,13.102,11.815,11.243,12.234,12.259,11.379,9.999,6.718,4.92,4.453,4.133,3.9,3.812,3.693,4.295,5.914,5.161,5.845,8.115,12.204,20.786,23.282,20.967,13.102,11.815,11.243,12.234,12.259,11.379,9.999,0.1428548387096774,0.4053387096774193,0.4607016129032258,0.3699274193548387,0.15563870967741936,17.714,75.393,57.127,45.871,24.124,0.013592306801081096,0.3235361173444372,0.4524249679743053,0.08844702597019996,0.018604095917732776,0.3088913043478261,0.2914021739130435,0.2598913043478261,0.29810434782608697,0.2930086956521739,0.3197130434782609,0.39507608695652174,28.418,26.809,23.91,34.282000000000004,33.696,36.767,36.347,0.4936119278422778,0.2591217228407711,0.18273420657672454,0.23853979674270998,0.2569202380032608,0.32590830604816184,0.7169871063210786,0.2907411067193676,0.3532077294685991,147.115,73.114,0.30002490683730426,0.5359836075037938,0.30887657784011224,220.229,0.3844047842006682,220.229,220.229,29.915,64.367,48.916,42.409,34.622
MANA,0.41131837307152874,0.5617224972757136,0.057,2.551,0.104,0.156,0.345,293.27,0.41131837307152874,9.460322580645162,0.4389354838709677,0.1955806451612903,0.12745161290322582,0.11696774193548387,0.13441935483870968,0.11606451612903225,0.12761290322580646,0.11761290322580645,0.1324516129032258,0.22225806451612906,0.30948387096774194,0.24038709677419354,0.2277741935483871,0.2778709677419355,0.5551935483870968,0.8465483870967742,0.9483870967741935,1.0177096774193548,0.9777419354838709,0.7201290322580646,0.46606451612903227,0.4991935483870968,0.644483870967742,13.607,6.063,3.951,3.626,4.167,3.598,3.956,3.646,4.106,6.890000000000001,9.594,7.452,7.061,8.614,17.211,26.243,29.4,31.549,30.31,22.324,14.448,15.475,19.979,13.607,6.063,3.951,3.626,4.167,3.598,3.956,3.646,4.106,6.890000000000001,9.594,7.452,7.061,8.614,17.211,26.243,29.4,31.549,30.31,22.324,14.448,15.475,19.979,0.12343548387096775,0.305494623655914,0.9475967741935483,0.5824677419354839,0.20267096774193546,15.306,56.822,117.50200000000001,72.226,31.414,0.019390636341219143,0.1141484447776815,0.009276415422456491,0.08345238077216333,0.1694526998248629,0.4514782608695652,0.5028695652173913,0.37603260869565214,0.43967826086956524,0.4008782608695652,0.35760000000000003,0.3596413043478261,41.536,46.264,34.595,50.563,46.101,41.124,33.087,0.6299041873463793,0.6325592743348735,0.5084432489339655,0.5615229689858673,0.5717863842905904,0.5155162597194076,0.5069416937997561,0.4329229249011858,0.3585072463768116,219.059,74.211,0.5804791533836613,0.5104851668067932,0.41131837307152874,293.27,0.5617224972757136,293.27,293.27,45.467,112.855,50.915,18.38,65.653
