archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2023-09,Septiembre,2023-08-28/2023-09-03,2023-09-04/2023-09-10,2023-09-11/2023-09-17,2023-09-18/2023-09-24,2023-09-25/2023-10-01
ABLD,0.1821463768115942,0.2016694842184549,0.06,1.626,0.077,0.108,0.1875,125.681,0.1821463768115942,4.189366666666667,0.11133333333333333,0.0942,0.08633333333333333,0.09106666666666666,0.09856666666666666,0.09003333333333334,0.09143333333333332,0.19643333333333332,0.1575,0.11296666666666666,0.16616666666666668,0.13903333333333334,0.15516666666666667,0.2062,0.37923333333333337,0.3137333333333333,0.24653333333333333,0.19773333333333334,0.15180000000000002,0.15573333333333333,0.2859666666666667,0.39740000000000003,0.2648,3.34,2.826,2.59,2.7319999999999998,2.957,2.701,2.743,5.893,4.725,3.389,4.985,4.171,4.655,6.186,11.377,9.411999999999999,7.396,5.932,4.554,4.672,8.579,11.922,7.944,3.34,2.826,2.59,2.7319999999999998,2.957,2.701,2.743,5.893,4.725,3.389,4.985,4.171,4.655,6.186,11.377,9.411999999999999,7.396,5.932,4.554,4.672,8.579,11.922,7.944,0.13385,0.1931277777777778,0.22745,0.275975,0.09630000000000001,16.061999999999998,34.763000000000005,27.294000000000004,33.117000000000004,14.445,0.05487890116973988,0.10418723807080599,0.07115761060742,0.10164599220176194,0.0070224319603292154,0.14554347826086958,0.19605434782608694,0.1994891304347826,0.21589130434782608,0.16677391304347824,0.17728695652173915,0.17904347826086958,13.39,18.037,18.353,19.862,19.179,20.388,16.472,0.11492734571095062,0.25098103619664025,0.2109084221123397,0.25954230452017374,0.1349212285372186,0.19287427798718274,0.21711514709908353,0.1838944099378882,0.17806763285024155,88.821,36.86,0.20106794548889748,0.2034968697206838,0.1821463768115942,125.681,0.20166948421845485,125.681,125.681,8.926,29.797,34.269,27.769000000000002,24.919999999999998
AJVG,0.16270579710144928,0.19283070956100098,0.026,1.455,0.059,0.085,0.1905,112.267,0.1627057971014493,3.742233333333333,0.09576666666666668,0.0773,0.07926666666666667,0.0999,0.07909999999999999,0.07559999999999999,0.15773333333333334,0.5091333333333333,0.20286666666666667,0.11549999999999999,0.16763333333333333,0.13713333333333333,0.22126666666666667,0.2452,0.16449999999999998,0.12396666666666666,0.10136666666666666,0.09753333333333333,0.24116666666666667,0.17096666666666666,0.24533333333333335,0.17779999999999999,0.1562,2.873,2.319,2.378,2.997,2.3729999999999998,2.268,4.732,15.274000000000001,6.086,3.465,5.029,4.114,6.638,7.356,4.935,3.719,3.041,2.926,7.235,5.129,7.36,5.334,4.686,2.873,2.319,2.378,2.997,2.3729999999999998,2.268,4.732,15.274000000000001,6.086,3.465,5.029,4.114,6.638,7.356,4.935,3.719,3.041,2.926,7.235,5.129,7.36,5.334,4.686,0.2363333333333333,0.17520555555555553,0.14100833333333332,0.187575,0.08626666666666667,28.36,31.537000000000003,16.921,22.509,12.94,0.13476106996234088,0.08363646337094922,0.09736665367004678,0.06839129118506498,0.009314951146641008,0.16746739130434782,0.17941304347826087,0.1658913043478261,0.1696413043478261,0.1342782608695652,0.1635304347826087,0.1656195652173913,15.407,16.506,15.262,15.607000000000001,15.442,18.806,15.237,0.18443763358715543,0.21041263239633248,0.1844772511376158,0.18780751085179184,0.16208436983348307,0.2386354601427219,0.1682059727932554,0.1619544513457557,0.16445893719806762,78.224,34.043,0.1853100743272122,0.20979478416061945,0.16270579710144928,112.267,0.19283070956100087,112.267,112.267,13.225999999999999,28.343,21.73,27.134,21.834
FMB,0.17609855072463765,0.16104576285561073,0.032,1.628,0.057,0.1275,0.237,121.50799999999998,0.17609855072463768,4.0502666666666665,0.13663333333333333,0.10536666666666666,0.08226666666666667,0.1037,0.07160000000000001,0.08833333333333333,0.08836666666666668,0.08149999999999999,0.15436666666666668,0.17606666666666668,0.21610000000000001,0.20853333333333335,0.30539999999999995,0.34376666666666666,0.22606666666666667,0.19003333333333333,0.182,0.19506666666666667,0.21533333333333332,0.24630000000000002,0.2399333333333333,0.21276666666666666,0.18076666666666666,4.099,3.161,2.468,3.111,2.148,2.65,2.6510000000000002,2.445,4.631,5.282,6.4830000000000005,6.256,9.161999999999999,10.313,6.782,5.701,5.46,5.852,6.46,7.389,7.1979999999999995,6.383,5.423,4.099,3.161,2.468,3.111,2.148,2.65,2.6510000000000002,2.445,4.631,5.282,6.4830000000000005,6.256,9.161999999999999,10.313,6.782,5.701,5.46,5.852,6.46,7.389,7.1979999999999995,6.383,5.423,0.10314166666666666,0.2459888888888889,0.19560833333333333,0.21994166666666665,0.09991333333333333,12.377,44.278000000000006,23.473,26.393,14.987,0.029654176292519558,0.06310235535263178,0.03581559201422296,0.027201246403443406,0.03771977080717627,0.19165217391304348,0.20608695652173914,0.1915217391304348,0.17921739130434783,0.1324695652173913,0.14992173913043477,0.19927173913043478,17.632,18.96,17.62,16.488,15.234,17.241,18.333,0.14372535123849506,0.16510327451801046,0.16204710197495245,0.13832409991500308,0.0999859921539127,0.19166807693574625,0.19823612866738022,0.17791718426501035,0.1718550724637681,85.934,35.574,0.14386387560499125,0.1956881516097893,0.17609855072463768,121.508,0.1610457628556107,121.508,121.508,11.828,27.051000000000002,26.764,30.639,25.226
GPC,0.16752608695652174,0.1595650475458483,0.029,1.143,0.077,0.113,0.188,115.593,0.16752608695652174,3.8530999999999995,0.10466666666666667,0.08076666666666667,0.07813333333333333,0.07723333333333333,0.08693333333333333,0.07543333333333332,0.11389999999999999,0.30239999999999995,0.24333333333333332,0.22610000000000002,0.20933333333333334,0.17356666666666667,0.1364,0.18526666666666666,0.22136666666666666,0.15813333333333332,0.17193333333333335,0.206,0.17296666666666666,0.19683333333333333,0.2753333333333333,0.2075,0.14956666666666668,3.14,2.423,2.344,2.317,2.608,2.263,3.417,9.072,7.3,6.783,6.28,5.207,4.092,5.558,6.641,4.744,5.158,6.18,5.189,5.905,8.26,6.225,4.487,3.14,2.423,2.344,2.317,2.608,2.263,3.417,9.072,7.3,6.783,6.28,5.207,4.092,5.558,6.641,4.744,5.158,6.18,5.189,5.905,8.26,6.225,4.487,0.18376666666666663,0.19200555555555554,0.17725833333333335,0.20730833333333332,0.08554666666666666,22.052,34.561,21.271,24.877000000000002,12.832,0.1053483155768858,0.05010678767616501,0.049602381077816185,0.045458958555691,0.03239862239659439,0.1612282608695652,0.17255434782608695,0.17375,0.18631521739130436,0.13805217391304347,0.1834086956521739,0.1607717391304348,14.833,15.875,15.985,17.141000000000002,15.876,21.092,14.791,0.16030308541181168,0.1491385051458959,0.17285645604259156,0.1618263843351423,0.10789125807865085,0.20304073982574405,0.1435875582522883,0.16503105590062112,0.17334782608695654,79.71,35.883,0.1505902944842932,0.17902222236253268,0.16752608695652174,115.593,0.15956504754584833,115.593,115.593,13.593,24.899,27.406,27.449,22.246
JACL,0.12668985507246378,0.13297196594986152,0.028,0.974,0.057,0.102,0.135,87.416,0.12668985507246378,2.913866666666667,0.11023333333333334,0.07963333333333335,0.09203333333333334,0.08133333333333333,0.07353333333333333,0.08226666666666667,0.07926666666666667,0.06503333333333333,0.09263333333333333,0.10123333333333333,0.07529999999999999,0.08476666666666667,0.0984,0.1648,0.2831,0.2651,0.22793333333333335,0.1819,0.13486666666666666,0.13036666666666666,0.12196666666666668,0.11776666666666666,0.1704,3.307,2.3890000000000002,2.761,2.44,2.206,2.468,2.378,1.951,2.779,3.037,2.259,2.543,2.952,4.944,8.493,7.953,6.838,5.457,4.046,3.911,3.6590000000000003,3.533,5.112,3.307,2.3890000000000002,2.761,2.44,2.206,2.468,2.378,1.951,2.779,3.037,2.259,2.543,2.952,4.944,8.493,7.953,6.838,5.457,4.046,3.911,3.6590000000000003,3.533,5.112,0.0798,0.1346,0.20245000000000002,0.135125,0.08735333333333334,9.576,24.228,24.294,16.215,13.103,0.014978615284110519,0.07625958601241944,0.038899705298910243,0.03183046641011078,0.0054545236393708126,0.12558695652173912,0.1337608695652174,0.11230434782608696,0.14442391304347826,0.10752173913043478,0.13523478260869565,0.13065217391304348,11.554,12.306000000000001,10.332,13.286999999999999,12.365,15.552,12.02,0.15083789072559836,0.11525217163840089,0.0643764237662565,0.174083612201916,0.083687739132799,0.159803845244713,0.14653682991894804,0.12390062111801242,0.13319806763285025,59.844,27.572,0.12309704391060913,0.15369824299308182,0.12668985507246378,87.416,0.1329719659498615,87.416,87.416,7.007,29.594,22.311,15.533,12.971
JALG,0.25988840579710143,0.21290187443570943,0.072,1.463,0.11,0.179,0.32875,179.32299999999998,0.25988840579710143,5.977433333333333,0.1623,0.12303333333333333,0.12126666666666666,0.1106,0.10653333333333334,0.10826666666666666,0.12926666666666667,0.18566666666666667,0.20706666666666665,0.20603333333333335,0.2378,0.19756666666666664,0.3314333333333333,0.4498,0.4103,0.3796666666666667,0.29606666666666664,0.29003333333333337,0.26796666666666663,0.27773333333333333,0.5408333333333334,0.4852666666666667,0.3529333333333333,4.869,3.691,3.638,3.318,3.196,3.2479999999999998,3.878,5.57,6.212,6.181,7.134,5.927,9.943,13.494,12.309,11.39,8.882,8.701,8.039,8.332,16.225,14.558,10.588,4.869,3.691,3.638,3.318,3.196,3.2479999999999998,3.878,5.57,6.212,6.181,7.134,5.927,9.943,13.494,12.309,11.39,8.882,8.701,8.039,8.332,16.225,14.558,10.588,0.15756666666666666,0.30548888888888887,0.30843333333333334,0.4141916666666667,0.12474666666666667,18.908,54.988,37.012,49.703,18.712,0.04227425841198599,0.09649553263111912,0.021303644923654004,0.11090582725068492,0.01154864943928964,0.25683695652173916,0.25229347826086956,0.2914891304347826,0.26914130434782607,0.24611304347826088,0.225,0.2905108695652174,23.629,23.211,26.817,24.761,28.303,25.875,26.727,0.18010426023076972,0.22200646154557876,0.22486990107176805,0.260990066819601,0.19588314477596758,0.1679594771512232,0.23555557402019336,0.2623623188405797,0.2541159420289855,126.721,52.602000000000004,0.21718680218170427,0.20294675299310216,0.2598884057971015,179.323,0.21290187443570943,179.323,179.323,17.532,39.359,44.013,41.309,37.11
JLG,0.1313217391304348,0.11804052447919007,0.041,1.124,0.064,0.101,0.149,90.61200000000001,0.13132173913043474,3.0204,0.1289,0.09559999999999999,0.07336666666666666,0.06893333333333333,0.06926666666666666,0.06496666666666667,0.06816666666666667,0.0672,0.08413333333333334,0.13226666666666667,0.15243333333333334,0.12240000000000001,0.14773333333333336,0.217,0.17523333333333332,0.19003333333333333,0.19766666666666666,0.14566666666666667,0.15346666666666667,0.1414,0.17543333333333333,0.17470000000000002,0.17443333333333333,3.867,2.868,2.201,2.068,2.078,1.949,2.045,2.016,2.524,3.968,4.573,3.672,4.432,6.51,5.257,5.701,5.93,4.37,4.604,4.242,5.263,5.2410000000000005,5.233,3.867,2.868,2.201,2.068,2.078,1.949,2.045,2.016,2.524,3.968,4.573,3.672,4.432,6.51,5.257,5.701,5.93,4.37,4.604,4.242,5.263,5.2410000000000005,5.233,0.07111666666666666,0.15784444444444445,0.17170833333333332,0.16649166666666665,0.08721333333333332,8.533999999999999,28.412,20.605,19.979,13.081999999999999,0.010093988852837299,0.0400925644687261,0.05315366147919139,0.03325192756923783,0.04872813097125698,0.13369565217391305,0.15294565217391304,0.13234782608695653,0.10521739130434782,0.12539130434782608,0.1344,0.13596739130434782,12.3,14.071,12.176,9.68,14.42,15.456,12.509,0.10954177677949885,0.12075070715151928,0.11450038963248726,0.042844165896440106,0.12569091131374716,0.14146612017686336,0.13364981724739763,0.12970393374741201,0.13509661835748793,62.647,27.965,0.1086409505956168,0.13771780750168836,0.13132173913043477,90.612,0.11804052447919008,90.612,90.612,7.606,19.07,23.527,19.636,20.773
JMM,0.24163768115942028,0.2571148377617046,0.078,2.104,0.129,0.1685,0.25075000000000003,166.73,0.24163768115942025,5.557666666666667,0.1885,0.15116666666666667,0.13103333333333333,0.12813333333333332,0.12726666666666667,0.12063333333333334,0.12316666666666666,0.1188,0.1614,0.14446666666666666,0.21846666666666667,0.29653333333333337,0.47633333333333333,0.4661666666666667,0.47200000000000003,0.21623333333333333,0.23803333333333335,0.2589,0.2891333333333333,0.30716666666666664,0.32563333333333333,0.32813333333333333,0.2703666666666667,5.655,4.535,3.931,3.844,3.818,3.619,3.695,3.564,4.842,4.334,6.554,8.896,14.29,13.985,14.16,6.487,7.141,7.767,8.674,9.215,9.769,9.844,8.111,5.655,4.535,3.931,3.844,3.818,3.619,3.695,3.564,4.842,4.334,6.554,8.896,14.29,13.985,14.16,6.487,7.141,7.767,8.674,9.215,9.769,9.844,8.111,0.131,0.34566111111111114,0.250575,0.307825,0.14522,15.719999999999999,62.218999999999994,30.069,36.93900000000001,21.783000000000005,0.015054503657765358,0.19207167410354584,0.0923631646520328,0.13005049571693575,0.013071587939087774,0.23166304347826086,0.21894565217391304,0.22515217391304346,0.21420652173913043,0.24688695652173911,0.28503478260869564,0.25741304347826083,21.313,20.143,20.714,19.707,28.392,32.778999999999996,23.682,0.22068511091518256,0.20415945955537704,0.21541893428380293,0.15435691037713653,0.3268272188308773,0.3164461909424946,0.2762851748646244,0.22830020703933748,0.2727584541062802,110.269,56.461,0.2360679866819231,0.2988740839741462,0.24163768115942028,166.73,0.25711483776170463,166.73,166.73,16.412,33.79,38.65,36.326,41.552
MANA,0.27329130434782606,0.22454797182654906,0.076,1.669,0.13425,0.1935,0.32575,188.571,0.2732913043478261,6.285700000000001,0.2505,0.16136666666666669,0.1441,0.13596666666666665,0.14436666666666667,0.13096666666666665,0.12676666666666667,0.15576666666666666,0.21833333333333332,0.29303333333333337,0.26116666666666666,0.25906666666666667,0.28983333333333333,0.4093,0.41123333333333334,0.33553333333333335,0.2674,0.2367,0.2383,0.28376666666666667,0.42146666666666666,0.6296666666666667,0.48109999999999997,7.515,4.841,4.323,4.079,4.331,3.929,3.803,4.673,6.55,8.791,7.835,7.772,8.695,12.279,12.337,10.066,8.022,7.101,7.149,8.513,12.644,18.89,14.433,7.515,4.841,4.323,4.079,4.331,3.929,3.803,4.673,6.55,8.791,7.835,7.772,8.695,12.279,12.337,10.066,8.022,7.101,7.149,8.513,12.644,18.89,14.433,0.1579583333333333,0.32060555555555553,0.26948333333333335,0.45400000000000007,0.16726000000000002,18.955,57.709,32.338,54.48,25.089000000000002,0.05632598207068233,0.03969797391855739,0.07115532664125736,0.05272380508793968,0.020119950582407835,0.29090217391304346,0.3158804347826087,0.2935652173913043,0.2925978260869565,0.2772869565217391,0.2424,0.2071304347826087,26.762999999999998,29.061,27.008,26.919,31.887999999999998,27.876,19.056,0.2564602687469769,0.21609454800834235,0.1842102420669649,0.26015076185996666,0.2307238710080444,0.2361062353813743,0.1502307541853717,0.29324844720496895,0.22672463768115944,141.639,46.932,0.23058164855891736,0.20280131967969148,0.27329130434782606,188.571,0.224547971826549,188.571,188.571,17.668,38.659,44.61,45.635,41.999
MBGV,0.19897536231884058,0.17603148460452928,0.081,1.41,0.102,0.1295,0.211,137.293,0.19897536231884058,4.576433333333333,0.2161,0.11496666666666666,0.11346666666666666,0.11643333333333333,0.108,0.11033333333333334,0.10656666666666667,0.1715,0.23136666666666666,0.3059,0.2601333333333333,0.2274,0.20026666666666668,0.18296666666666667,0.2174,0.18433333333333335,0.20203333333333334,0.24903333333333333,0.15893333333333332,0.22323333333333334,0.22933333333333333,0.3363333333333333,0.31039999999999995,6.483,3.449,3.404,3.493,3.2399999999999998,3.31,3.197,5.1450000000000005,6.941,9.177,7.804,6.822,6.008,5.489,6.522,5.53,6.061,7.471,4.768,6.697,6.88,10.09,9.312,6.483,3.449,3.404,3.493,3.2399999999999998,3.31,3.197,5.1450000000000005,6.941,9.177,7.804,6.822,6.008,5.489,6.522,5.53,6.061,7.471,4.768,6.697,6.88,10.09,9.312,0.15494166666666667,0.23234444444444446,0.19858333333333333,0.274825,0.13379333333333332,18.593,41.821999999999996,23.830000000000002,32.979,20.068999999999996,0.035676317073022705,0.02910392973823955,0.10311453524115037,0.05014109028516287,0.07688891781684844,0.19581521739130436,0.18305434782608695,0.1838695652173913,0.21917391304347827,0.1623304347826087,0.21987826086956522,0.23264130434782607,18.015,16.841,16.916,20.164,18.668,25.286,21.403,0.13978821731445115,0.13348872151645422,0.11927143458306015,0.19912277998710884,0.12062481500679428,0.23092940167582046,0.23246829307712494,0.18758592132505175,0.22555072463768117,90.604,46.689,0.14501189809723,0.23113837339835924,0.19897536231884058,137.293,0.17603148460452925,137.293,137.293,17.964,32.361,25.261,30.36,31.347
