archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2024-06,Junio,2024-05-27/2024-06-02,2024-06-03/2024-06-09,2024-06-10/2024-06-16,2024-06-17/2024-06-23,2024-06-24/2024-06-30
ABLD,0.16746956521739131,0.18314962460787404,0.058,1.996,0.072,0.087,0.18,115.554,0.16746956521739131,3.8518,0.10893333333333334,0.09233333333333334,0.08216666666666667,0.09369999999999999,0.11646666666666666,0.1346,0.08739999999999999,0.12596666666666667,0.17200000000000001,0.13016666666666668,0.13163333333333332,0.19506666666666667,0.15903333333333333,0.17143333333333333,0.23886666666666667,0.2202666666666667,0.20590000000000003,0.1734,0.1641,0.2204,0.2749333333333333,0.26156666666666667,0.29146666666666665,3.2680000000000002,2.77,2.465,2.811,3.4939999999999998,4.038,2.622,3.779,5.16,3.9050000000000002,3.949,5.852,4.771,5.143,7.166,6.6080000000000005,6.1770000000000005,5.202,4.923,6.612,8.248,7.847,8.744,3.2680000000000002,2.77,2.465,2.811,3.4939999999999998,4.038,2.622,3.779,5.16,3.9050000000000002,3.949,5.852,4.771,5.143,7.166,6.6080000000000005,6.1770000000000005,5.202,4.923,6.612,8.248,7.847,8.744,0.12999166666666667,0.17103333333333334,0.19091666666666668,0.2620916666666666,0.09872,15.599,30.786,22.910000000000004,31.451,14.808,0.07658270177364329,0.04770836267118265,0.02545985286519209,0.07697711794802874,0.0289681044517572,0.16282608695652173,0.19042391304347825,0.1630978260869565,0.17124999999999999,0.2112608695652174,0.15194782608695653,0.13378260869565217,14.98,17.519,15.004999999999999,15.754999999999999,19.436,17.474,15.385,0.170180873958982,0.20482596384696572,0.24037512166632657,0.17798281340660924,0.20358397946238563,0.14980623997252698,0.1256396813090944,0.17977173913043476,0.14286521739130437,82.695,32.859,0.2009017526858911,0.1382498027311168,0.16746956521739131,115.554,0.18314962460787404,115.554,115.554,3.1550000000000002,32.984,30.566,25.416,23.433
AJVG,0.15131739130434782,0.16453193271042754,0.029,1.488,0.062,0.086,0.18075,104.40899999999999,0.15131739130434782,3.4803,0.11036666666666667,0.09933333333333333,0.0901,0.0844,0.09253333333333333,0.0827,0.17763333333333334,0.4552,0.19376666666666667,0.08843333333333334,0.09580000000000001,0.13393333333333332,0.18743333333333334,0.11986666666666666,0.18503333333333333,0.11196666666666667,0.09076666666666666,0.0984,0.17256666666666665,0.21726666666666666,0.2581,0.18000000000000002,0.1547,3.311,2.98,2.703,2.532,2.776,2.481,5.329,13.656,5.813,2.653,2.874,4.018,5.623,3.596,5.551,3.359,2.723,2.952,5.177,6.518,7.743,5.4,4.641,3.311,2.98,2.703,2.532,2.776,2.481,5.329,13.656,5.813,2.653,2.874,4.018,5.623,3.596,5.551,3.359,2.723,2.952,5.177,6.518,7.743,5.4,4.641,0.227325,0.13508333333333333,0.11842499999999999,0.20251666666666668,0.09534666666666666,27.279,24.314999999999998,14.210999999999999,24.302,14.302,0.1077770049527159,0.08495331734390806,0.03815034784361349,0.09836486130857788,0.008520863531981216,0.14653260869565218,0.1443804347826087,0.1646195652173913,0.1611086956521739,0.12933695652173913,0.14322608695652175,0.16789565217391303,13.481,13.283,15.145,14.822,11.899,16.471,19.308,0.16148598762652236,0.1519432978674672,0.18677622753829048,0.14471278538271948,0.16292230179261735,0.18169195353721032,0.15681749219434535,0.14919565217391303,0.15556086956521742,68.63,35.779,0.1619847244694617,0.16979070918340833,0.15131739130434785,104.409,0.16453193271042774,104.409,104.409,7.293,24.319,28.498,23.112,21.187
ATF,0.2054231884057971,0.20355274981657454,0.059,2.273,0.102,0.146,0.211,141.742,0.20542318840579707,4.724733333333333,0.15463333333333334,0.12343333333333333,0.1085,0.0999,0.10010000000000001,0.1101,0.11566666666666667,0.11763333333333333,0.13806666666666664,0.17813333333333334,0.18639999999999998,0.19073333333333334,0.24153333333333335,0.39593333333333336,0.4699,0.2437,0.26353333333333334,0.304,0.27416666666666667,0.21416666666666667,0.22736666666666666,0.24860000000000002,0.21853333333333333,4.639,3.703,3.255,2.997,3.003,3.303,3.47,3.529,4.1419999999999995,5.344,5.592,5.722,7.246,11.878,14.097,7.311,7.906,9.12,8.225,6.425,6.821,7.458,6.556,4.639,3.703,3.255,2.997,3.003,3.303,3.47,3.529,4.1419999999999995,5.344,5.592,5.722,7.246,11.878,14.097,7.311,7.906,9.12,8.225,6.425,6.821,7.458,6.556,0.12036666666666665,0.27710555555555555,0.27135,0.22716666666666668,0.11731333333333334,14.443999999999999,49.879000000000005,32.562,27.26,17.597,0.020597183632290777,0.16592089300527274,0.06956392745722985,0.050270876829066787,0.019099614333870026,0.17539130434782607,0.22315217391304348,0.21984782608695652,0.24505434782608698,0.23040217391304346,0.17218260869565216,0.1852782608695652,16.136,20.53,20.226,22.545,21.197,19.801,21.307,0.12837188050260265,0.21626575708495757,0.1802551265694344,0.2185656721852994,0.21692972781158648,0.1136175936623648,0.28450518904483996,0.2187695652173913,0.1787304347826087,100.634,41.108,0.1957779497483148,0.21625037331877325,0.2054231884057971,141.742,0.2035527498165746,141.742,141.742,7.417,32.973,26.812,32.827,41.713
FMB,0.16712028985507246,0.16822434315896628,0.029,1.295,0.054,0.1185,0.206,115.313,0.16712028985507246,3.8437666666666663,0.12796666666666667,0.07576666666666668,0.0803,0.08170000000000001,0.0901,0.1027,0.0953,0.09396666666666667,0.15456666666666669,0.20683333333333334,0.19523333333333334,0.20606666666666668,0.33163333333333334,0.40496666666666664,0.26186666666666664,0.1381,0.1524,0.1611,0.14659999999999998,0.16069999999999998,0.20176666666666668,0.18993333333333334,0.1842,3.839,2.273,2.409,2.451,2.703,3.081,2.859,2.819,4.6370000000000005,6.205,5.857,6.182,9.949,12.149,7.856,4.143,4.572,4.833,4.398,4.821,6.053,5.698,5.526,3.839,2.273,2.409,2.451,2.703,3.081,2.859,2.819,4.6370000000000005,6.205,5.857,6.182,9.949,12.149,7.856,4.143,4.572,4.833,4.398,4.821,6.053,5.698,5.526,0.11163333333333335,0.26776666666666665,0.14955,0.18415,0.09116666666666667,13.396,48.198,17.945999999999998,22.098,13.675,0.02617683704917835,0.09695722288914321,0.013474042800696258,0.05222609489409221,0.02938756254449826,0.16843478260869565,0.16570652173913042,0.15691304347826088,0.14779347826086955,0.17973913043478262,0.17155652173913044,0.17629565217391305,15.496,15.245,14.436,13.597,16.536,19.729,20.274,0.15973785560454676,0.16536789076981923,0.15408714903692572,0.17356916080736567,0.18505270229803986,0.1872547374288564,0.15105593096325676,0.16371739130434784,0.17392608695652173,75.31,40.003,0.16753018952644302,0.16976564559907067,0.16712028985507246,115.313,0.16822434315896634,115.313,115.313,8.329,26.84,22.507,29.122,28.515
GPC,0.15522898550724637,0.17043112676369224,0.026,1.677,0.068,0.102,0.15075,107.108,0.15522898550724637,3.570266666666666,0.07426666666666668,0.08166666666666668,0.06746666666666666,0.07926666666666667,0.0721,0.0896,0.0941,0.24023333333333333,0.1999,0.16666666666666666,0.11699999999999999,0.11453333333333333,0.10823333333333333,0.2417,0.2920333333333333,0.19666666666666668,0.21883333333333332,0.2122666666666667,0.1572,0.1349,0.23486666666666667,0.22783333333333333,0.14893333333333333,2.228,2.45,2.024,2.378,2.163,2.688,2.823,7.207,5.997,5.0,3.51,3.436,3.247,7.251,8.761,5.9,6.5649999999999995,6.368,4.716,4.047,7.046,6.835,4.468,2.228,2.45,2.024,2.378,2.163,2.688,2.823,7.207,5.997,5.0,3.51,3.436,3.247,7.251,8.761,5.9,6.5649999999999995,6.368,4.716,4.047,7.046,6.835,4.468,0.15595833333333334,0.1733611111111111,0.19624166666666668,0.18663333333333335,0.07495333333333334,18.715,31.205,23.549,22.396,11.243000000000002,0.09668618859853091,0.08406155781473773,0.02373938545653458,0.04621760311735341,0.0013572598921964402,0.13479347826086957,0.17725,0.14427173913043478,0.1757391304347826,0.154,0.13255652173913043,0.16997391304347825,12.401,16.307,13.273,16.168,14.168,15.244,19.547,0.12704196226751116,0.19814827531671583,0.14784251371941784,0.17739754012722833,0.1660107238691538,0.13120020801922078,0.21827728465809648,0.15721086956521738,0.15126521739130433,72.317,34.791,0.1652451440006633,0.180663126178069,0.15522898550724637,107.108,0.17043112676369215,107.108,107.108,6.873,28.962,22.822,23.678,24.773
JACL,0.1093478260869565,0.09077616070481517,0.036,1.137,0.061,0.094,0.134,75.44999999999999,0.10934782608695652,2.5149999999999997,0.1355,0.098,0.07706666666666666,0.08996666666666667,0.07719999999999999,0.08023333333333334,0.08793333333333334,0.07160000000000001,0.0812,0.09390000000000001,0.09533333333333333,0.10103333333333334,0.08610000000000001,0.13226666666666667,0.2344,0.18333333333333332,0.14133333333333334,0.11833333333333333,0.14250000000000002,0.08076666666666667,0.07756666666666666,0.11746666666666666,0.11196666666666667,4.065,2.94,2.312,2.699,2.316,2.407,2.638,2.148,2.436,2.817,2.86,3.031,2.583,3.968,7.032,5.5,4.24,3.55,4.275,2.423,2.327,3.524,3.359,4.065,2.94,2.312,2.699,2.316,2.407,2.638,2.148,2.436,2.817,2.86,3.031,2.583,3.968,7.032,5.5,4.24,3.55,4.275,2.423,2.327,3.524,3.359,0.08024166666666667,0.1238388888888889,0.146375,0.09694166666666666,0.09554666666666665,9.629,22.291,17.564999999999998,11.633000000000001,14.332,0.005289720860375733,0.06457102654719762,0.025679225778289187,0.005320666559760776,0.003399487348880533,0.09743478260869566,0.09955434782608696,0.10228260869565217,0.0981304347826087,0.1223804347826087,0.10851304347826088,0.1317478260869565,8.964,9.159,9.41,9.028,11.259,12.479000000000001,15.151,0.05205751349172598,0.05371871471432471,0.048804910149065794,0.04420884934318521,0.14348671052230652,0.07685145905055965,0.13622265336239892,0.10395652173913043,0.1201304347826087,47.82,27.63,0.07834990966921289,0.11096630132782577,0.10934782608695652,75.45,0.0907761607048152,75.45,75.45,4.902,16.173000000000002,16.066,15.793,22.516000000000002
JALG,0.2568985507246377,0.23069075581061801,0.065,1.642,0.103,0.163,0.32075,177.26,0.25689855072463774,5.908666666666667,0.15443333333333334,0.10866666666666666,0.10263333333333334,0.10046666666666666,0.0999,0.0993,0.10579999999999999,0.2507,0.38210000000000005,0.3425333333333333,0.33386666666666664,0.21946666666666664,0.31283333333333335,0.31943333333333335,0.43079999999999996,0.30383333333333334,0.2916666666666667,0.3171333333333333,0.28536666666666666,0.2715666666666667,0.3172,0.39603333333333335,0.36293333333333333,4.633,3.26,3.079,3.014,2.997,2.979,3.174,7.521,11.463000000000001,10.276,10.016,6.584,9.385,9.583,12.924,9.115,8.75,9.514,8.561,8.147,9.516,11.881,10.888,4.633,3.26,3.079,3.014,2.997,2.979,3.174,7.521,11.463000000000001,10.276,10.016,6.584,9.385,9.583,12.924,9.115,8.75,9.514,8.561,8.147,9.516,11.881,10.888,0.20947500000000002,0.3264888888888889,0.2995,0.3369333333333333,0.11322000000000002,25.137,58.768,35.94,40.432,16.982999999999997,0.1326497006137005,0.08514816238634189,0.05274442503552633,0.044562352867436164,0.01931210547106408,0.26606521739130434,0.25015217391304345,0.2648478260869565,0.22368478260869565,0.23923913043478262,0.21969565217391304,0.32650434782608695,24.478,23.014,24.366,20.579,22.01,25.265,37.548,0.2718770247355835,0.2023497100567662,0.23875500960316373,0.15577893108595234,0.20537210236544973,0.19260099532967945,0.2945102498413806,0.24879782608695653,0.2731,114.447,62.813,0.21795269518249086,0.25398783366660493,0.2568985507246377,177.26,0.23069075581061807,177.26,177.26,11.213000000000001,42.813,42.46,42.214,38.56
JLG,0.130868115942029,0.14461847608913453,0.045,1.627,0.05725,0.0845,0.147,90.299,0.130868115942029,3.0099666666666662,0.11606666666666667,0.0664,0.06233333333333333,0.05973333333333333,0.057300000000000004,0.0543,0.05483333333333333,0.052866666666666666,0.05676666666666667,0.12116666666666667,0.15063333333333334,0.10026666666666667,0.18150000000000002,0.1695,0.22456666666666666,0.2533666666666667,0.18109999999999998,0.18646666666666667,0.1624,0.14973333333333333,0.1803,0.19893333333333332,0.16943333333333335,3.4819999999999998,1.992,1.8699999999999999,1.792,1.719,1.629,1.645,1.586,1.703,3.6350000000000002,4.519,3.008,5.445,5.085,6.737,7.601,5.433,5.594,4.872,4.492,5.409,5.968,5.083,3.4819999999999998,1.992,1.8699999999999999,1.792,1.719,1.629,1.645,1.586,1.703,3.6350000000000002,4.519,3.008,5.445,5.085,6.737,7.601,5.433,5.594,4.872,4.492,5.409,5.968,5.083,0.054691666666666666,0.1579388888888889,0.19583333333333333,0.17459999999999998,0.07236666666666666,6.563000000000001,28.429000000000002,23.5,20.951999999999998,10.855,0.0029718630755458525,0.07520893351811717,0.08351727570812877,0.03827723740567391,0.012928413803952127,0.12746739130434784,0.14271739130434782,0.131,0.13940217391304346,0.12433695652173914,0.13242608695652172,0.12084347826086957,11.727,13.13,12.052,12.825,11.439,15.229,13.897,0.11890743015878395,0.16901357810640158,0.13916651422421517,0.14211511042322975,0.09978628560594414,0.19638205964035738,0.11789748678960188,0.13298478260869565,0.12663478260869565,61.173,29.126,0.13540146787288268,0.16171579093632793,0.130868115942029,90.299,0.14461847608913453,90.299,90.299,4.409,22.286,18.923000000000002,17.981,26.7
JMM,0.2522913043478261,0.24571487023973929,0.07,2.163,0.127,0.1775,0.25875000000000004,174.08100000000002,0.25229130434782604,5.8027,0.20916666666666667,0.1459666666666667,0.12963333333333335,0.13093333333333332,0.1216,0.12226666666666668,0.1212,0.1532333333333333,0.1951,0.18536666666666665,0.2344,0.2758,0.22726666666666664,0.5725666666666667,0.5191,0.30056666666666665,0.31170000000000003,0.2842,0.2995333333333334,0.2874,0.2801,0.3528,0.34280000000000005,6.275,4.3790000000000004,3.8890000000000002,3.928,3.648,3.668,3.636,4.5969999999999995,5.853,5.561,7.032,8.274,6.818,17.177,15.573,9.017,9.351,8.526,8.986,8.622,8.403,10.584,10.284,6.275,4.3790000000000004,3.8890000000000002,3.928,3.648,3.668,3.636,4.5969999999999995,5.853,5.561,7.032,8.274,6.818,17.177,15.573,9.017,9.351,8.526,8.986,8.622,8.403,10.584,10.284,0.14794999999999997,0.33575,0.29900000000000004,0.31577500000000003,0.14746,17.753999999999998,60.434999999999995,35.88,37.893,22.119,0.03565201328412076,0.14942110787219878,0.025693164678436704,0.07982631051384605,0.03398806499633628,0.18697826086956523,0.23378260869565218,0.21390217391304348,0.19316304347826088,0.32225,0.3126086956521739,0.2810782608695652,17.202,21.508,19.679,17.771,29.647,35.95,32.324,0.1066522518230169,0.20165691820825735,0.14897887303442317,0.15891868659436253,0.38514052309186136,0.31630774753678187,0.22548350185985666,0.23001521739130434,0.29684347826086954,105.807,68.274,0.22701589251460136,0.2745302646770602,0.2522913043478261,174.081,0.24571487023973912,174.081,174.081,11.002,47.489,31.313,47.001,37.276
MANA,0.27433478260869565,0.281036583379643,0.054,2.023,0.118,0.176,0.31975,189.291,0.27433478260869565,6.309700000000001,0.28650000000000003,0.19013333333333332,0.1297,0.11713333333333333,0.13423333333333334,0.11653333333333334,0.10753333333333333,0.11933333333333333,0.13803333333333334,0.25556666666666666,0.28126666666666666,0.2558666666666667,0.2009,0.30256666666666665,0.6999666666666666,0.38053333333333333,0.38476666666666665,0.3730333333333334,0.2800333333333333,0.2521,0.2316,0.5262666666666667,0.5460999999999999,8.595,5.704,3.891,3.514,4.027,3.496,3.226,3.58,4.141,7.667,8.438,7.676,6.027,9.077,20.999,11.416,11.543,11.191,8.401,7.563,6.948,15.788,16.383,8.595,5.704,3.891,3.514,4.027,3.496,3.226,3.58,4.141,7.667,8.438,7.676,6.027,9.077,20.999,11.416,11.543,11.191,8.401,7.563,6.948,15.788,16.383,0.12035833333333333,0.33268888888888887,0.3545916666666667,0.3890166666666667,0.17154,14.443,59.884,42.551,46.682,25.730999999999998,0.014236833598366808,0.09691839291419493,0.08240737918063715,0.14269656763679087,0.026376438720373215,0.23220652173913042,0.26969565217391306,0.2688260869565217,0.3174891304347826,0.31973913043478264,0.25908695652173913,0.2605565217391304,21.363,24.812,24.732,29.209,29.416,29.795,29.964,0.1684051588859946,0.2891776418610493,0.33691455885926486,0.3577541821217596,0.31874999227115586,0.2185288356747405,0.24751197707346026,0.2815913043478261,0.25982173913043477,129.532,59.759,0.30219805927010435,0.23296143290182103,0.27433478260869565,189.291,0.28103658337964305,189.291,189.291,13.224,38.396,36.987,40.823,59.861
