archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2024-09,Septiembre,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06
ABLD,0.1866159420289855,0.23024544619371506,0.054,1.571,0.069,0.09,0.197,128.765,0.18661594202898554,4.292166666666668,0.1257,0.11253333333333333,0.10726666666666666,0.0961,0.09766666666666667,0.08566666666666665,0.08323333333333333,0.12386666666666667,0.16266666666666665,0.10533333333333333,0.13296666666666665,0.24799999999999997,0.24936666666666665,0.1766,0.3125,0.39633333333333337,0.258,0.13269999999999998,0.14543333333333333,0.2102,0.33640000000000003,0.3222,0.27143333333333336,3.771,3.376,3.218,2.883,2.93,2.57,2.497,3.716,4.88,3.16,3.989,7.4399999999999995,7.481,5.298,9.375,11.89,7.74,3.981,4.3629999999999995,6.306,10.092,9.666,8.143,3.771,3.376,3.218,2.883,2.93,2.57,2.497,3.716,4.88,3.16,3.989,7.4399999999999995,7.481,5.298,9.375,11.89,7.74,3.981,4.3629999999999995,6.306,10.092,9.666,8.143,0.11385833333333334,0.20412777777777777,0.2331166666666667,0.28505833333333336,0.10785333333333333,13.663,36.743,27.974000000000004,34.207,16.178,0.05921097869059326,0.11927552963116475,0.1515268527305307,0.057022713147206236,0.04759620148398698,0.20383478260869564,0.19897826086956522,0.24065217391304347,0.2167173913043478,0.163,0.13656521739130434,0.15113043478260868,23.441,18.306,22.14,19.938,14.996,12.564,17.38,0.24310715024214283,0.2449482555028006,0.28059342276026544,0.27763804906321,0.1672332713097697,0.14828205261771782,0.20469547436006863,0.2045983436853002,0.14465700483091787,98.821,29.944,0.24620342969571216,0.18152988797941885,0.1866159420289855,128.765,0.23024544619371498,128.765,128.765,3.343,32.638,27.641000000000002,27.612,33.381,4.15
AJVG,0.1474014492753623,0.20212095919507503,0.031,2.08,0.055,0.066,0.15075,101.707,0.1474014492753623,3.3902333333333337,0.09196666666666667,0.10106666666666667,0.07573333333333333,0.07066666666666667,0.09616666666666666,0.08370000000000001,0.3715333333333334,0.28526666666666667,0.14076666666666665,0.12940000000000002,0.11316666666666667,0.17779999999999999,0.13419999999999999,0.23933333333333334,0.1508,0.07043333333333333,0.0909,0.1192,0.1467,0.16286666666666666,0.21980000000000002,0.18869999999999998,0.13006666666666666,2.759,3.032,2.272,2.12,2.885,2.511,11.146,8.558,4.223,3.882,3.395,5.334,4.026,7.180000000000001,4.524,2.113,2.727,3.576,4.401,4.886,6.594,5.661,3.902,2.759,3.032,2.272,2.12,2.885,2.511,11.146,8.558,4.223,3.882,3.395,5.334,4.026,7.180000000000001,4.524,2.113,2.727,3.576,4.401,4.886,6.594,5.661,3.902,0.22031666666666666,0.15745,0.10680833333333332,0.17535833333333334,0.08712,26.438,28.341,12.817,21.043,13.068,0.12043308747292945,0.12215059332829471,0.06843467417469548,0.09720492881796507,0.014995415744754463,0.1518869565217391,0.14383695652173914,0.13572826086956521,0.13149999999999998,0.12095652173913043,0.17897826086956523,0.16372173913043478,17.467,13.233,12.487,12.097999999999999,11.128,16.466,18.828,0.17606636334649356,0.16895212126086945,0.17409761713316954,0.15265672904617378,0.1586810272796908,0.28459599196597274,0.25217271816440134,0.13750103519668735,0.17050241545893718,66.413,35.294,0.166474380603342,0.26651120442021925,0.1474014492753623,101.707,0.202120959195075,101.707,101.707,2.312,28.254,23.936,14.360999999999999,28.931,3.913
ATF,0.15837246376811595,0.12480243473870085,0.051,0.939,0.085,0.127,0.179,109.277,0.15837246376811592,3.6425666666666667,0.10179999999999999,0.1008,0.08929999999999999,0.09556666666666666,0.09966666666666667,0.09256666666666667,0.0844,0.09040000000000001,0.12293333333333334,0.1597,0.15283333333333332,0.15180000000000002,0.17923333333333333,0.2951333333333333,0.30666666666666664,0.21723333333333333,0.18393333333333334,0.17523333333333332,0.14766666666666667,0.1259,0.2273,0.24516666666666664,0.19733333333333333,3.054,3.024,2.679,2.867,2.99,2.777,2.532,2.712,3.688,4.791,4.585,4.554,5.377,8.854,9.2,6.517,5.518,5.257,4.43,3.777,6.819,7.3549999999999995,5.92,3.054,3.024,2.679,2.867,2.99,2.777,2.532,2.712,3.688,4.791,4.585,4.554,5.377,8.854,9.2,6.517,5.518,5.257,4.43,3.777,6.819,7.3549999999999995,5.92,0.097575,0.2075611111111111,0.18101666666666666,0.19892500000000002,0.09742666666666666,11.709000000000001,37.361000000000004,21.722,23.871000000000002,14.613999999999999,0.030590322528571627,0.08726237662923224,0.0223773340212915,0.03659885810553865,0.02644603116106337,0.16953043478260868,0.15514130434782608,0.16966304347826086,0.15089130434782608,0.16507608695652173,0.1633804347826087,0.13738260869565216,19.496,14.273,15.609,13.882,15.187,15.031,15.799,0.14205887843704723,0.11877623078915152,0.15044375950185848,0.07846794775354843,0.1301255719558132,0.13787618608707877,0.10118764769361223,0.162416149068323,0.14893719806763284,78.447,30.83,0.12699540418741392,0.11929567134569388,0.15837246376811595,109.277,0.1248024347387009,109.277,109.277,3.452,27.698,23.007,24.609,25.967,4.5440000000000005
FMB,0.17186666666666667,0.19204328602128712,0.023,1.569,0.052,0.111,0.22375,118.58800000000001,0.17186666666666664,3.952933333333333,0.09790000000000001,0.09633333333333334,0.11003333333333334,0.08196666666666667,0.0967,0.09526666666666667,0.07856666666666666,0.1029,0.1082,0.20663333333333334,0.23573333333333332,0.28563333333333335,0.2885666666666667,0.4640666666666666,0.19883333333333333,0.13563333333333333,0.16806666666666667,0.20666666666666667,0.1764666666666667,0.17773333333333333,0.18316666666666667,0.1574,0.20046666666666668,2.9370000000000003,2.89,3.301,2.459,2.901,2.858,2.3569999999999998,3.087,3.246,6.199,7.072,8.569,8.657,13.921999999999999,5.965,4.069,5.042,6.2,5.2940000000000005,5.332,5.495,4.722,6.014,2.9370000000000003,2.89,3.301,2.459,2.901,2.858,2.3569999999999998,3.087,3.246,6.199,7.072,8.569,8.657,13.921999999999999,5.965,4.069,5.042,6.2,5.2940000000000005,5.332,5.495,4.722,6.014,0.09623333333333334,0.2799111111111111,0.17170833333333332,0.17969166666666667,0.09658666666666668,11.548,50.384,20.605,21.563,14.488,0.011913412728583341,0.048669808872856817,0.045181786181690595,0.07211125766595211,0.009168307714997447,0.15736521739130435,0.1645,0.14345652173913043,0.1582391304347826,0.14943478260869564,0.19678260869565217,0.22390434782608695,18.097,15.134,13.198,14.558,13.748,18.104,25.749,0.15472501529650906,0.18061564436396702,0.1586176142154997,0.17934670025273186,0.13020375446957816,0.22555625141272778,0.2613847729733583,0.15473084886128363,0.2118502415458937,74.735,43.853,0.1609232247186286,0.2458982578053146,0.17186666666666667,118.588,0.19204328602128723,118.588,118.588,6.4159999999999995,24.816,27.672,29.614,26.915,3.155
GPC,0.17231159420289854,0.19837885792900614,0.026,1.379,0.067,0.101,0.168,118.895,0.17231159420289854,3.963166666666666,0.09013333333333334,0.12273333333333333,0.10453333333333334,0.09643333333333333,0.07653333333333333,0.06939999999999999,0.09146666666666667,0.24650000000000002,0.23550000000000001,0.2329,0.12586666666666668,0.09223333333333333,0.09616666666666666,0.21760000000000002,0.3844,0.3027666666666667,0.1925,0.18936666666666666,0.14023333333333332,0.14643333333333333,0.3534,0.24673333333333333,0.10933333333333332,2.704,3.682,3.136,2.893,2.296,2.082,2.744,7.3950000000000005,7.065,6.987,3.7760000000000002,2.767,2.885,6.5280000000000005,11.532,9.083,5.775,5.681,4.207,4.393,10.602,7.402,3.28,2.704,3.682,3.136,2.893,2.296,2.082,2.744,7.3950000000000005,7.065,6.987,3.7760000000000002,2.767,2.885,6.5280000000000005,11.532,9.083,5.775,5.681,4.207,4.393,10.602,7.402,3.28,0.16071666666666667,0.19152777777777777,0.20621666666666666,0.213975,0.09807333333333333,19.286,34.474999999999994,24.746000000000002,25.677000000000003,14.710999999999999,0.12578414087804413,0.10312619214073276,0.07162674841044579,0.0992283980195102,0.04353527954164764,0.13004347826086957,0.21973913043478263,0.17880434782608695,0.16283695652173913,0.16933695652173913,0.18155434782608695,0.17400869565217392,14.955,20.216,16.45,14.981,15.579,16.703,20.011,0.1080605248942793,0.2523808333558422,0.19997248377365065,0.17379919429585458,0.2007958493711994,0.23083652767350585,0.2019246209735239,0.1701469979296066,0.1773623188405797,82.181,36.714,0.19112792832493672,0.2147483945042889,0.17231159420289854,118.895,0.1983788579290062,118.895,118.895,4.8100000000000005,28.637,23.029,33.833,26.132,2.454
JACL,0.11232898550724639,0.10464010004501549,0.035,1.245,0.059,0.093,0.13675,77.507,0.11232898550724638,2.5835666666666657,0.14250000000000002,0.1046,0.07146666666666666,0.0742,0.09000000000000001,0.07103333333333332,0.06733333333333333,0.08576666666666667,0.09103333333333333,0.10876666666666666,0.12036666666666668,0.10456666666666667,0.08263333333333334,0.12716666666666668,0.28736666666666666,0.14856666666666665,0.14026666666666668,0.0999,0.09903333333333333,0.10123333333333333,0.11033333333333334,0.11549999999999999,0.13993333333333335,4.275,3.138,2.144,2.226,2.7,2.131,2.02,2.573,2.731,3.263,3.611,3.137,2.479,3.815,8.621,4.457,4.208,2.997,2.971,3.037,3.31,3.465,4.198,4.275,3.138,2.144,2.226,2.7,2.131,2.02,2.573,2.731,3.263,3.611,3.137,2.479,3.815,8.621,4.457,4.208,2.997,2.971,3.037,3.31,3.465,4.198,0.07879166666666665,0.13847777777777778,0.12194166666666667,0.11675,0.09655333333333334,9.455,24.926000000000002,14.633,14.01,14.483,0.004092763796653527,0.08500788835026912,0.0639734490908281,0.02682083258724321,0.015364934542314879,0.13584347826086957,0.10025,0.09951086956521739,0.09716304347826087,0.1066304347826087,0.10783695652173912,0.12901739130434783,15.622,9.223,9.155,8.939,9.81,9.921,14.837,0.13337419930566466,0.048680078060742676,0.04816352515420256,0.04732011099861418,0.09226999528870759,0.13283760863384483,0.1437328774002893,0.10921118012422361,0.11960386473429951,52.749,24.758,0.08575692343035209,0.13906486432541357,0.11232898550724639,77.507,0.10464010004501548,77.507,77.507,5.382,20.216,15.721,16.415,17.482,2.291
JALG,0.24610289855072465,0.23199090897996646,0.059,1.528,0.082,0.1475,0.3105,169.811,0.24610289855072465,5.660366666666666,0.15406666666666666,0.10113333333333333,0.0909,0.08403333333333333,0.08533333333333333,0.08943333333333332,0.08346666666666666,0.2399,0.3087,0.24296666666666666,0.2084666666666667,0.24469999999999997,0.34459999999999996,0.49273333333333336,0.4559333333333333,0.37916666666666665,0.2536,0.28503333333333336,0.21209999999999998,0.26566666666666666,0.3621666666666667,0.3862,0.29006666666666664,4.622,3.034,2.727,2.521,2.56,2.683,2.504,7.197,9.261,7.289,6.2540000000000004,7.340999999999999,10.338,14.782,13.677999999999999,11.375,7.6080000000000005,8.551,6.3629999999999995,7.97,10.865,11.586,8.702,4.622,3.034,2.727,2.521,2.56,2.683,2.504,7.197,9.261,7.289,6.2540000000000004,7.340999999999999,10.338,14.782,13.677999999999999,11.375,7.6080000000000005,8.551,6.3629999999999995,7.97,10.865,11.586,8.702,0.180375,0.3315666666666666,0.28247500000000003,0.326025,0.10309333333333333,21.645,59.682,33.897,39.123,15.464,0.13475546844534303,0.08002916106576435,0.05475427020588211,0.10249020998170563,0.020437465313825728,0.24231304347826085,0.23522826086956525,0.24731521739130435,0.2632934782608696,0.21141304347826087,0.22368478260869565,0.28955652173913043,27.866,21.641000000000002,22.753,24.223,19.45,20.579,33.299,0.23595272962576425,0.2429194730797385,0.2305379246695459,0.22509683083886983,0.19798402378513258,0.20565905474559912,0.26635957728012744,0.24002691511387161,0.260280193236715,115.93299999999999,53.878,0.22712211171728786,0.24294597414520075,0.24610289855072465,169.811,0.23199090897996635,169.811,169.811,5.994,36.505,38.761,39.668,43.117,5.766
JLG,0.11469565217391306,0.10249245139789968,0.043,1.1,0.056,0.079,0.146,79.14000000000001,0.11469565217391303,2.6380000000000003,0.0872,0.06393333333333333,0.0595,0.0587,0.05723333333333334,0.05656666666666667,0.052566666666666664,0.0569,0.06783333333333334,0.09516666666666666,0.10873333333333333,0.11253333333333333,0.1195,0.18816666666666668,0.18183333333333335,0.1701666666666667,0.13523333333333334,0.1296,0.1509,0.16266666666666665,0.15633333333333335,0.1875333333333333,0.1792,2.616,1.918,1.785,1.7610000000000001,1.717,1.697,1.577,1.707,2.035,2.855,3.262,3.376,3.585,5.6450000000000005,5.455,5.105,4.057,3.888,4.527,4.88,4.69,5.6259999999999994,5.376,2.616,1.918,1.785,1.7610000000000001,1.717,1.697,1.577,1.707,2.035,2.855,3.262,3.376,3.585,5.6450000000000005,5.455,5.105,4.057,3.888,4.527,4.88,4.69,5.6259999999999994,5.376,0.05846666666666667,0.13432222222222223,0.146475,0.17143333333333333,0.06531333333333333,7.016,24.177999999999997,17.577,20.572,9.797,0.026963642922087895,0.04566850859085799,0.007746727548895322,0.04064313931445393,0.0054219343236245904,0.1222608695652174,0.095,0.10076086956521739,0.11752173913043477,0.1076413043478261,0.12575,0.12857391304347826,14.06,8.74,9.27,10.812,9.903,11.569,14.786,0.09924293133664411,0.05019828813682925,0.06152608123197039,0.10513000619963644,0.07273217186811905,0.13975501524351205,0.13821544718234982,0.10928571428571428,0.12731884057971016,52.785,26.355,0.08192508179953263,0.1385705623854297,0.11469565217391305,79.14,0.10249245139789973,79.14,79.14,4.965,20.855,17.335,16.561,17.158,2.266
JMM,0.21174782608695653,0.17299557500712318,0.067,1.398,0.115,0.163,0.2375,146.106,0.21174782608695653,4.8702,0.16183333333333336,0.1315,0.1209,0.12133333333333333,0.11106666666666666,0.11336666666666666,0.11053333333333333,0.12313333333333333,0.1534,0.1539,0.14843333333333333,0.20186666666666667,0.24586666666666668,0.5615,0.4324,0.25833333333333336,0.2609666666666667,0.2658,0.24263333333333334,0.2372,0.24263333333333334,0.23466666666666666,0.23693333333333336,4.855,3.945,3.627,3.64,3.332,3.401,3.316,3.694,4.602,4.617,4.453,6.056,7.376,16.845,12.972,7.75,7.829,7.974,7.279,7.116,7.279,7.04,7.1080000000000005,4.855,3.945,3.627,3.64,3.332,3.401,3.316,3.694,4.602,4.617,4.453,6.056,7.376,16.845,12.972,7.75,7.829,7.974,7.279,7.116,7.279,7.04,7.1080000000000005,0.12510833333333332,0.2906611111111111,0.25693333333333335,0.23785833333333334,0.12932666666666665,15.013,52.319,30.832,28.543,19.399,0.006027313923954874,0.15607314507833314,0.008704314965240581,0.03203292725868335,0.00589182700983383,0.17674782608695652,0.24295652173913043,0.17468478260869566,0.2479673913043478,0.2078369565217391,0.22239130434782609,0.21706956521739132,20.326,22.352,16.071,22.813,19.121,20.46,24.963,0.08309852992115568,0.21819478710967108,0.08582641942537737,0.2106486815929694,0.12134459850458879,0.21776289941841595,0.2018401626500069,0.20845341614906834,0.21943478260869567,100.683,45.423,0.15541088427109598,0.2085668488393652,0.21174782608695653,146.106,0.17299557500712323,146.106,146.106,4.568,37.443,36.279,32.456,31.788,3.572
MANA,0.2489,0.24628441232885276,0.054,2.109,0.106,0.157,0.2955,171.741,0.24889999999999998,5.7247,0.20116666666666666,0.13086666666666666,0.10736666666666667,0.12393333333333333,0.10026666666666667,0.10956666666666666,0.10633333333333334,0.13306666666666667,0.16436666666666666,0.1563,0.20236666666666667,0.19870000000000002,0.2476,0.41813333333333336,0.5826333333333333,0.35229999999999995,0.26786666666666664,0.24336666666666668,0.2731,0.29993333333333333,0.39390000000000003,0.5559666666666666,0.35559999999999997,6.035,3.926,3.221,3.718,3.008,3.287,3.19,3.992,4.931,4.689,6.071,5.961,7.428,12.544,17.479,10.568999999999999,8.036,7.301,8.193,8.998,11.817,16.679,10.668,6.035,3.926,3.221,3.718,3.008,3.287,3.19,3.992,4.931,4.689,6.071,5.961,7.428,12.544,17.479,10.568999999999999,8.036,7.301,8.193,8.998,11.817,16.679,10.668,0.12833333333333333,0.3009555555555556,0.2841583333333333,0.40135,0.13272,15.400000000000002,54.172,34.099,48.162,19.907999999999998,0.05370700197114359,0.12798450180607446,0.07799623066157536,0.06630545426070904,0.02010280643313755,0.26175652173913044,0.24243478260869564,0.22219565217391304,0.221,0.21214130434782608,0.23575,0.3248260869565217,30.102,22.304,20.442,20.332,19.517,21.689,37.355,0.2718445631498106,0.16404832471808228,0.19532887111990532,0.16289091610476797,0.17464082963071426,0.2675360764416683,0.3600671053652814,0.2333271221532091,0.2852367149758454,112.697,59.044,0.20218062420094002,0.32455217392111724,0.2489,171.741,0.24628441232885281,171.741,171.741,9.977,44.394,38.991,43.052,30.115,5.212
