archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2024-10,Octubre,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03
ABLD,0.23924229691876753,0.2644294901010654,0.054,1.539,0.07,0.1195,0.267,170.81900000000002,0.23931229546517063,5.510290322580647,0.15248387096774194,0.07861290322580644,0.07253125,0.07406451612903225,0.06812903225806452,0.07370967741935484,0.12958064516129034,0.3376774193548387,0.23099999999999998,0.1470967741935484,0.1736774193548387,0.16709677419354838,0.22441935483870967,0.21616129032258063,0.5073870967741935,0.5118387096774194,0.313,0.3310967741935484,0.22351612903225807,0.23106451612903225,0.4442258064516129,0.4841935483870968,0.3153870967741935,4.727,2.437,2.321,2.296,2.112,2.285,4.017,10.468,7.161,4.5600000000000005,5.384,5.18,6.957,6.701,15.729,15.867,9.703,10.264,6.929,7.163,13.771,15.01,9.777,4.727,2.437,2.321,2.296,2.112,2.285,4.017,10.468,7.161,4.5600000000000005,5.384,5.18,6.957,6.701,15.729,15.867,9.703,10.264,6.929,7.163,13.771,15.01,9.777,0.19299193548387097,0.23930645161290323,0.3448629032258065,0.3687177419354839,0.08916431451612902,23.930999999999997,44.510999999999996,42.763000000000005,45.721000000000004,13.892999999999999,0.11749611690883265,0.10374192330032862,0.075341268549063,0.06941520451762245,0.07460812608434314,0.27830434782608693,0.20662608695652174,0.28355652173913043,0.22655652173913043,0.25271739130434784,0.20180434782608694,0.22552688172043012,25.604,23.762,32.609,26.054,23.25,18.566,20.974,0.3186287839460061,0.22914939817054333,0.31052717459706186,0.24517702846319264,0.28948914178376767,0.19831899263063923,0.23100473321886386,0.24816446124763705,0.21372972972972973,131.279,39.54,0.2792645668180259,0.21511509162294562,0.2392422969187675,170.819,0.2644294901010655,170.819,170.819,33.346000000000004,30.357,43.678,41.942,21.496
AJVG,0.18407002801120448,0.23899712891114236,0.03,1.714,0.054,0.079,0.207,131.426,0.18401197989714818,4.239548387096774,0.084,0.08570967741935484,0.0869375,0.10390322580645162,0.0832258064516129,0.08580645161290323,0.44970967741935486,0.3747741935483871,0.36229032258064514,0.09051612903225807,0.12374193548387097,0.24183870967741936,0.2797096774193548,0.2687741935483871,0.19832258064516128,0.08838709677419354,0.09870967741935484,0.12835483870967743,0.14564516129032257,0.23674193548387096,0.25670967741935485,0.2068064516129032,0.15612903225806452,2.604,2.657,2.782,3.221,2.58,2.66,13.941,11.618,11.231,2.806,3.836,7.497,8.671,8.332,6.148,2.7399999999999998,3.06,3.979,4.515,7.3389999999999995,7.958,6.411,4.84,2.604,2.657,2.782,3.221,2.58,2.66,13.941,11.618,11.231,2.806,3.836,7.497,8.671,8.332,6.148,2.7399999999999998,3.06,3.979,4.515,7.3389999999999995,7.958,6.411,4.84,0.31814516129032255,0.20048387096774198,0.11527419354838708,0.2140967741935484,0.08875524193548387,39.45,37.29,14.294,26.548,13.844,0.1369094279654883,0.1279969358435598,0.06682695164265713,0.04891485882436999,0.01260227512724123,0.17470652173913043,0.19620869565217391,0.16329565217391304,0.16527826086956524,0.13466304347826086,0.2318478260869565,0.22886021505376342,16.073,22.564,18.779,19.007,12.389,21.33,21.284,0.23119491505698894,0.25475517988474405,0.18040840480640094,0.1978130229967793,0.18629553958631523,0.2959724123906164,0.3026368390244913,0.16788657844990548,0.23034594594594593,88.812,42.614,0.21228108685999372,0.2985306030800245,0.18407002801120448,131.426,0.23899712891114247,131.426,131.426,24.802,30.09,29.195,29.977999999999998,17.361
ATF,0.14754761904761907,0.11135361765128507,0.054,0.903,0.081,0.121,0.17,105.349,0.1475620032725573,3.3983548387096776,0.12209677419354839,0.09209677419354839,0.0825625,0.0836774193548387,0.09041935483870968,0.09580645161290323,0.09490322580645162,0.12829032258064516,0.14996774193548387,0.17306451612903226,0.19296774193548388,0.16619354838709677,0.18719354838709676,0.20216129032258065,0.23538709677419353,0.19058064516129034,0.1655483870967742,0.14251612903225808,0.1185483870967742,0.12338709677419356,0.16038709677419352,0.18703225806451612,0.21090322580645163,3.785,2.855,2.642,2.594,2.803,2.97,2.942,3.977,4.649,5.365,5.982,5.152,5.803,6.267,7.297,5.908,5.132,4.418,3.6750000000000003,3.825,4.9719999999999995,5.798,6.538,3.785,2.855,2.642,2.594,2.803,2.97,2.942,3.977,4.649,5.365,5.982,5.152,5.803,6.267,7.297,5.908,5.132,4.418,3.6750000000000003,3.825,4.9719999999999995,5.798,6.538,0.11724193548387096,0.1928279569892473,0.1542983870967742,0.1704274193548387,0.09417056451612903,14.538,35.866,19.133,21.133000000000003,14.678999999999998,0.05298942690194502,0.018675009725712066,0.044308292988365056,0.020480728340033477,0.01270824790316708,0.13881521739130437,0.15116521739130434,0.14269565217391306,0.13769565217391305,0.14271739130434782,0.1845,0.13811827956989248,12.771,17.384,16.41,15.835,13.13,16.974,12.845,0.09958550683949799,0.11009373441983407,0.08293457301984028,0.07512891539413442,0.09714476860770835,0.18582288033808658,0.10266543907088035,0.1427788279773157,0.16118378378378379,75.53,29.819,0.0931668339315868,0.15128855511742526,0.14754761904761907,105.349,0.11135361765128507,105.349,105.349,24.201,23.934,23.905,21.065,12.244
FMB,0.19407282913165264,0.2728502206986881,0.023,3.138,0.045,0.092,0.2365,138.56799999999998,0.19388785647498832,4.469935483870968,0.12112903225806451,0.05912903225806451,0.06753125,0.07164516129032258,0.1120967741935484,0.09032258064516129,0.07738709677419355,0.05629032258064517,0.11409677419354838,0.2603225806451613,0.2326774193548387,0.2590967741935484,0.3381290322580645,0.5569677419354839,0.2894516129032258,0.12351612903225807,0.23148387096774195,0.269,0.21951612903225806,0.2268709677419355,0.22387096774193546,0.2489032258064516,0.21832258064516127,3.755,1.833,2.161,2.221,3.475,2.8,2.399,1.745,3.537,8.07,7.213,8.032,10.482,17.266000000000002,8.972999999999999,3.829,7.176,8.339,6.805,7.033,6.9399999999999995,7.716,6.768,3.755,1.833,2.161,2.221,3.475,2.8,2.399,1.745,3.537,8.07,7.213,8.032,10.482,17.266000000000002,8.972999999999999,3.829,7.176,8.339,6.805,7.033,6.9399999999999995,7.716,6.768,0.0845241935483871,0.3227741935483871,0.21087903225806454,0.22949193548387098,0.08630625,10.481,60.036,26.149,28.457,13.445,0.03392702158637351,0.17138040043789476,0.08676960616035959,0.043648011516038136,0.023315159587873426,0.27509782608695654,0.17345217391304346,0.16973043478260869,0.16087826086956522,0.17661956521739128,0.1948478260869565,0.22706451612903228,25.309,19.947,19.519,18.501,16.249,17.926,21.117,0.4466771103093856,0.24405867296716952,0.2147865248533558,0.1985816438145953,0.20712282507715257,0.2297382138833222,0.3074355289944195,0.18813799621928168,0.21104324324324325,99.525,39.043,0.27338539413071705,0.2713340398168598,0.1940728291316527,138.568,0.272850220698688,138.568,138.568,24.011,26.69,33.224,29.173,25.47
GPC,0.17250420168067226,0.2102105485861243,0.026,1.688,0.06325,0.094,0.182,123.168,0.17245015194015897,3.973161290322581,0.0716774193548387,0.06754838709677419,0.077125,0.0800967741935484,0.10445161290322581,0.08696774193548387,0.11406451612903226,0.4135483870967742,0.2974516129032258,0.13887096774193547,0.13190322580645159,0.10303225806451613,0.1275483870967742,0.19880645161290322,0.33841935483870966,0.21587096774193548,0.21019354838709678,0.1260967741935484,0.14687096774193548,0.21277419354838709,0.36974193548387096,0.2247741935483871,0.11283870967741937,2.222,2.094,2.468,2.483,3.238,2.696,3.536,12.82,9.221,4.305,4.0889999999999995,3.194,3.954,6.163,10.491,6.692,6.516,3.909,4.553,6.596,11.462,6.968,3.498,2.222,2.094,2.468,2.483,3.238,2.696,3.536,12.82,9.221,4.305,4.0889999999999995,3.194,3.954,6.163,10.491,6.692,6.516,3.909,4.553,6.596,11.462,6.968,3.498,0.22800806451612904,0.17309677419354838,0.17475806451612902,0.23003225806451613,0.08017983870967742,28.273,32.196,21.67,28.524,12.504999999999999,0.14990554383760268,0.06830665040042934,0.054931634020914236,0.08777919968301785,0.04904201254141505,0.14672826086956522,0.1827478260869565,0.17989565217391304,0.1882695652173913,0.16032608695652173,0.1471304347826087,0.1938494623655914,13.499,21.016,20.688,21.651,14.75,13.536,18.028,0.17192178794605575,0.213393502074662,0.21071225802663918,0.2477031444084013,0.1883170175321713,0.18344973964449518,0.23443474786204924,0.17316446124763704,0.17061621621621623,91.604,31.564,0.21000434109812957,0.21135856807998718,0.17250420168067226,123.168,0.21021054858612437,123.168,123.168,23.56,24.934,28.692,30.128,15.854
JACL,0.10359523809523809,0.08028129039440408,0.036,1.281,0.063,0.093,0.12875,73.967,0.1036163510986442,2.386032258064516,0.11964516129032259,0.0954516129032258,0.0831875,0.06825806451612904,0.07887096774193549,0.07574193548387097,0.07258064516129033,0.08016129032258064,0.09061290322580645,0.09622580645161291,0.10316129032258065,0.1055483870967742,0.09396774193548386,0.12845161290322582,0.2504193548387097,0.12000000000000001,0.09832258064516129,0.10193548387096775,0.09719354838709678,0.09100000000000001,0.09287096774193548,0.11264516129032258,0.1270967741935484,3.709,2.959,2.662,2.116,2.445,2.348,2.25,2.485,2.809,2.983,3.198,3.272,2.913,3.982,7.763,3.72,3.048,3.16,3.013,2.821,2.879,3.492,3.94,3.709,2.959,2.662,2.116,2.445,2.348,2.25,2.485,2.809,2.983,3.198,3.272,2.913,3.982,7.763,3.72,3.048,3.16,3.013,2.821,2.879,3.492,3.94,0.07977419354838709,0.12962903225806452,0.10436290322580645,0.10590322580645162,0.08908266129032258,9.892,24.110999999999997,12.941,13.132,13.891,0.0048840264672695526,0.0777958926961883,0.012637611180893661,0.010886186773306713,0.0025524714587576523,0.10247826086956523,0.10188695652173914,0.09916521739130435,0.10183478260869565,0.09931521739130435,0.11919565217391304,0.10326881720430106,9.428,11.717,11.404,11.711,9.137,10.966,9.604,0.04826995476697617,0.08943504603875504,0.047274289298522475,0.0508030131781437,0.05700663723605532,0.1429188841735624,0.08973670905402456,0.10093950850661626,0.11118918918918919,53.397,20.57,0.06107651783475038,0.1191301439050546,0.10359523809523809,73.967,0.08028129039440406,73.967,73.967,14.156,17.315,15.540000000000001,17.178,9.778
JALG,0.2775854341736695,0.2701819429793252,0.055,1.633,0.082,0.176,0.3495,198.196,0.27748971482000934,6.39341935483871,0.1299032258064516,0.08903225806451612,0.0866875,0.09425806451612903,0.08358064516129032,0.09090322580645162,0.10274193548387096,0.23132258064516129,0.21296774193548387,0.2452258064516129,0.2573225806451613,0.23674193548387096,0.4426774193548387,0.7000322580645162,0.5318387096774193,0.3981290322580645,0.28141935483870967,0.38287096774193546,0.23429032258064517,0.23690322580645162,0.47938709677419356,0.4644838709677419,0.3779032258064516,4.027,2.76,2.774,2.922,2.591,2.818,3.185,7.171,6.602,7.602,7.977,7.3389999999999995,13.722999999999999,21.701,16.487,12.342,8.724,11.869,7.263,7.344,14.861,14.399,11.715,4.027,2.76,2.774,2.922,2.591,2.818,3.185,7.171,6.602,7.602,7.977,7.3389999999999995,13.722999999999999,21.701,16.487,12.342,8.724,11.869,7.263,7.344,14.861,14.399,11.715,0.15948387096774194,0.4023064516129032,0.32417741935483874,0.3896693548387097,0.09669233870967743,19.776,74.829,40.198,48.319,15.074000000000002,0.09316420570271439,0.14153905533046318,0.015775497528122195,0.08703490224120167,0.01940246263578874,0.2813804347826087,0.30063478260869564,0.27537391304347825,0.26738260869565217,0.290195652173913,0.2407717391304348,0.2846236559139785,25.887,34.573,31.668,30.749,26.698,22.151,26.47,0.24550722745751258,0.3096453922715404,0.25892783187698976,0.27788558110509703,0.30002433011708785,0.23460535500951377,0.2503822692178161,0.282750472589792,0.2628162162162162,149.575,48.621,0.2790954173971455,0.24300142859831617,0.2775854341736695,198.196,0.2701819429793251,198.196,198.196,34.287,42.391,43.227000000000004,49.024,29.267
JLG,0.1178249299719888,0.1320829200871439,0.035,1.34,0.052,0.074,0.14075,84.12700000000001,0.1178632538569425,2.713774193548387,0.09896774193548387,0.062387096774193546,0.05203125,0.05135483870967742,0.05138709677419355,0.04906451612903225,0.05158064516129032,0.06041935483870968,0.07025806451612902,0.15419354838709678,0.1397741935483871,0.14106451612903226,0.1571935483870968,0.17019354838709677,0.15751612903225806,0.15838709677419355,0.13248387096774195,0.12367741935483871,0.12329032258064516,0.1308709677419355,0.18612903225806451,0.21177419354838709,0.17809677419354839,3.068,1.934,1.665,1.592,1.593,1.521,1.599,1.873,2.178,4.78,4.333,4.373,4.873,5.276,4.883,4.91,4.107,3.834,3.822,4.057,5.77,6.5649999999999995,5.521,3.068,1.934,1.665,1.592,1.593,1.521,1.599,1.873,2.178,4.78,4.333,4.373,4.873,5.276,4.883,4.91,4.107,3.834,3.822,4.057,5.77,6.5649999999999995,5.521,0.05783064516129033,0.1533225806451613,0.13445967741935486,0.17671774193548387,0.06322560483870968,7.171,28.518,16.673,21.913,9.852,0.029339937268693845,0.05171865675335433,0.029454915146358535,0.05730563608161224,0.011639792172414027,0.10217391304347827,0.12923478260869564,0.12396521739130435,0.13890434782608696,0.09389130434782608,0.12121739130434782,0.10586021505376345,9.4,14.862,14.256,15.974,8.638,11.152,9.845,0.06800995542762164,0.1159616036298209,0.11061581455054428,0.17874435208415176,0.10567963785716074,0.17506211306414238,0.12695177031814,0.11933837429111532,0.1134972972972973,63.13,20.997,0.12425342528509764,0.15255972188836636,0.11782492997198879,84.127,0.132082920087144,84.127,84.127,17.504,12.825,24.894000000000002,16.818,12.086
JMM,0.235421568627451,0.25058279365638486,0.07,2.097,0.114,0.173,0.24775,168.091,0.23539159654043945,5.422290322580645,0.1556774193548387,0.11861290322580645,0.11321875,0.11022580645161291,0.1102258064516129,0.10964516129032258,0.115,0.16438709677419355,0.21658064516129033,0.1829032258064516,0.18887096774193549,0.23709677419354838,0.437,0.458,0.46196774193548384,0.22493548387096773,0.228258064516129,0.23625806451612902,0.2692258064516129,0.3508387096774193,0.3190322580645161,0.3336774193548387,0.27699999999999997,4.826,3.677,3.623,3.4170000000000003,3.417,3.399,3.565,5.096,6.714,5.67,5.855,7.35,13.547,14.198,14.321,6.973,7.076,7.324,8.346,10.876,9.89,10.344,8.587,4.826,3.677,3.623,3.4170000000000003,3.417,3.399,3.565,5.096,6.714,5.67,5.855,7.35,13.547,14.198,14.321,6.973,7.076,7.324,8.346,10.876,9.89,10.344,8.587,0.1514032258064516,0.3276397849462365,0.23966935483870966,0.3201370967741935,0.12159213709677419,18.774,60.940999999999995,29.718999999999998,39.697,18.96,0.017347685476169664,0.17873580915958495,0.0679327423673815,0.0755977039467259,0.014256006434118725,0.20755434782608695,0.28076521739130433,0.23856521739130435,0.20981739130434784,0.22396739130434784,0.2580434782608696,0.22364516129032258,19.095,32.288,27.435,24.129,20.605,23.740000000000002,20.799,0.1625041919412268,0.29066579139680254,0.2399479157824246,0.21371035418145537,0.22559866392943526,0.3321020269896375,0.2519776407075631,0.2335576559546314,0.24075135135135137,123.552,44.539,0.23367457659968158,0.2942621997227369,0.235421568627451,168.091,0.2505827936563848,168.091,168.091,28.335,38.67,33.25,41.556,26.28
MANA,0.226781512605042,0.20380674479259578,0.057,1.416,0.09925,0.1475,0.275,161.922,0.22675,5.223290322580646,0.20916129032258066,0.11287096774193549,0.11575,0.12519354838709676,0.1007741935483871,0.11132258064516129,0.11212903225806452,0.11229032258064515,0.2152258064516129,0.20580645161290323,0.2190967741935484,0.13974193548387095,0.13851612903225805,0.318741935483871,0.47777419354838707,0.23858064516129032,0.2593548387096774,0.23109677419354838,0.20709677419354838,0.2261935483870968,0.36687096774193545,0.5700322580645161,0.40593548387096773,6.484,3.499,3.704,3.881,3.124,3.451,3.476,3.481,6.672,6.38,6.792,4.332,4.294,9.881,14.811,7.396,8.04,7.164,6.42,7.0120000000000005,11.373,17.671,12.584,6.484,3.499,3.704,3.881,3.124,3.451,3.476,3.481,6.672,6.38,6.792,4.332,4.294,9.881,14.811,7.396,8.04,7.164,6.42,7.0120000000000005,11.373,17.671,12.584,0.13774193548387095,0.2499462365591398,0.2340322580645161,0.392258064516129,0.13275,17.08,46.49,29.020000000000003,48.64,20.692,0.07464978232247738,0.08465622779807683,0.06039192156800945,0.08017214367844096,0.020137474234823774,0.2217173913043478,0.2384521739130435,0.21269565217391306,0.23526086956521738,0.2468804347826087,0.21515217391304348,0.21591397849462368,20.398,27.422,24.46,27.055,22.713,19.794,20.080000000000002,0.16986544940926046,0.1967116173790946,0.18620363187862435,0.18564142416944088,0.2615319551585229,0.2351890488023217,0.19025410101927293,0.23071455576559546,0.21553513513513514,122.048,39.874,0.20047648684163646,0.2132012728062487,0.226781512605042,161.922,0.20380674479259575,161.922,161.922,29.154,39.172,34.196,38.385,21.015
