archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2023-10,Octubre,2023-09-25/2023-10-01,2023-10-02/2023-10-08,2023-10-09/2023-10-15,2023-10-16/2023-10-22,2023-10-23/2023-10-29,2023-10-30/2023-11-05
ABLD,0.20684033613445382,0.24437534014301257,0.049,1.874,0.074,0.098,0.22375,147.68400000000003,0.20673340345956054,4.764000000000001,0.10525806451612903,0.09938709677419355,0.09459375,0.08138709677419355,0.09067741935483871,0.07948387096774194,0.08832258064516128,0.2204516129032258,0.18612903225806451,0.1134516129032258,0.18745161290322582,0.23025806451612904,0.19880645161290322,0.21277419354838709,0.4344516129032258,0.38641935483870965,0.27019354838709675,0.23387096774193547,0.25941935483870965,0.22067741935483873,0.3387741935483871,0.3852258064516129,0.24348387096774193,3.263,3.081,3.027,2.523,2.811,2.464,2.738,6.834,5.77,3.517,5.811,7.138,6.163,6.596,13.468,11.979,8.376,7.25,8.042,6.841,10.502,11.942,7.548,3.263,3.081,3.027,2.523,2.811,2.464,2.738,6.834,5.77,3.517,5.811,7.138,6.163,6.596,13.468,11.979,8.376,7.25,8.042,6.841,10.502,11.942,7.548,0.14359677419354838,0.22953225806451613,0.28747580645161286,0.29704032258064517,0.09426068548387095,17.805999999999997,42.693,35.647,36.833,14.704999999999998,0.0784818108144914,0.07856274386203367,0.07330401000659105,0.07264484647118237,0.006558561301825889,0.1990695652173913,0.20090434782608696,0.1927934782608696,0.2001521739130435,0.17556521739130435,0.19838043478260872,0.2683879310344828,22.893,23.104,17.737000000000002,18.414,16.152,18.251,31.133,0.21568413071210732,0.2302278038109152,0.2061049843462893,0.2510916795389359,0.18773785232194842,0.24060481677380016,0.3308294128018436,0.1942687747035573,0.23742307692307693,98.3,49.384,0.21890504947674563,0.2957512727111983,0.20684033613445377,147.684,0.2443753401430125,147.684,147.684,4.2490000000000006,32.459,30.646,34.608,37.365,8.357
AJVG,0.15215966386554622,0.19376383377594036,0.02,1.573,0.051,0.07,0.18275,108.642,0.15191099812996728,3.50458064516129,0.07664516129032257,0.06538709677419355,0.05434375,0.058258064516129034,0.08509677419354839,0.09258064516129033,0.17003225806451613,0.5048709677419355,0.26393548387096777,0.20258064516129032,0.14916129032258063,0.13116129032258064,0.16896774193548386,0.15654838709677418,0.13719354838709677,0.12916129032258064,0.07132258064516128,0.08406451612903225,0.12229032258064516,0.17306451612903226,0.2343548387096774,0.20374193548387096,0.16806451612903225,2.376,2.027,1.739,1.806,2.638,2.87,5.271,15.651,8.182,6.28,4.624,4.066,5.2379999999999995,4.853,4.253,4.004,2.211,2.606,3.791,5.365,7.265,6.316,5.21,2.376,2.027,1.739,1.806,2.638,2.87,5.271,15.651,8.182,6.28,4.624,4.066,5.2379999999999995,4.853,4.253,4.004,2.211,2.606,3.791,5.365,7.265,6.316,5.21,0.2578548387096774,0.1576021505376344,0.10170967741935483,0.19480645161290322,0.06794616935483871,31.974000000000004,29.314,12.612,24.156,10.586,0.13057526183727225,0.05863671569806336,0.03196017799820962,0.06843926887836362,0.01799240869432315,0.16233913043478262,0.14168695652173913,0.13619565217391302,0.1447608695652174,0.1227608695652174,0.15991304347826088,0.1881465517241379,18.669,16.294,12.53,13.318,11.294,14.712,21.825,0.17700068822130655,0.16614258119012004,0.16336887669014125,0.18616478400500763,0.17628893425876932,0.1870385546535772,0.26651458086583735,0.14250000000000002,0.17565865384615384,72.105,36.537,0.1735720154703962,0.23460155104098546,0.15215966386554622,108.642,0.1937638337759403,108.642,108.642,1.941,26.203,14.598,26.976,31.86,7.064
FMB,0.17501960784313725,0.17846176031715638,0.024,1.742,0.056,0.13,0.22275,124.964,0.17494197054698457,4.031096774193548,0.1280967741935484,0.07883870967741935,0.11328125,0.062096774193548386,0.10438709677419356,0.06380645161290323,0.08925806451612903,0.0944516129032258,0.12625806451612903,0.22351612903225807,0.21825806451612903,0.2091290322580645,0.25493548387096776,0.33783870967741936,0.2556129032258065,0.1809032258064516,0.25083870967741934,0.2320967741935484,0.21187096774193548,0.21935483870967742,0.16564516129032258,0.202,0.20496774193548387,3.971,2.444,3.625,1.925,3.236,1.978,2.767,2.928,3.914,6.929,6.766,6.483,7.9030000000000005,10.473,7.924,5.608,7.776,7.195,6.568,6.8,5.135,6.2620000000000005,6.354,3.971,2.444,3.625,1.925,3.236,1.978,2.767,2.928,3.914,6.929,6.766,6.483,7.9030000000000005,10.473,7.924,5.608,7.776,7.195,6.568,6.8,5.135,6.2620000000000005,6.354,0.09344354838709677,0.24988172043010756,0.21892741935483873,0.19799193548387095,0.09734012096774193,11.587,46.478,27.147,24.551,15.201,0.041769889282679905,0.07253483540801174,0.05237769149715231,0.07675749918564259,0.0214584409066752,0.1923217391304348,0.1746,0.17276086956521738,0.15804347826086956,0.19646739130434782,0.17620652173913043,0.1555862068965517,22.117,20.079,15.894,14.54,18.075,16.211,18.048,0.17636846138804832,0.1669847561064477,0.12817805006285932,0.18149476504081127,0.1822317960631915,0.18292576636700358,0.21418951660967736,0.1792588932806324,0.16470673076923076,90.705,34.259,0.1684766992437817,0.20075600003158264,0.17501960784313725,124.964,0.17846176031715644,124.964,124.964,5.036,28.663,23.437,27.456,31.297,9.075
GPC,0.17065966386554624,0.17475488864588942,0.027,1.265,0.078,0.111,0.18825,121.85100000000001,0.17065538803179056,3.930677419354838,0.09919354838709678,0.09858064516129032,0.0926875,0.08419354838709676,0.07438709677419356,0.08270967741935484,0.108,0.29932258064516126,0.2275483870967742,0.19093548387096776,0.13319354838709677,0.1427741935483871,0.16919354838709677,0.2131290322580645,0.2826774193548387,0.1937741935483871,0.1637741935483871,0.20287096774193547,0.23487096774193547,0.22396774193548386,0.31329032258064515,0.2036774193548387,0.09293548387096776,3.075,3.056,2.966,2.61,2.306,2.564,3.348,9.279,7.054,5.9190000000000005,4.129,4.426,5.245,6.607,8.763,6.007,5.077,6.289,7.281,6.943,9.712,6.314,2.8810000000000002,3.075,3.056,2.966,2.61,2.306,2.564,3.348,9.279,7.054,5.9190000000000005,4.129,4.426,5.245,6.607,8.763,6.007,5.077,6.289,7.281,6.943,9.712,6.314,2.8810000000000002,0.17939516129032257,0.18865053763440862,0.19882258064516128,0.20846774193548387,0.08980846774193549,22.244999999999997,35.089,24.653999999999996,25.85,14.013000000000002,0.11054367902873913,0.06731507530441827,0.05781691003835846,0.06963342129530346,0.04597926677284045,0.17793913043478263,0.1631217391304348,0.14344565217391303,0.1653695652173913,0.1807391304347826,0.18140217391304347,0.18018103448275863,20.463,18.759,13.197,15.214,16.628,16.689,20.901,0.17459151759687838,0.16299403432340423,0.14219452425512533,0.16098574896939624,0.18698697548608395,0.2056151349766984,0.18485536527773277,0.16652371541501976,0.18072115384615384,84.261,37.589999999999996,0.16630955400486486,0.1938306924306128,0.1706596638655462,121.851,0.17475488864588948,121.851,121.851,3.468,29.35,25.665,27.632,28.701999999999998,7.034
JACL,0.1033529411764706,0.07208240043705483,0.028,0.926,0.058,0.096,0.133,73.79400000000001,0.10336921458625525,2.380451612903226,0.12248387096774192,0.08516129032258064,0.07409375,0.07635483870967742,0.08800000000000001,0.07064516129032258,0.06548387096774193,0.07216129032258065,0.08687096774193549,0.07316129032258063,0.08080645161290322,0.1152258064516129,0.09980645161290322,0.11693548387096774,0.24448387096774193,0.12854838709677419,0.12712903225806452,0.12703225806451612,0.10296774193548387,0.09967741935483872,0.0960967741935484,0.10703225806451613,0.11790322580645161,3.7969999999999997,2.64,2.371,2.367,2.728,2.19,2.03,2.237,2.693,2.268,2.505,3.572,3.094,3.625,7.579,3.985,3.941,3.938,3.192,3.0900000000000003,2.979,3.318,3.6550000000000002,3.7969999999999997,2.64,2.371,2.367,2.728,2.19,2.03,2.237,2.693,2.268,2.505,3.572,3.094,3.625,7.579,3.985,3.941,3.938,3.192,3.0900000000000003,2.979,3.318,3.6550000000000002,0.07379032258064516,0.12173655913978494,0.12141935483870966,0.10517741935483871,0.08921875,9.15,22.642999999999997,15.056000000000001,13.042000000000002,13.903,0.005090431534205193,0.048223978361689845,0.022394513012719525,0.0024475587656985283,0.003688355337415126,0.0987913043478261,0.10262608695652174,0.10436956521739131,0.09983695652173914,0.09530434782608696,0.10106521739130435,0.11877586206896552,11.361,11.802,9.602,9.185,8.768,9.298,13.778,0.06037506974347416,0.07255699041002729,0.057857292680287116,0.05863769877909585,0.04756805168732726,0.07974572286547309,0.10422017548205936,0.10023320158102768,0.1109423076923077,50.718,23.076,0.060424938825834315,0.09438100674021323,0.10335294117647058,73.794,0.07208240043705488,73.794,73.794,3.328,18.098,16.931,16.466,14.401,4.57
JALG,0.2673179271708684,0.26076624287454525,0.061,1.829,0.098,0.1555,0.3425,190.865,0.26714048620850867,6.156935483870967,0.1484193548387097,0.11190322580645161,0.10765625,0.09761290322580644,0.08674193548387096,0.0982258064516129,0.11525806451612904,0.15870967741935485,0.23912903225806453,0.27441935483870966,0.28480645161290324,0.1977741935483871,0.2979032258064516,0.45164516129032256,0.4354516129032258,0.481,0.333258064516129,0.29993548387096775,0.23648387096774195,0.2695483870967742,0.5621290322580644,0.5037419354838709,0.3617096774193549,4.601,3.469,3.445,3.026,2.689,3.045,3.573,4.92,7.413,8.507,8.829,6.131,9.235,14.001,13.499,14.911,10.331,9.298,7.331,8.356,17.426,15.616,11.213000000000001,4.601,3.469,3.445,3.026,2.689,3.045,3.573,4.92,7.413,8.507,8.829,6.131,9.235,14.001,13.499,14.911,10.331,9.298,7.331,8.356,17.426,15.616,11.213000000000001,0.15283064516129033,0.32366666666666666,0.3376693548387097,0.4242822580645161,0.11046673387096775,18.951,60.202,41.871,52.611,17.23,0.06289576074248715,0.10808162620193626,0.08868706902025586,0.13797207961215663,0.028787817146646563,0.2823217391304348,0.26841739130434783,0.259,0.27022826086956525,0.2422173913043478,0.2584565217391304,0.28257758620689655,32.467,30.868,23.828,24.861,22.284,23.778,32.778999999999996,0.2734808934544938,0.2560250118883568,0.29158554811261117,0.28037769280225916,0.22391382889661351,0.2385517389473439,0.25921960308527625,0.26543083003952567,0.27190865384615387,134.308,56.557,0.2652902019405283,0.24998343195750306,0.2673179271708684,190.865,0.2607662428745454,190.865,190.865,6.409,39.747,43.169,42.463,46.859,12.218
JLG,0.13394117647058823,0.12868901777194378,0.048,1.221,0.064,0.1015,0.157,95.634,0.13397212482468443,3.084967741935484,0.12441935483870967,0.10680645161290322,0.06459375,0.0647741935483871,0.06151612903225807,0.06087096774193548,0.05929032258064516,0.06348387096774194,0.07983870967741936,0.16703225806451613,0.17770967741935484,0.14619354838709678,0.12096774193548387,0.18980645161290324,0.2104516129032258,0.23516129032258065,0.18274193548387097,0.12035483870967742,0.13706451612903225,0.1416451612903226,0.18380645161290324,0.19870967741935483,0.18564516129032257,3.8569999999999998,3.311,2.067,2.008,1.907,1.887,1.838,1.968,2.475,5.178,5.509,4.532,3.75,5.884,6.524,7.29,5.665,3.731,4.249,4.391,5.698,6.16,5.755,3.8569999999999998,3.311,2.067,2.008,1.907,1.887,1.838,1.968,2.475,5.178,5.509,4.532,3.75,5.884,6.524,7.29,5.665,3.731,4.249,4.391,5.698,6.16,5.755,0.06587096774193549,0.1686935483870968,0.16883064516129032,0.1774516129032258,0.08442197580645161,8.168,31.377000000000002,20.935,22.004,13.149999999999999,0.011343605471755006,0.04410674734170058,0.10529125492650585,0.03904709532406829,0.0768826164110629,0.13181739130434783,0.14117391304347826,0.13929347826086955,0.1294782608695652,0.12456521739130436,0.1398804347826087,0.13089655172413792,15.159,16.235,12.815,11.911999999999999,11.46,12.869,15.184,0.12248956866497449,0.13886073175045954,0.1345060591832187,0.11949973362063922,0.11737020461225006,0.1383529363534113,0.12970028187494728,0.13355928853754942,0.13487019230769232,67.581,28.053,0.12685902927892764,0.13334364987610647,0.13394117647058823,95.634,0.12868901777194383,95.634,95.634,2.778,23.802,19.712,19.854,23.806,5.682
JMM,0.24292436974789916,0.21040458560523725,0.081,1.824,0.127,0.185,0.26775000000000004,173.448,0.2429627162225339,5.595096774193547,0.18874193548387097,0.14861290322580645,0.1224375,0.12632258064516128,0.12925806451612903,0.12403225806451613,0.12651612903225806,0.135258064516129,0.2346451612903226,0.17183870967741935,0.1665806451612903,0.2618387096774194,0.33161290322580644,0.6053225806451613,0.4153548387096774,0.34003225806451615,0.24167741935483872,0.26706451612903226,0.27003225806451614,0.2725806451612903,0.3063225806451613,0.3417741935483871,0.26329032258064516,5.851,4.607,3.918,3.916,4.007,3.845,3.922,4.193,7.274,5.327,5.164,8.117,10.28,18.765,12.876,10.541,7.492,8.279,8.371,8.45,9.496,10.595,8.162,5.851,4.607,3.918,3.916,4.007,3.845,3.922,4.193,7.274,5.327,5.164,8.117,10.28,18.765,12.876,10.541,7.492,8.279,8.371,8.45,9.496,10.595,8.162,0.15511290322580645,0.32542473118279575,0.2797016129032258,0.295991935483871,0.14307459677419354,19.234,60.528999999999996,34.683,36.702999999999996,22.299,0.02778540657069695,0.17223691975208938,0.0674221197088905,0.05263991796814208,0.01797792772722206,0.20748695652173912,0.21497391304347827,0.23868478260869566,0.2127391304347826,0.23610869565217393,0.3378478260869565,0.26318965517241383,23.861,24.722,21.959,19.572,21.722,31.082,30.53,0.14148463218372787,0.1849319201840905,0.21542362708520532,0.1621313989944418,0.20028251785046478,0.2902723970699189,0.23313026453011212,0.2210197628458498,0.29621153846153847,111.836,61.612,0.18090797289827076,0.26194813341675144,0.24292436974789916,173.448,0.21040458560523717,173.448,173.448,5.83,39.066,45.085,39.93,34.643,8.894
MANA,0.27609943977591034,0.25581424038104955,0.073,2.613,0.1285,0.1955,0.318,197.135,0.2762362669471715,6.359193548387096,0.24729032258064518,0.15687096774193549,0.15346875,0.1444516129032258,0.12816129032258064,0.12274193548387097,0.13270967741935483,0.14251612903225808,0.16716129032258065,0.24558064516129033,0.27464516129032257,0.31151612903225806,0.2661612903225806,0.46477419354838706,0.5585483870967741,0.35787096774193544,0.3289677419354839,0.2239032258064516,0.24138709677419354,0.2719032258064516,0.4029354838709677,0.5551612903225807,0.4555161290322581,7.666,4.863,4.911,4.478,3.973,3.805,4.114,4.418,5.182,7.613,8.514,9.657,8.251,14.408,17.314999999999998,11.094,10.198,6.941,7.483,8.429,12.491,17.21,14.121,7.666,4.863,4.911,4.478,3.973,3.805,4.114,4.418,5.182,7.613,8.514,9.657,8.251,14.408,17.314999999999998,11.094,10.198,6.941,7.483,8.429,12.491,17.21,14.121,0.14128225806451614,0.3535376344086021,0.2880322580645161,0.4213790322580645,0.16604858870967742,17.519,65.758,35.716,52.251000000000005,25.891,0.023322038584819405,0.11162609519680022,0.11154013999239269,0.13059688745968712,0.023263237028949193,0.2528695652173913,0.28210434782608695,0.3065652173913044,0.2925108695652174,0.2922826086956522,0.25956521739130434,0.2562758620689655,29.08,32.442,28.204,26.911,26.89,23.88,29.728,0.16735583068898074,0.2395899045230237,0.378111481448592,0.24495980807647183,0.2736127979658524,0.1930249260421529,0.2633816073010182,0.28365019762845844,0.2577307692307692,143.527,53.608,0.26398216668308006,0.23435207135461314,0.27609943977591034,197.135,0.2558142403810496,197.135,197.135,7.8469999999999995,49.111,42.126,45.525999999999996,42.561,9.964
MBGV,0.20497619047619048,0.1869875853527989,0.069,1.39,0.097,0.126,0.236,146.353,0.2048388265544647,4.721064516129032,0.23170967741935483,0.10793548387096774,0.103625,0.1037741935483871,0.10306451612903225,0.1032258064516129,0.09990322580645161,0.15451612903225806,0.25667741935483873,0.33148387096774196,0.26870967741935486,0.2996451612903226,0.1840967741935484,0.14229032258064517,0.1965483870967742,0.186,0.16548387096774192,0.20722580645161293,0.18064516129032257,0.2672258064516129,0.36848387096774193,0.3216774193548387,0.33377419354838705,7.183,3.346,3.316,3.217,3.195,3.2,3.097,4.79,7.957,10.276,8.33,9.289,5.707,4.4110000000000005,6.093,5.766,5.13,6.424,5.6,8.284,11.423,9.972,10.347,7.183,3.346,3.316,3.217,3.195,3.2,3.097,4.79,7.957,10.276,8.33,9.289,5.707,4.4110000000000005,6.093,5.766,5.13,6.424,5.6,8.284,11.423,9.972,10.347,0.15358064516129033,0.2371290322580645,0.18483870967741936,0.32279032258064516,0.13002177419354838,19.044,44.10600000000001,22.92,40.026,20.256999999999998,0.07516288378680713,0.07494278617528459,0.03644448000061861,0.036146393243384776,0.08394045455727002,0.2137130434782609,0.19330434782608696,0.1938804347826087,0.22206521739130433,0.14525,0.19761956521739132,0.25633620689655173,24.577,22.23,17.837,20.43,13.363,18.181,29.735,0.1793351642711623,0.1513250929385487,0.1388805196342339,0.21393563807466426,0.11025840029297015,0.1748526439191675,0.26608805159082266,0.1945395256916996,0.2303653846153846,98.437,47.916,0.16434080568995668,0.23158143808924805,0.20497619047619048,146.353,0.1869875853527988,146.353,146.353,5.57,33.79,26.702,35.767,36.801,7.723
