archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-01,Enero,2022-12-26/2023-01-01,2023-01-02/2023-01-08,2023-01-09/2023-01-15,2023-01-16/2023-01-22,2023-01-23/2023-01-29,2023-01-30/2023-02-05
AJVG,0.3248415147265077,0.45412573602120754,0.018,2.488,0.032,0.089,0.452,231.612,0.32484151472650763,7.471354838709678,0.2151532258064516,0.4747795698924732,0.422782258064516,0.41433870967741937,0.08271612903225806,26.679000000000002,88.309,52.425,51.378,12.821,0.15897931780477087,0.12116599894045309,0.0688716114671909,0.011057093181823062,0.03621010126745442,0.11451612903225807,0.10854838709677418,0.06735483870967743,0.07816129032258065,0.045,0.07048387096774193,0.10948387096774194,0.346258064516129,0.33438709677419354,0.49593548387096775,0.4038064516129032,0.48187096774193544,0.3507741935483871,0.4261290322580645,0.6901612903225807,0.6012258064516128,0.39906451612903227,0.35612903225806447,0.3347096774193548,0.3566774193548387,0.4835161290322581,0.42135483870967744,0.39580645161290323,3.55,3.3649999999999998,2.088,2.423,1.395,2.185,3.394,10.734,10.366,15.374,12.517999999999999,14.937999999999999,10.874,13.209999999999999,21.395,18.637999999999998,12.371,11.04,10.376,11.057,14.989,13.062000000000001,12.27,3.55,3.3649999999999998,2.088,2.423,1.395,2.185,3.394,10.734,10.366,15.374,12.517999999999999,14.937999999999999,10.874,13.209999999999999,21.395,18.637999999999998,12.371,11.04,10.376,11.057,14.989,13.062000000000001,12.27,0.48979999999999996,0.32894782608695655,0.34140217391304345,0.2541521739130435,0.27467391304347827,0.24143478260869564,0.3059391304347826,56.327,37.829,31.409,23.382,25.27,22.212,35.183,0.5789723079157875,0.4027203950040899,0.42930071070870857,0.3729694308771813,0.4431899875068007,0.36616921880307374,0.47847669995805026,0.344302371541502,0.2772705314009662,174.217,57.395,0.46172883632213657,0.4323849465366062,0.3248415147265077,231.612,0.45412573602120737,231.612,231.612,6.276,13.037,52.085,93.30799999999999,43.069,23.837
GPC,0.20160028050490886,0.22224107861147793,0.027,1.26,0.064,0.108,0.227,143.741,0.20160028050490883,4.6368064516129035,0.18950806451612903,0.2304516129032258,0.25020967741935485,0.23310483870967744,0.11256129032258064,23.499000000000002,42.864,31.026000000000003,28.905,17.447,0.13539806874102506,0.06123725260142382,0.05214013115784892,0.11135077932776585,0.07591538696275889,0.09074193548387097,0.13670967741935486,0.15654838709677418,0.10412903225806452,0.07467741935483871,0.06393548387096774,0.07725806451612903,0.3121935483870968,0.3046451612903226,0.3018064516129032,0.2550967741935484,0.13996774193548386,0.12303225806451613,0.22264516129032258,0.34016129032258063,0.3809677419354839,0.23612903225806453,0.2067741935483871,0.17696774193548387,0.3126129032258065,0.3796451612903226,0.15774193548387097,0.08241935483870969,2.813,4.238,4.853,3.228,2.315,1.982,2.395,9.678,9.444,9.356,7.908,4.3389999999999995,3.814,6.902,10.545,11.81,7.32,6.41,5.486,9.691,11.769,4.89,2.555,2.813,4.238,4.853,3.228,2.315,1.982,2.395,9.678,9.444,9.356,7.908,4.3389999999999995,3.814,6.902,10.545,11.81,7.32,6.41,5.486,9.691,11.769,4.89,2.555,0.1850608695652174,0.18766086956521738,0.20904347826086955,0.18788043478260869,0.2026304347826087,0.20607608695652174,0.23269565217391305,21.282,21.581,19.232,17.285,18.642,18.959,26.76,0.20019649500746087,0.22674774944071704,0.22154328394310718,0.20889604346572258,0.21565987248908108,0.22489471205387326,0.2526101696051608,0.19371936758893282,0.22086473429951692,98.022,45.719,0.21408277361989553,0.2404823047459505,0.20160028050490886,143.741,0.22224107861147802,143.741,143.741,5.578,33.608,33.248,29.740000000000002,31.961,9.606
JACL,0.09849368863955119,0.10213852554801259,0.028,1.381,0.054,0.082,0.111,70.226,0.09849368863955121,2.265354838709678,0.06203225806451612,0.1455752688172043,0.08835483870967742,0.1012741935483871,0.0770516129032258,7.691999999999999,27.076999999999998,10.956,12.558,11.943000000000001,0.00258577029424141,0.0873734057088879,0.014981757211390468,0.002163812669785623,0.008099245523362974,0.12235483870967742,0.07738709677419355,0.06848387096774194,0.05783870967741935,0.05919354838709677,0.058,0.060290322580645164,0.06019354838709677,0.06964516129032257,0.07780645161290323,0.10612903225806451,0.13780645161290322,0.10880645161290321,0.12729032258064515,0.3156129032258065,0.10525806451612903,0.07703225806451612,0.08883870967741936,0.08229032258064517,0.08103225806451612,0.08087096774193549,0.1064516129032258,0.13674193548387095,3.793,2.399,2.123,1.793,1.835,1.798,1.869,1.8659999999999999,2.159,2.412,3.29,4.272,3.3729999999999998,3.946,9.784,3.263,2.388,2.754,2.551,2.512,2.507,3.3,4.239,3.793,2.399,2.123,1.793,1.835,1.798,1.869,1.8659999999999999,2.159,2.412,3.29,4.272,3.3729999999999998,3.946,9.784,3.263,2.388,2.754,2.551,2.512,2.507,3.3,4.239,0.10039999999999999,0.0865913043478261,0.09342391304347827,0.08614130434782609,0.09470652173913043,0.13780434782608697,0.09400869565217392,11.546,9.958,8.595,7.925,8.713,12.678,10.811,0.09514142750700229,0.061464280834149454,0.04984993605993059,0.04442837958518963,0.07464590963429538,0.2165274004502059,0.07297013275717362,0.09236561264822135,0.11347342995169082,46.737,23.489,0.06880642040126633,0.1553495526672236,0.09849368863955119,70.226,0.10213852554801257,70.226,70.226,2.207,14.823,14.291,15.817,18.694,4.394
JALG,0.3305413744740533,0.329190437501593,0.028,1.749,0.077,0.197,0.479,235.676,0.3305413744740534,7.602451612903226,0.2305483870967742,0.4096021505376344,0.42666129032258066,0.49570967741935484,0.10663225806451612,28.588,76.186,52.906000000000006,61.467999999999996,16.528000000000002,0.2051567770629432,0.0653462247046145,0.05093348312362583,0.11328354273655622,0.0402859431605353,0.18670967741935485,0.09819354838709678,0.08403225806451613,0.08187096774193547,0.08235483870967741,0.07903225806451614,0.10016129032258064,0.2033225806451613,0.5396774193548387,0.530225806451613,0.40361290322580645,0.3053548387096774,0.33416129032258063,0.41358064516129034,0.47067741935483876,0.5370645161290323,0.4393870967741936,0.387741935483871,0.3424516129032258,0.3562258064516129,0.48251612903225805,0.6688709677419354,0.4752258064516129,5.788,3.044,2.605,2.538,2.553,2.45,3.105,6.303,16.73,16.437,12.512,9.466,10.359,12.821,14.591000000000001,16.649,13.621,12.02,10.616,11.043,14.958,20.735,14.732,5.788,3.044,2.605,2.538,2.553,2.45,3.105,6.303,16.73,16.437,12.512,9.466,10.359,12.821,14.591000000000001,16.649,13.621,12.02,10.616,11.043,14.958,20.735,14.732,0.3426521739130435,0.3118782608695652,0.3080434782608696,0.32758695652173914,0.3367934782608696,0.3149891304347826,0.36489565217391307,39.405,35.866,28.34,30.138,30.985,28.979,41.963,0.343453795341828,0.3256687626167381,0.33185267196613843,0.3265691166657775,0.3159255906983453,0.3135884996827873,0.34533061640991736,0.3255612648221344,0.34271497584541066,164.734,70.94200000000001,0.3283402805071982,0.3317422688322595,0.3305413744740533,235.676,0.32919043750159277,235.676,235.676,5.374,53.169,52.898,50.622,56.03,17.583000000000002
JLG,0.15245441795231418,0.16136198214486067,0.052,1.519,0.064,0.108,0.176,108.7,0.15245441795231418,3.5064516129032253,0.06684677419354838,0.2305483870967742,0.15375806451612903,0.20511290322580644,0.08405806451612904,8.289,42.882,19.066,25.433999999999997,13.029,0.019549492837465446,0.09486251442647213,0.04625300387018982,0.05951515549397271,0.05007984409731386,0.1474193548387097,0.08012903225806452,0.06741935483870967,0.06338709677419355,0.06193548387096774,0.06387096774193549,0.06225806451612903,0.06425806451612903,0.077,0.11251612903225806,0.29877419354838713,0.2143225806451613,0.23141935483870968,0.28935483870967743,0.23690322580645162,0.16951612903225807,0.1434516129032258,0.1444516129032258,0.15761290322580646,0.1784193548387097,0.1839032258064516,0.24296774193548387,0.21516129032258063,4.57,2.484,2.09,1.965,1.92,1.98,1.93,1.992,2.387,3.488,9.262,6.644,7.174,8.97,7.344,5.255,4.447,4.478,4.886,5.531000000000001,5.701,7.532,6.67,4.57,2.484,2.09,1.965,1.92,1.98,1.93,1.992,2.387,3.488,9.262,6.644,7.174,8.97,7.344,5.255,4.447,4.478,4.886,5.531000000000001,5.701,7.532,6.67,0.14011304347826087,0.12741739130434784,0.1535,0.16225,0.1698804347826087,0.15343478260869564,0.16643478260869565,16.113,14.653,14.122,14.927,15.629,14.116,19.14,0.12820089533703496,0.10959030423631783,0.1320677065784029,0.18532387005776346,0.19353353018354058,0.16923566404770155,0.19689881319908129,0.149098814229249,0.16065700483091788,75.444,33.256,0.15080368892255447,0.18479356952182208,0.15245441795231418,108.7,0.16136198214486067,108.7,108.7,4.407,28.509,20.277,23.721,24.983999999999998,6.8020000000000005
JMM,0.2845946704067321,0.2452703388688875,0.071,2.011,0.157,0.209,0.293,202.916,0.2845946704067322,6.545677419354838,0.1610483870967742,0.42073118279569893,0.2812096774193549,0.34951612903225804,0.17083870967741932,19.97,78.256,34.87,43.34,26.479999999999997,0.012171024229377946,0.1862352222256975,0.06033168051525627,0.07058968576621484,0.012794924603783096,0.2241290322580645,0.16470967741935483,0.15841935483870967,0.1552258064516129,0.15170967741935484,0.1550967741935484,0.14470967741935484,0.16674193548387098,0.17764516129032257,0.23048387096774195,0.19890322580645162,0.27725806451612905,0.4927096774193548,0.6428387096774194,0.6821935483870968,0.30154838709677423,0.2603225806451613,0.25964516129032256,0.3033225806451613,0.38483870967741934,0.38925806451612904,0.30890322580645163,0.31506451612903225,6.9479999999999995,5.106,4.911,4.812,4.703,4.808,4.486,5.1690000000000005,5.507,7.1450000000000005,6.166,8.595,15.274,19.928,21.148,9.348,8.07,8.049,9.403,11.93,12.067,9.576,9.767,6.9479999999999995,5.106,4.911,4.812,4.703,4.808,4.486,5.1690000000000005,5.507,7.1450000000000005,6.166,8.595,15.274,19.928,21.148,9.348,8.07,8.049,9.403,11.93,12.067,9.576,9.767,0.26954782608695654,0.29166086956521736,0.25269565217391304,0.3288586956521739,0.27518478260869567,0.2981086956521739,0.2794,30.998,33.541,23.248,30.255,25.317,27.426,32.131,0.20694940662666172,0.2740245502817803,0.15825426328860953,0.34815645029153014,0.22570285480468597,0.24974001675244348,0.21834857854903927,0.28331818181818186,0.2877149758454106,143.359,59.557,0.2505466726849896,0.2324274830387377,0.2845946704067321,202.916,0.24527033886888752,202.916,202.916,9.398,50.356,39.793,38.523,50.553,14.293000000000001
MANA,0.30609396914446,0.260829728091478,0.063,1.929,0.136,0.25,0.359,218.245,0.3060939691444601,7.0401612903225805,0.1263467741935484,0.4076236559139785,0.36086290322580644,0.44844354838709677,0.17036129032258063,15.667000000000002,75.818,44.747,55.607,26.406,0.009350893460357355,0.11476070558401374,0.10430389866760793,0.07061377067290693,0.017846511860268734,0.2803225806451613,0.18661290322580645,0.13851612903225805,0.12025806451612903,0.1260967741935484,0.11274193548387097,0.12951612903225806,0.12948387096774194,0.13364516129032258,0.2382258064516129,0.34316129032258064,0.3129032258064516,0.3729677419354839,0.49493548387096775,0.6835483870967742,0.4333548387096774,0.3824516129032258,0.2924193548387097,0.3352258064516129,0.34983870967741937,0.3743870967741935,0.5938064516129032,0.475741935483871,8.69,5.785,4.294,3.7279999999999998,3.909,3.495,4.015,4.014,4.143,7.385,10.638,9.7,11.562,15.343,21.19,13.434,11.856,9.065,10.392,10.845,11.606,18.408,14.748000000000001,8.69,5.785,4.294,3.7279999999999998,3.909,3.495,4.015,4.014,4.143,7.385,10.638,9.7,11.562,15.343,21.19,13.434,11.856,9.065,10.392,10.845,11.606,18.408,14.748000000000001,0.2910782608695652,0.33740000000000003,0.3005760869565217,0.31535869565217395,0.3261195652173913,0.2614021739130435,0.30653913043478265,33.474,38.801,27.653,29.013,30.003,24.049,35.252,0.2285042956264847,0.2564029791544908,0.21742581069906627,0.23508967573638878,0.3501798232679672,0.21656058004721682,0.29415135998017183,0.31411857707509877,0.28647826086956524,158.944,59.301,0.2598206193289254,0.26287936666524436,0.30609396914446,218.245,0.260829728091478,218.245,218.245,5.9670000000000005,50.662,50.517,48.54,46.683,15.876
MBGV,0.2218162692847125,0.25148628676643153,0.051,2.429,0.087,0.13,0.246,158.155,0.2218162692847125,5.101774193548387,0.13681451612903225,0.28648924731182795,0.21572580645161288,0.32018548387096774,0.13838709677419353,16.965,53.28699999999999,26.75,39.703,21.45,0.043861329019753495,0.11438316710728479,0.05499920443927101,0.047868590894904736,0.0939981680866218,0.24290322580645163,0.15238709677419351,0.09716129032258064,0.1012258064516129,0.09825806451612902,0.09735483870967741,0.09193548387096774,0.17438709677419353,0.18358064516129033,0.29716129032258065,0.28380645161290324,0.20996774193548387,0.29261290322580646,0.4021612903225806,0.2332258064516129,0.1734516129032258,0.19038709677419355,0.21551612903225806,0.28354838709677416,0.3346774193548387,0.25116129032258067,0.3764193548387097,0.3184838709677419,7.53,4.723999999999999,3.012,3.138,3.046,3.018,2.85,5.406,5.691,9.212,8.798,6.509,9.071,12.466999999999999,7.2299999999999995,5.377,5.902,6.681,8.79,10.375,7.7860000000000005,11.669,9.873,7.53,4.723999999999999,3.012,3.138,3.046,3.018,2.85,5.406,5.691,9.212,8.798,6.509,9.071,12.466999999999999,7.2299999999999995,5.377,5.902,6.681,8.79,10.375,7.7860000000000005,11.669,9.873,0.21825217391304347,0.17983478260869565,0.20330434782608697,0.20602173913043478,0.16205434782608696,0.24916304347826085,0.3207391304347826,25.099,20.681,18.704,18.954,14.909,22.923,36.885,0.2108082958635209,0.1644697450146124,0.19138269233643782,0.21073935665958038,0.1651703326027331,0.28067462986521624,0.39817031282703774,0.19436166007905137,0.28892753623188405,98.347,59.808,0.18990771503577722,0.3518617882414668,0.2218162692847125,158.155,0.2514862867664316,158.155,158.155,3.043,34.698,35.084,39.394999999999996,34.908,11.027
PAA,0.2910673211781206,0.33898698387515486,0.029,2.181,0.045,0.145,0.422,207.531,0.2910673211781206,6.6945483870967735,0.2532258064516129,0.3550698924731182,0.34589516129032255,0.40081451612903224,0.1128774193548387,31.4,66.04299999999999,42.891000000000005,49.70099999999999,17.496,0.2130701929889072,0.11263402186488027,0.06887457473812267,0.06851211243444279,0.059018039987390566,0.19941935483870968,0.15454838709677418,0.08770967741935483,0.07064516129032258,0.05206451612903226,0.05116129032258065,0.10958064516129033,0.477258064516129,0.37490322580645163,0.42229032258064514,0.32538709677419353,0.26338709677419353,0.1971935483870968,0.36774193548387096,0.5544193548387097,0.4685483870967742,0.30393548387096775,0.25093548387096776,0.3601612903225806,0.309258064516129,0.43474193548387097,0.4863870967741935,0.37287096774193546,6.182,4.7909999999999995,2.719,2.19,1.614,1.586,3.3970000000000002,14.795,11.622,13.091,10.087,8.165,6.113,11.4,17.187,14.525,9.422,7.779,11.165,9.587,13.477,15.078,11.559,6.182,4.7909999999999995,2.719,2.19,1.614,1.586,3.3970000000000002,14.795,11.622,13.091,10.087,8.165,6.113,11.4,17.187,14.525,9.422,7.779,11.165,9.587,13.477,15.078,11.559,0.2766347826086956,0.2733304347826087,0.28248913043478263,0.2081086956521739,0.3340978260869565,0.32268478260869565,0.3367478260869565,31.813,31.433,25.989,19.146,30.737,29.687,38.726,0.3512285288545222,0.32160348588871707,0.3293053459474431,0.23239519469421327,0.39802095752935523,0.35384450329648903,0.35253589697719195,0.2749367588932806,0.33049758454106276,139.118,68.413,0.33238422230931414,0.35232890737877265,0.2910673211781206,207.531,0.3389869838751545,207.531,207.531,9.985,49.651,41.189,47.854,45.826,13.026
RFM,0.12240953716690041,0.09352660210963042,0.063,0.988,0.077,0.084,0.132,87.27799999999999,0.12240953716690045,2.8154193548387094,0.10981451612903226,0.12305376344086022,0.09700806451612903,0.19758064516129034,0.09189677419354839,13.617,22.887999999999998,12.028999999999998,24.5,14.244,0.0571893942872272,0.0627142729077041,0.010963028837500206,0.015268003326750958,0.012343639030895328,0.10580645161290322,0.0915483870967742,0.0867741935483871,0.0874516129032258,0.08790322580645162,0.08635483870967742,0.08061290322580646,0.11635483870967743,0.15593548387096773,0.1760322580645161,0.11683870967741936,0.14293548387096774,0.10751612903225806,0.1038709677419355,0.09112903225806453,0.0882258064516129,0.09883870967741935,0.0960967741935484,0.10487096774193548,0.16051612903225806,0.21235483870967742,0.22574193548387098,0.19170967741935482,3.28,2.838,2.69,2.711,2.725,2.677,2.499,3.607,4.834,5.457,3.622,4.431,3.3329999999999997,3.22,2.825,2.735,3.064,2.979,3.251,4.976,6.583,6.998,5.943,3.28,2.838,2.69,2.711,2.725,2.677,2.499,3.607,4.834,5.457,3.622,4.431,3.3329999999999997,3.22,2.825,2.735,3.064,2.979,3.251,4.976,6.583,6.998,5.943,0.11777391304347827,0.11867826086956522,0.1271304347826087,0.1317282608695652,0.11680434782608697,0.11438043478260869,0.13045217391304348,13.544,13.648,11.696,12.119,10.746,10.523,15.002,0.08034804344494625,0.09200119639058923,0.11677339917914879,0.10429397412458899,0.07578950594678598,0.0735859880342292,0.1047385419331646,0.12204150197628459,0.12330917874396134,61.753,25.525,0.09409529747467998,0.09234160441335718,0.12240953716690042,87.278,0.09352660210963044,87.278,87.278,1.881,18.615,22.885,20.320999999999998,18.418,5.1579999999999995
