hogar,week,weekly_sum,z
ABLD_Consumos_2023-02_2025-06,2025-06-30,2.714,-4.497903815278697
ATF_Consumos_2024-03_2024-06,2025-06-23,49.117,3.4976819811640603
FJAG_Consumos_2023-01_2024-12,2024-07-29,174.044,3.743782849810545
FJAG_Consumos_2023-01_2024-12,2024-08-05,155.807,3.077338400064774
FMB_Consumos_2023-03_2025-06,2024-12-23,61.141,3.8250231931596206
FMB_Consumos_2023-03_2025-06,2024-12-30,72.965,5.365460848823337
FMB_Consumos_2023-03_2025-06,2025-01-06,55.866,3.1377930989760876
GPC_Consumos_2023-01_2024-06,2022-12-26,5.578,-3.8722244420818255
GPC_Consumos_2023-01_2024-06,2025-04-14,9.974,-3.089473876705108
GPC_Consumos_2023-01_2024-06,2025-06-30,3.769,-4.194334490481843
JACL_Consumos_2023-01_2024-06,2023-08-14,66.669,4.045506536741813
JACL_Consumos_2023-01_2024-06,2023-08-21,70.091,4.348620324731762
JACL_Consumos_2023-01_2024-06,2024-07-29,55.32,3.0402352392847916
JACL_Consumos_2023-01_2024-06,2024-08-05,60.342,3.485073767421999
JACL_Consumos_2023-01_2024-06,2025-06-23,65.757,3.964723434857877
JALG_Consumos_2023-01_2024-06,2022-12-26,5.374,-5.210973671105152
JALG_Consumos_2023-01_2024-06,2025-06-30,9.815,-4.632577695937646
JLG_Consumos_2023-01_2024-06,2023-08-21,68.555,4.4844667055961915
JLG_Consumos_2023-01_2024-06,2024-07-29,59.146,3.552821305057442
JLG_Consumos_2023-01_2024-06,2024-08-05,55.342,3.1761628818828855
JLG_Consumos_2023-01_2024-06,2025-06-23,72.726,4.897464151195842
JMM_Consumos_2023-01_2024-06,2023-08-21,157.982,7.688860641518522
JMM_Consumos_2023-01_2024-06,2025-06-09,92.29,3.2605008900737507
LFZA_Consumos_2023-01_2024-06,2025-06-16,62.069,3.745988709863233
LFZA_Consumos_2023-01_2024-06,2025-06-23,61.174,3.6521560366716734
MANA_Consumos_2023-01_2024-06,2023-08-14,107.638,4.396363455900552
MANA_Consumos_2023-01_2024-06,2024-07-29,102.669,4.051697893456391
MANA_Consumos_2023-01_2024-06,2024-08-05,112.855,4.758231083043071
MBGV_Consumos_2023-01_2024-06,2022-12-26,3.043,-4.548454853939188
MBGV_Consumos_2023-01_2024-06,2025-06-30,4.942,-4.242230798916661
MTTA_Consumos_2023-02_2025-06,2023-08-14,133.752,4.41643330491943
MTTA_Consumos_2023-02_2025-06,2023-08-21,147.24699999999999,5.1198018492038155
RFM_Consumos_2023-01_2024-06,2022-12-26,1.881,-3.6003248781768975
RFM_Consumos_2023-01_2024-06,2025-02-03,35.621,3.0419489989173156
RFM_Consumos_2023-01_2024-06,2025-06-30,2.8810000000000002,-3.403458432501313
RTF_Consumos_2023-01_2024-06,2022-12-26,2.064,-3.906948150388186
RTF_Consumos_2023-01_2024-06,2025-06-30,7.243,-3.4890363222930962
