archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,primavera,s_primavera,std_primavera,2023-03,2023-04,2023-05,2024-03,2024-04,2024-05,Marzo,Abril,Mayo,2023-02-27/2023-03-05,2023-03-06/2023-03-12,2023-03-13/2023-03-19,2023-03-20/2023-03-26,2023-03-27/2023-04-02,2023-04-03/2023-04-09,2023-04-10/2023-04-16,2023-04-17/2023-04-23,2023-04-24/2023-04-30,2023-05-01/2023-05-07,2023-05-08/2023-05-14,2023-05-15/2023-05-21,2023-05-22/2023-05-28,2023-05-29/2023-06-04,2024-02-26/2024-03-03,2024-03-04/2024-03-10,2024-03-11/2024-03-17,2024-03-18/2024-03-24,2024-03-25/2024-03-31,2024-04-01/2024-04-07,2024-04-08/2024-04-14,2024-04-15/2024-04-21,2024-04-22/2024-04-28,2024-04-29/2024-05-05,2024-05-06/2024-05-12,2024-05-13/2024-05-19,2024-05-20/2024-05-26,2024-05-27/2024-06-02
ABLD,0.2036342789598109,0.23345432027919963,0.047,2.137,0.072,0.101,0.215,861.373,0.20363837214297992,4.681375,0.10557065217391305,0.08639130434782609,0.0793076923076923,0.08176630434782609,0.09442934782608696,0.09058695652173912,0.08521739130434783,0.1580108695652174,0.1995380434782609,0.15133152173913042,0.21368478260869564,0.23668478260869563,0.2523858695652174,0.24266304347826087,0.41636956521739127,0.3511141304347826,0.2861086956521739,0.22503260869565217,0.1938695652173913,0.21900543478260867,0.3675434782608696,0.3183695652173913,0.22725543478260868,19.425,15.896,14.434,15.045,17.375,16.668,15.68,29.074,36.715,27.845,39.318,43.55,46.439,44.65,76.612,64.605,52.644,41.406,35.672,40.297,67.628,58.58,41.815,19.425,15.896,14.434,15.045,17.375,16.668,15.68,29.074,36.715,27.845,39.318,43.55,46.439,44.65,76.612,64.605,52.644,41.406,35.672,40.297,67.628,58.58,41.815,0.1333383152173913,0.2521865942028985,0.26403125000000005,0.2830434782608695,0.08949306020066891,98.137,278.414,194.327,208.32,82.175,0.05806226967950294,0.06232546531628656,0.04340955419890468,0.0435468666191339,0.022728342969467078,0.19444147157190636,0.23532441471571905,0.20589049919484703,0.1966989966555184,0.1930950080515298,0.20263545150501672,0.1976526845637584,116.276,140.724,127.858,117.626,119.912,121.176,117.801,0.21378410598632025,0.2640479344062924,0.24403699003709126,0.22797810519412343,0.21700633034666109,0.23704501522621851,0.22494542795043893,0.2050052700922266,0.20014824120603014,622.396,238.977,0.23443567765463946,0.23100115348138162,0.2036342789598109,861.373,0.2334543202791996,152.186,116.604,148.189,159.895,138.393,146.106,312.081,254.99699999999999,294.295,22.048000000000002,38.543,34.966,34.894,28.585,29.03,29.004,30.835,20.885,35.057,34.68,33.955,29.49,15.007,19.229,31.511,37.85,32.492,38.813,25.337,34.034,31.025,37.389,32.477,30.238,37.688,34.492,21.819
AJVG,0.23093687943262411,0.3445501651477418,0.019,4.021,0.048,0.077,0.223,976.863,0.2310004081457295,5.30903804347826,0.10638586956521738,0.08941304347826087,0.08220329670329671,0.07217934782608695,0.06578260869565217,0.07517934782608696,0.17747826086956522,0.6138478260869565,0.4231793478260869,0.23735326086956524,0.2472336956521739,0.2911086956521739,0.26294021739130435,0.2707336956521739,0.2899619565217391,0.20187499999999997,0.18064130434782608,0.2031684782608696,0.20468478260869566,0.24926086956521737,0.3253260869565217,0.3654347826086956,0.2745597826086956,19.575,16.452,14.961,13.281,12.104,13.833,32.656,112.948,77.865,43.673,45.491,53.564,48.381,49.815,53.353,37.144999999999996,33.238,37.383,37.662,45.864,59.86,67.24,50.519,19.575,16.452,14.961,13.281,12.104,13.833,32.656,112.948,77.865,43.673,45.491,53.564,48.381,49.815,53.353,37.144999999999996,33.238,37.383,37.662,45.864,59.86,67.24,50.519,0.32242119565217386,0.2665552536231884,0.1975923913043478,0.30364538043478256,0.0831928332537028,237.30199999999996,294.277,145.428,223.483,76.373,0.20030773466307547,0.060049101034582456,0.022276123018685274,0.04871201988788209,0.01794391884676848,0.2495836120401338,0.24554347826086959,0.25759581320450886,0.2557257525083612,0.1965780998389694,0.19115217391304348,0.22064093959731546,149.251,146.835,159.967,152.924,122.075,114.309,131.502,0.36351581939960376,0.32569902243536464,0.3690813345738706,0.39330039116959475,0.30017266929315384,0.309121094680015,0.3361250696624489,0.24079446640316207,0.2058718592964824,731.052,245.811,0.35219727124697814,0.32308440087316365,0.23093687943262411,976.863,0.34455016514774217,213.109,121.24,117.866,250.256,145.281,129.111,463.365,266.521,246.977,42.942,43.129,47.949,46.752,44.794,25.869,37.214,25.034,20.666,26.192,26.797,30.464,23.518,10.895,28.561,74.925,41.757,29.09,75.923,58.387,30.534,28.82,24.162,31.797,25.629,32.824,22.419,19.82
FJAG,0.38415768321513005,0.613857153440291,0.048,5.193,0.162,0.2365,0.374,1624.987,0.384159917941227,8.831451086956521,0.19156521739130433,0.14689130434782607,0.13949999999999999,0.14297282608695652,0.1386358695652174,0.13719565217391305,0.22211413043478262,0.2640163043478261,0.24928804347826086,0.289875,0.4256956521739131,0.6705760869565217,0.8753097826086956,0.7179945652173912,0.5360054347826086,0.4674728260869565,0.44350543478260873,0.41005978260869563,0.47372282608695654,0.5907119565217391,0.48420108695652175,0.3992934782608696,0.41636413043478265,35.248,27.028,25.389,26.307,25.509,25.244,40.869,48.579,45.869,53.337,78.328,123.386,161.057,132.111,98.625,86.015,81.605,75.451,87.165,108.691,89.093,73.47,76.611,35.248,27.028,25.389,26.307,25.509,25.244,40.869,48.579,45.869,53.337,78.328,123.386,161.057,132.111,98.625,86.015,81.605,75.451,87.165,108.691,89.093,73.47,76.611,0.21815353260869566,0.585909420289855,0.4486902173913044,0.47264266304347835,0.15191304347826087,160.561,646.844,330.236,347.865,139.481,0.05985581851689936,0.20392933528152482,0.1412707959400144,0.11221266145934088,0.039786813691965475,0.30447157190635454,0.2855484949832776,0.388549114331723,0.39684113712374586,0.5259049919484702,0.32523578595317726,0.45717617449664427,182.074,170.758,241.289,237.311,326.587,194.491,272.477,0.21338302793550692,0.19044182119229397,0.6145032766547102,0.6236548887657756,0.9892530249691041,0.2796481510138437,0.8173890246693304,0.3814291831357049,0.3910954773869347,1158.019,466.968,0.6139714351292358,0.6137689913823817,0.38415768321513005,1624.987,0.6138571534402909,261.25,235.318,259.358,236.434,311.917,320.71,497.684,547.235,580.068,51.99,49.758,51.794000000000004,53.034,60.055,67.286,48.807,65.353,48.491,49.177,50.17,45.622,92.479,21.91,26.436,51.255,53.297,46.919,58.527,70.999,79.946,73.283,76.119,48.831,78.761,88.794,54.415,61.479
FMB,0.1859581560283688,0.20143318934356877,0.01,2.273,0.05,0.14,0.238,786.603,0.18596145170991582,4.275016304347826,0.12142391304347826,0.10130978260869566,0.09671428571428571,0.09232065217391304,0.08295652173913043,0.0782336956521739,0.08596195652173913,0.09793478260869565,0.17803804347826088,0.23876630434782609,0.24854891304347823,0.24735869565217392,0.28555978260869563,0.3585326086956522,0.2717228260869565,0.19582065217391303,0.20670108695652176,0.21447282608695653,0.20008695652173913,0.24829347826086956,0.23913586956521737,0.18477173913043476,0.20140217391304346,22.342,18.641000000000002,17.602,16.987,15.264,14.395,15.817,18.02,32.759,43.933,45.733,45.514,52.543,65.97,49.997,36.031,38.033,39.463,36.816,45.686,44.001,33.998,37.058,22.342,18.641000000000002,17.602,16.987,15.264,14.395,15.817,18.02,32.759,43.933,45.733,45.514,52.543,65.97,49.997,36.031,38.033,39.463,36.816,45.686,44.001,33.998,37.058,0.1100421195652174,0.2750815217391304,0.2042703804347826,0.2184008152173913,0.09894503105590062,80.991,303.69,150.343,160.743,90.836,0.0634802027601511,0.04316517363131487,0.008330821291936475,0.04503146110125589,0.012719158737450402,0.20144983277591974,0.19743478260869565,0.19295169082125602,0.1793561872909699,0.17458937198067634,0.17506521739130435,0.18101174496644296,120.467,118.066,119.823,107.255,108.42,104.689,107.883,0.22000561891325823,0.2106722786044672,0.17379547003415988,0.20439059698083614,0.17731838637018876,0.18222740802464327,0.23468319041172073,0.18907476943346507,0.17803350083752095,574.031,212.572,0.19791601735745246,0.2099881660737169,0.1859581560283688,786.603,0.2014331893435689,143.946,121.631,140.597,124.326,130.823,125.28,268.272,252.454,265.877,25.755,30.894,34.284,30.913,31.079,25.484,31.906,27.482,27.78,30.026,31.793,27.423,31.236,20.119,11.529,27.864,30.398,28.301,26.234,31.578,28.942,29.457,33.354,33.652,23.743,29.822,26.326999999999998,19.228
GPC,0.1623404255319149,0.20104850472021096,0.024,2.567,0.057,0.089,0.159,686.7,0.16231233888984362,3.7320652173913045,0.07491304347826087,0.11705978260869566,0.11584615384615385,0.07810869565217392,0.07279891304347826,0.07230978260869565,0.10470108695652174,0.2987663043478261,0.22877173913043478,0.16456521739130436,0.12329891304347827,0.09814130434782609,0.09792934782608695,0.14216847826086956,0.3242663043478261,0.25197282608695654,0.2162336956521739,0.16947826086956522,0.1509836956521739,0.20552717391304348,0.3125108695652174,0.19629347826086957,0.11667934782608697,13.784,21.539,21.084,14.372,13.395,13.305,19.265,54.973,42.094,30.28,22.687,18.058,18.019,26.159,59.665,46.363,39.787,31.184,27.781,37.817,57.502,36.118,21.469,13.784,21.539,21.084,14.372,13.395,13.305,19.265,54.973,42.094,30.28,22.687,18.058,18.019,26.159,59.665,46.363,39.787,31.184,27.781,37.817,57.502,36.118,21.469,0.17613722826086955,0.15839492753623188,0.19716711956521737,0.20775271739130435,0.0917453177257525,129.637,174.868,145.115,152.906,84.17399999999999,0.10471005402339856,0.060436229298457114,0.040486789885939456,0.0797980176684226,0.0584754259649444,0.153185618729097,0.16576421404682273,0.16309339774557166,0.152938127090301,0.14811755233494364,0.17548327759197327,0.1783724832214765,91.605,99.127,101.281,91.457,91.981,104.93900000000001,106.31,0.1888256505138936,0.20587492647329902,0.20899849738204535,0.1840458881981623,0.18307618024217073,0.21781149677783967,0.214785416890396,0.1566044137022398,0.1769254606365159,475.451,211.249,0.19449604706312584,0.21622044176033592,0.1623404255319149,686.7,0.20104850472021066,130.65,100.424,119.061,117.363,103.179,116.023,248.013,203.603,235.084,22.732,27.062,33.294,25.974,26.151,14.261,28.688,28.056,24.856,26.574,28.191,26.125,27.114,11.057,12.63,28.385,30.414,27.543,18.391000000000002,10.893,32.24,27.081,26.902,25.145,29.246,24.663,26.032,17.0
JACL,0.09829621749408983,0.06941318034051319,0.015,0.798,0.058,0.087,0.118,415.793,0.09829035272383571,2.2597445652173915,0.11854891304347825,0.08305434782608696,0.07006593406593407,0.07628804347826088,0.07141304347826087,0.07097282608695653,0.06970652173913043,0.08064130434782608,0.08509782608695651,0.09447826086956522,0.11023369565217392,0.10495652173913043,0.09272282608695652,0.12261413043478261,0.23621739130434782,0.10955978260869564,0.08903260869565219,0.09202717391304348,0.09085869565217392,0.08594021739130435,0.08636413043478261,0.09934239130434783,0.1203695652173913,21.813,15.282,12.752,14.037,13.14,13.059000000000001,12.826,14.838,15.658,17.384,20.283,19.312,17.061,22.561,43.464,20.159,16.382,16.933,16.718,15.813,15.891,18.279,22.148,21.813,15.282,12.752,14.037,13.14,13.059000000000001,12.826,14.838,15.658,17.384,20.283,19.312,17.061,22.561,43.464,20.159,16.382,16.933,16.718,15.813,15.891,18.279,22.148,0.07660461956521739,0.12687047101449275,0.0953695652173913,0.09800407608695652,0.0838740563784042,56.381,140.065,70.192,72.131,77.024,0.00934980508434299,0.03354734283569968,0.01338003921945792,0.003909488028806325,0.002819876673476701,0.09721404682274247,0.09353511705685619,0.09490821256038648,0.09538127090301005,0.09730434782608696,0.10238628762541806,0.10754362416107383,58.134,55.934,58.938,57.038000000000004,60.426,61.227,64.096,0.05797874909606859,0.05757946606326189,0.05947219149718062,0.06045227460219969,0.06723379380529565,0.08082748101792317,0.09370466626742106,0.09567523056653493,0.10496063651591289,290.47,125.323,0.060665208084537466,0.08749386351331381,0.09829621749408983,415.793,0.06941318034051314,66.07000000000001,62.438,69.93,76.613,71.635,69.107,142.683,134.073,139.037,11.67,14.822,15.159,13.501,14.966,15.304,14.426,14.558,14.102,15.411999999999999,14.055,18.109,16.168,6.186,8.195,17.558,17.675,16.668,16.517,17.804,15.931000000000001,16.369,17.054,15.878,15.643,15.331999999999999,15.745,10.986
JALG,0.2788983451536643,0.2835663256246013,0.028,2.216,0.083,0.149,0.374,1179.74,0.2789262330297302,6.411630434782609,0.15969021739130435,0.09553804347826088,0.09371978021978021,0.08669021739130435,0.0886086956521739,0.09236413043478262,0.10625,0.2224673913043478,0.28823369565217394,0.34741304347826085,0.3136195652173913,0.25757065217391306,0.3350108695652174,0.47691304347826086,0.5175760869565217,0.4912989130434783,0.30040217391304347,0.31479347826086956,0.22245652173913044,0.24021195652173913,0.44183152173913043,0.5320923913043478,0.3878967391304348,29.383,17.579,17.057,15.951,16.304,16.995,19.55,40.934,53.035000000000004,63.924,57.706,47.393,61.642,87.752,95.234,90.399,55.274,57.922,40.932,44.199,81.297,97.905,71.373,29.383,17.579,17.057,15.951,16.304,16.995,19.55,40.934,53.035000000000004,63.924,57.706,47.393,61.642,87.752,95.234,90.399,55.274,57.922,40.932,44.199,81.297,97.905,71.373,0.17732880434782608,0.37468387681159426,0.3322377717391304,0.40050815217391306,0.10484939082656475,130.514,413.65099999999995,244.527,294.774,96.274,0.12390552037160257,0.06373808765968869,0.05073988276348438,0.08752521908768926,0.03627216986237717,0.2875284280936455,0.27531270903010036,0.2933977455716586,0.2793578595317726,0.2851739130434782,0.2350066889632107,0.29576845637583893,171.942,164.637,182.2,167.056,177.093,140.534,176.278,0.2933674042286508,0.2898197456417319,0.28667589532894355,0.27953383490084377,0.27998547547982444,0.24604045633358312,0.3030739822789478,0.284231884057971,0.26533668341708544,862.928,316.812,0.28577033252268,0.27754012668849987,0.2788983451536643,1179.74,0.28356632562460127,208.784,178.956,165.734,223.106,208.887,194.273,431.89,387.843,360.007,37.448,50.622,42.331,42.361,46.24,41.789,48.096000000000004,38.773,40.08,39.834,39.341,37.858,29.045,19.656,20.996,55.284,48.527,49.288,49.011,45.337,49.808,48.621,53.461,46.539,40.621,43.925,46.535000000000004,28.313
JLG,0.11651536643026005,0.1148947645832105,0.033,1.269,0.058,0.081,0.135,492.86,0.1165161539783468,2.6785869565217393,0.11306521739130435,0.07239130434782609,0.060780219780219774,0.0593695652173913,0.058027173913043475,0.057983695652173914,0.05685869565217391,0.0629945652173913,0.08202173913043478,0.18860869565217392,0.1597391304347826,0.11930434782608697,0.10682065217391305,0.17055434782608694,0.15807608695652173,0.16817934782608696,0.1252173913043478,0.11490760869565218,0.12995108695652174,0.1283858695652174,0.1580217391304348,0.1884945652173913,0.13949456521739131,20.804,13.32,11.062,10.924,10.677,10.669,10.462,11.591,15.092,34.704,29.392,21.952,19.655,31.381999999999998,29.086,30.945,23.04,21.143,23.911,23.623,29.076,34.683,25.667,20.804,13.32,11.062,10.924,10.677,10.669,10.462,11.591,15.092,34.704,29.392,21.952,19.655,31.381999999999998,29.086,30.945,23.04,21.143,23.911,23.623,29.076,34.683,25.667,0.06496467391304347,0.15051721014492753,0.13456385869565218,0.1535991847826087,0.072726696129957,47.814,166.171,99.039,113.049,66.78699999999999,0.033937106715423784,0.04819983924707171,0.05375363292559248,0.0202007546665535,0.031050039891833775,0.12429096989966554,0.12098996655518396,0.11603220611916264,0.12252341137123747,0.1116022544283414,0.11275585284280935,0.10759060402684563,74.326,72.352,72.056,73.269,69.305,67.428,64.124,0.12065783793301253,0.11359581836235262,0.10325270718842235,0.13587831518096166,0.11479381767131243,0.11401100739208417,0.09811620710382797,0.11900790513833992,0.11017755443886096,361.308,131.552,0.11800563442594213,0.10636103234924177,0.11651536643026005,492.86,0.11489476458321034,93.412,73.791,77.157,86.867,76.378,85.255,180.279,150.169,162.412,15.907,20.102,21.635,18.459,22.489,13.655,18.216,19.458,17.282,19.206,17.117,13.527,17.101,10.206,9.553,17.904,18.133,21.61,19.667,14.112,18.357,20.413,17.997,21.424,18.834,16.854,20.578,13.064
JMM,0.25355153664302604,0.226069360902266,0.048,3.078,0.142,0.194,0.268,1072.5230000000001,0.253575184739646,5.8289293478260875,0.20206521739130434,0.15267391304347824,0.13793956043956043,0.13604347826086957,0.13335869565217393,0.13219021739130435,0.1337554347826087,0.15540217391304348,0.21520108695652174,0.20097282608695652,0.23447282608695652,0.31220652173913044,0.41169021739130435,0.5293369565217391,0.4383967391304348,0.24572282608695653,0.24092934782608696,0.24351086956521736,0.2520326086956522,0.2815597826086957,0.3545597826086957,0.3816358695652174,0.3047717391304348,37.18,28.092,25.105,25.032,24.538,24.323,24.611,28.594,39.597,36.979,43.143,57.446,75.751,97.398,80.665,45.213,44.331,44.806,46.374,51.807,65.239,70.221,56.078,37.18,28.092,25.105,25.032,24.538,24.323,24.611,28.594,39.597,36.979,43.143,57.446,75.751,97.398,80.665,45.213,44.331,44.806,46.374,51.807,65.239,70.221,56.078,0.15913722826086957,0.3545126811594203,0.24554891304347826,0.3306317934782609,0.1524161729574773,117.125,391.382,180.72400000000002,243.345,139.947,0.04144599734057256,0.12922594439271004,0.013300610207799454,0.06615493939494982,0.012781031372638503,0.2342274247491639,0.25211371237458197,0.2601062801932367,0.23907190635451506,0.22938003220611916,0.30671571906354517,0.2539244966442953,140.068,150.764,161.526,142.965,142.445,183.416,151.339,0.17921776367819284,0.20917800466134426,0.2693428891062625,0.1803327740419907,0.1636951647284759,0.3167285499056904,0.2150269774059786,0.24300658761528326,0.2803643216080402,737.768,334.755,0.2043232231740997,0.27195221481308796,0.253551536643026,1072.523,0.22606936090226612,206.846,178.929,192.825,169.13400000000001,160.38400000000001,164.405,375.98,339.313,357.23,29.080000000000002,46.759,54.378,47.057,39.795,44.175,37.612,42.658,44.261,40.23,40.863,53.42,43.007,15.305,19.691,38.178,36.006,34.089,41.17,39.959,38.527,40.007,32.346,32.893,37.444,34.686,38.833,30.094
LFZA,0.19117966903073288,0.2516587841493349,0.0,2.133,0.07,0.11,0.202,808.69,0.19113922065647018,4.395054347826087,0.29470108695652175,0.21961956521739132,0.16742307692307692,0.13110326086956522,0.09778804347826087,0.1102391304347826,0.10334239130434783,0.1344782608695652,0.11916304347826086,0.10042391304347827,0.14630978260869565,0.15996195652173914,0.15517391304347825,0.15853804347826086,0.19654891304347827,0.23742391304347826,0.2603586956521739,0.31099456521739127,0.2959728260869565,0.280375,0.2214836956521739,0.2405108695652174,0.25494021739130435,54.225,40.410000000000004,30.471,24.123,17.993,20.284,19.015,24.744,21.926,18.478,26.921,29.433,28.552,29.171,36.165,43.686,47.906,57.223,54.459,51.589,40.753,44.254,46.909,54.225,40.410000000000004,30.471,24.123,17.993,20.284,19.015,24.744,21.926,18.478,26.921,29.433,28.552,29.171,36.165,43.686,47.906,57.223,54.459,51.589,40.753,44.254,46.909,0.11680570652173912,0.15282608695652175,0.2761875,0.2493274456521739,0.18212700668896323,85.96900000000001,168.71999999999997,203.274,183.505,167.222,0.0398094478771051,0.050630075045844956,0.04679689357992832,0.0324888300480618,0.11615864320705446,0.18318227424749164,0.20420903010033445,0.18766183574879228,0.20109030100334446,0.20545410628019325,0.17871739130434783,0.17748322147651008,109.543,122.117,116.538,120.252,127.587,106.873,105.78,0.22313412125262455,0.26667718008348995,0.24594988666559314,0.25455236476005166,0.28478620147693195,0.23475522459772916,0.24508814683294655,0.1963231225296443,0.17810134003350084,596.037,212.653,0.2560023295924675,0.23986883943588516,0.19117966903073288,808.69,0.2516587841493348,168.838,153.877,122.581,132.32,122.351,108.723,301.158,276.228,231.304,31.965,41.074,33.441,37.745,31.156,38.407,43.114,36.612,29.201,35.364,28.747,23.718,23.256,11.496,9.516,30.163,24.499,30.547,37.595,25.845,29.677,28.998,30.36,23.984,25.144000000000002,24.227,27.677,15.161999999999999
