archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,Mañana,Mediodia,Tarde,Noche,Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,invierno,otoño,primavera,verano,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2023-03-13/2023-03-19,2023-03-20/2023-03-26,2023-03-27/2023-04-02,2023-04-03/2023-04-09,2023-04-10/2023-04-16,2023-04-17/2023-04-23,2023-04-24/2023-04-30,2023-05-01/2023-05-07,2023-05-08/2023-05-14,2023-05-15/2023-05-21,2023-05-22/2023-05-28,2023-05-29/2023-06-04,2023-06-05/2023-06-11,2023-06-12/2023-06-18,2023-06-19/2023-06-25,2023-06-26/2023-07-02,2023-07-03/2023-07-09,2023-07-10/2023-07-16,2023-07-17/2023-07-23,2023-07-24/2023-07-30,2023-07-31/2023-08-06,2023-08-07/2023-08-13,2023-08-14/2023-08-20,2023-08-21/2023-08-27,2023-08-28/2023-09-03,2023-09-04/2023-09-10,2023-09-11/2023-09-17,2023-09-18/2023-09-24,2023-09-25/2023-10-01,2023-10-02/2023-10-08,2023-10-09/2023-10-15,2023-10-16/2023-10-22,2023-10-23/2023-10-29,2023-10-30/2023-11-05,2023-11-06/2023-11-12,2023-11-13/2023-11-19,2023-11-20/2023-11-26,2023-11-27/2023-12-03,2023-12-04/2023-12-10,2023-12-11/2023-12-17,2023-12-18/2023-12-24,2023-12-25/2023-12-31,2024-01-01/2024-01-07,2024-01-08/2024-01-14,2024-01-15/2024-01-21,2024-01-22/2024-01-28,2024-01-29/2024-02-04,2024-02-05/2024-02-11,2024-02-12/2024-02-18,2024-02-19/2024-02-25,2024-02-26/2024-03-03,2024-03-04/2024-03-10,2024-03-11/2024-03-17,2024-03-18/2024-03-24
ABLD,0.19339364188873306,0.23092513916083005,0.028,2.33,0.069,0.097,0.205,1654.6760000000002,0.19338408010681857,0.10602956989247311,0.08811559139784945,0.08013440860215053,0.08370430107526881,0.09336290322580645,0.0854247311827957,0.08438709677419355,0.17793548387096772,0.18161559139784944,0.13381182795698923,0.180741935483871,0.20138978494623655,0.2331209677419355,0.22636021505376344,0.37521774193548385,0.33904301075268817,0.25287096774193546,0.207252688172043,0.19396236559139785,0.2103494623655914,0.34454569892473114,0.33548118279569894,0.23319623655913976,0.1323407258064516,0.2251070788530466,0.24828225806451615,0.2808931451612903,0.09026935483870968,0.18970139458572602,0.20076374077112386,0.19625758818703856,0.19169565217391304,0.18561607875307629,0.1915169082125604,0.19823954060705495,0.19280689089417555,0.19484681023973993,0.21823650262780697,0.18848042024832856,0.19894762538837105,0.16776937618147447,65.177,116.604,148.189,118.473,119.053,117.474,125.681,147.684,121.313,156.64,154.24,145.889,118.259,8.548,34.894,28.585,29.03,29.004,30.835,20.885,35.057,34.68,33.955,29.49,32.706,30.64,32.432,24.03,21.104,21.897,29.307,26.754,29.272,29.52,32.711,19.968,22.358999999999998,26.233,29.797,34.269,27.769000000000002,29.169,32.459,30.646,34.608,37.365,32.513,18.691,31.557,31.907,38.54,35.18,27.765,32.538,37.619,38.217,35.817,33.196,34.891,30.603,41.01,26.901,39.081,39.642,31.511,37.85,29.669
AJVG,0.2302120149602618,0.37084046382371016,0.005,3.677,0.048,0.075,0.211,1969.694,0.23021541457704675,0.12018010752688173,0.09483602150537636,0.08355645161290322,0.08165591397849463,0.07709139784946237,0.07529569892473119,0.20508870967741938,0.6501182795698924,0.33301075268817204,0.18920698924731183,0.2124247311827957,0.23156451612903226,0.23240860215053763,0.2286048387096774,0.20861827956989246,0.17001881720430106,0.1549032258064516,0.17998924731182797,0.23522043010752686,0.31829838709677416,0.4086586021505376,0.4461935483870968,0.3579327956989248,0.3158783602150538,0.21713799283154123,0.18503293010752686,0.3827708333333334,0.09146397849462366,0.2442132895816243,0.23101394585726004,0.23800902378999178,0.2352436423297785,0.1891517637407711,0.2287657004830918,0.2451140278917145,0.22752633305988515,0.23686347013409184,0.39233110367892976,0.1807225405921681,0.22476342654238793,0.12463137996219283,95.449,121.24,117.866,108.341,89.719,65.66,112.267,108.642,157.524,249.156,311.027,260.966,171.837,16.36,46.752,44.794,25.869,37.214,25.034,20.666,26.192,26.797,30.464,23.518,27.179,25.817,23.198,24.368,22.273,25.83,20.049,25.105,15.015,0.842,4.838,23.283,23.257,26.787,28.343,21.73,27.134,23.775,26.203,14.598,26.976,31.86,33.177,27.658,35.192,45.129,31.638,15.172,52.032,72.398,101.348,72.51,88.69500000000001,77.38,42.338,78.582,61.094,65.527,52.789,61.639,74.925,41.757,26.594
ATF,0.18218525519848772,0.17497416392071952,0.05,1.718,0.085,0.135,0.206,96.376,0.1821852551984877,0.10365217391304347,0.09234782608695653,0.08939130434782609,0.08878260869565216,0.07634782608695652,0.08191304347826087,0.10099999999999999,0.12491304347826088,0.16030434782608696,0.20921739130434783,0.1863478260869565,0.22782608695652176,0.2771304347826087,0.4582173913043478,0.41978260869565215,0.20791304347826087,0.16169565217391305,0.1497391304347826,0.139,0.14608695652173911,0.23621739130434782,0.25373913043478263,0.19869565217391305,0.11703260869565218,0.29642028985507246,0.16458695652173913,0.20868478260869563,0.09010434782608695,0.1741304347826087,0.13621739130434785,0.17710144927536234,0.1798840579710145,0.17998913043478262,0.23094565217391305,0.1815072463768116,0.17012228260869564,0.20975776397515528,,,0.18218525519848772,,,,,,,,,,,,,,96.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.652,29.525,33.652,20.547
FJAG,0.42853740065451146,0.6512410064740698,0.048,5.245,0.173,0.257,0.421,3666.5660000000003,0.4285450476893763,0.20463978494623658,0.1628709677419355,0.15761290322580646,0.1550268817204301,0.15511559139784947,0.1553736559139785,0.23405913978494625,0.28261290322580646,0.28344623655913975,0.3479247311827957,0.45956182795698924,0.6559112903225807,0.8756801075268816,0.7398951612903225,0.588494623655914,0.5620564516129033,0.539255376344086,0.5595564516129032,0.6124650537634408,0.7015725806451614,0.5378709677419354,0.4581962365591398,0.42716129032258066,0.23887298387096773,0.611244623655914,0.5683333333333334,0.5312002688172043,0.1670532258064516,0.3779909762100082,0.3657621000820344,0.5408187038556194,0.3941361771944217,0.4634807219031993,0.36970933977455717,0.4889737489745693,0.4284377358490566,0.4287842340511987,0.48827472527472526,0.4101079274116523,0.3513253439857967,0.469898393194707,125.581,235.318,259.358,313.391,340.30899999999997,340.605,300.177,292.627,265.962,293.894,394.629,333.436,171.279,17.873,53.034,60.055,67.286,48.807,65.353,48.491,49.177,50.17,45.622,92.479,48.443,68.07300000000001,110.861,69.67,54.514,56.989,111.461,90.738,60.463,69.681,104.671,97.527,30.382,68.861,63.406,106.233,55.934,57.02,58.932,63.513,94.732,49.972,61.417,55.146,52.83,84.05199999999999,51.236,104.064,50.901,58.786,58.367,54.565,102.898,55.0,139.938,74.34,86.073,94.924,90.874,55.889,51.255,53.297,40.291
FMB,0.18742402992052362,0.19324324666336784,0.01,2.721,0.055,0.137,0.243,1603.6000000000001,0.18741788192230865,0.14588440860215054,0.11352150537634408,0.10995698924731184,0.09242741935483871,0.08415053763440859,0.08600000000000001,0.10021774193548387,0.10838440860215054,0.14789247311827958,0.1961720430107527,0.22103225806451615,0.23590322580645162,0.2664758064516129,0.33501881720430104,0.2375456989247312,0.19346774193548386,0.21554569892473116,0.2228010752688172,0.23806451612903226,0.27554032258064515,0.23909408602150536,0.22213709677419355,0.22351881720430108,0.11062365591397849,0.24869130824372765,0.21746975806451613,0.2400725806451613,0.10918817204301075,0.20396964725184577,0.19433716160787531,0.18547415914684168,0.18887530762920426,0.1817563576702215,0.1684243156199678,0.18948974569319113,0.1908825266611977,0.17885859406745225,0.19454945054945055,0.17725644699140403,0.1875104305370617,0.19034593572778827,65.203,121.631,140.597,115.902,127.578,159.292,121.508,124.964,124.703,138.546,143.781,124.865,95.03,12.19,30.913,31.079,25.484,31.906,27.482,27.78,30.026,31.793,27.423,31.236,35.082,27.136,31.093,24.844,22.963,27.94,28.468,35.873,23.067,29.03,38.101,39.44,46.676,25.006,27.051000000000002,26.764,30.639,30.262,28.663,23.437,27.456,31.297,30.375,29.091,25.125,33.014,31.428,32.189,32.006,31.615,27.481,31.275,38.337,30.153,29.317,30.566,30.567,28.563,32.204,29.193,27.864,30.398,25.239
GPC,0.17130575035063114,0.19603247150392508,0.023,2.077,0.068,0.1,0.181,1465.692,0.1713033725225608,0.08087903225806452,0.09754838709677419,0.09333064516129033,0.07908333333333334,0.0739005376344086,0.07593548387096774,0.11646505376344087,0.2808064516129032,0.22783870967741934,0.20027956989247314,0.1498978494623656,0.1295483870967742,0.13118548387096773,0.19469086021505375,0.29731451612903226,0.23293548387096774,0.20426881720430107,0.19450537634408602,0.1861505376344086,0.22318817204301075,0.3365161290322581,0.21491397849462363,0.11884946236559141,0.17526142473118278,0.18381944444444445,0.20446505376344085,0.22336693548387093,0.08494838709677419,0.17665709598031173,0.166895816242822,0.16082936833470057,0.17576456111566857,0.15591222313371614,0.17442512077294686,0.188597210828548,0.1672118129614438,0.18144494108086143,0.1973683707596751,0.17568529130850047,0.16547270306258322,0.1474031190926276,58.639,100.424,119.061,119.755,105.641,86.509,115.593,121.851,130.441,141.495,145.207,126.39,94.68599999999999,11.077,25.974,26.151,14.261,28.688,28.056,24.856,26.574,28.191,26.125,27.114,30.965,25.554,27.177,28.489,26.266000000000002,29.604,21.302,21.755,23.075,13.306000000000001,17.893,23.795,19.967,27.407,24.899,27.406,27.449,25.714,29.35,25.665,27.632,28.701999999999998,27.629,31.537,28.359,34.006,28.509,27.841,31.473,29.323,40.293,33.067,29.104,33.638,35.579,32.281,28.612,30.791,29.968,31.187,28.385,30.414,23.256999999999998
JACL,0.12892461430575033,0.1606737830750488,0.015,1.399,0.06,0.095,0.132,1103.079,0.12892324631306049,0.1483279569892473,0.08390591397849463,0.07765591397849463,0.07712634408602151,0.07510752688172043,0.07513172043010753,0.07030107526881721,0.07681451612903226,0.0879220430107527,0.09297311827956989,0.11401881720430107,0.11025537634408603,0.10631720430107526,0.1583763440860215,0.3058494623655914,0.207252688172043,0.1635537634408602,0.1653494623655914,0.17226075268817206,0.15538978494623656,0.13172580645161291,0.13380645161290322,0.1758440860215054,0.07754233870967743,0.14796505376344085,0.17710416666666667,0.14919153225806453,0.0924247311827957,0.12365135356849877,0.13670385561936013,0.12674323215750616,0.13002461033634127,0.12202625102543069,0.1262181964573269,0.13715586546349468,0.12782986054142742,0.13163592035757823,0.10635355948399428,0.11071442215854824,0.09679272081668887,0.2034834593572779,28.108,62.438,69.93,77.603,138.731,214.237,87.416,73.794,70.626,73.543,77.161,71.894,57.598,3.689,13.501,14.966,15.304,14.426,14.558,14.102,15.411999999999999,14.055,18.109,16.168,13.681,16.27,14.853,22.599,21.438,24.149,38.447,36.466,30.433,26.981,44.028,66.669,70.091,17.659,29.594,22.311,15.533,16.299,18.098,16.931,16.466,14.401,17.861,16.573,16.658,15.53,16.499,14.357,16.725,16.573,17.963,16.253,16.436,18.566,17.958,17.585,16.431,17.337,18.574,18.11,17.558,17.675,14.17
JALG,0.2794498597475456,0.2673262520094552,0.027,1.885,0.098,0.169,0.359,2390.9730000000004,0.27943951435816794,0.17249731182795697,0.11026075268817205,0.1040241935483871,0.09559677419354838,0.09510483870967741,0.09818548387096773,0.11488172043010753,0.19633602150537635,0.2895268817204301,0.37348387096774194,0.3281720430107527,0.2443252688172043,0.3333763440860215,0.44531989247311826,0.4509516129032258,0.45671505376344085,0.32398118279569893,0.33955376344086025,0.28787634408602153,0.27073655913978495,0.41277419354838707,0.5014435483870968,0.38222311827956995,0.17473252688172042,0.3626048387096774,0.35203158602150536,0.3917943548387097,0.11549677419354838,0.2851566858080394,0.2817760459392945,0.2901960623461854,0.2829967186218212,0.2697120590648072,0.2547045088566828,0.2920738310090238,0.28196751435602957,0.2732145469321414,0.3209034878165313,0.27874307545367716,0.265670661340435,0.25381758034026464,88.117,178.956,165.734,159.262,166.642,211.174,179.323,190.865,213.5,230.192,235.057,206.402,165.749,9.734,42.361,46.24,41.789,48.096000000000004,38.773,40.08,39.834,39.341,37.858,29.045,42.843,37.245,37.319,34.637,37.337,36.046,40.616,34.773,39.702,29.004,44.983,58.04,59.401,42.32,39.359,44.013,41.309,43.519,39.747,43.169,42.463,46.859,45.881,54.789,46.458,49.275999999999996,50.083,52.163,48.807,54.61,53.842999999999996,55.726,55.179,52.201,49.606,48.359,52.126,47.74,51.737,49.781,55.284,48.527,40.942
JLG,0.14508964469378216,0.16265949642078814,0.028,1.623,0.063,0.093,0.154,1241.3870000000002,0.1450862911194696,0.12064247311827957,0.08066666666666666,0.06577956989247312,0.06388440860215054,0.06318817204301075,0.06281989247311828,0.06162096774193549,0.06606720430107528,0.09106989247311828,0.15660752688172044,0.1792768817204301,0.16115860215053762,0.15636021505376343,0.21426344086021507,0.21700806451612903,0.22572849462365593,0.19813709677419358,0.1687768817204301,0.17825,0.17642741935483872,0.19593548387096776,0.23171774193548386,0.2016747311827957,0.07039448924731184,0.1807791218637993,0.1927231182795699,0.2014388440860215,0.07883225806451613,0.1550188679245283,0.15390976210008206,0.14544462674323216,0.15012469237079573,0.14529696472518458,0.13775201288244765,0.12821903199343726,0.14995898277276457,0.13303006907761072,0.1378160535117057,0.12595940783190068,0.11483577452285842,0.20342816635160682,43.484,73.791,77.157,105.761,128.187,196.506,90.612,95.634,77.513,89.734,113.696,85.019,64.293,7.716,18.459,22.489,13.655,18.216,19.458,17.282,19.206,17.117,13.527,17.101,27.336,21.592,20.573,21.328,29.983,28.499,42.583,31.553,13.499,32.506,40.333,51.597,68.555,18.329,19.07,23.527,19.636,23.551,23.802,19.712,19.854,23.806,18.978,22.042,18.393,13.306,16.19,19.866,19.447,21.85,22.857,25.980999999999998,21.885,26.288,26.901,26.196,17.838,19.732,21.5,21.947,17.904,18.133,18.703
JMM,0.28232410004675085,0.32288590669148887,0.066,4.533,0.149,0.208,0.296,2415.565,0.28232737348945275,0.22136290322580643,0.16956182795698924,0.1511182795698925,0.1446290322580645,0.14365860215053763,0.14130107526881722,0.1456801075268817,0.17037903225806453,0.2223924731182796,0.21338172043010753,0.22965591397849464,0.2934032258064516,0.4108360215053763,0.5059247311827957,0.4408655913978495,0.3185994623655914,0.28939784946236563,0.31588440860215056,0.36655913978494625,0.4086505376344086,0.4272741935483871,0.4107795698924731,0.35215860215053757,0.16993817204301076,0.34901120071684594,0.3226102150537634,0.39971572580645165,0.16606612903225806,0.2821501230516817,0.27494667760459396,0.2762001640689089,0.2616529942575882,0.2929163248564397,0.30221417069243156,0.2858129614438064,0.2775732567678425,0.2940902072328322,0.23738365981844242,0.23994985673352434,0.2619396360408344,0.390413988657845,94.691,178.929,192.825,204.756,243.338,378.022,166.73,173.448,162.277,174.233,170.223,152.388,123.705,18.062,47.057,39.795,44.175,37.612,42.658,44.261,40.23,40.863,53.42,43.007,50.432,43.411,47.949,42.281,48.462,41.326,58.464999999999996,65.378,58.677,53.914,74.436,77.996,157.982,37.124,33.79,38.65,36.326,47.382,39.066,45.085,39.93,34.643,35.144,40.88,37.985,36.505,34.659,38.507,40.271,39.986,41.467,40.522,39.425,37.569,38.577,35.194,33.647,39.334,37.554,40.48,38.178,36.006,29.830000000000002
