archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,Mañana,Mediodia,Tarde,Noche,Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,otoño,2023-09,2023-10,2023-11,2024-09,2024-10,2024-11,2023-08-28/2023-09-03,2023-09-04/2023-09-10,2023-09-11/2023-09-17,2023-09-18/2023-09-24,2023-09-25/2023-10-01,2023-10-02/2023-10-08,2023-10-09/2023-10-15,2023-10-16/2023-10-22,2023-10-23/2023-10-29,2023-10-30/2023-11-05,2023-11-06/2023-11-12,2023-11-13/2023-11-19,2023-11-20/2023-11-26,2023-11-27/2023-12-03,2024-08-26/2024-09-01,2024-09-02/2024-09-08,2024-09-09/2024-09-15,2024-09-16/2024-09-22,2024-09-23/2024-09-29,2024-09-30/2024-10-06,2024-10-07/2024-10-13,2024-10-14/2024-10-20,2024-10-21/2024-10-27,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01
ABLD,0.19870470756062766,0.22620256116902002,0.032,1.874,0.071,0.104,0.218,975.044,0.2034033882783883,0.11567582417582419,0.09234615384615384,0.08241304347826087,0.08228021978021978,0.08194505494505494,0.07728021978021977,0.10360439560439562,0.2340824175824176,0.1982252747252747,0.13054395604395605,0.1642087912087912,0.18897802197802196,0.191021978021978,0.1971043956043956,0.4127967032967033,0.39933516483516485,0.26371428571428573,0.20896153846153845,0.17747802197802198,0.21269780219780218,0.3857637362637363,0.4001868131868132,0.27932417582417585,0.15329807692307693,0.21410897435897436,0.26237225274725273,0.3194931318681319,0.09093205924510273,0.21058695652173912,0.20329765886287626,0.21735284280936457,0.21216220735785954,0.1897374581939799,0.1831170568561873,0.20766500000000002,0.1997684011863036,0.19541151919866445,0.19870470756062766,125.681,147.684,121.313,128.765,170.819,157.657,8.926,29.797,34.269,27.769000000000002,29.169,32.459,30.646,34.608,37.365,32.513,18.691,31.557,31.907,15.002,3.343,32.638,27.641000000000002,27.612,33.381,37.496,30.357,43.678,41.942,41.204,45.747,35.552,28.922,27.728
AJVG,0.19173504273504274,0.26213594181216326,0.005,2.366,0.05325,0.085,0.208,942.186,0.18918086080586077,0.0891923076923077,0.0811043956043956,0.07817934782608696,0.08291758241758242,0.07890659340659341,0.07991758241758241,0.30238461538461536,0.5109615384615385,0.28185164835164833,0.15927472527472528,0.16563186813186814,0.21648901098901097,0.2445274725274725,0.22430219780219782,0.16974725274725275,0.11970329670329671,0.10732967032967032,0.12675824175824177,0.18275824175824176,0.2524945054945055,0.30776373626373627,0.29070879120879123,0.20044505494505496,0.29377884615384614,0.19666208791208792,0.13413736263736264,0.262853021978022,0.08206004538939321,0.19060702341137126,0.18009364548494983,0.1735769230769231,0.18389297658862877,0.15955685618729099,0.2210969899665552,0.21564833333333336,0.1831488159311087,0.21836811352253757,0.19173504273504274,112.267,108.642,157.524,101.707,131.426,180.9,13.225999999999999,28.343,21.73,27.134,23.775,26.203,14.598,26.976,31.86,33.177,27.658,35.192,45.129,23.432,2.312,28.254,23.936,14.360999999999999,28.931,28.715,30.09,29.195,29.977999999999998,23.621,33.769,38.358,48.857,53.656
ATF,0.14697659841203511,0.12117081886788304,0.042,1.77,0.079,0.12,0.166,351.71500000000003,0.1477409022137283,0.10626373626373627,0.09245054945054945,0.08428260869565217,0.08746153846153845,0.09110989010989011,0.09005494505494506,0.08827472527472527,0.13147252747252747,0.1553956043956044,0.1534065934065934,0.1650989010989011,0.1535934065934066,0.1722857142857143,0.21935164835164833,0.28061538461538466,0.20469230769230767,0.1622967032967033,0.14914285714285713,0.12543956043956042,0.12403296703296704,0.18024175824175825,0.1965934065934066,0.18506593406593408,0.11629945054945055,0.1907252747252747,0.16039285714285711,0.1714835164835165,0.0923136645962733,0.16477257525083613,0.14468896321070235,0.14965886287625418,0.13930434782608697,0.143247491638796,0.1580635451505017,0.13446,0.14722185061315496,0.14624207011686144,0.1469765984120351,,,,109.277,105.349,94.733,,,,,,,,,,,,,,,3.452,27.698,23.007,24.609,25.967,28.745,23.934,23.905,21.065,21.915,25.288,20.254,20.304,19.216
FJAG,0.4008996539792387,0.6255181385694907,0.061,5.312,0.179,0.246,0.39,1969.62,0.42324361960503265,0.1840384615384615,0.16431318681318682,0.15210869565217391,0.15351648351648353,0.1493901098901099,0.15557692307692308,0.21892857142857142,0.2667197802197802,0.36295054945054944,0.41187362637362634,0.4905164835164835,0.6976428571428571,0.8999010989010989,0.7901868131868132,0.5959175824175824,0.5113626373626373,0.48903846153846153,0.5296758241758242,0.5156043956043956,0.6259945054945055,0.48123076923076924,0.4418846153846154,0.4483901098901099,0.251043956043956,0.647673076923077,0.5114203296703297,0.499375,0.16067338748208312,0.31510702341137126,0.41031438127090303,0.43631605351170566,0.41811036789297656,0.6465468227424749,0.3540484949832776,0.38215,0.4114694481830417,0.36812270450751255,0.4008996539792387,300.177,292.627,265.962,334.593,257.625,321.411,26.119,63.406,106.233,55.934,57.02,58.932,63.513,94.732,49.972,61.417,55.146,52.83,84.05199999999999,29.46,10.53,55.185,82.198,94.815,85.861,83.49,49.179,49.23,54.249,94.287,50.254,52.231,51.408,100.712
FMB,0.18274622910721566,0.21035008974542888,0.022,3.138,0.052,0.121,0.232,896.553,0.1841305940436375,0.11278021978021978,0.08768131868131868,0.0922717391304348,0.08436813186813187,0.08913186813186814,0.07665384615384616,0.08295054945054944,0.08678021978021978,0.14662637362637362,0.21485714285714286,0.21993406593406592,0.23553296703296703,0.28553296703296704,0.3811428571428571,0.2601978021978022,0.17648351648351646,0.24295054945054945,0.26829120879120877,0.23598351648351648,0.2592637362637363,0.22089010989010988,0.18970879120879122,0.18703296703296704,0.09825274725274724,0.2661996336996337,0.23092719780219778,0.2142239010989011,0.09324665551839464,0.20989966555183945,0.18365551839464883,0.1726655518394649,0.17383779264214047,0.1759096989966555,0.17446153846153847,0.19875,0.18149271844660195,0.18662604340567612,0.18274622910721566,121.508,124.964,124.703,118.588,138.568,142.996,11.828,27.051000000000002,26.764,30.639,30.262,28.663,23.437,27.456,31.297,30.375,29.091,25.125,33.014,16.173000000000002,6.4159999999999995,24.816,27.672,29.614,26.915,27.166,26.69,33.224,29.173,41.032,33.879,33.687,34.574,25.294
GPC,0.16613904723127035,0.1921166912492376,0.025,1.983,0.067,0.098,0.169,816.0749999999999,0.17865725035833732,0.08197252747252748,0.09374175824175825,0.08551086956521739,0.08010439560439561,0.08260989010989012,0.07954395604395605,0.10776373626373627,0.34224175824175823,0.27404395604395604,0.21163736263736263,0.1449945054945055,0.12206593406593408,0.13502197802197802,0.20452747252747255,0.3243076923076923,0.24018681318681318,0.18351098901098903,0.18282967032967032,0.1758186813186813,0.22381318681318682,0.36815934065934064,0.24196153846153845,0.12392307692307691,0.20089835164835165,0.19042582417582418,0.19558653846153845,0.2394642857142857,0.08478788819875777,0.16599665551839465,0.175066889632107,0.18083277591973246,0.1819598662207358,0.16881939799331103,0.19007525083612042,0.18786499999999998,0.15877517501346258,0.18896828046744577,0.16613904723127038,115.593,121.851,130.441,118.895,123.168,138.296,13.593,24.899,27.406,27.449,25.714,29.35,25.665,27.632,28.701999999999998,27.629,31.537,28.359,34.006,15.944,4.8100000000000005,28.637,23.029,33.833,26.132,26.014,24.934,28.692,30.128,30.836,32.038,32.883,32.816,25.577
JACL,0.12072495928338761,0.12068120251724508,0.028,1.281,0.065,0.101,0.136,593.001,0.10953886964484792,0.11893956043956043,0.08837912087912088,0.0799945652173913,0.07381318681318681,0.08054395604395605,0.07591208791208792,0.06962087912087912,0.07877472527472527,0.08884065934065934,0.0903791208791209,0.10512637362637361,0.10031868131868131,0.0918021978021978,0.13625274725274725,0.272978021978022,0.15264835164835164,0.1337967032967033,0.11578571428571428,0.10742857142857143,0.10304945054945054,0.10291758241758242,0.1156978021978022,0.1365054945054945,0.07828708791208791,0.1328095238095238,0.12741483516483515,0.11454258241758242,0.08833407787864309,0.11085953177257525,0.10673076923076924,0.10125083612040134,0.1052809364548495,0.10269230769230768,0.11738795986622075,0.12246166666666668,0.12098169089929996,0.11992904841402338,0.12072495928338761,87.416,73.794,70.626,77.507,73.967,75.4,7.007,29.594,22.311,15.533,16.299,18.098,16.931,16.466,14.401,17.861,16.573,16.658,15.53,8.574,5.382,20.216,15.721,16.415,17.482,16.447,17.315,15.540000000000001,17.178,17.445,18.52,17.025,17.882,14.306
JALG,0.2706955636955637,0.243947606833029,0.055,1.829,0.106,0.181,0.344,1330.1979999999999,0.2743944895684026,0.16292857142857142,0.10487912087912088,0.09915760869565218,0.09448901098901098,0.0892912087912088,0.09583516483516484,0.10737362637362638,0.20375824175824178,0.25117032967032965,0.28542307692307695,0.26326923076923076,0.22489010989010988,0.40013186813186813,0.5330384615384616,0.473467032967033,0.44260989010989016,0.3050054945054945,0.328032967032967,0.2612142857142857,0.2818076923076923,0.47396153846153843,0.48936813186813183,0.34294505494505495,0.16453434065934064,0.3633699633699634,0.33421565934065933,0.3970206043956044,0.11014910415671283,0.28122240802675585,0.2768545150501672,0.2841772575250836,0.282371237458194,0.256876254180602,0.24957859531772575,0.2899483333333333,0.270985199138859,0.26979716193656095,0.2706955636955637,179.323,190.865,213.5,169.811,198.196,197.66,17.532,39.359,44.013,41.309,43.519,39.747,43.169,42.463,46.859,45.881,54.789,46.458,49.275999999999996,29.314,5.994,36.505,38.761,39.668,43.117,40.053,42.391,43.227000000000004,49.024,47.808,40.841,51.665,46.711,39.902
JLG,0.13143711843711844,0.1258618884099596,0.028,1.34,0.06,0.103,0.153,645.8820000000001,0.12456297778308649,0.11026923076923076,0.07754945054945056,0.061461956521739136,0.059664835164835166,0.058582417582417584,0.056609890109890114,0.05662637362637362,0.05994505494505495,0.07275274725274725,0.14717582417582417,0.16538461538461538,0.1303021978021978,0.1253021978021978,0.18944505494505495,0.18455494505494505,0.1847032967032967,0.165510989010989,0.12906043956043955,0.13937912087912088,0.1419120879120879,0.17235164835164835,0.19596153846153846,0.1808791208791209,0.061483516483516486,0.15702747252747254,0.15466346153846153,0.1727760989010989,0.07350557811753464,0.1271438127090301,0.12625083612040133,0.12733277591973244,0.12496321070234112,0.11106020066889633,0.13032608695652173,0.124785,0.13268998923573735,0.127550918196995,0.13143711843711842,90.612,95.634,77.513,79.14,84.127,94.597,7.606,19.07,23.527,19.636,23.551,23.802,19.712,19.854,23.806,18.978,22.042,18.393,13.306,10.476,4.965,20.855,17.335,16.561,17.158,19.77,12.825,24.894000000000002,16.818,22.214,19.831,23.856,22.994,17.788
JMM,0.2461113826104663,0.23602815086069576,0.067,4.397,0.128,0.191,0.2675,1208.653,0.23959642259913996,0.1686923076923077,0.13316483516483515,0.12139130434782608,0.11984615384615385,0.11757142857142856,0.11653846153846155,0.12056593406593408,0.1554010989010989,0.21346703296703295,0.1842582417582418,0.20420879120879118,0.2799945054945055,0.39075824175824175,0.5407032967032968,0.4311208791208791,0.2530934065934066,0.23242857142857143,0.24425274725274726,0.2938131868131868,0.31025274725274726,0.3118901098901099,0.3043351648351649,0.26423076923076927,0.15149313186813188,0.33850732600732597,0.255896978021978,0.2976771978021978,0.13213320592451025,0.2090752508361204,0.24424080267558532,0.22302173913043477,0.22488795986622073,0.25407692307692303,0.269938127090301,0.25188166666666667,0.24134150282790195,0.2608948247078464,0.2461113826104663,166.73,173.448,162.277,146.106,168.091,186.771,16.412,33.79,38.65,36.326,47.382,39.066,45.085,39.93,34.643,35.144,40.88,37.985,36.505,20.657,4.568,37.443,36.279,32.456,31.788,31.907,38.67,33.25,41.556,53.74,40.448,46.251,44.048,28.564
