hogar,cluster
ABLD,1
AJVG,3
ATF,0
FJAG,3
FMB,1
GPC,1
JACL,0
JALG,2
JLG,0
JMM,2
LFZA,1
MANA,2
MBGV,1
MTTA,2
PAA,3
RFM,1
RTF,3
