hour,0,1,2
0,0.13895238095238097,0.2419263888888889,0.3231
1,0.1148047619047619,0.1629875,0.5378222222222222
2,0.10572380952380953,0.13855416666666667,0.4257
3,0.09275922953451043,0.12241573033707864,0.38278651685393256
4,0.08699206349206348,0.10156527777777777,0.26897777777777776
5,0.08079365079365079,0.09399305555555555,0.16634444444444443
6,0.07877777777777777,0.09011805555555555,0.1854222222222222
7,0.08327777777777778,0.1385458333333333,0.20592222222222223
8,0.14035555555555554,0.29174583333333337,0.26211111111111113
9,0.15313333333333334,0.2586111111111111,0.26713333333333333
10,0.15614761904761904,0.2525277777777778,0.2845111111111111
11,0.1482857142857143,0.2945388888888889,0.2599222222222222
12,0.13634444444444443,0.30720416666666667,0.27455555555555555
13,0.14477460317460317,0.3441444444444445,0.26744444444444443
14,0.1698031746031746,0.46315694444444444,0.2958777777777778
15,0.2318063492063492,0.4492388888888889,0.32514444444444446
16,0.17963650793650793,0.3272375,0.2934555555555556
17,0.1631095238095238,0.26877222222222225,0.22926666666666667
18,0.13643968253968253,0.2714152777777778,0.21836666666666665
19,0.1411936507936508,0.2756361111111111,0.2113
20,0.15247460317460318,0.3340513888888889,0.22655555555555557
21,0.24862063492063494,0.42752222222222225,0.2139666666666667
22,0.20624920634920635,0.45063333333333333,0.2733333333333334
23,0.15458253968253968,0.34155138888888886,0.5038222222222223
total_mean_consumption,3.4450385946138757,6.448093508114857,6.902842072409489
