hour,0,1,2,3
0,0.08503194444444444,0.09499111111111111,0.34855,0.14376018518518519
1,0.07751111111111111,0.08751555555555555,0.2567277777777778,0.13221203703703704
2,0.0766111111111111,0.07905333333333334,0.20982777777777778,0.11935833333333334
3,0.07413472222222223,0.07462222222222223,0.11651666666666666,0.10754444444444444
4,0.07445138888888889,0.07520222222222221,0.12711111111111112,0.10662037037037038
5,0.07523472222222222,0.10511999999999999,0.1533,0.14775
6,0.08257916666666668,0.2819,0.19011111111111112,0.2437175925925926
7,0.10481666666666666,0.2452888888888889,0.1724888888888889,0.23276296296296298
8,0.13508194444444444,0.19110666666666667,0.177,0.24758122222222123
9,0.13281805555555556,0.19218666666666667,0.16845555555555555,0.28920470370370216
10,0.11899305555555556,0.20099999999999998,0.1872166666666667,0.33581092592592343
11,0.12295416666666667,0.19007333333333334,0.18162777777777778,0.39081185185184936
12,0.1720888888888889,0.21531555555555554,0.2059666666666667,0.4811942592592568
13,0.21834444444444445,0.2599711111111111,0.23337777777777777,0.46733896296296146
14,0.1391013888888889,0.20724,0.20928333333333332,0.35820496296296245
15,0.11513194444444444,0.1883577777777778,0.23785,0.2771744074074069
16,0.10711666666666667,0.1726422222222222,0.24617222222222224,0.28344385185185134
17,0.10470555555555555,0.16776444444444444,0.23297777777777778,0.27890403703703653
18,0.11069861111111111,0.21003777777777777,0.2197277777777778,0.2780716296296291
19,0.14234583333333334,0.2915933333333333,0.19227777777777777,0.3599003333333328
20,0.1654861111111111,0.26341555555555557,0.22778333333333334,0.5038898148148148
21,0.14319305555555556,0.20092666666666664,0.2981722222222222,0.38112037037037033
22,0.12459583333333334,0.14585333333333333,0.25599444444444447,0.26972685185185186
23,0.1068,0.10771777777777777,0.37744999999999995,0.19169444444444447
total_mean_consumption,2.8098263888888892,4.248895555555555,5.225966666666666,6.6277985555555405
