hogar,cluster
ABLD,2
AJVG,2
ATF,0
FJAG,4
FMB,2
GPC,2
JACL,0
JALG,3
JLG,0
JMM,3
LFZA,1
MANA,3
MBGV,2
MTTA,3
PAA,4
RFM,0
RTF,4
