hour,0,1,2
0,0.12161413043478261,0.18485093167701863,0.2717512077294686
1,0.107875,0.13950569358178053,0.23906763285024155
2,0.08549139492753623,0.11895445134575569,0.19971437198067632
3,0.07885760073260073,0.09908006279434851,0.17694108669108669
4,0.07854076086956521,0.08724948240165631,0.1524236111111111
5,0.07650951086956523,0.08104710144927536,0.12202143719806763
6,0.07690625000000001,0.07979503105590062,0.12449335748792272
7,0.07658876811594204,0.1038100414078675,0.17761926328502417
8,0.09320788043478262,0.2646583850931677,0.2505389492753623
9,0.11791394927536232,0.22962577639751552,0.24241515700483093
10,0.14070697463768114,0.20034575569358176,0.26437107487922706
11,0.13615534420289854,0.21008229813664597,0.2944764492753624
12,0.1294832427536232,0.2113110766045549,0.3484692028985507
13,0.13345561594202898,0.20556935817805383,0.4194284420289855
14,0.1746933876811594,0.24701190476190477,0.5011482487922705
15,0.21696376811594204,0.30748757763975154,0.4662545289855073
16,0.14758967391304348,0.25338250517598343,0.35342904589371976
17,0.12087590579710145,0.23072463768115942,0.29078532608695656
18,0.11321467391304348,0.224694099378882,0.28314764492753625
19,0.11599773550724637,0.21951915113871637,0.279491847826087
20,0.11905661231884057,0.2569891304347826,0.3038209541062802
21,0.15293976449275362,0.3191237060041408,0.3703825483091787
22,0.16387364130434784,0.30679399585921324,0.45342270531400963
23,0.14042164855072464,0.2408695652173913,0.3956953502415459
total_mean_consumption,2.918933234790572,4.8224817191090485,6.981309444179009
