hour,0,1,2,3,4
0,0.12492604166666667,0.21478893814458294,0.34588516746411485,0.3036552083333333,0.2512114285714286
1,0.11083923611111111,0.15919005825399762,0.4915598086124402,0.18637291666666667,0.17781818181818182
2,0.08284618055555555,0.1252106246750729,0.4813444976076555,0.14469583333333333,0.1375625
3,0.07655208333333334,0.10829449944864675,0.339622009569378,0.12894583333333332,0.13801136363636363
4,0.07467499999999999,0.09820856887006567,0.29267464114832537,0.113190625,0.1330284090909091
5,0.07396076388888889,0.09295729115921396,0.1477464114832536,0.09161041666666667,0.1398125
6,0.07454583333333334,0.09129870738813382,0.15157416267942583,0.08849270833333334,0.13705681818181817
7,0.073184375,0.10828058846261812,0.19121052631578947,0.189703125,0.2604375
8,0.08991180555555556,0.1668792346889323,0.24335885167464116,0.5271114583333334,0.2853693181818182
9,0.12603576388888887,0.2069719429947294,0.21739234449760766,0.38320937499999996,0.33777840909090906
10,0.14628090277777778,0.21335682398802128,0.2462488038277512,0.38810937500000003,0.4630284090909091
11,0.1578996527777778,0.22625281583541978,0.2999043062200957,0.39564687499999995,0.531903409090909
12,0.1512065972222222,0.2272204880452009,0.28108133971291865,0.3851979166666667,0.7377784090909091
13,0.15234340277777778,0.27041031902332424,0.29189473684210526,0.374790625,1.038215909090909
14,0.1768003472222222,0.35019773089176987,0.32955502392344493,0.4587364583333333,0.9269147727272727
15,0.22426527777777777,0.36477517185731784,0.4390574162679426,0.5369458333333333,0.7179431818181818
16,0.1518652777777778,0.28836528812614154,0.3846267942583732,0.44476145833333336,0.5968114285714285
17,0.1293079861111111,0.26437340823492683,0.23697129186602872,0.36047708333333334,0.5267085714285714
18,0.1230375,0.24907618048448593,0.2612248803827751,0.35708854166666665,0.5736228571428571
19,0.13071909722222222,0.27768108299691974,0.2646602870813397,0.40143854166666665,0.5496
20,0.13783541666666665,0.32442176251464927,0.25227272727272726,0.49411666666666665,0.6447085714285714
21,0.1625204861111111,0.3823230515861477,0.2696028708133971,0.6136708333333334,0.5033257142857143
22,0.16989895833333335,0.34095159184374796,0.306488038277512,0.6594614583333334,0.45456571428571435
23,0.1456295138888889,0.2653018644677993,0.4995502392344498,0.49045625,0.43433714285714287
total_mean_consumption,3.0670875,5.416788033981866,7.265507177033492,8.517885416666665,10.697550519480517
