archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2024-01,Enero,2024-01-01/2024-01-07,2024-01-08/2024-01-14,2024-01-15/2024-01-21,2024-01-22/2024-01-28,2024-01-29/2024-02-04
ABLD,0.21632538569424967,0.26332910932546855,0.046,1.87,0.06,0.098,0.241,154.24,0.21632538569424964,4.975483870967742,0.08683870967741936,0.07480645161290322,0.07119354838709677,0.0812258064516129,0.093,0.07948387096774194,0.0664516129032258,0.25161290322580643,0.25958064516129037,0.11196774193548388,0.13616129032258065,0.21351612903225806,0.254,0.252,0.4330967741935484,0.4120645161290323,0.2615483870967742,0.21516129032258063,0.21996774193548388,0.22351612903225807,0.47458064516129034,0.43458064516129036,0.2691290322580645,2.692,2.319,2.207,2.518,2.883,2.464,2.06,7.8,8.047,3.471,4.221,6.619,7.874,7.812,13.426,12.774000000000001,8.108,6.67,6.819,6.929,14.712,13.472000000000001,8.343,2.692,2.319,2.207,2.518,2.883,2.464,2.06,7.8,8.047,3.471,4.221,6.619,7.874,7.812,13.426,12.774000000000001,8.108,6.67,6.819,6.929,14.712,13.472000000000001,8.343,0.16428225806451613,0.23345698924731184,0.27718548387096775,0.3504516129032258,0.08141290322580645,20.371000000000002,43.423,34.371,43.456,12.619,0.1309215566037811,0.11701295258203147,0.06457407366056005,0.08101702082371083,0.033400079106273614,0.24442608695652177,0.19742608695652175,0.23738260869565217,0.2036521739130435,0.20164130434782607,0.21706521739130433,0.2051195652173913,28.109,22.704,27.299,18.736,18.551,19.97,18.871,0.3001386539488089,0.23252851403605737,0.2836191102427504,0.22323074519343827,0.28643471847095064,0.2670212488703921,0.23557033164525884,0.21814555765595464,0.21109239130434784,115.399,38.841,0.2676358186498156,0.2511698686001389,0.21632538569424967,154.24,0.2633291093254686,154.24,154.24,38.217,35.817,33.196,34.891,12.119
AJVG,0.4362230014025246,0.603135109268222,0.019,3.677,0.047,0.162,0.665,311.02700000000004,0.43622300140252457,10.033129032258064,0.2815806451612903,0.20825806451612905,0.10538709677419356,0.10348387096774195,0.11012903225806452,0.0682258064516129,0.29019354838709677,1.0675161290322581,0.5004193548387097,0.22870967741935483,0.3077741935483871,0.44258064516129036,0.40348387096774196,0.40261290322580645,0.4423225806451613,0.32261290322580644,0.3113548387096774,0.30729032258064515,0.4757741935483871,0.8104516129032259,0.8912258064516129,1.0193548387096774,0.9323870967741935,8.729,6.456,3.2670000000000003,3.208,3.414,2.1149999999999998,8.996,33.093,15.513,7.09,9.541,13.72,12.508000000000001,12.481,13.712,10.001,9.652,9.526,14.749,25.124000000000002,27.628,31.6,28.904,8.729,6.456,3.2670000000000003,3.208,3.414,2.1149999999999998,8.996,33.093,15.513,7.09,9.541,13.72,12.508000000000001,12.481,13.712,10.001,9.652,9.526,14.749,25.124000000000002,27.628,31.6,28.904,0.48158870967741935,0.37124731182795695,0.35425806451612907,0.9133548387096774,0.16176774193548388,59.717000000000006,69.052,43.928,113.256,25.073999999999998,0.29046737962872166,0.2350903127771233,0.050272917010358936,0.057468673757643224,0.09976147357264359,0.3892869565217391,0.4452869565217391,0.3841565217391304,0.4219130434782609,0.2747065217391304,0.7021413043478261,0.45855434782608695,44.768,51.208,44.178,38.816,25.273,64.597,42.187,0.5176186662015824,0.6235720778160966,0.5630313099533593,0.542449038517387,0.42455547633315494,0.8324623026348821,0.5949291280005761,0.38609262759924384,0.5803478260869566,204.243,106.784,0.5433025213096787,0.7317932153620261,0.4362230014025245,311.027,0.6031351092682221,311.027,311.027,72.51,88.69500000000001,77.38,42.338,30.104
FJAG,0.553476858345021,0.9915099382658773,0.075,5.245,0.17,0.267,0.465,394.629,0.553476858345021,12.729967741935486,0.209,0.14548387096774193,0.14651612903225805,0.14051612903225805,0.14980645161290324,0.15225806451612903,0.2711290322580645,0.2915161290322581,0.254741935483871,0.5081935483870967,0.5424193548387096,0.8109032258064516,1.3098709677419356,1.2719354838709678,1.1182903225806453,0.9462903225806452,0.6409354838709678,0.7349032258064516,0.8428709677419354,0.8482903225806452,0.47870967741935483,0.47119354838709676,0.44419354838709674,6.479,4.51,4.542,4.356,4.644,4.72,8.405,9.037,7.897,15.754,16.814999999999998,25.137999999999998,40.606,39.43,34.667,29.335,19.869,22.782,26.128999999999998,26.297,14.84,14.607,13.77,6.479,4.51,4.542,4.356,4.644,4.72,8.405,9.037,7.897,15.754,16.814999999999998,25.137999999999998,40.606,39.43,34.667,29.335,19.869,22.782,26.128999999999998,26.297,14.84,14.607,13.77,0.24241129032258063,0.9269354838709676,0.79125,0.5605967741935484,0.15826451612903228,30.058999999999997,172.41,98.11500000000001,69.514,24.531,0.07183575687507408,0.25902681857008486,0.1489746527150813,0.24151100043505125,0.06290930564304277,0.34755652173913043,0.32203478260869567,0.7986695652173913,0.4706521739130434,0.7221086956521738,0.3659891304347826,0.8953695652173913,39.969,37.034,91.847,43.3,66.434,33.671,82.374,0.24869498655717362,0.19709784418675505,1.475210664240928,0.8070504217098429,1.204127849592938,0.277656934915964,1.5081281587581903,0.5266238185255199,0.6306793478260869,278.584,116.045,0.9450846063415298,1.1134589048033663,0.553476858345021,394.629,0.9915099382658777,394.629,394.629,54.565,102.898,55.0,139.938,42.228
FMB,0.20165638148667603,0.21470577206548566,0.01,2.721,0.056,0.168,0.252,143.781,0.20165638148667603,4.638096774193548,0.15103225806451614,0.10651612903225807,0.10238709677419354,0.07729032258064515,0.0634516129032258,0.0687741935483871,0.13141935483870967,0.09409677419354838,0.1761290322580645,0.2561935483870968,0.21351612903225806,0.31229032258064515,0.30729032258064515,0.34538709677419355,0.183,0.21716129032258066,0.27483870967741936,0.2633548387096774,0.39483870967741935,0.27541935483870966,0.2571935483870968,0.21229032258064515,0.1542258064516129,4.682,3.302,3.174,2.396,1.967,2.132,4.074,2.917,5.46,7.942,6.619,9.681,9.526,10.707,5.673,6.732,8.52,8.164,12.24,8.538,7.973,6.5809999999999995,4.781,4.682,3.302,3.174,2.396,1.967,2.132,4.074,2.917,5.46,7.942,6.619,9.681,9.526,10.707,5.673,6.732,8.52,8.164,12.24,8.538,7.973,6.5809999999999995,4.781,0.11760483870967742,0.26961290322580644,0.28754838709677416,0.22478225806451613,0.10013548387096774,14.582999999999998,50.148,35.656,27.872999999999998,15.520999999999999,0.04188487462278768,0.06819348096200911,0.14902385714227437,0.04298424833649571,0.02867013879273025,0.2241217391304348,0.2135304347826087,0.1857913043478261,0.2386739130434783,0.17463043478260867,0.16719565217391305,0.20303260869565215,25.774,24.556,21.366,21.958000000000002,16.066,15.382,18.679,0.19706798843831622,0.16621901224141314,0.14538216399521942,0.3429911448796288,0.15038008383092388,0.1872164076078589,0.26678560561722303,0.2074102079395085,0.18511413043478261,109.72,34.061,0.2088424354630688,0.23053170429354308,0.20165638148667603,143.781,0.2147057720654857,143.781,143.781,31.275,38.337,30.153,29.317,14.699
GPC,0.203656381486676,0.24782394194001056,0.027,2.077,0.062,0.1,0.224,145.207,0.20365638148667603,4.684096774193547,0.07319354838709678,0.07245161290322581,0.060645161290322575,0.0677741935483871,0.06048387096774194,0.064,0.1167741935483871,0.23080645161290322,0.18867741935483873,0.27045161290322584,0.18103225806451614,0.18183870967741933,0.13983870967741935,0.28925806451612907,0.3969032258064516,0.3639032258064516,0.2914516129032258,0.29496774193548386,0.244,0.27267741935483875,0.4448064516129032,0.27861290322580645,0.09954838709677419,2.269,2.246,1.88,2.101,1.875,1.984,3.62,7.155,5.849,8.384,5.612,5.637,4.335,8.967,12.304,11.281,9.035,9.144,7.564,8.453000000000001,13.789,8.637,3.086,2.269,2.246,1.88,2.101,1.875,1.984,3.62,7.155,5.849,8.384,5.612,5.637,4.335,8.967,12.304,11.281,9.035,9.144,7.564,8.453000000000001,13.789,8.637,3.086,0.15006451612903227,0.2432204301075269,0.29858064516129035,0.27391129032258066,0.06690967741935484,18.608,45.239000000000004,37.024,33.965,10.371,0.09808894543380967,0.10129922840790558,0.05221781077309112,0.09579337671423585,0.005559563768360803,0.19957391304347827,0.1795304347826087,0.18127826086956522,0.20791304347826087,0.19381521739130433,0.22926086956521738,0.2468695652173913,22.951,20.646,20.847,19.128,17.831,21.092,22.712,0.25721637627838134,0.19032734136906426,0.2205790842713822,0.26760983786569503,0.22230782190011714,0.3088242100899751,0.26618733457007904,0.19168809073724008,0.23806521739130435,101.403,43.804,0.23148913325733927,0.287641808385186,0.203656381486676,145.207,0.24782394194001053,145.207,145.207,33.067,29.104,33.638,35.579,13.819
JACL,0.10822019635343619,0.0860358106553889,0.03,0.995,0.066,0.095,0.125,77.161,0.10822019635343619,2.4890645161290323,0.12545161290322582,0.07238709677419354,0.07629032258064516,0.07480645161290322,0.07883870967741935,0.06667741935483872,0.062129032258064515,0.07370967741935484,0.08648387096774193,0.10893548387096773,0.10874193548387097,0.10212903225806451,0.10670967741935483,0.13948387096774192,0.307741935483871,0.11854838709677419,0.10958064516129033,0.0992258064516129,0.11593548387096775,0.11380645161290323,0.09580645161290323,0.1332258064516129,0.11241935483870967,3.8890000000000002,2.2439999999999998,2.365,2.319,2.444,2.067,1.926,2.285,2.681,3.377,3.371,3.166,3.308,4.324,9.540000000000001,3.675,3.3970000000000002,3.076,3.5940000000000003,3.528,2.97,4.13,3.485,3.8890000000000002,2.2439999999999998,2.365,2.319,2.444,2.067,1.926,2.285,2.681,3.377,3.371,3.166,3.308,4.324,9.540000000000001,3.675,3.3970000000000002,3.076,3.5940000000000003,3.528,2.97,4.13,3.485,0.07225000000000001,0.1456236559139785,0.11082258064516129,0.11381451612903226,0.08555483870967742,8.959,27.086,13.742,14.113,13.261,0.005047258238738024,0.056810326104485345,0.013547733982511476,0.0074711256831042905,0.006126795978315752,0.11092173913043478,0.1173217391304348,0.10548695652173913,0.0988695652173913,0.10290217391304349,0.1048695652173913,0.11490217391304347,12.756,13.492,12.131,9.096,9.467,9.648,10.571,0.09442635186627436,0.11184140932165582,0.07060681409606537,0.059342036578663125,0.044550270354160176,0.0706799344190359,0.11845619209552373,0.10764083175803403,0.1098858695652174,56.942,20.219,0.08180626316637538,0.09740161361475924,0.10822019635343619,77.161,0.08603581065538886,77.161,77.161,16.253,16.436,18.566,17.958,7.948
JALG,0.3296732117812062,0.3045037103755996,0.027,1.641,0.084,0.219,0.456,235.057,0.3296732117812062,7.582483870967741,0.18429032258064518,0.12164516129032257,0.1059032258064516,0.08993548387096775,0.0852258064516129,0.08312903225806452,0.08248387096774193,0.15441935483870967,0.3249032258064516,0.4983870967741935,0.507774193548387,0.3708064516129032,0.35038709677419355,0.49035483870967744,0.5894193548387097,0.5390967741935484,0.35235483870967743,0.38525806451612904,0.401741935483871,0.3347096774193548,0.4983548387096774,0.6093870967741936,0.4225161290322581,5.713,3.771,3.283,2.7880000000000003,2.642,2.577,2.557,4.787,10.072,15.45,15.741,11.495,10.862,15.201,18.272,16.712,10.923,11.943,12.454,10.376,15.449,18.891000000000002,13.098,5.713,3.771,3.283,2.7880000000000003,2.642,2.577,2.557,4.787,10.072,15.45,15.741,11.495,10.862,15.201,18.272,16.712,10.923,11.943,12.454,10.376,15.449,18.891000000000002,13.098,0.16123387096774194,0.4678548387096774,0.41961290322580647,0.46624193548387094,0.11740000000000002,19.993,87.02099999999999,52.032,57.814,18.197,0.16018994930203387,0.0958494648704081,0.029794115382043393,0.041829551882813086,0.04197865410546865,0.3385304347826087,0.33104347826086955,0.32269565217391305,0.2818478260869565,0.29685869565217393,0.35842391304347826,0.37749999999999995,38.931,38.07,37.11,25.93,27.311,32.975,34.73,0.31360219861773847,0.3429606747264884,0.30756380521637483,0.2520586855957024,0.2402140794988686,0.3312332677489397,0.3142531526588779,0.3163553875236295,0.36796195652173913,167.352,67.705,0.29729619702164567,0.3221135523713458,0.3296732117812062,235.057,0.30450371037559965,235.057,235.057,55.726,55.179,52.201,49.606,22.345
JLG,0.15946143057503506,0.1802604669362792,0.037,1.292,0.05,0.11,0.181,113.696,0.15946143057503506,3.6676129032258062,0.1120967741935484,0.060838709677419354,0.05016129032258064,0.04932258064516129,0.051258064516129034,0.05035483870967742,0.04835483870967742,0.04632258064516129,0.09170967741935483,0.23545161290322583,0.28383870967741937,0.25048387096774194,0.1897741935483871,0.3034516129032258,0.2978709677419355,0.1987741935483871,0.1804516129032258,0.18119354838709678,0.1851290322580645,0.16983870967741935,0.17212903225806453,0.2186451612903226,0.24016129032258066,3.475,1.886,1.555,1.529,1.589,1.561,1.4989999999999999,1.436,2.843,7.299,8.799,7.765,5.883,9.407,9.234,6.162,5.594,5.617,5.739,5.265,5.336,6.7780000000000005,7.445,3.475,1.886,1.555,1.529,1.589,1.561,1.4989999999999999,1.436,2.843,7.299,8.799,7.765,5.883,9.407,9.234,6.162,5.594,5.617,5.739,5.265,5.336,6.7780000000000005,7.445,0.05918548387096774,0.2601451612903226,0.18638709677419357,0.2001935483870968,0.06473548387096775,7.3389999999999995,48.387,23.112000000000002,24.823999999999998,10.034,0.05150280206341163,0.05162080284868252,0.047815351158514444,0.0797401691302374,0.012397679574310608,0.15971304347826087,0.15801739130434783,0.1361913043478261,0.1776195652173913,0.15609782608695652,0.17025,0.16445652173913045,18.367,18.172,15.661999999999999,16.341,14.360999999999999,15.663,15.13,0.16105288252225156,0.18302914074418877,0.13410148655273055,0.20284714335932774,0.1746735768705749,0.2052132434194374,0.20567852933528818,0.1567164461247637,0.1673532608695652,82.903,30.793,0.17098618513063515,0.20490450978781585,0.15946143057503506,113.696,0.18026046693627917,113.696,113.696,25.980999999999998,21.885,26.288,26.901,12.641
JMM,0.238741935483871,0.21640749936423206,0.066,1.935,0.123,0.181,0.261,170.223,0.23874193548387093,5.491064516129033,0.21822580645161288,0.16180645161290322,0.12774193548387097,0.13145161290322582,0.11283870967741937,0.1232258064516129,0.11880645161290322,0.1368709677419355,0.1918709677419355,0.2166774193548387,0.21454838709677418,0.18929032258064518,0.2539677419354839,0.3838709677419355,0.41745161290322585,0.30412903225806454,0.2613548387096774,0.2304516129032258,0.25393548387096776,0.4360322580645161,0.41716129032258065,0.3173870967741936,0.2719677419354839,6.765,5.016,3.96,4.075,3.498,3.82,3.683,4.243,5.948,6.717,6.651,5.868,7.873,11.9,12.941,9.428,8.102,7.144,7.872,13.517,12.932,9.839,8.431000000000001,6.765,5.016,3.96,4.075,3.498,3.82,3.683,4.243,5.948,6.717,6.651,5.868,7.873,11.9,12.941,9.428,8.102,7.144,7.872,13.517,12.932,9.839,8.431000000000001,0.14269354838709677,0.2793010752688172,0.26246774193548383,0.36063709677419353,0.15041290322580644,17.694000000000003,51.95,32.546,44.718999999999994,23.314,0.01215640926210413,0.11014004593440904,0.06548529236259827,0.1584873342079344,0.01357753280633043,0.22509565217391303,0.23909565217391304,0.2029304347826087,0.25936956521739135,0.22285869565217392,0.2850978260869565,0.2490217391304348,25.886,27.496,23.337,23.862000000000002,20.503,26.229,22.91,0.20055458083327662,0.24131529109812477,0.16827138281991114,0.2713243757308638,0.22337282595272007,0.21369969993770213,0.1833341978291161,0.22889224952741022,0.2670597826086957,121.084,49.139,0.22135688164063227,0.19937410729048033,0.238741935483871,170.223,0.21640749936423198,170.223,170.223,40.522,39.425,37.569,38.577,14.13
LFZA,0.22189060308555403,0.29071064001469527,0.01,2.093,0.076,0.121,0.236,158.20800000000003,0.22189060308555397,5.103483870967743,0.20729032258064517,0.21067741935483872,0.20619354838709675,0.15848387096774194,0.16890322580645162,0.09574193548387097,0.07751612903225806,0.08509677419354839,0.08138709677419355,0.07106451612903225,0.08070967741935485,0.1527741935483871,0.24983870967741936,0.27625806451612905,0.2677096774193548,0.4195483870967742,0.45464516129032256,0.4063870967741935,0.4168387096774194,0.26806451612903226,0.28835483870967743,0.21306451612903224,0.24693548387096775,6.426,6.531000000000001,6.3919999999999995,4.913,5.236,2.968,2.403,2.638,2.523,2.203,2.5020000000000002,4.736,7.745,8.564,8.299,13.006,14.094,12.597999999999999,12.922,8.31,8.939,6.6049999999999995,7.655,6.426,6.531000000000001,6.3919999999999995,4.913,5.236,2.968,2.403,2.638,2.523,2.203,2.5020000000000002,4.736,7.745,8.564,8.299,13.006,14.094,12.597999999999999,12.922,8.31,8.939,6.6049999999999995,7.655,0.08493548387096773,0.18305913978494626,0.4243548387096774,0.2541048387096774,0.19030967741935484,10.532,34.049,52.620000000000005,31.509000000000004,29.498,0.005618011019983562,0.13305534587718465,0.03455653473552571,0.07840809520205566,0.06328210740124142,0.17306956521739128,0.21506956521739132,0.2803478260869565,0.19144565217391304,0.2739891304347826,0.23477173913043478,0.18383695652173912,19.903,24.733,32.24,17.613,25.207,21.599,16.913,0.1795017823172585,0.3030290276680741,0.3632087516208889,0.2572635098442299,0.3558482666692972,0.325056245454583,0.17147115716669672,0.22626843100189037,0.20930434782608695,119.696,38.512,0.30064193278337437,0.2604132587565087,0.221890603085554,158.208,0.2907106400146952,158.208,158.208,34.75,37.284,39.688,29.806,16.68
