archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_1.0,consumo_2.0,consumo_3.0,consumo_4.0,consumo_5.0,consumo_6.0,consumo_7.0,consumo_8.0,consumo_9.0,consumo_10.0,consumo_11.0,consumo_12.0,consumo_13.0,consumo_14.0,consumo_15.0,consumo_16.0,consumo_17.0,consumo_18.0,consumo_19.0,consumo_20.0,consumo_21.0,consumo_22.0,consumo_23.0,consumo_1.0_suma,consumo_2.0_suma,consumo_3.0_suma,consumo_4.0_suma,consumo_5.0_suma,consumo_6.0_suma,consumo_7.0_suma,consumo_8.0_suma,consumo_9.0_suma,consumo_10.0_suma,consumo_11.0_suma,consumo_12.0_suma,consumo_13.0_suma,consumo_14.0_suma,consumo_15.0_suma,consumo_16.0_suma,consumo_17.0_suma,consumo_18.0_suma,consumo_19.0_suma,consumo_20.0_suma,consumo_21.0_suma,consumo_22.0_suma,consumo_23.0_suma,consumo_1.0_std,consumo_2.0_std,consumo_3.0_std,consumo_4.0_std,consumo_5.0_std,consumo_6.0_std,consumo_7.0_std,consumo_8.0_std,consumo_9.0_std,consumo_10.0_std,consumo_11.0_std,consumo_12.0_std,consumo_13.0_std,consumo_14.0_std,consumo_15.0_std,consumo_16.0_std,consumo_17.0_std,consumo_18.0_std,consumo_19.0_std,consumo_20.0_std,consumo_21.0_std,consumo_22.0_std,consumo_23.0_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2024-11,Noviembre,2024-10-28/2024-11-03,2024-11-04/2024-11-10,2024-11-11/2024-11-17,2024-11-18/2024-11-24,2024-11-25/2024-12-01
ABLD,0.22848840579710147,0.23949323737993194,0.051,1.741,0.065,0.1285,0.27775000000000005,157.657,0.2284884057971014,5.255233333333334,0.10186666666666667,0.09156666666666666,0.07026666666666667,0.07063333333333334,0.0678,0.07263333333333333,0.1625,0.3099,0.2876666666666666,0.1752,0.1883,0.2046666666666667,0.17333333333333334,0.26633333333333337,0.5340666666666666,0.44993333333333335,0.27776666666666666,0.23333333333333334,0.16743333333333332,0.2950666666666667,0.5013,0.3389333333333333,0.21473333333333333,3.056,2.747,2.108,2.119,2.034,2.179,4.875,9.297,8.629999999999999,5.256,5.649,6.140000000000001,5.2,7.99,16.022,13.498000000000001,8.333,7.0,5.023,8.852,15.039,10.168,6.442,3.056,2.747,2.108,2.119,2.034,2.179,4.875,9.297,8.629999999999999,5.256,5.649,6.140000000000001,5.2,7.99,16.022,13.498000000000001,8.333,7.0,5.023,8.852,15.039,10.168,6.442,0.208175,0.25698333333333334,0.2821166666666667,0.3375083333333333,0.08042666666666667,24.980999999999998,46.257,33.854,40.501,12.064,0.092656336427647,0.06313606020913425,0.10251925510939612,0.10296211654920275,0.03995949379478586,0.2147608695652174,0.24690217391304348,0.20428260869565218,0.2154891304347826,0.21192173913043477,0.24936521739130435,0.2556195652173913,19.758,22.715,18.794,19.825,24.371,28.677,23.517,0.22499662364085604,0.24883734304144436,0.21912229141581585,0.2377085894681297,0.21547650776931038,0.2781542337030411,0.24327503733186406,0.21834989648033126,0.2521449275362319,105.463,52.194,0.22840646717620455,0.2626210645668818,0.22848840579710147,157.657,0.2394932373799319,157.657,157.657,19.708,45.747,35.552,28.922,27.728
AJVG,0.2621739130434782,0.36738173186645273,0.028,2.366,0.04825,0.08549999999999999,0.301,180.89999999999998,0.26217391304347826,6.029999999999999,0.08513333333333332,0.08613333333333334,0.10586666666666668,0.0741,0.05736666666666667,0.08563333333333333,0.4693333333333333,0.5452999999999999,0.39486666666666664,0.1716,0.21486666666666665,0.30619999999999997,0.38653333333333334,0.28929999999999995,0.2427,0.17956666666666668,0.15213333333333334,0.2022,0.2442666666666667,0.42856666666666665,0.5367666666666666,0.4851,0.28646666666666665,2.554,2.584,3.176,2.223,1.721,2.569,14.08,16.358999999999998,11.846,5.148,6.446,9.186,11.596,8.678999999999998,7.281,5.3870000000000005,4.564,6.066,7.328,12.857,16.102999999999998,14.552999999999999,8.594,2.554,2.584,3.176,2.223,1.721,2.569,14.08,16.358999999999998,11.846,5.148,6.446,9.186,11.596,8.678999999999998,7.281,5.3870000000000005,4.564,6.066,7.328,12.857,16.102999999999998,14.552999999999999,8.594,0.3737833333333333,0.2685333333333333,0.19454166666666667,0.43422499999999997,0.08172,44.854,48.336000000000006,23.345,52.107,12.258,0.1694763345697342,0.11680956570877557,0.050510589260106514,0.12695528155715285,0.013058737135094192,0.23713043478260867,0.21654347826086956,0.23366304347826086,0.24014130434782607,0.24016521739130434,0.3557391304347826,0.29394565217391305,21.816,19.922,21.497,22.093,27.619,40.910000000000004,27.043,0.3530923428510291,0.27636551736381426,0.3140469719599743,0.35016930227137993,0.30968285787845623,0.4731270940662647,0.42696319331111804,0.23384472049689442,0.3282753623188406,112.947,67.953,0.3201358676617831,0.45316072988343187,0.26217391304347826,180.9,0.3673817318664526,180.9,180.9,6.26,33.769,38.358,48.857,53.656
ATF,0.13729420289855074,0.13614258339784926,0.042,1.77,0.068,0.106,0.147,94.733,0.1372942028985507,3.157766666666667,0.09436666666666667,0.08446666666666666,0.08109999999999999,0.08326666666666667,0.08326666666666666,0.08159999999999999,0.0853,0.17583333333333334,0.19346666666666668,0.1268,0.14856666666666665,0.14236666666666667,0.14993333333333334,0.16133333333333333,0.3013,0.20673333333333332,0.1373,0.12990000000000002,0.11033333333333334,0.12283333333333334,0.1537,0.1579,0.1461,2.831,2.534,2.433,2.498,2.4979999999999998,2.448,2.559,5.275,5.804,3.804,4.457,4.271,4.498,4.84,9.039,6.202,4.119,3.8970000000000002,3.31,3.685,4.611,4.737,4.383,2.831,2.534,2.433,2.498,2.4979999999999998,2.448,2.559,5.275,5.804,3.804,4.457,4.271,4.498,4.84,9.039,6.202,4.119,3.8970000000000002,3.31,3.685,4.611,4.737,4.383,0.13405,0.17171666666666666,0.14606666666666668,0.14513333333333334,0.08529333333333333,16.086,30.909,17.528,17.416,12.793999999999999,0.08762816501341185,0.08689545003384408,0.10230399410078835,0.028090593685678535,0.006403727827187874,0.18478260869565216,0.12614130434782608,0.1383586956521739,0.1297282608695652,0.1262086956521739,0.1326608695652174,0.12710869565217392,17.0,11.605,12.729,11.935,14.514,15.256,11.694,0.23595007043477412,0.08167108807192058,0.08716935411703519,0.09048102263062047,0.1120565721513863,0.16270169059368816,0.10277228177663802,0.14033747412008282,0.13019323671497585,67.783,26.95,0.13492773532062244,0.13900688448641113,0.13729420289855074,94.733,0.13614258339784926,94.733,94.733,9.671,25.288,20.254,20.304,19.216
FJAG,0.46581304347826086,0.8759712112647304,0.07,5.312,0.148,0.2285,0.387,321.411,0.4658130434782609,10.713699999999998,0.15966666666666668,0.16656666666666667,0.12406666666666667,0.12853333333333333,0.13093333333333332,0.13266666666666665,0.188,0.2075,0.5797666666666667,0.7132333333333333,0.7500333333333333,0.9030333333333334,1.0616333333333334,0.9091666666666666,0.7390666666666666,0.5378000000000001,0.44153333333333333,0.4874,0.4602333333333333,0.5886,0.47713333333333335,0.4219333333333333,0.4052,4.79,4.997,3.722,3.856,3.928,3.98,5.64,6.225,17.393,21.397,22.501,27.091,31.849,27.275,22.172,16.134,13.246,14.622,13.807,17.658,14.314,12.658,12.156,4.79,4.997,3.722,3.856,3.928,3.98,5.64,6.225,17.393,21.397,22.501,27.091,31.849,27.275,22.172,16.134,13.246,14.622,13.807,17.658,14.314,12.658,12.156,0.27698333333333336,0.8460277777777777,0.4817416666666667,0.4732166666666667,0.14195333333333332,33.238,152.285,57.809000000000005,56.786,21.293,0.5221143367124189,0.08209868863853866,0.355628284843184,0.044997908005910234,0.04025347282596913,0.2969782608695652,0.6691521739130435,0.2911521739130435,0.2912608695652174,0.9587652173913043,0.3135652173913044,0.3546413043478261,27.322,61.562,26.786,26.796,110.258,36.06,32.627,0.19449703962609763,1.3061391300845708,0.19678101482973395,0.19489021251848254,1.6304659291588952,0.28944939049296775,0.2697984018037587,0.5232380952380952,0.3318212560386473,252.724,68.687,1.0257239682101027,0.2809593688144752,0.46581304347826086,321.411,0.8759712112647308,321.411,321.411,66.806,50.254,52.231,51.408,100.712
FMB,0.2072405797101449,0.27271129160451707,0.023,2.353,0.048,0.1235,0.23875,142.99599999999998,0.20724057971014492,4.766533333333333,0.09116666666666666,0.06466666666666666,0.06536666666666667,0.10023333333333334,0.10139999999999999,0.06193333333333333,0.10543333333333332,0.05406666666666667,0.16133333333333333,0.21770000000000003,0.21276666666666666,0.19959999999999997,0.2605,0.2816666666666666,0.3009,0.22860000000000003,0.44006666666666666,0.48690000000000005,0.3807,0.4281666666666667,0.2556333333333333,0.1364,0.13133333333333333,2.735,1.94,1.961,3.007,3.042,1.858,3.163,1.622,4.84,6.531000000000001,6.383,5.9879999999999995,7.815,8.45,9.027,6.8580000000000005,13.202,14.607000000000001,11.421,12.845,7.6690000000000005,4.092,3.94,2.735,1.94,1.961,3.007,3.042,1.858,3.163,1.622,4.84,6.531000000000001,6.383,5.9879999999999995,7.815,8.45,9.027,6.8580000000000005,13.202,14.607000000000001,11.421,12.845,7.6690000000000005,4.092,3.94,0.09569166666666667,0.2455222222222222,0.3840666666666667,0.2378833333333333,0.08456666666666666,11.483,44.194,46.088,28.546000000000003,12.685,0.07021718452739162,0.09524651456791708,0.13584298637984268,0.14855921425372345,0.013387444261327782,0.2504565217391304,0.21610869565217392,0.17640217391304347,0.20682608695652172,0.19968695652173912,0.1746695652173913,0.23656521739130434,23.041999999999998,19.882,16.229,19.028,22.964,20.087,21.764,0.3191326987438751,0.25566807364158456,0.15324433265125229,0.2493183942864521,0.24012863384712696,0.2802502240867731,0.3666125092842421,0.20940993788819875,0.20217874396135266,101.145,41.851,0.24887351531053922,0.32216065450793,0.20724057971014495,142.996,0.27271129160451735,142.996,142.996,15.562,33.879,33.687,34.574,25.294
GPC,0.20042898550724636,0.23555785320493242,0.028,1.567,0.068,0.1065,0.219,138.296,0.2004289855072464,4.609866666666666,0.06576666666666667,0.11766666666666667,0.09833333333333334,0.06833333333333333,0.09063333333333333,0.08333333333333333,0.0872,0.4177666666666667,0.30843333333333334,0.2513666666666667,0.17383333333333334,0.13870000000000002,0.11856666666666667,0.18266666666666664,0.3788,0.3031333333333333,0.18973333333333334,0.1961,0.1799,0.32706666666666667,0.445,0.24746666666666667,0.14006666666666667,1.973,3.5300000000000002,2.95,2.05,2.719,2.5,2.616,12.533,9.253,7.541,5.215,4.1610000000000005,3.557,5.4799999999999995,11.364,9.094,5.692,5.883,5.397,9.812,13.35,7.424,4.202,1.973,3.5300000000000002,2.95,2.05,2.719,2.5,2.616,12.533,9.253,7.541,5.215,4.1610000000000005,3.557,5.4799999999999995,11.364,9.094,5.692,5.883,5.397,9.812,13.35,7.424,4.202,0.22418333333333335,0.20732222222222227,0.21721666666666667,0.28990000000000005,0.08814666666666666,26.902,37.318,26.066000000000003,34.788,13.222,0.1573846196684151,0.06708098090510932,0.05269048847888455,0.07830645653076151,0.06875295257639646,0.1758695652173913,0.1476086956521739,0.19705434782608697,0.21090217391304347,0.21217391304347827,0.25138260869565215,0.19233695652173913,16.18,13.58,18.129,19.403,24.400000000000002,28.909,17.695,0.19785354875728875,0.13707798025506301,0.2450042100616266,0.2592874030065085,0.23180316290129657,0.3097221613620005,0.20091057970348225,0.1898385093167702,0.2251400966183575,91.69200000000001,46.604,0.21969013166193993,0.26792247227779714,0.20042898550724636,138.296,0.2355578532049325,138.296,138.296,14.982000000000001,32.038,32.883,32.816,25.577
JACL,0.1092753623188406,0.07907626787485057,0.035,0.716,0.063,0.097,0.13,75.4,0.10927536231884057,2.5133333333333336,0.11426666666666667,0.09406666666666667,0.0892,0.06786666666666667,0.07996666666666667,0.08803333333333334,0.06613333333333334,0.08953333333333333,0.0965,0.08566666666666665,0.11309999999999999,0.08813333333333334,0.07676666666666666,0.151,0.29710000000000003,0.14556666666666668,0.11410000000000001,0.09153333333333333,0.09453333333333333,0.1044,0.10013333333333334,0.12443333333333334,0.1413,3.428,2.822,2.676,2.036,2.399,2.641,1.984,2.686,2.895,2.57,3.393,2.644,2.303,4.53,8.913,4.367,3.423,2.746,2.836,3.132,3.004,3.733,4.239,3.428,2.822,2.676,2.036,2.399,2.641,1.984,2.686,2.895,2.57,3.393,2.644,2.303,4.53,8.913,4.367,3.423,2.746,2.836,3.132,3.004,3.733,4.239,0.08505,0.13529444444444444,0.11143333333333336,0.11756666666666668,0.08907333333333334,10.206,24.353,13.372,14.108,13.361,0.005108637144326674,0.058851076341069196,0.021808687289413164,0.0040452943965952745,0.0025115895144578113,0.10343478260869565,0.10645652173913044,0.1050108695652174,0.10076086956521739,0.10794782608695652,0.12045217391304348,0.11840217391304349,9.516,9.794,9.661,9.27,12.414,13.852,10.893,0.06610486247477838,0.05782284674202035,0.05412003235893572,0.05163403970617062,0.08057206031328343,0.11111644307064208,0.10028717663500139,0.10487577639751552,0.11954106280193237,50.655,24.745,0.06367384062913452,0.10619160647736531,0.1092753623188406,75.4,0.07907626787485054,75.4,75.4,7.667,18.52,17.025,17.882,14.306
JALG,0.28646376811594204,0.25392819686734336,0.057,1.487,0.114,0.191,0.37675000000000003,197.66,0.286463768115942,6.588666666666666,0.17076666666666668,0.11043333333333334,0.09486666666666667,0.09763333333333332,0.0892,0.10400000000000001,0.1019,0.1858,0.2891,0.37260000000000004,0.2579333333333333,0.2957,0.48109999999999997,0.4704,0.47903333333333337,0.3921,0.3796,0.37883333333333336,0.3238333333333333,0.2954333333333333,0.4044666666666667,0.5037,0.31023333333333336,5.123,3.313,2.846,2.929,2.676,3.12,3.057,5.574,8.673,11.178,7.7379999999999995,8.871,14.433,14.112,14.371,11.763,11.388,11.365,9.715,8.863,12.134,15.111,9.307,5.123,3.313,2.846,2.929,2.676,3.12,3.057,5.574,8.673,11.178,7.7379999999999995,8.871,14.433,14.112,14.371,11.763,11.388,11.365,9.715,8.863,12.134,15.111,9.307,0.17020000000000002,0.39279444444444445,0.36859166666666665,0.37845833333333334,0.11257999999999999,20.424,70.703,44.230999999999995,45.415000000000006,16.887,0.10747100112066582,0.10532340202787319,0.04649483885261039,0.06535508922777594,0.02101354923896854,0.28803260869565217,0.2867608695652174,0.30434782608695654,0.29634782608695653,0.257704347826087,0.2810695652173913,0.2995217391304348,26.499,26.382,28.0,27.264,29.636,32.323,27.556,0.2577523494563391,0.2699233659891782,0.2820053944921882,0.2486076141621531,0.2235152561186209,0.24532022473104415,0.26060780512802273,0.2852608695652174,0.28927053140096615,137.781,59.879,0.25509545496143377,0.2517757020194485,0.28646376811594204,197.66,0.25392819686734336,197.66,197.66,18.541,40.841,51.665,46.711,39.902
JLG,0.13709710144927537,0.14213755114630255,0.037,1.058,0.056,0.095,0.16075,94.59700000000001,0.1370971014492754,3.153233333333333,0.1052,0.06596666666666666,0.060733333333333334,0.05586666666666666,0.054766666666666665,0.05266666666666667,0.053899999999999997,0.0523,0.0699,0.22093333333333334,0.24646666666666667,0.15360000000000001,0.1175,0.2075,0.19663333333333333,0.19603333333333334,0.16193333333333332,0.14756666666666665,0.16573333333333332,0.15453333333333333,0.18683333333333335,0.20786666666666667,0.2188,3.156,1.9789999999999999,1.822,1.676,1.643,1.58,1.617,1.569,2.097,6.628,7.394,4.6080000000000005,3.525,6.225,5.899,5.881,4.858,4.427,4.9719999999999995,4.636,5.605,6.236,6.564,3.156,1.9789999999999999,1.822,1.676,1.643,1.58,1.617,1.569,2.097,6.628,7.394,4.6080000000000005,3.525,6.225,5.899,5.881,4.858,4.427,4.9719999999999995,4.636,5.605,6.236,6.564,0.05719166666666667,0.1904388888888889,0.16781666666666664,0.19200833333333334,0.06850666666666667,6.8629999999999995,34.279,20.137999999999998,23.041,10.276,0.017373693171125908,0.0783935675311933,0.055456541371771834,0.059679122035011425,0.006388824242264344,0.14071739130434782,0.12039130434782609,0.14833695652173914,0.12967391304347825,0.11615652173913044,0.15292173913043478,0.1527608695652174,12.946,11.076,13.647,11.93,13.358,17.586,14.054,0.13691999156377135,0.11264970079139079,0.16462359845616734,0.12498185439245563,0.09241502415489573,0.18933114718712954,0.14698571131611288,0.13034575569358178,0.15285024154589372,62.957,31.64,0.12716201038626065,0.1714092694626179,0.13709710144927537,94.597,0.14213755114630253,94.597,94.597,10.128,19.831,23.856,22.994,17.788
JMM,0.2706826086956522,0.2781419365223466,0.069,2.297,0.114,0.1965,0.2835,186.77100000000002,0.2706826086956522,6.225700000000001,0.14930000000000002,0.12813333333333332,0.1197,0.11673333333333333,0.11420000000000001,0.11973333333333333,0.1311,0.22486666666666666,0.27736666666666665,0.2381666666666667,0.2965,0.36663333333333337,0.49733333333333335,0.6793333333333333,0.4711666666666667,0.27253333333333335,0.24100000000000002,0.22726666666666664,0.3154333333333333,0.28726666666666667,0.3405666666666667,0.30033333333333334,0.31103333333333333,4.479,3.844,3.591,3.502,3.426,3.592,3.933,6.7459999999999996,8.321,7.1450000000000005,8.895,10.999,14.92,20.38,14.135,8.176,7.23,6.818,9.463,8.618,10.217,9.01,9.331,4.479,3.844,3.591,3.502,3.426,3.592,3.933,6.7459999999999996,8.321,7.1450000000000005,8.895,10.999,14.92,20.38,14.135,8.176,7.23,6.818,9.463,8.618,10.217,9.01,9.331,0.18826666666666667,0.42485555555555554,0.26405833333333334,0.3098,0.12561333333333333,22.592,76.474,31.686999999999998,37.176,18.842,0.05617364991352582,0.14364423637254856,0.0615379484517744,0.053121535986917184,0.00836110400240743,0.21159782608695651,0.2762282608695652,0.23053260869565217,0.24494565217391304,0.3161826086956521,0.2780521739130435,0.32402173913043475,19.467,25.413,21.209,22.535,36.361,31.976,29.81,0.14549068621544797,0.2608772648668617,0.33929731689870224,0.20003946666257366,0.274549314351136,0.28145115320419184,0.36918710757736073,0.258768115942029,0.29848309178743965,124.985,61.786,0.2557748216620148,0.32337502418418546,0.27068260869565214,186.771,0.2781419365223465,186.771,186.771,27.46,40.448,46.251,44.048,28.564
