,0,1,2,3,4
media_consumo,0.12297634408602146,0.1732493279569892,0.24577217741935478,0.261127688172043,0.3187640860215044
std_consumo,0.10272637847260294,0.21086117751851188,0.24625456379131258,0.199792497836699,0.27171101638991935
min_consumo,0.0262,0.023000000000000003,0.052,0.06,0.08099999999999999
max_consumo,1.2298,2.18,2.0381666666666667,1.579,2.3555
percentil_25_consumo,0.06995,0.057999999999999996,0.09279166666666666,0.12275,0.145
percentil_50_consumo,0.1008,0.09833333333333333,0.15241666666666667,0.217,0.215
percentil_75_consumo,0.1371,0.20099999999999998,0.2965,0.30325,0.381125
promedio_por_dia,0.12297634408602147,0.1732493279569892,0.24577217741935484,0.2611276881720429,0.3187640860215044
consumo_medio_diario,2.951432258064516,4.157983870967742,5.898532258064517,6.267064516129032,7.650338064516106
Mañana,0.1164048387096774,0.21848924731182792,0.2126727150537634,0.2193790322580645,0.29894403225806376
Mediodia,0.1434118279569892,0.21167562724014333,0.31768682795698927,0.2849005376344086,0.42932720430107235
Tarde,0.13098467741935477,0.20356989247311819,0.31164112903225805,0.1918024193548387,0.39831298387096703
Noche,0.14513225806451607,0.1590564516129032,0.3168790322580645,0.3498669354838709,0.33180645161290323
Madrugada,0.08688377576164871,0.0939024025537634,0.1047560138515531,0.2534257336469533,0.1596285730286738
sum_consumo,160.8648,257.795,365.709,388.5580000000001,474.32095999999865
Lunes,0.11843865740740736,0.18439351851851848,0.23738734567901232,0.2528657407407407,0.29691203703703706
Martes,0.12873666666666664,0.1693333333333333,0.23826875,0.2979583333333334,0.34057499999999996
Miércoles,0.1263668518518518,0.1611944444444444,0.24240200617283944,0.2702453703703704,0.33461574074074074
Jueves,0.12216148148148145,0.1637731481481481,0.24603703703703705,0.2734814814814815,0.3180115740740741
Viernes,0.1210333333333333,0.1618940972222222,0.22710677083333328,0.2534791666666666,0.35293989583332586
Sábado,0.12812499999999996,0.1812256944444444,0.25799218749999997,0.221375,0.2937942708333333
Domingo,0.11553101851851846,0.19099074074074074,0.2713287037037037,0.2491296296296296,0.29309953703703706
Entre semana,0.12351731078904989,0.168283024691358,0.23848842592592587,0.2705944444444444,0.3283360740740727
Fin de semana,0.12171507352941173,0.18639542483660124,0.26505269607843135,0.2360686274509804,0.2934264705882353
s_Mañana,24.904600000000002,54.185333333333325,52.74283333333333,54.406000000000006,74.13811999999982
s_Mediodia,46.276799999999994,78.74333333333333,118.1795,105.983,159.70971999999892
s_Tarde,29.099400000000003,50.48533333333333,77.28699999999999,47.567,98.78161999999982
s_Noche,31.6392,39.446,78.586,86.767,82.288
s_Madrugada,28.944799999999997,34.934999999999995,38.913666666666664,93.835,59.4035
s_Lunes,22.201,39.829,51.275666666666666,54.619,64.13300000000001
s_Martes,27.2582,40.64,57.18449999999999,71.51,81.738
s_Miércoles,24.500999999999998,34.818,52.35883333333334,58.373,72.277
s_Jueves,23.6984,35.375,53.144000000000005,59.072,68.6905
s_Viernes,20.4346,31.08366666666667,43.6045,48.668,67.76445999999856
s_Sábado,21.1184,34.79533333333333,49.5345,42.504,56.408500000000004
s_Domingo,21.653200000000002,41.254,58.607,53.812,63.3095
s_Entre semana,118.0932,181.74566666666666,257.5675,292.242,354.6029599999986
s_Fin de semana,42.7716,76.04933333333334,108.14150000000001,96.316,119.718
s_otoño,160.8648,257.795,365.709,388.558,474.32095999999854
std_Mañana,0.044282981026487776,0.07213585030223726,0.06098725532344432,0.0210254566202167,0.04329116597780645
std_Mediodia,0.03922308234551476,0.10491857517398002,0.08878428849150678,0.0549672005632319,0.08781751812740371
std_Tarde,0.04173072714730112,0.0508934143993403,0.07000437702022956,0.0200154153979308,0.05081094378181205
std_Noche,0.02811253814090578,0.05611411203514313,0.08912949787949742,0.0827091232069799,0.11006500240399264
std_Madrugada,0.0178067417559198,0.041042420032769804,0.024431094238341416,0.0852146751975443,0.027064392156105448
std_Lunes,0.0888768429904524,0.23192323484981858,0.21800770588166798,0.1597611750501424,0.2273233926347047
std_Martes,0.1134763599651398,0.20177589770624957,0.22726887391929543,0.2262561918830321,0.281428647913147
std_Miércoles,0.09915984079737802,0.1768749312834673,0.24554720564989607,0.1822111220582394,0.25162319186975635
std_Jueves,0.09266320450020206,0.19560644072008415,0.24550202681338948,0.1868013735063035,0.2719254889808989
std_Viernes,0.09591925571897611,0.18613773429411826,0.2288784603144022,0.1983593956067621,0.30096984782805647
std_Sábado,0.11592995066780684,0.21358156640500595,0.2565107220579155,0.1814014812017778,0.26269401723918756
std_Domingo,0.08833057705490924,0.2473996865269796,0.2768841468279903,0.2407001837698486,0.24960503290868036
std_Entre semana,0.09965874805092406,0.20136166314811896,0.2350277834265558,0.192981197772872,0.27291916286499107
std_Fin de semana,0.10339009375295811,0.23203369945336874,0.26884041597603386,0.2150356011803991,0.2558722295001372
std_otoño,0.10272637847260294,0.21086117751851186,0.24625456379131258,0.1997924978366989,0.27171101638991935
Octubre,160.8648,257.795,365.709,388.558,474.32095999999854
total_mean_consumption,972.9524914185865,1558.9225144891545,2209.7919642353886,2346.490916933658,2865.0978131488073
