hogar,cluster
ABLD,1
AJVG,2
ATF,0
FJAG,3
FMB,1
GPC,1
JACL,0
JALG,3
JLG,0
JMM,3
LFZA,1
MANA,3
MBGV,1
MTTA,3
PAA,1
RFM,0
RTF,3
