,0,1,2,3
media_consumo,0.1395055834262356,0.19788804651758884,0.2360169871794872,0.3074064119209466
std_consumo,0.13926804581317023,0.22784168003793615,0.3617458371415222,0.30483219501601994
min_consumo,0.02825,0.02316666666666667,0.005,0.052833333333333336
max_consumo,1.2565,2.0604999999999998,4.021,2.7355
percentil_25_consumo,0.07050000000000001,0.06829166666666667,0.05,0.12916666666666668
percentil_50_consumo,0.10275000000000001,0.11375,0.082,0.20658333333333334
percentil_75_consumo,0.14850000000000002,0.2275,0.22625,0.3582083333333333
promedio_por_dia,0.1395055834262356,0.19788804651758884,0.2360169871794872,0.30732333083197627
consumo_medio_diario,3.348134002229654,4.749313116422132,5.664407692307693,7.372310901505894
Mañana,0.12072339743589738,0.1974459223229715,0.3865576923076923,0.26003636421448884
Mediodia,0.17986008454106278,0.2279679190269354,0.1565551282051282,0.39095869625355356
Tarde,0.15413819676700108,0.24160763767956386,0.2900326923076923,0.3638464455923435
Noche,0.1641747700668896,0.2531402804466329,0.3601288461538461,0.38445456773988324
Madrugada,0.08547133965068743,0.10212170674397446,0.0963666666666666,0.16671110008818338
sum_consumo,379.75825,608.1095,736.373,914.700619999999
Jueves,0.13950558342623554,0.19788804651758882,0.2360169871794872,0.3074064119209466
Entre semana,0.13950558342623554,0.19788804651758882,0.2360169871794872,0.3074064119209466
s_Mañana,54.02775,101.15866666666666,201.01,129.5112666666665
s_Mediodia,121.48850000000002,174.64866666666668,122.113,290.5369799999993
s_Tarde,70.43275,123.75316666666667,150.817,177.43903999999995
s_Noche,75.4975,130.02383333333333,187.267,192.5445
s_Madrugada,58.31175,78.52516666666666,75.166,124.66883333333334
s_Jueves,379.75825,608.1095,736.373,914.700619999999
s_Entre semana,379.75825,608.1095,736.373,914.700619999999
s_invierno,86.18275,168.68583333333333,305.303,235.09753999999995
s_otoño,65.2865,123.66033333333333,113.986,176.58825999999962
s_primavera,101.247,181.419,214.116,248.43569999999968
s_verano,127.042,134.34433333333334,102.968,254.57911999999985
std_Mañana,0.04432524771447158,0.05601367284438461,0.1365913149651409,0.06557091056887145
std_Mediodia,0.04371818734201317,0.05350737193985409,0.0726273317705317,0.08462036144923886
std_Tarde,0.021126990578254474,0.04513067153099373,0.1046618146928269,0.05919467898238354
std_Noche,0.042630168583905524,0.05741036383465425,0.162940951743401,0.0864678975461866
std_Madrugada,0.009850006534794951,0.03631797390748305,0.0512370753065104,0.03609855029471655
std_Jueves,0.13926804581317023,0.22784168003793615,0.361745837141522,0.3048321950160199
std_Entre semana,0.13926804581317023,0.22784168003793615,0.361745837141522,0.3048321950160199
std_invierno,0.10697301185083963,0.25813237415299933,0.502760623919786,0.26749315830471926
std_otoño,0.0881967343735696,0.2203402622117493,0.2574195443620515,0.24429483835984653
std_primavera,0.09767627227793602,0.22513835161331874,0.3560785686020548,0.2415225864353262
std_verano,0.19936951288992238,0.19420313105119227,0.1549056511205131,0.38877331369046303
Enero,34.318749999999994,62.3325,101.119,88.5827066666666
Febrero,31.14675,65.6955,128.243,89.13666666666666
Marzo,35.02175,65.2405,105.583,86.75783333333334
Abril,28.85325,53.65533333333334,54.064,75.03119999999971
Mayo,37.372,62.52316666666667,54.469,86.64666666666666
Junio,47.0695,61.07683333333333,52.038,88.46278666666649
Julio,33.691,31.066666666666666,24.84,70.165
Agosto,46.2815,42.200833333333335,26.09,95.95133333333332
Septiembre,21.59225,35.24483333333333,28.949,53.318473333333124
Octubre,22.495,43.177166666666665,33.886,59.50083333333333
Noviembre,21.19925,45.23833333333334,51.151,63.76895333333315
Diciembre,20.71725,40.657833333333336,75.941,57.378166666666665
total_mean_consumption,2285.8381943939817,3659.5430763152467,4433.404827054573,5504.2424051893295
