hour,0,1,2
0,0.1944868035190616,0.34619354838709676,0.41701612903225804
1,0.1456217008797654,0.20352419354838708,0.33933467741935486
2,0.12359824046920821,0.11018548387096776,0.2767459677419355
3,0.11291935483870968,0.08476612903225807,0.20568145161290322
4,0.10557184750733138,0.07591935483870968,0.19097177419354838
5,0.100366568914956,0.07839516129032259,0.1596733870967742
6,0.09840175953079179,0.07861290322580645,0.15438306451612904
7,0.11397067448680351,0.07129838709677419,0.1734556451612903
8,0.17778152492668622,0.07508064516129032,0.19567741935483873
9,0.15397947214076246,0.08916129032258065,0.22084274193548387
10,0.1692492668621701,0.11033870967741935,0.27568951612903225
11,0.17930058651026393,0.11804032258064515,0.3607298387096774
12,0.18595601173020526,0.1342983870967742,0.46463709677419357
13,0.21980205278592377,0.19274193548387097,0.5619274193548387
14,0.27921260997067443,0.2829032258064516,0.6365645161290323
15,0.2531041055718475,0.4136451612903226,0.745241935483871
16,0.21082111436950146,0.5123225806451612,0.6488266129032259
17,0.20054252199413491,0.38945161290322583,0.6339516129032258
18,0.19001612903225806,0.3263467741935484,0.6542620967741936
19,0.19066715542521998,0.3545967741935484,0.7544879032258065
20,0.20766129032258063,0.33257258064516126,0.7613870967741936
21,0.2142815249266862,0.25251612903225806,0.6593508064516129
22,0.2327741935483871,0.25561290322580643,0.5459233870967742
23,0.2248240469208211,0.3168870967741936,0.5005040322580645
total_mean_consumption,4.284910557184751,5.205411290322582,10.537266129032258
