,0,1
media_consumo,0.18516700376411224,0.3070897745726493
std_consumo,0.20061160679604992,0.3298863395589107
min_consumo,0.028,0.041666666666666664
max_consumo,1.8595454545454546,3.3223333333333334
percentil_25_consumo,0.07218181818181818,0.1225
percentil_50_consumo,0.11813636363636365,0.19399999999999998
percentil_75_consumo,0.20825000000000002,0.34874999999999995
promedio_por_dia,0.18516700376411224,0.3070897745726493
consumo_medio_diario,4.444008090338695,7.370154589743584
Mañana,0.1716648506860249,0.2822983141025639
Mediodia,0.2249384999071675,0.36219505128205043
Tarde,0.2241657807576302,0.36520889743589735
Noche,0.23261429329503888,0.4032960769230769
Madrugada,0.09676623199015216,0.16562852136752132
sum_consumo,551.6775454545455,915.6372333333326
Martes,0.18516700376411224,0.3070897745726493
Entre semana,0.18516700376411224,0.3070897745726493
s_Mañana,85.55536363636364,141.51170666666658
s_Mediodia,166.23454545454544,268.95400666666615
s_Tarde,111.93936363636364,179.41268666666664
s_Noche,116.11063636363635,202.15666666666667
s_Madrugada,71.83763636363636,123.60216666666666
s_Martes,551.6775454545455,915.6372333333328
s_Entre semana,551.6775454545455,915.6372333333328
s_invierno,152.9928181818182,266.9655999999998
s_otoño,103.9890909090909,172.01967999999974
s_primavera,161.81563636363637,245.67583333333332
s_verano,132.88,230.9761199999998
std_Mañana,0.05410338900867544,0.07460113289498636
std_Mediodia,0.05689711138482705,0.08516085346331691
std_Tarde,0.036306617720949584,0.06526055960998277
std_Noche,0.056807903263199795,0.11780602389206629
std_Madrugada,0.02776873649706034,0.0340576335914988
std_Martes,0.20061160679604997,0.3298863395589108
std_Entre semana,0.20061160679604997,0.3298863395589108
std_invierno,0.22122490973126815,0.3372931970289317
std_otoño,0.16506616346958472,0.24977799039865456
std_primavera,0.1834293278601476,0.2492793775836771
std_verano,0.19765868118127614,0.38612247877922323
Enero,58.04418181818182,100.76783333333333
Febrero,52.094818181818184,90.60809999999985
Marzo,52.591727272727276,86.01933333333334
Abril,59.33572727272727,84.12833333333333
Mayo,49.88818181818181,75.52816666666666
Junio,54.18054545454545,75.92678666666649
Julio,40.80054545454545,80.7655
Agosto,37.89890909090909,74.28383333333333
Septiembre,31.404181818181815,51.01987333333327
Octubre,39.94790909090909,66.14616666666667
Noviembre,32.637,54.85363999999979
Diciembre,42.853818181818184,75.58966666666667
total_mean_consumption,3320.0873097861727,5510.61880881506
