hour,0,1,2,3,4
0,0.18927497318829478,0.2836043613707165,0.4414556074766355,0.3096495327102804,0.32317391304347826
1,0.14592185537000152,0.20307165109034267,0.3187476635514019,0.43580373831775704,0.23922282608695652
2,0.12482868086410295,0.118196261682243,0.20214018691588787,0.474303738317757,0.18522282608695653
3,0.11886398038915276,0.08879595015576325,0.16607943925233645,0.32431308411214954,0.1843695652173913
4,0.11309459169603187,0.07861214953271027,0.15141822429906543,0.26692056074766357,0.17932608695652175
5,0.1069067871916654,0.07597507788161993,0.14856308411214952,0.15567289719626168,0.18031521739130432
6,0.10473588938256473,0.07595794392523364,0.14249299065420562,0.15933644859813084,0.17991304347826087
7,0.12060826566569634,0.07613862928348909,0.14182710280373834,0.198,0.2158913043478261
8,0.1822230044430826,0.09024766355140186,0.16268691588785048,0.22498130841121497,0.26494021739130436
9,0.1737411981001992,0.09942834890965731,0.18844859813084114,0.22656074766355142,0.304320652173913
10,0.17396081660793627,0.12614330218068537,0.22247196261682242,0.3062570093457944,0.3899673913043479
11,0.17777868086410295,0.1504439252336449,0.2720467289719626,0.3994065420560748,0.49082608695652175
12,0.18133043511567334,0.17083956386292834,0.30033644859813086,0.5033271028037384,0.6467663043478261
13,0.20947335682549412,0.2044890965732087,0.35225934579439255,0.5542383177570094,0.8641249999999999
14,0.26156525969051636,0.2907881619937695,0.4564532710280374,0.6400514018691589,0.9043695652173913
15,0.2528834227056841,0.42249065420560744,0.6030677570093458,0.6748224299065421,0.8292499999999999
16,0.21589089168071088,0.4195747663551402,0.5326869158878504,0.5109813084112149,0.8146521739130435
17,0.21303939788570553,0.33968068535825546,0.5257172897196262,0.4164392523364486,0.874804347826087
18,0.20200464225524745,0.33570249221183796,0.5443621495327102,0.5380140186915888,0.8670380434782609
19,0.19442227669679793,0.33276791277258566,0.5375467289719627,0.6056869158878504,0.9767771739130435
20,0.20099346560441242,0.2940623052959501,0.5105,0.6460700934579439,1.0176467391304347
21,0.22130139420867168,0.2620545171339564,0.44911448598130843,0.5371635514018692,0.8551684782608696
22,0.25110197640569937,0.2855389408099689,0.5093200934579439,0.39832242990654204,0.5691467391304348
23,0.2265243680098054,0.30762928348909657,0.512696261682243,0.48732242990654207,0.38990760869565216
total_mean_consumption,4.36246961084725,5.132233644859813,8.392439252336448,9.993644859813084,12.747141304347826
