hour,0,1,2,3
0,0.1192579454282947,0.12135411477411477,0.22528131868131868,0.17266346153846154
1,0.102511340473101,0.09556256410256411,0.1989095238095238,0.15873076923076923
2,0.09339007133675702,0.08547228327228326,0.17461587301587303,0.15391346153846155
3,0.08956607879330618,0.0793893772893773,0.14099987789987792,0.1473173076923077
4,0.08653524651083454,0.0818978021978022,0.12068874236874236,0.15241346153846155
5,0.08436891733830436,0.10674705738705739,0.14400727716727718,0.19404807692307693
6,0.09215709346881834,0.25876678876678877,0.21843406593406592,0.26661538461538464
7,0.11438707683778959,0.3668816117216117,0.27871926739926745,0.29178846153846155
8,0.14787067578022675,0.23383521367521368,0.25214361416361414,0.27835807692307346
9,0.1569068366930448,0.1702318192918193,0.26567260073260074,0.3292630769230718
10,0.16762582713477225,0.16436317460317462,0.2709278632478632,0.37059115384614694
11,0.17178913226236817,0.15241919413919414,0.3220763125763126,0.5093519230769145
12,0.2149691698497115,0.16522715506715507,0.4290585836385836,0.6375923076922991
13,0.21407923131750647,0.267925054945055,0.46388974358974355,0.5091511538461435
14,0.20044871246596122,0.2926385347985348,0.3969614652014652,0.49120538461537944
15,0.1918470125067773,0.25707956043956043,0.32932847374847374,0.4954089320388332
16,0.18806840013158618,0.22406310134310137,0.3139084249084249,0.48646718446601767
17,0.18041275441514215,0.2170179242979243,0.30340495726495725,0.584137087378639
18,0.17228603572320608,0.24424864468864466,0.3024326495726496,0.7088349514563107
19,0.16887970770814675,0.3480790964590964,0.33688148962148967,0.66973786407767
20,0.18239927505772124,0.4199701098901099,0.4756799023199023,0.4820679611650485
21,0.18966381837454538,0.34352239316239314,0.4654900122100122,0.41289320388349515
22,0.17778186669590804,0.24461819291819292,0.35121106227106225,0.3412330097087378
23,0.15547399376184123,0.17404224664224663,0.26115628815628816,0.22302912621359225
total_mean_consumption,3.6626762200656713,5.115353015873016,7.04187938949939,9.066812781926759
