hogar,cluster
ABLD,1
AJVG,1
ATF,0
FJAG,4
FMB,0
GPC,0
JACL,0
JALG,3
JLG,0
JMM,3
LFZA,0
MANA,3
MBGV,1
MTTA,2
PAA,1
RFM,0
RTF,3
