hour,0,1,2
0,0.12178571428571429,0.1518317307692308,0.33476923076923076
1,0.10201373626373626,0.1343389423076923,0.2885865384615385
2,0.09758241758241759,0.11884375,0.23334615384615384
3,0.0873543956043956,0.09927884615384615,0.19113461538461538
4,0.09350824175824177,0.09937259615384615,0.1640576923076923
5,0.10757967032967033,0.10635817307692308,0.20350961538461537
6,0.16529120879120882,0.17976201923076923,0.2560096153846154
7,0.20490384615384616,0.2721490384615385,0.2755961538461539
8,0.1508489010989011,0.25705528846153847,0.2565576923076923
9,0.12104120879120879,0.2552764423076923,0.2944038461538462
10,0.1304752747252747,0.248125,0.31962500000000005
11,0.12372802197802198,0.30654326923076924,0.3564346153846144
12,0.1589725274725275,0.3842427884615385,0.4651759615384601
13,0.19611263736263737,0.4261514423076923,0.39179230769230566
14,0.21778296703296704,0.3787067307692308,0.4380124999999985
15,0.18981043956043958,0.3399134615384616,0.4287038461538451
16,0.15726923076923077,0.3158485576923077,0.4626942307692298
17,0.16382417582417583,0.29134855769230766,0.5755403846153836
18,0.18181318681318684,0.2961201923076923,0.5533182692307688
19,0.2213791208791209,0.34575240384615386,0.5034134615384616
20,0.25997252747252747,0.44690625,0.37693269230769233
21,0.24193956043956044,0.41156250000000005,0.3536153846153846
22,0.19971703296703297,0.28922596153846153,0.35697115384615385
23,0.14765384615384616,0.20924038461538463,0.3371730769230769
total_mean_consumption,3.84235989010989,6.363954326923077,8.417374038461528
