,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_verano,Agosto
PC1,0.14850333465350316,0.1481015911282889,-0.0027998355704079553,0.1162491201614035,0.1068068785886891,0.12081737283433237,0.13326199813929757,0.1485033346535029,0.14850333465350288,0.1112623784788849,0.14390218648436365,0.14459493909441243,0.12544454488558923,0.11145629670175257,0.1485033346535029,0.14215746709249794,0.14377911341144306,0.14372583733907018,0.14548508174433772,0.14388684889898953,0.1447034055314752,0.14271413629059862,0.14768755311356666,0.14564113643610338,0.11126237847888484,0.14390218648436365,0.14459493909441243,0.12544454488558923,0.11145629670175256,0.14215746709249802,0.14377911341144306,0.14372583733907016,0.14548508174433777,0.1438868488989895,0.14470340553147518,0.14271413629059865,0.1476875531135666,0.14564113643610332,0.1485033346535029,0.09511361998461232,0.12611432644413476,0.08490538971520616,0.10845786925008277,0.015307754854662414,0.1407290474195066,0.14427015874921875,0.13772380386915373,0.14126211524023213,0.14307096992498758,0.14544175112667712,0.13838491793282168,0.14597057073833583,0.1447980635111821,0.14810159112828908,0.14850333465350288
PC2,-0.028108639204340587,-0.012268054172248735,-0.2719807177680006,0.017615881363645985,-0.15179923310862,-0.09289539415785397,0.020175362192622868,-0.02810863920434083,-0.02810863920434073,0.22369827481415885,-0.09726809070065282,-0.031725740156329334,-0.11538747972048337,0.31570994536962504,-0.02810863920434072,0.06253413666693265,-0.026992675960017053,-0.08008585438958725,-0.0352705547032637,-0.12033751681705387,-0.02066498222038727,0.022584312717100784,-0.039957240709404165,-0.0007984154735922416,0.22369827481415894,-0.09726809070065282,-0.03172574015632939,-0.11538747972048342,0.31570994536962516,0.06253413666693274,-0.026992675960017046,-0.08008585438958724,-0.035270554703263755,-0.1203375168170539,-0.020664982220387346,0.022584312717100746,-0.03995724070940421,-0.0007984154735921321,-0.0281086392043407,0.314114777408537,-0.08370692344367478,0.42129482043634714,0.1322554437683466,0.4113452083487466,-0.049935809613926865,0.011676621732982527,0.009726693515981969,0.011241465918394448,-0.08345030897610581,0.05096746494494214,-0.011851809259551703,-0.02012192175912142,0.01267620678810883,-0.012268054172248537,-0.02810863920434071
PC3,-0.016191033639247183,-0.04042221209172772,0.08251300546866376,0.33536853215790946,0.33666894885082616,0.3584128434689678,0.010295863338298553,-0.016191033639247353,-0.01619103363924749,0.13151617443029834,0.06785638980161683,-0.07491874846210843,-0.2132177962298051,0.13255796450247953,-0.01619103363924738,-0.07989090356248862,-0.12518436926713997,-0.11299618023694778,-0.039166108307314006,-0.013081464666160175,0.0721873341202578,0.13725685444385172,-0.06959015887799437,0.10340722132531663,0.13151617443029842,0.06785638980161685,-0.07491874846210848,-0.2132177962298051,0.1325579645024797,-0.07989090356248868,-0.12518436926714005,-0.11299618023694773,-0.03916610830731396,-0.013081464666160279,0.07218733412025774,0.1372568544438517,-0.06959015887799441,0.10340722132531653,-0.01619103363924735,-0.05466815969907809,0.24764007610348282,0.08878237900560262,-0.17780799601401545,-0.23451432808993997,-0.03747159390387338,-0.1388831250998761,-0.17344317830284944,-0.12369657500192191,-0.11907906488523845,-0.06666818868297437,0.19203673164755125,-0.11105019130664265,0.08902866536135343,-0.04042221209172774,-0.01619103363924735
