,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_invierno,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_invierno,Enero,Febrero,Diciembre
PC1,0.1495358271609055,0.1423693767913013,0.02233349800374006,0.1208255512022565,0.05282528641829652,0.09241553179389853,0.14635656543806538,0.1495358271609055,0.1495358271609055,0.13795580762716508,0.13076137053591702,0.14236404378511416,0.13449291153161563,0.06078128887420131,0.14953582716090555,0.14122787556214342,0.14647092767556896,0.14827769617186676,0.14262355272607632,0.1379250586902713,0.14350453567813845,0.1389852272195459,0.1477759073528515,0.14248535730552808,0.13795580762716514,0.13076137053591702,0.14236404378511422,0.13449291153161566,0.06078128887420129,0.14122787556214342,0.1464709276755689,0.14827769617186673,0.14262355272607638,0.13792505869027136,0.14350453567813842,0.1389852272195459,0.14777590735285157,0.14248535730552817,0.14953582716090552,0.11226573310215857,0.09509730263671767,0.09244472063959645,0.07082649415088599,0.0981865829850822,0.12988720862227948,0.13696916143380924,0.13605040717545872,0.14003627553066955,0.14065203419606803,0.12557893803017817,0.13260352381477447,0.14110007663477203,0.13382050885555688,0.14236937679130104,0.14748043619729415,0.14513048054865257,0.14655297873942635
PC2,0.04018028407533654,-0.1332416580780718,0.2338582460148375,-0.002081842046381274,0.38592116099811064,0.3513859937229503,-0.013578391892582711,0.04018028407533676,0.04018028407533662,-0.10597437447748331,0.16095382202431338,0.014475717463214355,-0.1252458683615466,0.26287964497590677,0.04018028407533663,0.009099030750164043,0.0021108211539263163,-0.007160417258960606,0.03958676247389175,0.14874067609129274,0.024755713932174267,0.06076326626628067,0.03690035339515277,0.04494510508184099,-0.10597437447748327,0.16095382202431338,0.014475717463214379,-0.12524586836154672,0.26287964497590677,0.009099030750164046,0.002110821153926279,-0.007160417258960604,0.03958676247389177,0.1487406760912928,0.024755713932174277,0.06076326626628063,0.03690035339515278,0.04494510508184101,0.04018028407533661,-0.026050882296706757,0.15958070568190408,-0.25652768868324083,-0.253316181698207,0.015218456180463335,-0.177310739981275,-0.15323458682472343,-0.1475941341976894,-0.13094513411805192,-0.048649742795673516,-0.15812430703621855,-0.06892811767118918,-0.13804116702340033,-0.1139726420576936,-0.13324165807807176,0.06266750940272413,-0.00847557352126839,0.05880825891535611
PC3,-0.011033883586850441,0.019577626400835463,0.03504217214885607,-0.10033947654408609,-0.11587076911605947,0.00921511572134906,-0.02342069738321964,-0.011033883586850443,-0.01103388358685052,-0.029187611261892607,0.1661691124893164,0.11211679736398852,-0.11125175202524522,-0.337146917136808,-0.011033883586850588,-0.06973687384213034,-0.12152762183790676,-0.04957280753624873,-0.04148621544806404,-0.0945759611980974,0.1245747796619616,0.16839125501127833,-0.0786141464121567,0.15011848592572635,-0.02918761126189265,0.16616911248931646,0.1121167973639886,-0.1112517520252452,-0.337146917136808,-0.06973687384213041,-0.12152762183790673,-0.04957280753624872,-0.04148621544806401,-0.09457596119809757,0.12457477966196169,0.1683912550112783,-0.07861414641215674,0.15011848592572644,-0.011033883586850517,0.37441681047065756,0.09225069726033645,-0.22732458836426717,-0.32044745277878367,-0.006523352038248258,-0.021047022842562286,-0.08172873589643011,-0.05033232271062255,0.006871030592117799,-0.07877904875971352,0.1390840045858097,0.20849810615131995,-0.047940701614175206,0.18103443840646136,0.019577626400835636,0.018535466075657963,-0.09866864114551586,0.03794542529541275
PC4,-0.04253601773169037,0.08081415993340582,-0.35082470094502377,0.31496394488960444,0.02177069662190505,-0.03940981202096894,-0.11155652478158731,-0.042536017731690384,-0.04253601773169036,-0.10340756625404043,-0.09156682667286016,-0.010035010784420968,-0.1060171208025332,0.26860778277726827,-0.04253601773169046,-0.1074792452676615,-0.058737350401244566,-0.013256563219249392,-0.1551189177191008,-0.00583741763683139,0.061592423552952635,-0.006721620801728292,-0.06940949676219325,0.02441045701039301,-0.10340756625404042,-0.09156682667285992,-0.010035010784420954,-0.10601712080253321,0.2686077827772683,-0.10747924526766148,-0.058737350401244566,-0.013256563219249414,-0.15511891771910075,-0.005837417636831239,0.061592423552952504,-0.006721620801728327,-0.0694094967621932,0.02441045701039309,-0.04253601773169037,0.12758488358977516,0.16184085706238838,0.1354386050490077,-0.26830764859826156,0.4664949084523186,0.010933375577002108,0.06983978062264509,0.08472151585465001,0.014943973376765712,0.12925931332812826,0.18392002884683264,0.02018598418336948,0.071631982451416,0.11097578402140065,0.08081415993340556,-0.04962860162052963,-0.07232013371450503,-0.00712259994202687
